Frame, eSSIM, SSIM
0,0.933255,0.968136
1,0.944007,0.97662
2,0.94071,0.973377
3,0.926595,0.963441
4,0.927778,0.966118
5,0.940316,0.975785
6,0.938339,0.972698
7,0.920897,0.962317
8,0.914807,0.963771
9,0.937456,0.975527
10,0.9363,0.972518
11,0.913059,0.960651
12,0.91327,0.963032
13,0.937515,0.975283
14,0.930972,0.971817
15,0.900034,0.958451
16,0.920153,0.965055
17,0.939904,0.976151
18,0.931111,0.972391
19,0.93047,0.965313
20,0.938024,0.969153
21,0.949032,0.978234
22,0.940385,0.974189
23,0.939949,0.968624
24,0.95246,0.973423
25,0.955027,0.979537
26,0.944668,0.974976
27,0.945795,0.970406
28,0.95716,0.975079
29,0.957632,0.980078
30,0.946489,0.97546
31,0.94659,0.970845
32,0.961714,0.976671
33,0.960886,0.98115
34,0.949665,0.976697
35,0.951364,0.97209
36,0.96192,0.976548
37,0.961095,0.980994
38,0.950389,0.976401
39,0.951662,0.972237
40,0.963777,0.977176
41,0.962331,0.981449
42,0.951072,0.976805
43,0.952293,0.972329
44,0.963543,0.977039
45,0.961559,0.981446
46,0.951878,0.977088
47,0.953367,0.973176
48,0.963621,0.977193
49,0.963055,0.981591
50,0.952658,0.97696
51,0.956598,0.973743
52,0.966667,0.978048
53,0.965582,0.982139
54,0.956466,0.977722
55,0.957905,0.974401
56,0.966555,0.978268
57,0.966175,0.982236
58,0.957414,0.977932
59,0.956933,0.97399
60,0.966828,0.978581
61,0.966482,0.982492
62,0.959098,0.978546
63,0.959836,0.975016
64,0.967461,0.97871
65,0.96641,0.982647
66,0.958299,0.978442
67,0.958115,0.974558
68,0.969159,0.979101
69,0.966734,0.982648
70,0.959013,0.978571
71,0.96023,0.975359
72,0.968756,0.979082
73,0.966883,0.982868
74,0.958473,0.97867
75,0.958689,0.974745
76,0.970271,0.979397
77,0.967793,0.982883
78,0.959944,0.978812
79,0.960794,0.975607
80,0.969067,0.979206
81,0.967838,0.982843
82,0.959437,0.978523
83,0.961304,0.975949
84,0.970749,0.979827
85,0.968132,0.983186
86,0.959833,0.978829
87,0.961983,0.975812
88,0.972165,0.980282
89,0.9685,0.983338
90,0.96126,0.979098
91,0.961563,0.97554
92,0.971575,0.980007
93,0.968727,0.98314
94,0.958935,0.978736
95,0.961777,0.975912
96,0.9702,0.979494
97,0.96792,0.983103
98,0.95972,0.978706
99,0.9612,0.975905
100,0.971524,0.980015
101,0.968899,0.983308
102,0.958273,0.978556
103,0.960722,0.975634
104,0.972575,0.980427
105,0.969436,0.983488
106,0.961891,0.979194
107,0.961051,0.975557
108,0.971709,0.98017
109,0.969972,0.983511
110,0.962237,0.97924
111,0.963059,0.976167
112,0.973207,0.980646
113,0.970562,0.983663
114,0.962008,0.979375
115,0.961535,0.975847
116,0.972515,0.980342
117,0.969862,0.98338
118,0.959544,0.97878
119,0.961159,0.975807
120,0.973485,0.980835
121,0.970352,0.983639
122,0.960364,0.979244
123,0.961914,0.975743
124,0.972628,0.980351
125,0.970832,0.983683
126,0.961164,0.979152
127,0.961492,0.976112
128,0.971556,0.980047
129,0.970377,0.983595
130,0.960825,0.979145
131,0.962173,0.976493
132,0.972684,0.980482
133,0.970425,0.983605
134,0.959161,0.979074
135,0.960992,0.975933
136,0.973539,0.980832
137,0.970072,0.983738
138,0.961832,0.979248
139,0.961708,0.975795
140,0.972842,0.980577
141,0.968899,0.983681
142,0.961303,0.979284
143,0.962456,0.976323
144,0.973662,0.980853
145,0.970051,0.983685
146,0.961153,0.97919
147,0.961451,0.975898
148,0.973044,0.980682
149,0.970055,0.983666
150,0.960547,0.979069
151,0.962715,0.97624
152,0.971937,0.980271
153,0.970207,0.9836
154,0.961102,0.978955
155,0.961398,0.9759
156,0.97327,0.980709
157,0.96998,0.983681
158,0.960158,0.978939
159,0.961683,0.976188
160,0.972007,0.980327
161,0.968612,0.983365
162,0.959228,0.978773
163,0.959862,0.975487
164,0.972797,0.980544
165,0.968827,0.983519
166,0.961763,0.97918
167,0.962807,0.976433
168,0.972113,0.980258
169,0.970243,0.983672
170,0.960878,0.97906
171,0.961932,0.975931
172,0.973059,0.980653
173,0.970244,0.983599
174,0.961032,0.97908
175,0.962377,0.97622
176,0.972133,0.980258
177,0.970396,0.983683
178,0.961157,0.979114
179,0.963839,0.976714
180,0.9735,0.980844
181,0.969943,0.983622
182,0.961471,0.979077
183,0.963686,0.976409
184,0.972287,0.980269
185,0.96973,0.983608
186,0.961153,0.979091
187,0.964157,0.97665
188,0.972969,0.98076
189,0.969932,0.983604
190,0.961469,0.979064
191,0.963208,0.976304
192,0.974166,0.980949
193,0.970795,0.983749
194,0.961766,0.979185
195,0.962521,0.976087
196,0.973713,0.980823
197,0.970472,0.983541
198,0.962071,0.978993
199,0.96288,0.976176
200,0.97196,0.980345
201,0.97089,0.983617
202,0.961586,0.978973
203,0.964276,0.976673
204,0.973414,0.980767
205,0.971468,0.98371
206,0.961916,0.979108
207,0.9635,0.976359
208,0.974105,0.980964
209,0.971111,0.983868
210,0.962319,0.979423
211,0.962308,0.976072
212,0.973278,0.980694
213,0.971336,0.98392
214,0.962123,0.979357
215,0.962987,0.97634
216,0.972519,0.980545
217,0.970462,0.983808
218,0.961536,0.979366
219,0.962792,0.975965
220,0.97327,0.9807
221,0.971302,0.983938
222,0.96193,0.979229
223,0.962869,0.976206
224,0.972226,0.980456
225,0.96914,0.98374
226,0.95929,0.978975
227,0.960931,0.976142
228,0.972882,0.980656
229,0.968266,0.983634
230,0.959675,0.978904
231,0.961435,0.976087
232,0.971774,0.980253
233,0.970007,0.98377
234,0.958956,0.97903
235,0.961617,0.976339
236,0.972196,0.980523
237,0.970906,0.983938
238,0.961119,0.979391
