Frame, eSSIM, SSIM
0,0.955755,0.976758
1,0.958485,0.979947
2,0.957813,0.977298
3,0.95672,0.973351
4,0.96323,0.977518
5,0.963365,0.980983
6,0.959941,0.977153
7,0.953512,0.97328
8,0.964054,0.978043
9,0.966067,0.981529
10,0.959299,0.976942
11,0.95192,0.972063
12,0.95853,0.97676
13,0.963588,0.981142
14,0.954652,0.976116
15,0.941925,0.972022
16,0.958014,0.976876
17,0.960485,0.980744
18,0.951798,0.975528
19,0.948061,0.970814
20,0.956827,0.976247
21,0.953492,0.980165
22,0.95599,0.978029
23,0.957999,0.975088
24,0.954628,0.978272
25,0.950671,0.980054
26,0.952369,0.9778
27,0.951966,0.972965
28,0.952995,0.975984
29,0.953517,0.980152
30,0.956474,0.976954
31,0.94919,0.972839
32,0.956598,0.976661
33,0.961598,0.980797
34,0.956805,0.976723
35,0.948538,0.971797
36,0.952894,0.976102
37,0.959053,0.980852
38,0.953118,0.976274
39,0.944963,0.971719
40,0.954877,0.976344
41,0.960704,0.980958
42,0.952423,0.975811
43,0.948476,0.970797
44,0.955166,0.975952
45,0.95794,0.980602
46,0.957008,0.978291
47,0.959191,0.975262
48,0.9584,0.978691
49,0.955478,0.980655
50,0.955572,0.978226
51,0.953813,0.973336
52,0.954207,0.976312
53,0.960269,0.98091
54,0.958393,0.977262
55,0.953132,0.973229
56,0.959702,0.977191
57,0.963272,0.981178
58,0.958122,0.976981
59,0.95082,0.971765
60,0.954727,0.976113
61,0.962146,0.981106
62,0.95503,0.976413
63,0.950261,0.971863
64,0.957634,0.976947
65,0.961702,0.981146
66,0.954328,0.976014
67,0.949548,0.971044
68,0.956316,0.976463
69,0.9588,0.980618
70,0.958698,0.978342
71,0.959926,0.975336
72,0.957003,0.978534
73,0.95328,0.980216
74,0.955496,0.978048
75,0.953624,0.973153
76,0.952511,0.975909
77,0.957419,0.980168
78,0.958032,0.977081
79,0.953644,0.973377
80,0.95879,0.976964
81,0.961755,0.980634
82,0.957303,0.976644
83,0.9509,0.971801
84,0.95552,0.976074
85,0.961172,0.980751
86,0.952842,0.976127
87,0.950209,0.971944
88,0.957682,0.976629
89,0.961753,0.980876
90,0.955316,0.975856
91,0.95032,0.970918
92,0.955956,0.976043
93,0.957685,0.980364
94,0.954938,0.977757
95,0.959069,0.975054
96,0.956293,0.978359
97,0.95203,0.980115
98,0.952537,0.977643
99,0.952029,0.972727
100,0.953493,0.97609
101,0.955641,0.980162
102,0.955467,0.976566
103,0.952973,0.973136
104,0.958681,0.977168
105,0.961166,0.980712
106,0.955794,0.976302
107,0.949327,0.971723
108,0.9549,0.976413
109,0.959966,0.980716
110,0.955117,0.976487
111,0.949147,0.97232
112,0.958833,0.977405
113,0.961992,0.981161
114,0.954908,0.976103
115,0.94956,0.971508
116,0.956068,0.976715
117,0.959688,0.980824
118,0.961015,0.978656
119,0.958767,0.975249
120,0.959922,0.97968
121,0.955404,0.981487
122,0.956017,0.978922
123,0.955211,0.973772
124,0.955101,0.976793
125,0.960593,0.981411
126,0.959148,0.977737
127,0.955735,0.973575
128,0.961062,0.977713
129,0.964977,0.981844
130,0.958724,0.977535
131,0.951242,0.972309
132,0.957009,0.97684
133,0.962192,0.981591
134,0.954228,0.976808
135,0.949361,0.972306
136,0.958879,0.977414
137,0.962411,0.981597
138,0.953356,0.976356
139,0.948906,0.971062
140,0.957008,0.976572
141,0.957563,0.980838
142,0.958042,0.978444
143,0.958188,0.975244
144,0.958208,0.978559
145,0.954022,0.98046
146,0.955126,0.977889
147,0.952931,0.972811
148,0.953208,0.976058
149,0.957571,0.980466
150,0.957756,0.976871
151,0.952536,0.972827
152,0.95893,0.977027
153,0.962242,0.980905
154,0.957062,0.976479
155,0.950254,0.971721
156,0.955006,0.976179
157,0.961194,0.980911
158,0.956074,0.976544
159,0.94874,0.972089
160,0.958695,0.977085
161,0.96354,0.98107
162,0.956332,0.976074
163,0.949604,0.971089
164,0.956852,0.976399
165,0.957548,0.980698
166,0.957217,0.978085
167,0.959704,0.975296
168,0.959563,0.978961
169,0.956508,0.980794
170,0.956314,0.97803
171,0.95295,0.9729
172,0.954687,0.976339
173,0.958227,0.980641
174,0.957197,0.976839
175,0.950352,0.972723
176,0.958241,0.976853
177,0.962525,0.980865
178,0.956824,0.976457
179,0.948618,0.971271
180,0.954287,0.975987
181,0.958945,0.980617
182,0.955351,0.976008
183,0.950573,0.971858
184,0.957011,0.976684
185,0.961662,0.980796
186,0.954036,0.975412
187,0.948042,0.970554
188,0.955227,0.976098
189,0.959157,0.980455
190,0.958306,0.978135
191,0.956966,0.975204
192,0.961019,0.97962
193,0.95817,0.981356
194,0.956957,0.978554
195,0.954089,0.973533
196,0.957016,0.976894
197,0.959874,0.981045
198,0.958697,0.977075
199,0.952114,0.972988
200,0.959928,0.977329
201,0.963412,0.98117
202,0.958376,0.976795
203,0.950671,0.971549
204,0.955983,0.976159
205,0.961321,0.981
206,0.954423,0.976276
207,0.950048,0.971862
208,0.956523,0.976544
209,0.961313,0.980934
210,0.953707,0.975684
211,0.94735,0.970569
212,0.954484,0.97594
213,0.958517,0.980396
214,0.95922,0.978068
215,0.957705,0.97452
216,0.95888,0.978399
217,0.955451,0.980358
218,0.956048,0.977758
219,0.952995,0.972555
220,0.952919,0.975897
221,0.95742,0.98015
222,0.955217,0.97633
223,0.945376,0.971846
224,0.956806,0.976453
225,0.960924,0.980437
226,0.954754,0.975849
227,0.94715,0.97067
228,0.953817,0.97573
229,0.958303,0.980296
230,0.951975,0.975281
231,0.945778,0.970993
232,0.956698,0.976505
233,0.960385,0.980422
234,0.952595,0.97496
235,0.946963,0.970223
236,0.953735,0.97584
237,0.956315,0.980136
238,0.956,0.97768
239,0.950608,0.974478
240,0.959016,0.978412
241,0.956067,0.98041
242,0.955194,0.977431
243,0.951926,0.972271
244,0.954162,0.975809
245,0.95638,0.980237
246,0.955767,0.976435
247,0.947091,0.972133
248,0.953847,0.97585
249,0.960417,0.980333
250,0.954399,0.975776
251,0.94655,0.970411
252,0.950407,0.975185
253,0.957329,0.980283
254,0.950868,0.975324
255,0.944535,0.970868
256,0.955336,0.975911
257,0.958405,0.980248
258,0.949966,0.974774
259,0.94673,0.969878
260,0.954334,0.975549
261,0.954568,0.979782
262,0.952734,0.976952
263,0.946283,0.973437
264,0.954563,0.977626
265,0.949426,0.979212
266,0.950792,0.976504
267,0.950833,0.972139
268,0.950492,0.975548
269,0.95667,0.97971
270,0.95475,0.97598
271,0.94733,0.97198
272,0.956125,0.975907
273,0.960004,0.979918
274,0.953529,0.975427
275,0.946112,0.970631
276,0.953214,0.975378
277,0.960283,0.980101
278,0.952809,0.975432
279,0.945748,0.971114
280,0.956665,0.976343
281,0.960321,0.980224
282,0.951615,0.974792
283,0.94585,0.97014
284,0.95506,0.975707
285,0.955406,0.979671
286,0.951145,0.976931
287,0.947438,0.9738
288,0.957748,0.977585
289,0.953399,0.979293
290,0.951664,0.976396
291,0.949114,0.971686
292,0.952237,0.975143
293,0.95335,0.979301
294,0.952557,0.975489
295,0.945799,0.971507
296,0.953321,0.975449
297,0.958513,0.979475
298,0.952843,0.974926
299,0.945713,0.97006
300,0.950662,0.974885
301,0.956544,0.979418
302,0.949867,0.974607
303,0.946209,0.97038
304,0.951942,0.975202
