Frame, eSSIM, SSIM
0,0.789759,0.919515
1,0.840514,0.952026
2,0.899443,0.96024
3,0.813308,0.927663
4,0.787347,0.918538
5,0.840116,0.951691
6,0.898101,0.959785
7,0.807931,0.926223
8,0.77487,0.915072
9,0.837223,0.951139
10,0.896742,0.959531
11,0.793564,0.923281
12,0.770431,0.914083
13,0.836022,0.950821
14,0.893994,0.958945
15,0.786804,0.921734
16,0.775377,0.915622
17,0.842685,0.95185
18,0.895963,0.959556
19,0.810461,0.927298
20,0.787996,0.919395
21,0.849417,0.953406
22,0.898295,0.960378
23,0.82457,0.931317
24,0.801183,0.923779
25,0.857836,0.955181
26,0.897889,0.960509
27,0.829316,0.932095
28,0.816329,0.927823
29,0.859845,0.955539
30,0.899825,0.960609
31,0.832939,0.932917
32,0.819595,0.928942
33,0.871691,0.957364
34,0.903292,0.961649
35,0.84121,0.935725
36,0.824913,0.930765
37,0.876918,0.958482
38,0.904673,0.961628
39,0.842054,0.936076
40,0.833786,0.933658
41,0.882191,0.9594
42,0.904716,0.961974
43,0.85261,0.938275
44,0.839437,0.934697
45,0.885063,0.960056
46,0.905126,0.96212
47,0.860463,0.940785
48,0.84761,0.937449
49,0.888032,0.960425
50,0.908599,0.962485
51,0.857671,0.940763
52,0.847774,0.937925
53,0.891859,0.961131
54,0.908883,0.962901
55,0.861451,0.942233
56,0.852076,0.939353
57,0.892737,0.961373
58,0.909327,0.963095
59,0.859512,0.941819
60,0.851806,0.939862
61,0.894967,0.961812
62,0.90819,0.963044
63,0.864416,0.942632
64,0.85601,0.940395
65,0.896493,0.962166
66,0.907784,0.962944
67,0.867597,0.943006
68,0.861647,0.941694
69,0.896841,0.962343
70,0.909916,0.963298
71,0.870181,0.943353
72,0.862446,0.942067
73,0.898381,0.962918
74,0.911835,0.963963
75,0.872298,0.944312
76,0.865314,0.942699
77,0.898672,0.962904
78,0.90967,0.963536
79,0.876815,0.945715
80,0.867015,0.943725
81,0.900045,0.963073
82,0.910426,0.963464
83,0.878094,0.945492
84,0.873682,0.945506
85,0.901148,0.963494
86,0.912446,0.963595
87,0.879859,0.946191
88,0.869481,0.944529
89,0.903052,0.963992
90,0.913391,0.964135
91,0.878729,0.945846
92,0.871309,0.944945
93,0.902145,0.9638
94,0.913639,0.964187
95,0.879366,0.946173
96,0.873835,0.945561
97,0.901355,0.963799
98,0.910748,0.963769
99,0.881426,0.946807
100,0.879127,0.947331
101,0.904743,0.964447
102,0.910027,0.963902
103,0.880234,0.946551
104,0.881038,0.947681
105,0.906522,0.964773
106,0.910864,0.964166
107,0.884023,0.947617
108,0.879235,0.947458
109,0.905118,0.96478
110,0.913748,0.964562
111,0.887599,0.948896
112,0.882806,0.948548
113,0.907341,0.965197
114,0.91418,0.96475
115,0.887955,0.948931
116,0.883087,0.948826
117,0.9059,0.965033
118,0.914832,0.964772
119,0.887578,0.948589
120,0.884189,0.949497
121,0.907202,0.965453
122,0.915389,0.965043
123,0.889228,0.949378
124,0.882365,0.949191
125,0.907682,0.965568
126,0.915417,0.964969
127,0.894769,0.950849
128,0.887103,0.950248
129,0.908221,0.965689
130,0.915887,0.965078
131,0.895763,0.950987
132,0.891149,0.951689
133,0.909205,0.965957
134,0.91674,0.965224
135,0.892528,0.950179
136,0.890245,0.951353
137,0.91039,0.966238
138,0.917016,0.96545
139,0.893193,0.95045
140,0.888628,0.950964
141,0.910247,0.966185
142,0.91512,0.965159
143,0.898037,0.952108
144,0.892978,0.952098
145,0.909859,0.9661
146,0.915205,0.965117
147,0.89739,0.95142
148,0.891658,0.951621
149,0.908909,0.965803
