Frame, eSSIM, SSIM
0,0.818303,0.930736
1,0.866232,0.957759
2,0.88671,0.958272
3,0.829735,0.932072
4,0.817925,0.930392
5,0.865816,0.957775
6,0.887116,0.958368
7,0.85823,0.941356
8,0.852006,0.943587
9,0.889349,0.963578
10,0.895963,0.960262
11,0.854366,0.940683
12,0.892355,0.955703
13,0.921404,0.969365
14,0.909021,0.963069
15,0.886562,0.950363
16,0.900185,0.957761
17,0.924171,0.96996
18,0.915065,0.964694
19,0.911693,0.958371
20,0.920025,0.964034
21,0.928703,0.971047
22,0.916895,0.964965
23,0.919153,0.960946
24,0.933203,0.96756
25,0.932425,0.972545
26,0.923155,0.966658
27,0.926079,0.962383
28,0.940213,0.969437
29,0.938073,0.974035
30,0.929638,0.968259
31,0.930252,0.964123
32,0.941695,0.970228
33,0.941061,0.97504
34,0.934486,0.969573
35,0.936243,0.966019
36,0.943066,0.971237
37,0.946009,0.976195
38,0.936588,0.970155
39,0.938894,0.967018
40,0.948802,0.972823
41,0.947669,0.976476
42,0.939101,0.970864
43,0.940531,0.967471
44,0.950346,0.97352
45,0.951658,0.97765
46,0.943181,0.972147
47,0.942761,0.968322
48,0.952668,0.973932
49,0.954073,0.978117
50,0.945642,0.972641
51,0.946399,0.969452
52,0.954029,0.97437
53,0.956526,0.978784
54,0.947717,0.972947
55,0.948641,0.969821
56,0.958304,0.975809
57,0.958065,0.979094
58,0.949804,0.973654
59,0.949036,0.970363
60,0.957573,0.975947
61,0.957939,0.979235
62,0.951182,0.974034
63,0.949381,0.97049
64,0.95821,0.976186
65,0.960061,0.979786
66,0.951683,0.974183
67,0.95149,0.971003
68,0.958207,0.97616
69,0.961252,0.980061
70,0.953232,0.974415
71,0.951236,0.970991
72,0.959263,0.976661
73,0.961727,0.980086
74,0.953925,0.97475
75,0.952538,0.971431
76,0.958896,0.976588
77,0.961368,0.979974
78,0.954382,0.974851
79,0.953166,0.971607
80,0.961427,0.977039
81,0.961169,0.980064
82,0.953668,0.974568
83,0.952973,0.971667
84,0.959463,0.976755
85,0.961993,0.980515
86,0.953772,0.97458
87,0.953715,0.97185
88,0.961234,0.977357
89,0.961939,0.980417
90,0.954584,0.974914
91,0.954974,0.972307
92,0.961428,0.977269
93,0.962159,0.980425
94,0.954475,0.974993
95,0.953749,0.972214
96,0.961975,0.977799
97,0.961665,0.980529
98,0.953424,0.974879
99,0.953823,0.972097
100,0.961181,0.977369
101,0.962974,0.981057
102,0.952517,0.974975
103,0.952144,0.97172
104,0.959728,0.97738
105,0.961847,0.980914
106,0.953836,0.975409
107,0.952743,0.972312
108,0.960846,0.977585
109,0.960779,0.980932
110,0.954643,0.975645
111,0.952292,0.972293
112,0.961099,0.977843
113,0.962811,0.981017
