Frame, eSSIM, SSIM
0,0.98138,0.985585
1,0.980618,0.987191
2,0.975979,0.984032
3,0.973475,0.979906
4,0.978765,0.983808
5,0.97648,0.985492
6,0.972355,0.981518
7,0.963768,0.977738
8,0.977983,0.983535
9,0.979558,0.986287
10,0.973844,0.982324
11,0.968624,0.977493
12,0.968685,0.980188
13,0.974177,0.984636
14,0.969364,0.980551
15,0.961057,0.976684
16,0.978316,0.983523
17,0.978799,0.985999
18,0.972677,0.981739
19,0.971829,0.978323
20,0.977222,0.982454
21,0.974356,0.985109
22,0.974459,0.982575
23,0.969292,0.979133
24,0.984568,0.987305
25,0.983042,0.988358
26,0.978231,0.985187
27,0.971992,0.978894
28,0.970999,0.980941
29,0.977079,0.985593
30,0.970997,0.981615
31,0.965989,0.977416
32,0.97938,0.984274
33,0.980476,0.986937
34,0.974699,0.982935
35,0.973355,0.979569
36,0.979295,0.983956
37,0.974744,0.985549
38,0.971555,0.980971
39,0.96211,0.977192
40,0.977942,0.983375
41,0.979693,0.986198
42,0.973808,0.98189
43,0.968107,0.976881
44,0.968603,0.980016
45,0.975136,0.985062
46,0.972736,0.982482
47,0.969465,0.978798
48,0.984987,0.987622
49,0.983439,0.988505
50,0.978846,0.985456
51,0.975061,0.980614
52,0.980334,0.984544
53,0.979527,0.986129
54,0.973335,0.981897
55,0.970035,0.978099
56,0.97903,0.983845
57,0.981155,0.986814
58,0.975371,0.982899
59,0.969704,0.977623
60,0.969993,0.980317
61,0.976215,0.985065
62,0.970162,0.98095
63,0.965962,0.976741
64,0.978867,0.98383
65,0.979579,0.986343
66,0.973579,0.981975
67,0.972794,0.979004
68,0.979281,0.983944
69,0.978753,0.985737
70,0.974765,0.982636
71,0.970697,0.979293
72,0.984122,0.987184
73,0.982661,0.988249
74,0.97814,0.985119
75,0.97175,0.978658
76,0.969662,0.980618
77,0.975997,0.985467
78,0.972275,0.981693
79,0.968144,0.97768
80,0.979548,0.984207
81,0.980494,0.986794
82,0.97489,0.982817
83,0.973467,0.979474
84,0.979283,0.983971
85,0.978167,0.985342
86,0.969896,0.980686
87,0.964169,0.977212
88,0.97823,0.983373
89,0.979635,0.986072
90,0.973639,0.981657
91,0.968254,0.976671
92,0.969288,0.979903
93,0.974945,0.984833
94,0.972789,0.982201
95,0.969183,0.97866
96,0.984734,0.987563
97,0.983143,0.988417
98,0.978295,0.985255
99,0.974396,0.980194
100,0.979949,0.984462
101,0.97898,0.985996
102,0.972232,0.981537
103,0.969648,0.977976
104,0.979195,0.983867
105,0.980637,0.986721
106,0.9744,0.98251
107,0.969831,0.977775
108,0.970671,0.980689
109,0.975469,0.98502
110,0.970948,0.981057
111,0.965721,0.97716
112,0.979883,0.984241
113,0.980607,0.986535
114,0.974638,0.98222
115,0.97437,0.979621
116,0.980478,0.984088
117,0.978243,0.985747
118,0.974643,0.98271
119,0.971374,0.97925
120,0.98494,0.987623
121,0.983769,0.988639
122,0.978421,0.985429
123,0.971965,0.978747
124,0.970821,0.980915
125,0.978173,0.985826
126,0.971199,0.981621
127,0.966922,0.977343
128,0.979689,0.984396
129,0.980608,0.986973
130,0.974534,0.982866
131,0.972981,0.979575
132,0.979754,0.984176
133,0.97875,0.985583
134,0.972001,0.981087
135,0.966497,0.97733
136,0.978724,0.983679
137,0.97961,0.986258
138,0.973685,0.981919
139,0.96933,0.977139
140,0.970824,0.980378
141,0.974764,0.985041
142,0.973239,0.982506
143,0.967146,0.978675
144,0.984869,0.98754
145,0.983559,0.988564
146,0.97871,0.985313
147,0.974624,0.980183
148,0.978804,0.983544
149,0.978249,0.985929
150,0.972933,0.981787
151,0.967891,0.97812
152,0.979949,0.984259
153,0.980933,0.98691
154,0.975132,0.982877
155,0.971476,0.978376
156,0.973856,0.98145
157,0.976596,0.985161
158,0.971287,0.981165
159,0.966291,0.977318
160,0.979655,0.984048
161,0.980778,0.986445
162,0.974926,0.982341
163,0.973433,0.979148
164,0.979185,0.983532
165,0.975736,0.985714
166,0.97442,0.982619
167,0.971419,0.979496
168,0.984302,0.987276
169,0.982934,0.988352
170,0.977908,0.984996
171,0.971978,0.978744
172,0.969596,0.980935
173,0.975982,0.985472
174,0.971087,0.98153
175,0.962355,0.977282
176,0.97952,0.984218
177,0.979535,0.98679
178,0.974001,0.982615
179,0.973306,0.979359
180,0.979377,0.983798
181,0.977123,0.985378
182,0.972205,0.981123
183,0.968373,0.977623
184,0.979143,0.983757
185,0.979801,0.986289
186,0.974317,0.981993
187,0.969249,0.977214
188,0.970251,0.980492
189,0.975163,0.984926
190,0.97317,0.982434
191,0.968516,0.978915
192,0.985303,0.987842
193,0.98365,0.988571
194,0.979255,0.985422
195,0.975466,0.980649
196,0.980618,0.984689
197,0.979474,0.986131
198,0.973391,0.981706
199,0.966369,0.977917
200,0.979351,0.983885
201,0.980367,0.986655
202,0.975304,0.982635
203,0.970044,0.977443
204,0.969513,0.980257
205,0.974795,0.984835
206,0.970452,0.980623
207,0.966228,0.976789
208,0.978681,0.983684
209,0.979295,0.986228
210,0.973601,0.981809
211,0.973058,0.979114
212,0.979466,0.983895
213,0.977285,0.98546
214,0.973915,0.982486
215,0.971072,0.978934
216,0.983893,0.987055
217,0.982439,0.988128
218,0.977743,0.984857
219,0.971293,0.978451
220,0.968417,0.980592
221,0.975424,0.985264
222,0.96966,0.981111
223,0.960558,0.976543
224,0.978607,0.983966
225,0.979751,0.986609
226,0.973784,0.982324
227,0.972773,0.979202
228,0.978425,0.983412
229,0.977738,0.985216
230,0.969481,0.980705
231,0.963451,0.977039
232,0.978556,0.983669
233,0.979635,0.986211
234,0.973741,0.981831
235,0.968697,0.97705
236,0.97021,0.98032
237,0.973882,0.98482
238,0.97288,0.982333
239,0.965984,0.978624
240,0.984392,0.987447
241,0.983146,0.988377
242,0.978267,0.985139
243,0.97482,0.980312
244,0.979825,0.984286
245,0.974362,0.985894
246,0.972244,0.981545
247,0.962473,0.977672
248,0.978228,0.983524
249,0.979913,0.986476
250,0.974053,0.982348
251,0.969357,0.977531
252,0.968886,0.980255
253,0.97404,0.984777
254,0.968936,0.980566
255,0.962818,0.976622
256,0.97855,0.983633
257,0.978932,0.986078
258,0.972517,0.981656
259,0.972883,0.979016
260,0.979339,0.983845
261,0.976163,0.985446
262,0.97035,0.982074
263,0.954672,0.97842
264,0.983655,0.986866
