Frame, eSSIM, SSIM
0,0.409264,0.613056
1,0.619396,0.847487
2,0.753581,0.888696
3,0.45124,0.655688
4,0.408877,0.612623
5,0.619041,0.847276
6,0.751682,0.888196
7,0.45895,0.666328
8,0.422793,0.630188
9,0.649779,0.865031
10,0.779266,0.89892
11,0.457868,0.665955
12,0.525546,0.70981
13,0.702878,0.886139
14,0.818671,0.912839
15,0.561308,0.738979
16,0.534909,0.716863
17,0.707746,0.887657
18,0.818916,0.91291
19,0.563267,0.741279
20,0.529626,0.712685
21,0.708871,0.887953
22,0.819241,0.912998
23,0.584704,0.754747
24,0.561934,0.738389
25,0.720772,0.893123
26,0.829354,0.916153
27,0.597669,0.764445
28,0.564322,0.738578
29,0.725413,0.8948
30,0.831031,0.917124
31,0.593785,0.760923
32,0.563042,0.738767
33,0.743323,0.902426
34,0.833684,0.918318
35,0.594915,0.765509
36,0.568944,0.746931
37,0.746071,0.904682
38,0.833302,0.918518
39,0.609316,0.77248
40,0.591924,0.763515
41,0.758029,0.906986
42,0.835067,0.919363
43,0.613449,0.776805
44,0.615271,0.778506
45,0.765111,0.909002
46,0.837907,0.919969
47,0.638833,0.791523
48,0.621305,0.784841
49,0.763088,0.908428
50,0.838298,0.920071
51,0.647921,0.798141
52,0.621562,0.781844
53,0.765392,0.908647
54,0.838889,0.920285
55,0.651298,0.800106
56,0.642365,0.799546
57,0.796897,0.916885
58,0.83976,0.920708
59,0.649596,0.802399
60,0.657924,0.804366
61,0.802733,0.91857
62,0.841255,0.921453
63,0.675298,0.81098
64,0.672105,0.813686
65,0.807554,0.918704
66,0.841394,0.921296
67,0.699217,0.823788
68,0.682962,0.815929
69,0.814794,0.920765
70,0.842739,0.921719
71,0.703475,0.824145
72,0.696688,0.827209
73,0.809464,0.920031
74,0.843628,0.922004
75,0.710685,0.830517
76,0.700485,0.826332
77,0.815544,0.921152
78,0.843671,0.922438
79,0.71162,0.828616
80,0.70846,0.833585
81,0.814027,0.920823
82,0.844603,0.922569
83,0.721195,0.836481
84,0.704017,0.829156
85,0.82157,0.92311
86,0.846151,0.923066
87,0.721759,0.834539
88,0.715519,0.838753
89,0.815859,0.922027
90,0.846813,0.923399
91,0.728105,0.840436
92,0.713418,0.83529
93,0.822268,0.923832
94,0.847128,0.923714
95,0.7226,0.835899
96,0.721878,0.841981
97,0.816778,0.922592
98,0.848095,0.923995
99,0.73356,0.845115
100,0.713465,0.836813
101,0.824691,0.924789
102,0.848679,0.924125
103,0.733055,0.841603
104,0.729519,0.847016
105,0.817025,0.923073
106,0.848362,0.92412
107,0.740952,0.84836
108,0.723347,0.842614
109,0.828818,0.926571
110,0.85051,0.924867
111,0.72989,0.84096
112,0.729502,0.848478
113,0.822864,0.924712
114,0.850293,0.924396
115,0.742833,0.849509
116,0.723958,0.842225
117,0.827089,0.92653
118,0.851004,0.92476
119,0.742147,0.846098
120,0.73813,0.852539
121,0.824828,0.925245
122,0.850971,0.924918
123,0.748995,0.852346
124,0.734142,0.847325
125,0.830838,0.926844
126,0.851479,0.925343
127,0.743887,0.847689
128,0.74732,0.856586
129,0.82806,0.925566
130,0.850839,0.924931
131,0.756873,0.856782
132,0.737265,0.849504
133,0.834477,0.927314
134,0.851527,0.925039
135,0.748485,0.850248
136,0.748053,0.857943
137,0.827307,0.925654
138,0.852269,0.925478
139,0.757088,0.85711
140,0.739408,0.851061
141,0.833607,0.927509
142,0.852237,0.925402
143,0.745624,0.849895
144,0.744868,0.857658
145,0.826789,0.925176
146,0.85189,0.924956
147,0.75953,0.858537
148,0.739022,0.850881
149,0.833221,0.926762
150,0.852517,0.925073
151,0.753825,0.853331
152,0.752048,0.860052
153,0.829091,0.925568
154,0.853149,0.925277
155,0.760375,0.858668
156,0.744395,0.853332
157,0.835228,0.927404
158,0.853146,0.925199
159,0.750983,0.851822
160,0.754484,0.860603
161,0.829652,0.92532
162,0.853031,0.925017
163,0.766127,0.861513
164,0.745431,0.854053
165,0.834832,0.92703
166,0.852981,0.92481
167,0.759043,0.855539
168,0.758682,0.863246
169,0.828273,0.92506
170,0.853452,0.925102
171,0.769695,0.862591
172,0.749668,0.855473
173,0.833368,0.926511
174,0.853603,0.925166
175,0.759508,0.855878
176,0.76005,0.863146
177,0.82923,0.925027
178,0.853851,0.925111
179,0.768098,0.862353
180,0.747854,0.855182
181,0.83606,0.927058
182,0.854318,0.924959
183,0.759118,0.855896
184,0.757829,0.863396
185,0.831362,0.925772
186,0.854248,0.925072
187,0.765069,0.860731
188,0.752281,0.857953
189,0.838746,0.927949
190,0.854819,0.925474
191,0.765381,0.859652
192,0.760585,0.862652
193,0.836336,0.927384
194,0.85505,0.925388
195,0.768925,0.86163
196,0.758745,0.861834
197,0.840994,0.928546
198,0.855854,0.925646
199,0.767236,0.860875
200,0.76,0.863047
201,0.837676,0.927601
202,0.855726,0.925471
203,0.768429,0.861027
204,0.759405,0.862027
205,0.839759,0.928093
206,0.855914,0.925394
207,0.764648,0.859357
208,0.759096,0.86236
209,0.838262,0.927576
210,0.85547,0.92506
211,0.768146,0.861439
212,0.758499,0.861651
213,0.840081,0.92769
214,0.854808,0.924423
215,0.76928,0.861211
216,0.759571,0.86342
217,0.837943,0.927431
218,0.855391,0.924561
219,0.766121,0.860132
220,0.75985,0.862855
221,0.839586,0.92805
222,0.855499,0.924931
223,0.765413,0.859163
224,0.758569,0.862761
225,0.837526,0.926804
226,0.854436,0.924268
227,0.765075,0.859906
228,0.756349,0.860245
229,0.837967,0.926698
230,0.854129,0.923695
231,0.767056,0.859658
232,0.758502,0.862546
233,0.837704,0.926893
234,0.855103,0.924193
235,0.765617,0.859144
236,0.758625,0.861505
237,0.838531,0.927411
238,0.854383,0.92359
239,0.763684,0.857466
240,0.758794,0.86126
241,0.838903,0.927279
242,0.854843,0.924079
243,0.764194,0.857887
