Frame, eSSIM, SSIM
0,0.507134,0.698085
1,0.680392,0.881544
2,0.81945,0.914585
3,0.544681,0.730353
4,0.503879,0.695017
5,0.681626,0.88202
6,0.819585,0.914636
7,0.564814,0.749042
8,0.539939,0.73349
9,0.736458,0.905682
10,0.838006,0.921682
11,0.565042,0.750798
12,0.663928,0.809981
13,0.80092,0.921026
14,0.852406,0.926291
15,0.689512,0.820613
16,0.688345,0.825523
17,0.797564,0.91971
18,0.851752,0.925985
19,0.69657,0.826907
20,0.674048,0.814157
21,0.801058,0.920706
22,0.852257,0.92618
23,0.701896,0.830034
24,0.699527,0.835777
25,0.819233,0.925503
26,0.854672,0.92718
27,0.714446,0.839327
28,0.73496,0.849625
29,0.827399,0.927849
30,0.857304,0.928131
31,0.749303,0.85148
32,0.754215,0.862234
33,0.823663,0.926924
34,0.856242,0.927613
35,0.760522,0.860109
36,0.738422,0.851831
37,0.829678,0.928716
38,0.856929,0.927977
39,0.757681,0.857525
40,0.752456,0.865218
41,0.836731,0.932072
42,0.860721,0.929994
43,0.761623,0.862345
44,0.760199,0.865659
45,0.863406,0.939004
46,0.866562,0.931678
47,0.761351,0.860259
48,0.776439,0.878163
49,0.858482,0.936871
50,0.866022,0.931851
51,0.787147,0.875247
52,0.77146,0.871197
53,0.865985,0.939422
54,0.867824,0.932253
55,0.792454,0.874446
56,0.801981,0.890638
57,0.855526,0.937167
58,0.867143,0.932174
59,0.81025,0.886451
60,0.79402,0.881861
61,0.864032,0.939709
62,0.869715,0.932914
63,0.794603,0.87652
64,0.811604,0.894259
65,0.863568,0.938928
66,0.86919,0.933013
67,0.807532,0.886454
68,0.790045,0.882126
69,0.872521,0.942612
70,0.870932,0.93342
71,0.804894,0.882797
72,0.813374,0.901414
73,0.865291,0.940771
74,0.871609,0.934133
75,0.82127,0.894969
76,0.803045,0.88999
77,0.875103,0.943515
78,0.872845,0.934306
79,0.801883,0.882456
80,0.821258,0.902597
81,0.869323,0.941074
82,0.873783,0.934751
83,0.816016,0.893216
84,0.799817,0.889529
85,0.880089,0.94532
86,0.876175,0.935403
87,0.811598,0.886761
88,0.822423,0.90625
89,0.871122,0.942374
90,0.876462,0.935844
91,0.829496,0.89959
92,0.821248,0.898928
93,0.878189,0.945299
94,0.877799,0.936226
95,0.818493,0.891311
96,0.846257,0.914447
97,0.874137,0.9427
98,0.876384,0.935878
99,0.839219,0.904385
100,0.818968,0.898837
101,0.885489,0.946295
102,0.877517,0.936113
103,0.826597,0.894255
104,0.842639,0.91488
105,0.874355,0.942987
106,0.876571,0.936057
107,0.84724,0.90716
108,0.828535,0.902475
109,0.885721,0.946434
110,0.878532,0.936847
111,0.822633,0.894212
112,0.853055,0.917949
113,0.876507,0.943584
114,0.877081,0.936371
115,0.842368,0.906791
116,0.823644,0.901616
117,0.888043,0.947714
118,0.878447,0.9367
119,0.831401,0.897231
120,0.846513,0.918058
121,0.875469,0.943858
122,0.878234,0.936972
123,0.854544,0.911578
124,0.833466,0.905183
125,0.887299,0.947118
126,0.879118,0.937221
127,0.827996,0.896985
128,0.858007,0.920586
129,0.877414,0.943685
130,0.878289,0.936857
131,0.847504,0.909536
132,0.827169,0.902956
133,0.888142,0.947646
134,0.879014,0.936939
135,0.831962,0.897736
136,0.854046,0.919901
137,0.8796,0.944238
138,0.879019,0.936918
139,0.854285,0.911233
140,0.835141,0.906078
141,0.891452,0.948156
142,0.880747,0.93733
143,0.828207,0.897116
144,0.857316,0.92138
145,0.881087,0.944489
146,0.879634,0.936859
147,0.851505,0.910716
148,0.830464,0.904758
149,0.890713,0.947784
150,0.880328,0.936973
151,0.835976,0.899303
152,0.857991,0.921632
153,0.880663,0.944249
154,0.879212,0.93677
155,0.854654,0.911437
156,0.834862,0.905912
157,0.891641,0.947974
158,0.879872,0.936786
159,0.831334,0.897673
160,0.861545,0.922483
161,0.881743,0.94417
162,0.879321,0.936689
163,0.849295,0.910421
164,0.829959,0.905187
165,0.892431,0.948228
166,0.879602,0.936665
167,0.833368,0.898128
168,0.855879,0.92137
169,0.877897,0.944084
170,0.880044,0.936884
171,0.854162,0.911328
172,0.834011,0.905595
173,0.891369,0.947699
174,0.880565,0.937235
175,0.834058,0.899122
176,0.861548,0.921718
177,0.88116,0.943942
178,0.880215,0.937118
179,0.853804,0.912051
180,0.833669,0.905958
181,0.891233,0.94806
182,0.880825,0.936961
183,0.837519,0.900784
184,0.859131,0.922048
185,0.882137,0.944391
186,0.879798,0.936952
187,0.850403,0.909686
188,0.840532,0.909533
189,0.893201,0.948422
190,0.881014,0.937376
191,0.840715,0.904867
192,0.850734,0.91713
193,0.882126,0.944644
194,0.880521,0.937209
195,0.848585,0.908472
196,0.847674,0.915137
197,0.888825,0.946392
198,0.881799,0.937647
199,0.849275,0.907696
200,0.851623,0.916914
201,0.885932,0.945747
202,0.880442,0.937107
203,0.84922,0.907824
204,0.851471,0.915824
205,0.888867,0.946183
206,0.880984,0.937123
207,0.845694,0.906796
208,0.855009,0.917227
209,0.885245,0.945599
210,0.880008,0.936647
211,0.846842,0.907758
212,0.846943,0.91433
213,0.889188,0.946349
214,0.879554,0.936122
215,0.847343,0.906276
216,0.850204,0.91708
217,0.883901,0.945081
218,0.880016,0.936352
219,0.849373,0.907516
220,0.850352,0.915417
221,0.888776,0.946252
222,0.880465,0.936534
223,0.846563,0.906491
224,0.85339,0.917856
225,0.885089,0.944932
226,0.879424,0.935886
227,0.846187,0.907409
228,0.847202,0.914617
229,0.886313,0.945232
230,0.878715,0.935304
231,0.847051,0.906161
232,0.852041,0.916977
233,0.883425,0.94475
234,0.878561,0.935463
235,0.8484,0.907219
236,0.851147,0.915307
237,0.885586,0.944932
238,0.877949,0.93491
239,0.846798,0.905621
240,0.855493,0.917622
241,0.884843,0.944459
242,0.877889,0.93514
243,0.848537,0.906911
244,0.849472,0.914335
245,0.886789,0.945021
246,0.877164,0.934169
247,0.844994,0.904373
248,0.850358,0.915516
249,0.881789,0.943418
250,0.876314,0.933695
251,0.847974,0.906652
252,0.849511,0.91435
253,0.886151,0.944729
254,0.877049,0.933997
255,0.844534,0.904276
256,0.854821,0.917962
257,0.883749,0.943698
258,0.876266,0.933809
259,0.847009,0.906938
260,0.847114,0.91394
261,0.884577,0.943939
262,0.876033,0.933611
263,0.845231,0.904753
264,0.853126,0.917909
265,0.883354,0.943915
266,0.876225,0.93386
267,0.848137,0.906893
268,0.850145,0.915322
269,0.884712,0.944042
270,0.876443,0.933744
271,0.845759,0.906174
272,0.854284,0.917702
273,0.883242,0.943795
274,0.875682,0.933389
275,0.846039,0.905977
276,0.847474,0.914082
277,0.885082,0.94419
278,0.875104,0.933204
279,0.844451,0.904777
280,0.851279,0.916651
281,0.883208,0.943536
282,0.875978,0.933326
283,0.848597,0.907147
284,0.848995,0.914251
285,0.8836,0.943354
286,0.875377,0.932805
287,0.841079,0.902313
288,0.849419,0.914901
289,0.88205,0.942187
290,0.874445,0.932066
291,0.845962,0.905662
292,0.844739,0.911875
293,0.882942,0.942399
294,0.873979,0.931985
295,0.842316,0.90271
296,0.847147,0.914031
297,0.880008,0.941031
