Frame, eSSIM, SSIM
0,0.655664,0.799208
1,0.700799,0.874965
2,0.916796,0.975223
3,0.760158,0.903419
4,0.658041,0.80273
5,0.692069,0.870298
6,0.915002,0.974397
7,0.754295,0.897624
8,0.644329,0.794099
9,0.692704,0.871034
10,0.914479,0.974084
11,0.744939,0.893899
12,0.643269,0.788725
13,0.689891,0.86893
14,0.912616,0.973032
15,0.751221,0.897761
16,0.641266,0.787033
17,0.691678,0.869061
18,0.913455,0.973219
19,0.748406,0.896002
20,0.659239,0.799695
21,0.695009,0.870059
22,0.912889,0.972526
23,0.763966,0.896672
24,0.657468,0.798268
25,0.712888,0.87822
26,0.915445,0.973174
27,0.769235,0.896506
28,0.671048,0.800482
29,0.709491,0.875759
30,0.912727,0.972065
31,0.782774,0.904828
32,0.677277,0.804788
33,0.717282,0.879128
34,0.916539,0.97272
35,0.780047,0.904597
36,0.690548,0.816789
37,0.727169,0.882664
38,0.916704,0.972444
39,0.777757,0.900539
40,0.689214,0.8142
41,0.736453,0.887154
42,0.919466,0.973115
43,0.78374,0.902052
44,0.69456,0.81374
45,0.7369,0.887262
46,0.919439,0.973001
47,0.787613,0.907423
48,0.703172,0.816198
49,0.749555,0.890603
50,0.918214,0.972631
51,0.790296,0.907209
52,0.717879,0.829908
53,0.753571,0.892149
54,0.920851,0.973049
55,0.792031,0.904342
56,0.719217,0.829902
57,0.767676,0.898257
58,0.922813,0.973608
59,0.793572,0.904856
60,0.721739,0.827263
61,0.767082,0.898208
62,0.92266,0.973337
63,0.80081,0.910244
64,0.727533,0.830518
65,0.771257,0.899082
66,0.922137,0.973263
67,0.801317,0.910463
68,0.737105,0.840491
69,0.770693,0.898599
70,0.920552,0.97281
71,0.797868,0.905442
72,0.736607,0.838935
73,0.780885,0.90323
74,0.923496,0.973483
75,0.800223,0.907066
76,0.736418,0.834917
77,0.780609,0.902908
78,0.923014,0.973207
79,0.807212,0.912201
80,0.738894,0.836334
81,0.782333,0.90299
82,0.922606,0.97309
83,0.807128,0.911805
84,0.748641,0.845083
85,0.787195,0.90486
86,0.923481,0.973197
87,0.803091,0.907611
88,0.74744,0.845193
89,0.793635,0.908674
90,0.925355,0.97388
91,0.799448,0.90608
92,0.743983,0.838935
93,0.787949,0.9062
94,0.924703,0.973408
95,0.813367,0.914635
96,0.745528,0.840656
97,0.789838,0.906251
98,0.924516,0.973358
99,0.81304,0.915085
100,0.756487,0.851022
101,0.791147,0.907162
102,0.92463,0.973144
103,0.806694,0.909181
104,0.753667,0.848708
105,0.80294,0.911846
106,0.926248,0.973751
107,0.80966,0.909795
108,0.754823,0.844913
109,0.800488,0.911197
110,0.926337,0.97365
111,0.81755,0.915959
112,0.750793,0.84202
113,0.799594,0.909809
114,0.924632,0.973373
115,0.817352,0.915524
116,0.763964,0.854303
117,0.798998,0.909684
118,0.925497,0.973315
119,0.812367,0.910967
120,0.762532,0.852781
121,0.805593,0.913004
122,0.928051,0.974045
123,0.814716,0.911854
124,0.760427,0.848571
125,0.804189,0.91256
126,0.928543,0.973913
127,0.822903,0.917154
128,0.762895,0.849662
129,0.80543,0.912195
130,0.928154,0.973871
131,0.822212,0.91786
132,0.770898,0.858903
133,0.799858,0.910227
134,0.927176,0.973805
135,0.815643,0.911282
136,0.765862,0.854674
137,0.809366,0.91484
138,0.929163,0.97441
139,0.816683,0.912523
140,0.764055,0.850458
141,0.807504,0.913969
142,0.929615,0.974416
143,0.826233,0.919251
144,0.764417,0.850811
145,0.806765,0.912991
146,0.929166,0.974161
147,0.824618,0.917833
148,0.773433,0.85863
149,0.806418,0.912776
150,0.930442,0.974312
151,0.820006,0.913311
152,0.771432,0.858705
153,0.812645,0.916739
154,0.930627,0.974905
155,0.816513,0.911011
156,0.765342,0.850227
157,0.805735,0.913037
158,0.92888,0.974267
159,0.823717,0.915745
160,0.771272,0.853004
161,0.813021,0.915108
162,0.925223,0.973563
163,0.825478,0.915953
164,0.777863,0.858662
