Frame, eSSIM, SSIM
0,0.918439,0.947508
1,0.928351,0.967284
2,0.964462,0.986436
3,0.937726,0.96788
4,0.920926,0.950957
5,0.926321,0.966118
6,0.964633,0.986056
7,0.929321,0.963132
8,0.920433,0.950042
9,0.932274,0.968448
10,0.963277,0.985575
11,0.928681,0.962221
12,0.91749,0.947063
13,0.930569,0.967317
14,0.963548,0.985267
15,0.939112,0.967356
16,0.917557,0.947067
17,0.929492,0.966771
18,0.963966,0.985255
19,0.938844,0.967057
20,0.924114,0.952114
21,0.932706,0.967326
22,0.968409,0.986119
23,0.934287,0.964054
24,0.923026,0.94955
25,0.931889,0.967569
26,0.967782,0.986007
27,0.916965,0.955662
28,0.910764,0.940358
29,0.931252,0.966659
30,0.966362,0.985262
31,0.935525,0.964391
32,0.915082,0.943374
33,0.928977,0.965765
34,0.965697,0.984928
35,0.936576,0.965393
36,0.924767,0.950835
37,0.930096,0.966003
38,0.966452,0.984954
39,0.932632,0.962168
40,0.924318,0.950131
41,0.936449,0.968812
42,0.966963,0.985101
43,0.93111,0.961596
44,0.922188,0.947836
45,0.938573,0.96958
46,0.969263,0.985943
47,0.938322,0.96608
48,0.914494,0.942066
49,0.921915,0.962851
50,0.96486,0.984649
51,0.934711,0.964041
52,0.916428,0.945416
53,0.929524,0.96563
54,0.966199,0.98493
55,0.927555,0.959783
56,0.924138,0.949704
57,0.934828,0.96808
58,0.966064,0.984855
59,0.928062,0.960111
60,0.919353,0.945755
61,0.933246,0.967318
62,0.966422,0.984883
63,0.938265,0.96534
64,0.919658,0.945705
65,0.932056,0.966403
66,0.966447,0.984713
67,0.93704,0.965227
68,0.926609,0.952112
69,0.92725,0.964302
70,0.966265,0.984677
71,0.925199,0.95857
72,0.920765,0.947124
73,0.92942,0.965746
74,0.966192,0.984674
75,0.924162,0.958226
76,0.914209,0.942396
77,0.933686,0.967038
78,0.966611,0.984698
79,0.936468,0.964407
80,0.91883,0.944996
81,0.930904,0.965944
82,0.965832,0.98439
83,0.937939,0.964991
84,0.925666,0.950812
85,0.930904,0.965988
86,0.966358,0.984536
87,0.932644,0.961653
88,0.926637,0.951794
89,0.935996,0.96854
90,0.965312,0.984601
91,0.919476,0.955279
92,0.915002,0.942381
93,0.930628,0.965707
94,0.966447,0.984681
95,0.938086,0.965209
96,0.912619,0.940849
97,0.921837,0.962367
98,0.964654,0.984089
99,0.935612,0.96408
100,0.918217,0.946631
101,0.927479,0.964277
102,0.965137,0.984005
103,0.928969,0.95989
104,0.922817,0.948867
105,0.933945,0.967192
106,0.964973,0.984098
107,0.929256,0.959954
108,0.919368,0.945572
109,0.931247,0.966012
110,0.964856,0.984084
111,0.937333,0.964728
112,0.909904,0.93878
113,0.925254,0.963303
114,0.963035,0.983511
115,0.935848,0.963573
116,0.920926,0.947689
117,0.929911,0.96481
118,0.966778,0.984484
119,0.930242,0.960289
120,0.921653,0.947465
121,0.931277,0.966117
122,0.966472,0.9845
123,0.92757,0.959481
124,0.916266,0.94361
125,0.933428,0.966875
126,0.96669,0.984611
127,0.937363,0.964865
128,0.920688,0.945699
129,0.932625,0.966027
130,0.965408,0.984136
131,0.939331,0.965805
132,0.928115,0.952369
133,0.924001,0.962924
134,0.964199,0.983777
135,0.924392,0.95739
136,0.920214,0.946926
137,0.932215,0.966374
138,0.965012,0.984025
139,0.927301,0.958994
140,0.917176,0.944282
141,0.933079,0.966711
142,0.967781,0.984784
143,0.939825,0.966286
144,0.914862,0.942323
145,0.924532,0.963335
146,0.965809,0.984139
147,0.935194,0.963799
148,0.919324,0.946771
149,0.928666,0.964542
150,0.967047,0.9844
151,0.930422,0.960557
152,0.925033,0.950364
153,0.934662,0.967531
154,0.965988,0.984367
155,0.918088,0.95455
156,0.91342,0.940882
157,0.924882,0.963029
158,0.965387,0.98379
159,0.931182,0.96064
160,0.914523,0.94059
161,0.929171,0.963785
162,0.959248,0.982437
163,0.931379,0.960535
164,0.921877,0.946136
165,0.930884,0.964965
166,0.967228,0.985254
167,0.932043,0.961147
168,0.921973,0.946948
169,0.931935,0.966364
170,0.967242,0.985426
171,0.928103,0.959995
172,0.917496,0.943609
173,0.931886,0.966966
174,0.967496,0.985513
175,0.93658,0.965652
176,0.910444,0.939433
177,0.926354,0.964157
178,0.965325,0.98477
179,0.937309,0.965037
180,0.924134,0.949728
181,0.92643,0.964304
182,0.966073,0.984664
183,0.93028,0.96081
184,0.925516,0.950926
185,0.933689,0.967545
186,0.966235,0.985038
187,0.930031,0.960781
188,0.92002,0.946476
189,0.936498,0.96832
190,0.969564,0.985952
191,0.941944,0.967747
192,0.917768,0.944319
193,0.92605,0.964281
194,0.967553,0.985275
195,0.938526,0.966064
196,0.925213,0.951218
197,0.921478,0.96255
198,0.965538,0.984639
199,0.925608,0.958735
200,0.921487,0.948627
201,0.932556,0.967082
202,0.96653,0.984986
203,0.92791,0.959916
204,0.918897,0.945492
205,0.931439,0.966344
206,0.966734,0.98473
207,0.940132,0.966339
208,0.917718,0.945287
209,0.928471,0.965172
210,0.966849,0.984714
211,0.94212,0.967229
212,0.926707,0.952532
213,0.928853,0.965648
214,0.969376,0.985536
215,0.932734,0.962533
216,0.923551,0.949838
217,0.931342,0.966805
218,0.968174,0.985559
219,0.919663,0.956497
220,0.911773,0.941044
221,0.930149,0.966013
222,0.967395,0.985107
223,0.939094,0.96605
224,0.915873,0.943777
225,0.9284,0.965277
226,0.966502,0.984648
227,0.94057,0.966353
228,0.926409,0.951889
229,0.925905,0.964394
230,0.966856,0.984552
231,0.932412,0.961958
232,0.926048,0.952218
233,0.934804,0.968288
234,0.967228,0.984959
235,0.932623,0.961906
236,0.921195,0.947889
237,0.935465,0.96867
238,0.969728,0.985819
239,0.940265,0.966919
240,0.914517,0.942341
241,0.919316,0.962077
242,0.965981,0.98455
243,0.936895,0.96467
244,0.91871,0.946796
245,0.926841,0.964655
246,0.966897,0.984635
247,0.92826,0.959942
248,0.92514,0.950728
249,0.934981,0.968023
250,0.966916,0.984914
251,0.928339,0.960228
252,0.920958,0.946828
253,0.930349,0.966392
254,0.967063,0.984878
255,0.941425,0.966857
256,0.919295,0.946082
257,0.929524,0.965634
258,0.966551,0.984684
259,0.939712,0.966303
260,0.927705,0.953001
261,0.924447,0.96356
262,0.96726,0.984805
263,0.924832,0.958366
264,0.922683,0.948619
265,0.92932,0.966034
266,0.968012,0.985157
267,0.926683,0.959108
268,0.915022,0.943366
269,0.932016,0.966855
270,0.968113,0.985088
271,0.940942,0.966769
272,0.918927,0.94523
273,0.93085,0.966006
274,0.966707,0.984569
275,0.941471,0.966721
276,0.927631,0.952561
277,0.926874,0.964502
278,0.966812,0.984513
279,0.93361,0.962187
280,0.926348,0.952158
281,0.933367,0.967714
282,0.965877,0.984717
283,0.919975,0.955402
284,0.914102,0.942017
285,0.930903,0.965911
286,0.967851,0.985068
287,0.939827,0.965782
288,0.914779,0.942736
289,0.921307,0.962491
290,0.965859,0.984437
291,0.937647,0.965084
292,0.921646,0.949171
293,0.924855,0.963932
294,0.966819,0.984638
295,0.930249,0.960782
296,0.923942,0.950635
297,0.932674,0.967516
298,0.966728,0.98489
299,0.93094,0.961143
300,0.920815,0.947401
301,0.927844,0.965943
302,0.966329,0.984693
303,0.938026,0.96566
304,0.909151,0.939296
305,0.923647,0.963239
306,0.963599,0.983676
307,0.938349,0.964583
308,0.922664,0.949376
309,0.925789,0.964011
310,0.967454,0.984748
311,0.930482,0.960592
312,0.922011,0.949097
313,0.929359,0.966091
314,0.966976,0.984814
315,0.928393,0.959868
316,0.916514,0.944675
317,0.925744,0.964231
318,0.96717,0.984674
319,0.934995,0.962985
320,0.92105,0.946994
321,0.93153,0.967025
322,0.966735,0.98576
323,0.938286,0.965191
324,0.924807,0.950545
325,0.918304,0.961987
326,0.964524,0.984893
327,0.92626,0.95855
328,0.919323,0.947351
329,0.929795,0.966685
330,0.966602,0.985321
331,0.930432,0.960498
332,0.916787,0.945075
333,0.933976,0.967964
334,0.970705,0.98672
335,0.942787,0.968032
336,0.91943,0.945896
337,0.925812,0.965363
338,0.968497,0.986188
339,0.942705,0.967649
340,0.924269,0.950982
341,0.925373,0.965225
342,0.969105,0.986303
343,0.934707,0.963226
344,0.926722,0.952989
345,0.932778,0.968482
346,0.96852,0.986312
347,0.924214,0.958053
348,0.915621,0.943673
349,0.927694,0.965872
350,0.968087,0.985839
351,0.942358,0.967462
352,0.916095,0.944904
353,0.92568,0.964937
354,0.96513,0.985123
355,0.942692,0.967472
356,0.926303,0.953052
357,0.927498,0.965569
358,0.968839,0.986082
359,0.935992,0.963713
360,0.922608,0.95009
361,0.927546,0.966406
362,0.967935,0.98595
363,0.932847,0.962291
364,0.919468,0.946881
365,0.927444,0.966472
366,0.96806,0.985914
367,0.940556,0.967148
368,0.910633,0.940955
369,0.922514,0.963659
370,0.965813,0.985114
371,0.942491,0.967238
372,0.924165,0.951412
373,0.921707,0.963588
374,0.96554,0.984935
375,0.933978,0.962241
376,0.92387,0.951853
377,0.930138,0.967201
378,0.965223,0.985105
379,0.935641,0.963069
380,0.918843,0.947585
381,0.932635,0.968076
382,0.969233,0.986225
383,0.94693,0.969799
384,0.917202,0.945432
385,0.923255,0.96409
386,0.967817,0.985642
387,0.943965,0.968099
388,0.924353,0.951952
389,0.918234,0.962191
390,0.965668,0.98503
391,0.928084,0.959427
392,0.921176,0.949528
393,0.929775,0.966624
394,0.966422,0.985215
395,0.932761,0.961445
396,0.917358,0.945773
397,0.925968,0.965486
398,0.966911,0.985081
399,0.944182,0.968321
400,0.916729,0.946182
401,0.922927,0.964119
402,0.965096,0.984758
403,0.946064,0.968839
404,0.924804,0.95339
405,0.925156,0.964924
406,0.968461,0.985788
407,0.936953,0.964396
408,0.922072,0.95022
409,0.924679,0.965263
410,0.967305,0.985658
411,0.921676,0.956254
412,0.911819,0.941444
413,0.925523,0.96476
414,0.96636,0.985034
415,0.940989,0.966284
416,0.914909,0.943946
417,0.922971,0.963751
418,0.965439,0.98473
419,0.944323,0.96801
420,0.923952,0.95229
421,0.918835,0.962614
422,0.965372,0.984764
423,0.936265,0.963283
424,0.922908,0.952167
425,0.92853,0.966556
426,0.965914,0.985062
427,0.936631,0.963511
428,0.91759,0.947312
429,0.924318,0.966142
430,0.970218,0.986318
431,0.942786,0.968165
432,0.915298,0.944005
433,0.91664,0.961946
434,0.965823,0.985212
435,0.942571,0.966999
436,0.921365,0.949432
437,0.921772,0.963574
438,0.966673,0.985232
439,0.933768,0.962173
440,0.924281,0.951967
441,0.931206,0.967538
442,0.966666,0.985475
443,0.935354,0.963001
444,0.919847,0.947654
445,0.925258,0.965538
446,0.966556,0.985501
447,0.944976,0.968881
448,0.918126,0.946881
449,0.924233,0.964793
450,0.96474,0.985144
451,0.945944,0.969177
452,0.925312,0.954044
453,0.918878,0.962716
454,0.965824,0.985264
455,0.930704,0.961082
456,0.921603,0.950467
457,0.925158,0.965587
458,0.967208,0.985644
459,0.932492,0.961843
460,0.917783,0.94625
461,0.925939,0.965862
462,0.966595,0.985327
463,0.944401,0.96861
464,0.917952,0.946708
465,0.924061,0.964653
466,0.965698,0.985016
467,0.945377,0.968984
468,0.924922,0.953408
469,0.919574,0.963245
470,0.96582,0.984899
471,0.935989,0.963756
472,0.923275,0.952938
473,0.92631,0.966452
474,0.965061,0.985042
475,0.925888,0.958265
476,0.913693,0.944126
477,0.921188,0.963702
478,0.966422,0.985008
479,0.937016,0.963826
480,0.915535,0.943673
481,0.920601,0.962746
482,0.963407,0.984468
483,0.937821,0.964217
484,0.918306,0.946829
485,0.919994,0.962934
486,0.964494,0.985069
487,0.935703,0.962817
488,0.922253,0.950915
489,0.926902,0.966251
490,0.964959,0.985461
491,0.935638,0.963165
492,0.918605,0.947175
493,0.918918,0.964019
494,0.964541,0.98535
495,0.939896,0.967413
496,0.908967,0.940724
497,0.917715,0.962492
498,0.962629,0.984681
499,0.942348,0.967336
500,0.920386,0.950628
501,0.919453,0.963212
502,0.965442,0.985574
503,0.93389,0.962599
504,0.919501,0.949583
505,0.924194,0.965499
506,0.966919,0.985818
507,0.933059,0.962192
508,0.915075,0.945557
509,0.922613,0.965147
510,0.967029,0.985915
511,0.943292,0.968676
512,0.916723,0.946478
513,0.923275,0.96483
514,0.966462,0.985532
515,0.942814,0.96839
516,0.924252,0.953362
517,0.913594,0.961443
518,0.963072,0.984495
519,0.926949,0.959488
520,0.919289,0.950235
521,0.926143,0.966107
