Frame, eSSIM, SSIM
0,0.658402,0.769108
1,0.718563,0.860335
2,0.837273,0.931394
3,0.713375,0.840775
4,0.635856,0.753436
5,0.74956,0.875919
6,0.865649,0.943784
7,0.759293,0.864443
8,0.771354,0.847279
9,0.811611,0.905674
10,0.87742,0.945549
11,0.777025,0.873338
12,0.730195,0.818939
13,0.805753,0.904642
14,0.877855,0.946021
15,0.800962,0.887117
16,0.76939,0.850053
17,0.805355,0.903764
18,0.879214,0.946923
19,0.813243,0.896424
20,0.77074,0.854272
21,0.800462,0.90177
22,0.86692,0.942592
23,0.795833,0.888006
24,0.770104,0.852988
25,0.811488,0.906787
26,0.872897,0.943757
27,0.814355,0.893006
28,0.784433,0.858851
29,0.823544,0.912474
30,0.877312,0.945806
31,0.821657,0.899141
32,0.782566,0.86256
33,0.81515,0.908272
34,0.876408,0.945799
35,0.824962,0.902856
36,0.793521,0.868931
37,0.824629,0.911861
38,0.876476,0.944202
39,0.818845,0.896042
40,0.797529,0.86905
41,0.830126,0.913953
42,0.876009,0.942923
43,0.807968,0.888266
44,0.782782,0.859139
45,0.832133,0.915341
46,0.874719,0.942552
47,0.821599,0.897426
48,0.787137,0.864177
49,0.82641,0.912496
50,0.870259,0.940671
51,0.810183,0.889527
52,0.782379,0.859235
53,0.818092,0.908895
54,0.871507,0.939416
55,0.797871,0.880848
56,0.786861,0.863153
57,0.825153,0.912358
58,0.87101,0.939432
59,0.809396,0.890987
60,0.777888,0.857943
61,0.819529,0.908467
62,0.869729,0.939265
63,0.820378,0.897448
64,0.768411,0.852265
65,0.808169,0.902282
66,0.859746,0.933942
67,0.808965,0.890126
68,0.777431,0.858046
69,0.820403,0.90643
70,0.86864,0.937663
71,0.810466,0.88949
72,0.791412,0.866652
73,0.821136,0.908418
74,0.872102,0.940028
75,0.822194,0.898436
76,0.782046,0.860413
77,0.812971,0.904311
78,0.872676,0.940161
79,0.819842,0.895833
80,0.779394,0.854845
81,0.812651,0.903294
82,0.871982,0.939608
83,0.82065,0.892782
84,0.782332,0.857186
85,0.813084,0.904138
86,0.857075,0.933097
87,0.797004,0.877601
88,0.784917,0.861856
89,0.815078,0.905411
90,0.862993,0.934618
91,0.802248,0.881877
92,0.76716,0.846436
93,0.809566,0.901944
94,0.864285,0.934014
95,0.80412,0.88013
96,0.766717,0.842229
97,0.80618,0.899287
98,0.861755,0.932224
99,0.805035,0.878828
100,0.773028,0.846979
101,0.804259,0.899092
102,0.864093,0.934
103,0.80251,0.877647
104,0.774054,0.848342
105,0.806437,0.899943
106,0.862749,0.933093
107,0.79817,0.872396
108,0.771869,0.845042
109,0.80732,0.900963
110,0.856429,0.929394
111,0.800595,0.872485
112,0.765508,0.840205
113,0.804208,0.898986
114,0.856595,0.929584
115,0.808893,0.879447
116,0.777238,0.849476
117,0.806995,0.900514
118,0.862284,0.932881
119,0.800937,0.876125
120,0.777352,0.85217
121,0.807087,0.901126
122,0.864848,0.933467
123,0.804086,0.876587
124,0.764091,0.839801
125,0.798975,0.899011
126,0.86112,0.931499
127,0.803175,0.876019
128,0.752843,0.834024
129,0.797032,0.895588
130,0.846371,0.92492
131,0.794563,0.871996
132,0.760319,0.84009
133,0.804727,0.898524
134,0.849776,0.927773
135,0.797121,0.875211
136,0.764876,0.842569
137,0.802196,0.897384
138,0.849459,0.92771
139,0.792254,0.869545
140,0.760226,0.836289
141,0.793141,0.893757
142,0.852453,0.927497
143,0.78646,0.866022
144,0.770493,0.845406
145,0.828893,0.910563
146,0.858936,0.931129
147,0.80557,0.878969
148,0.797142,0.865278
149,0.813947,0.903808
150,0.850809,0.927849
151,0.790155,0.870418
152,0.774829,0.850502
153,0.819139,0.906046
154,0.855483,0.929939
155,0.791962,0.870394
156,0.779008,0.852737
157,0.822094,0.908539
158,0.857487,0.928326
159,0.781929,0.864789
160,0.800137,0.866346
161,0.838907,0.914464
162,0.866022,0.93319
163,0.801823,0.880465
164,0.77407,0.850079
165,0.830038,0.91251
166,0.881717,0.94449
167,0.814096,0.889497
168,0.776114,0.854249
169,0.817268,0.908426
170,0.876149,0.941553
171,0.794954,0.876998
172,0.774318,0.850677
173,0.827372,0.912492
174,0.8649,0.935027
175,0.800025,0.877891
176,0.765983,0.843565
177,0.817962,0.907256
178,0.866429,0.934657
179,0.795534,0.87412
180,0.768705,0.846325
181,0.816437,0.907942
182,0.865256,0.935494
183,0.796148,0.874986
184,0.766397,0.846349
185,0.811024,0.905997
186,0.86536,0.936676
187,0.810285,0.8849
188,0.775617,0.851566
189,0.810957,0.905095
190,0.863388,0.936271
191,0.807343,0.883668
192,0.762931,0.844697
193,0.806584,0.902412
194,0.851521,0.928684
195,0.784049,0.869128
196,0.752184,0.837078
197,0.806555,0.900347
198,0.853207,0.930515
199,0.779764,0.867154
200,0.775097,0.85391
201,0.818962,0.908464
202,0.857841,0.934693
203,0.793674,0.88112
204,0.763104,0.846867
205,0.805121,0.902822
206,0.861467,0.938565
207,0.801783,0.885818
208,0.768693,0.847726
209,0.799967,0.899699
210,0.864512,0.938673
211,0.807444,0.884186
212,0.761271,0.84229
213,0.814765,0.907622
214,0.85401,0.93211
215,0.79595,0.875967
216,0.769683,0.847529
217,0.811308,0.904934
218,0.857584,0.935155
219,0.799659,0.879499
220,0.771625,0.847087
221,0.807759,0.90405
222,0.859145,0.938419
223,0.808425,0.888353
224,0.770626,0.848327
225,0.804548,0.902855
226,0.860264,0.938659
227,0.804979,0.881699
228,0.762582,0.840645
229,0.801033,0.899872
230,0.862883,0.937158
231,0.79683,0.875436
232,0.75176,0.831531
233,0.788268,0.89345
234,0.862374,0.936952
235,0.782378,0.866105
236,0.751017,0.831197
237,0.805182,0.901913
238,0.854923,0.935731
239,0.797144,0.877553
240,0.760407,0.839873
241,0.798349,0.899047
242,0.854321,0.937122
243,0.801043,0.882086
244,0.76421,0.842906
245,0.8051,0.901974
246,0.859658,0.9379
247,0.7942,0.875679
248,0.766478,0.842424
249,0.80741,0.903023
250,0.862278,0.937674
251,0.78767,0.870837
252,0.753185,0.831682
253,0.805766,0.902237
254,0.862233,0.937514
255,0.793858,0.875496
256,0.751096,0.834402
257,0.813857,0.906454
258,0.854519,0.934958
259,0.786105,0.874775
260,0.762238,0.843444
261,0.819107,0.909737
262,0.861689,0.939794
263,0.791417,0.877057
264,0.767053,0.846446
265,0.813502,0.906879
266,0.8657,0.939495
267,0.785914,0.872833
268,0.756869,0.836486
269,0.809692,0.904369
270,0.869508,0.938524
271,0.801209,0.88111
272,0.748631,0.832196
273,0.795834,0.897304
274,0.868099,0.938661
275,0.80676,0.885759
276,0.775994,0.85297
277,0.812063,0.905328
278,0.85998,0.936573
279,0.793726,0.878075
280,0.772643,0.852612
281,0.812765,0.907331
282,0.864027,0.938855
283,0.798551,0.883863
284,0.762279,0.845473
285,0.799959,0.899734
286,0.865343,0.938427
287,0.802374,0.884807
288,0.748711,0.833736
289,0.790852,0.893794
290,0.865888,0.936849
291,0.805203,0.884949
292,0.763554,0.844661
293,0.784651,0.890145
294,0.86602,0.93695
295,0.790424,0.876525
296,0.746732,0.836208
297,0.785366,0.89279
298,0.864958,0.93761
299,0.803293,0.88529
300,0.767055,0.85055
301,0.798708,0.899659
302,0.865482,0.938621
303,0.810183,0.889972
304,0.750873,0.835817
305,0.789019,0.894439
306,0.862033,0.935898
307,0.797041,0.877853
308,0.750581,0.835437
309,0.791757,0.895258
310,0.865166,0.937067
311,0.799299,0.876522
312,0.760575,0.841452
313,0.793344,0.898068
314,0.868985,0.938904
315,0.802837,0.88165
316,0.753333,0.835875
317,0.789062,0.896434
318,0.866772,0.941411
319,0.807023,0.884918
320,0.747578,0.832759
321,0.787273,0.896038
322,0.855099,0.937548
323,0.818904,0.894965
324,0.762459,0.8451
325,0.791665,0.896901
326,0.881314,0.949088
327,0.821109,0.89756
328,0.766684,0.848595
329,0.793071,0.897703
330,0.878148,0.946496
331,0.816622,0.894313
332,0.789739,0.863021
333,0.856071,0.928486
334,0.886389,0.9506
335,0.848898,0.915442
336,0.796301,0.869546
337,0.827785,0.915764
338,0.884944,0.951834
339,0.834019,0.907087
340,0.797692,0.870295
341,0.821835,0.912957
342,0.868972,0.944142
343,0.820196,0.896523
344,0.779041,0.856371
345,0.813925,0.907663
346,0.87203,0.943548
347,0.802231,0.881891
348,0.767459,0.842588
349,0.799526,0.900172
350,0.871277,0.941187
351,0.799039,0.879556
352,0.757918,0.835826
353,0.800901,0.89965
354,0.866124,0.941026
355,0.793738,0.878743
356,0.754342,0.834231
357,0.803296,0.900733
358,0.872096,0.943397
359,0.801665,0.88242
360,0.777403,0.852873
361,0.809059,0.904773
362,0.876,0.944949
363,0.805742,0.885189
364,0.761021,0.841407
365,0.799663,0.899976
366,0.870099,0.940572
367,0.80952,0.885496
368,0.744921,0.825183
369,0.786576,0.892238
370,0.86636,0.937714
371,0.789607,0.871808
372,0.748006,0.828393
373,0.778737,0.888569
374,0.865746,0.937195
375,0.780856,0.866527
376,0.753633,0.833276
377,0.792166,0.895269
378,0.865357,0.937651
379,0.788686,0.872391
380,0.737689,0.821608
381,0.806709,0.902081
382,0.869618,0.940544
383,0.808551,0.884609
384,0.765208,0.841905
385,0.807218,0.902077
386,0.857586,0.935583
387,0.798853,0.879843
388,0.761288,0.841017
389,0.788572,0.893598
390,0.861004,0.936272
391,0.785587,0.869953
392,0.753785,0.836096
393,0.794237,0.896658
394,0.862481,0.935817
395,0.795913,0.876946
396,0.759961,0.838264
397,0.791501,0.894961
398,0.862646,0.935212
399,0.796502,0.87778
400,0.765259,0.84527
401,0.803139,0.899313
402,0.861308,0.934627
403,0.801115,0.883315
404,0.761043,0.84326
405,0.794814,0.896665
406,0.853341,0.933211
407,0.784997,0.874055
408,0.749881,0.838707
409,0.795247,0.897208
410,0.858275,0.934552
411,0.782861,0.872534
412,0.745959,0.834384
413,0.796971,0.897723
414,0.861062,0.933512
415,0.786922,0.874241
416,0.752972,0.837331
417,0.796128,0.896633
418,0.860338,0.933555
419,0.800851,0.883314
420,0.76124,0.844994
421,0.785077,0.89283
422,0.862257,0.936985
423,0.798236,0.881891
424,0.75675,0.84345
425,0.793776,0.89795
426,0.861845,0.937508
427,0.796466,0.884592
428,0.776191,0.85827
429,0.831387,0.916435
430,0.862754,0.939107
431,0.809777,0.890892
432,0.782537,0.862685
433,0.819511,0.911306
434,0.862083,0.939543
435,0.808347,0.887971
436,0.778253,0.857382
437,0.8071,0.904732
438,0.863371,0.937848
439,0.791873,0.876344
440,0.771885,0.850561
441,0.813992,0.908064
442,0.864683,0.937384
443,0.784289,0.869585
444,0.749725,0.833798
445,0.826903,0.915743
446,0.863401,0.937088
447,0.79401,0.87686
448,0.757721,0.843375
449,0.814251,0.910126
450,0.849714,0.932272
451,0.794186,0.879425
452,0.770144,0.854191
453,0.812042,0.910071
454,0.855844,0.936711
455,0.790039,0.877227
456,0.775041,0.857852
457,0.81494,0.912451
458,0.863052,0.939225
459,0.8036,0.885195
460,0.772747,0.855447
461,0.811016,0.912269
462,0.867339,0.941802
463,0.801464,0.883473
464,0.762714,0.847281
465,0.807601,0.908092
466,0.864572,0.940033
467,0.796342,0.8823
468,0.762852,0.850125
469,0.794025,0.900055
470,0.84265,0.930675
471,0.776023,0.871073
472,0.773768,0.858853
473,0.811376,0.907928
474,0.848119,0.932567
475,0.786575,0.880408
476,0.762811,0.852817
477,0.802779,0.904095
478,0.849452,0.934735
479,0.789533,0.882654
480,0.773425,0.858756
481,0.813141,0.908275
482,0.860525,0.941368
483,0.803809,0.895627
484,0.771058,0.858763
485,0.818236,0.91399
486,0.879475,0.950645
487,0.822789,0.902799
488,0.780604,0.860266
489,0.815425,0.911709
490,0.871756,0.944772
491,0.798699,0.883183
492,0.777132,0.857983
493,0.804202,0.906392
494,0.856992,0.936065
495,0.793691,0.879053
496,0.775858,0.854236
497,0.816165,0.907909
498,0.858798,0.937801
499,0.7987,0.885036
500,0.769582,0.850991
501,0.811538,0.905492
502,0.858259,0.939581
503,0.796383,0.88475
504,0.776885,0.859012
505,0.814215,0.908083
506,0.858977,0.940333
507,0.80663,0.893684
508,0.771435,0.854826
509,0.805849,0.905328
510,0.864983,0.943399
511,0.819318,0.900079
512,0.774141,0.859204
513,0.805166,0.904741
514,0.846293,0.935943
515,0.805205,0.889887
516,0.768665,0.85399
517,0.808049,0.905321
518,0.855156,0.935891
519,0.802816,0.884034
520,0.7721,0.852006
521,0.807104,0.90416
522,0.859095,0.935156
523,0.796048,0.87655
524,0.758308,0.839486
525,0.797832,0.899196
526,0.856755,0.933946
527,0.79234,0.875467
528,0.748043,0.834773
529,0.794526,0.898218
530,0.85558,0.933737
531,0.800564,0.882133
532,0.762046,0.846086
533,0.79798,0.90073
534,0.84238,0.929696
535,0.791942,0.877083
536,0.762349,0.84865
537,0.798845,0.901332
538,0.84891,0.932804
539,0.805465,0.88467
540,0.767155,0.849174
541,0.798557,0.899529
542,0.856931,0.93373
543,0.80474,0.883479
544,0.747287,0.833643
545,0.792214,0.895095
546,0.853312,0.931075
547,0.79799,0.879708
548,0.759674,0.84376
549,0.778448,0.887934
550,0.857084,0.932908
551,0.784942,0.872157
552,0.764104,0.848078
553,0.802107,0.900578
554,0.859044,0.933985
555,0.788496,0.876487
556,0.764007,0.848482
557,0.801671,0.902495
558,0.854342,0.934314
559,0.79846,0.882449
560,0.766416,0.847609
561,0.805353,0.902526
562,0.852744,0.933641
563,0.800729,0.882197
564,0.766106,0.846584
565,0.793839,0.896848
566,0.859505,0.935497
567,0.786136,0.871321
568,0.762806,0.842991
569,0.805839,0.902045
570,0.861979,0.936012
571,0.778922,0.866677
572,0.738972,0.82225
573,0.821583,0.909057
574,0.864363,0.938147
575,0.796834,0.879977
576,0.762041,0.84162
577,0.812578,0.904516
578,0.854185,0.933562
579,0.805477,0.885434
580,0.778821,0.854657
581,0.811834,0.905685
582,0.862825,0.939135
583,0.800048,0.882438
584,0.776003,0.853739
585,0.812193,0.907357
586,0.867252,0.941936
587,0.797164,0.881188
588,0.763853,0.842949
589,0.806269,0.904177
590,0.871042,0.943699
591,0.802002,0.884874
592,0.753747,0.834613
593,0.799113,0.900518
594,0.868934,0.942281
595,0.796992,0.880861
596,0.760912,0.840831
597,0.791839,0.896928
598,0.857981,0.939106
599,0.787658,0.874312
600,0.764613,0.844521
601,0.811587,0.90669
602,0.865946,0.94265
603,0.79627,0.883355
604,0.765645,0.845136
605,0.822189,0.91224
606,0.87546,0.947948
607,0.815933,0.895814
608,0.77751,0.856011
609,0.814854,0.909468
610,0.874354,0.948183
611,0.819783,0.896913
612,0.787147,0.861242
613,0.807624,0.905563
614,0.87941,0.948356
615,0.81401,0.892718
616,0.777998,0.852132
617,0.817809,0.909288
618,0.877419,0.946561
619,0.796706,0.882016
620,0.766668,0.845457
621,0.824388,0.911616
622,0.867204,0.9438
623,0.810129,0.891068
624,0.778627,0.853989
625,0.817957,0.908937
626,0.866564,0.944421
627,0.816368,0.896422
628,0.792373,0.866365
629,0.821585,0.913617
630,0.871326,0.948124
631,0.808268,0.893936
632,0.801109,0.872046
633,0.839543,0.921918
634,0.879811,0.949945
635,0.824366,0.898968
636,0.793431,0.865363
637,0.794629,0.902
638,0.876674,0.946057
639,0.808165,0.886309
