Frame, eSSIM, SSIM
0,0.592329,0.710043
1,0.638599,0.786732
2,0.82362,0.896023
3,0.676158,0.808171
4,0.571429,0.69511
5,0.618633,0.776262
6,0.819537,0.893572
7,0.659865,0.801939
8,0.544011,0.675628
9,0.613444,0.772752
10,0.815761,0.891933
11,0.648563,0.794984
12,0.535343,0.668736
13,0.590212,0.760149
14,0.811466,0.889373
15,0.648547,0.795585
16,0.532391,0.6666
17,0.605786,0.766972
18,0.814995,0.89158
19,0.662564,0.7991
20,0.550688,0.678267
21,0.599815,0.764732
22,0.816002,0.890978
23,0.673159,0.806122
24,0.557875,0.684933
25,0.638526,0.787998
26,0.824568,0.895388
27,0.692339,0.811818
28,0.602882,0.717706
29,0.653054,0.797918
30,0.828952,0.897501
31,0.697821,0.815987
32,0.599342,0.716177
33,0.656506,0.799534
34,0.828171,0.897
35,0.695644,0.81541
36,0.602168,0.718064
37,0.661685,0.801578
38,0.828318,0.896787
39,0.705629,0.818468
40,0.608032,0.72104
41,0.663562,0.803026
42,0.827252,0.896452
43,0.70231,0.818145
44,0.607972,0.723381
45,0.667472,0.805995
46,0.828482,0.897689
47,0.704767,0.819424
48,0.618365,0.729703
49,0.668642,0.806703
50,0.825836,0.895903
51,0.711676,0.821821
52,0.619458,0.730864
53,0.673176,0.808634
54,0.82751,0.896585
55,0.709048,0.819227
56,0.622631,0.73124
57,0.677653,0.810796
58,0.826987,0.8963
59,0.712958,0.820748
60,0.625015,0.733749
61,0.672788,0.809604
62,0.827005,0.896532
63,0.711495,0.821043
64,0.623809,0.734299
65,0.67764,0.811941
66,0.826794,0.896336
67,0.71263,0.822342
68,0.625162,0.736147
69,0.680912,0.813559
70,0.831095,0.89812
71,0.714258,0.821877
72,0.626035,0.735898
73,0.683737,0.815845
74,0.829886,0.897382
75,0.70686,0.8191
76,0.626723,0.737243
77,0.68689,0.816441
78,0.82709,0.896142
79,0.712791,0.821249
80,0.6318,0.739612
81,0.68735,0.817231
82,0.82747,0.895959
83,0.710357,0.820491
84,0.629279,0.739106
85,0.690076,0.818776
86,0.83121,0.897764
87,0.719079,0.824028
88,0.634102,0.742273
89,0.691282,0.81991
90,0.830032,0.897224
91,0.712691,0.822546
92,0.635276,0.743828
93,0.689155,0.819945
94,0.830053,0.897394
95,0.706253,0.819538
96,0.630842,0.741729
97,0.692218,0.8215
98,0.827255,0.896436
99,0.716246,0.822332
100,0.641022,0.746647
101,0.693604,0.821652
102,0.828945,0.896876
103,0.710967,0.820823
104,0.637789,0.745935
105,0.696207,0.823309
106,0.828896,0.897
107,0.714956,0.822456
108,0.638405,0.746449
109,0.696542,0.823411
110,0.831645,0.89793
111,0.718494,0.823322
112,0.637138,0.74479
113,0.697482,0.823947
114,0.830405,0.897261
115,0.71848,0.824048
116,0.644447,0.750154
117,0.699431,0.824627
118,0.830877,0.897624
119,0.717976,0.823037
120,0.645817,0.750803
121,0.704596,0.827819
122,0.832131,0.898361
123,0.715959,0.823477
124,0.647032,0.752007
125,0.702898,0.827233
126,0.829608,0.89724
127,0.712752,0.822264
128,0.648789,0.753328
129,0.705946,0.829093
130,0.832792,0.898313
131,0.719269,0.824161
132,0.651031,0.754415
133,0.706533,0.828615
134,0.833223,0.898187
135,0.722607,0.824818
136,0.650833,0.754091
137,0.70755,0.829913
138,0.832472,0.898305
139,0.724147,0.826491
140,0.651837,0.75509
141,0.701713,0.827426
142,0.832912,0.898545
143,0.718,0.823719
144,0.650808,0.754083
145,0.707746,0.830118
146,0.831818,0.898049
147,0.714768,0.822738
148,0.646822,0.753044
149,0.705544,0.82882
150,0.83317,0.898654
151,0.714643,0.822888
152,0.64933,0.753741
153,0.707965,0.830461
154,0.832566,0.897941
155,0.717058,0.823167
156,0.648972,0.754267
157,0.706177,0.829659
158,0.833196,0.898491
159,0.721867,0.824856
160,0.644683,0.751428
161,0.702936,0.82937
162,0.834371,0.899199
163,0.718008,0.824758
164,0.64739,0.75428
165,0.705126,0.829433
166,0.835154,0.899713
167,0.72055,0.825142
168,0.651273,0.755316
169,0.706298,0.830723
170,0.833842,0.898483
171,0.718081,0.824045
172,0.647599,0.75378
173,0.704385,0.828416
174,0.833061,0.898233
175,0.717827,0.82361
176,0.654042,0.755679
177,0.7083,0.830125
178,0.831326,0.897115
179,0.719862,0.823604
180,0.649713,0.754172
181,0.707266,0.829089
182,0.832049,0.897464
