Frame, eSSIM, SSIM
0,0.419658,0.555878
1,0.470223,0.670646
2,0.79628,0.882552
3,0.611775,0.765111
4,0.413224,0.552084
5,0.459333,0.663081
6,0.788737,0.878441
7,0.606825,0.762538
8,0.40787,0.545928
9,0.464576,0.665725
10,0.784631,0.876347
11,0.601933,0.757934
12,0.407704,0.546651
13,0.459968,0.66266
14,0.78407,0.875387
15,0.604278,0.761249
16,0.40451,0.544644
17,0.468927,0.668054
18,0.787406,0.876991
19,0.603259,0.757909
20,0.417839,0.554336
21,0.471832,0.670704
22,0.789876,0.876996
23,0.610595,0.763418
24,0.418936,0.554706
25,0.477962,0.674385
26,0.791944,0.87798
27,0.610939,0.760556
28,0.431735,0.564924
29,0.481365,0.67649
30,0.791564,0.877553
31,0.611247,0.761706
32,0.431357,0.56599
33,0.487124,0.68027
34,0.791786,0.877198
35,0.618583,0.768342
36,0.434121,0.568457
37,0.495009,0.685772
38,0.79655,0.879219
39,0.619931,0.767578
40,0.443195,0.576492
41,0.498975,0.689347
42,0.794435,0.878137
43,0.620536,0.768844
44,0.447221,0.580229
45,0.508137,0.694736
46,0.795598,0.879349
47,0.615093,0.766437
48,0.452365,0.584721
49,0.511042,0.696999
50,0.794653,0.877786
51,0.623649,0.771127
52,0.457138,0.588746
53,0.519017,0.701964
54,0.796739,0.879019
55,0.615794,0.766807
56,0.460261,0.5919
57,0.521555,0.704248
58,0.796097,0.878435
59,0.622718,0.770703
60,0.462494,0.593761
61,0.523167,0.705694
62,0.799192,0.879907
63,0.619454,0.768521
64,0.466211,0.597576
65,0.52711,0.708308
66,0.799229,0.8799
67,0.624037,0.771525
68,0.468279,0.598477
69,0.530527,0.711033
70,0.802608,0.881342
71,0.618683,0.769213
72,0.471596,0.601738
73,0.533486,0.713572
74,0.801719,0.880896
75,0.626476,0.771288
76,0.469446,0.599207
77,0.534353,0.713975
78,0.800238,0.880303
79,0.623293,0.768875
80,0.473855,0.602229
81,0.537366,0.715912
82,0.799412,0.879498
83,0.625628,0.770438
84,0.475427,0.604241
85,0.540015,0.71733
86,0.801334,0.88073
87,0.624413,0.77013
88,0.481268,0.608761
89,0.541354,0.718352
90,0.800189,0.879759
