Frame, eSSIM, SSIM
0,0.576888,0.698417
1,0.633183,0.767423
2,0.783543,0.850195
3,0.624171,0.74548
4,0.531893,0.6584
5,0.625004,0.752284
6,0.744256,0.817655
7,0.601881,0.730352
8,0.540511,0.669422
9,0.597811,0.736665
10,0.742001,0.816278
11,0.597767,0.732889
12,0.511536,0.64381
13,0.617075,0.749249
14,0.742685,0.817703
15,0.587321,0.722993
16,0.508009,0.646177
17,0.592586,0.734412
18,0.744472,0.818699
19,0.578725,0.716984
20,0.486926,0.621359
21,0.610295,0.745577
22,0.752928,0.823573
23,0.615341,0.742703
24,0.523588,0.652484
25,0.615178,0.749148
26,0.758412,0.82762
27,0.628442,0.752484
28,0.5617,0.686137
29,0.629493,0.760586
30,0.766967,0.834215
31,0.628893,0.749298
32,0.573443,0.696466
33,0.638811,0.766265
34,0.767984,0.83462
35,0.647846,0.762699
36,0.56726,0.686423
37,0.656446,0.776694
38,0.77415,0.839366
39,0.668842,0.777646
40,0.606091,0.722622
41,0.671521,0.789465
42,0.782747,0.845525
43,0.670526,0.776838
44,0.601973,0.71624
45,0.680878,0.79311
46,0.784004,0.8464
47,0.687321,0.789933
48,0.621122,0.729865
49,0.676765,0.790741
50,0.785173,0.846955
51,0.698763,0.796962
52,0.643181,0.751362
53,0.693196,0.801763
54,0.789736,0.850345
55,0.69901,0.795031
56,0.654043,0.758985
57,0.710608,0.812244
58,0.792013,0.851996
59,0.708818,0.80027
60,0.655508,0.758606
61,0.725029,0.820689
62,0.800414,0.857436
63,0.726203,0.815366
64,0.669303,0.769286
65,0.716201,0.816059
66,0.799182,0.85658
67,0.731642,0.819553
68,0.690861,0.789772
69,0.732105,0.826293
70,0.80279,0.858945
71,0.731415,0.816591
72,0.691808,0.78817
73,0.739122,0.830341
74,0.803326,0.859583
75,0.737007,0.821606
76,0.693225,0.788672
77,0.751634,0.838627
78,0.810528,0.864643
79,0.744899,0.827771
80,0.699193,0.792004
81,0.744776,0.834792
82,0.809884,0.86405
83,0.752275,0.830631
84,0.718796,0.808934
85,0.751992,0.839295
86,0.810221,0.864241
87,0.743695,0.825164
88,0.726258,0.814899
89,0.767899,0.849517
90,0.81596,0.868762
91,0.750882,0.828653
92,0.714709,0.804829
93,0.766655,0.848288
94,0.814753,0.86843
95,0.763119,0.838012
96,0.716153,0.804973
97,0.758077,0.843473
98,0.815512,0.868321
99,0.761506,0.836741
100,0.73196,0.819103
101,0.762602,0.846481
102,0.814678,0.868445
103,0.757122,0.8328
