Frame, eSSIM, SSIM
0,0.638717,0.755449
1,0.674272,0.785014
2,0.719822,0.80965
3,0.709492,0.795066
4,0.708083,0.800559
5,0.699065,0.797748
6,0.708134,0.796102
7,0.724324,0.80547
8,0.73082,0.816273
9,0.713338,0.806637
10,0.710444,0.796773
11,0.736858,0.815698
12,0.750704,0.831648
13,0.725875,0.8165
14,0.720964,0.805087
15,0.744239,0.819673
16,0.762359,0.83882
17,0.735419,0.822623
18,0.723836,0.806559
19,0.7509,0.825042
20,0.769282,0.843542
21,0.729957,0.818035
22,0.734885,0.813753
23,0.743195,0.818808
24,0.671471,0.773499
25,0.684098,0.785755
26,0.700326,0.790366
27,0.717443,0.799182
28,0.719393,0.807183
29,0.718806,0.810231
30,0.725787,0.806642
31,0.734526,0.812042
32,0.746828,0.827818
33,0.733947,0.820318
34,0.726717,0.806696
35,0.745122,0.820297
36,0.760287,0.838064
37,0.745485,0.829061
38,0.740402,0.816744
39,0.755448,0.827192
40,0.775959,0.848989
41,0.755942,0.836358
42,0.74166,0.81736
43,0.758773,0.829044
44,0.779625,0.850209
45,0.747038,0.828792
46,0.742328,0.818667
47,0.748968,0.822644
48,0.674357,0.776031
49,0.684944,0.787314
50,0.699456,0.789905
51,0.719487,0.801243
52,0.723085,0.810359
53,0.720748,0.812961
54,0.725179,0.80707
55,0.737214,0.814406
56,0.749991,0.830496
57,0.735759,0.822565
58,0.728737,0.808396
59,0.751325,0.824914
60,0.770033,0.845133
61,0.752354,0.83518
62,0.745182,0.820751
63,0.766193,0.836389
64,0.793842,0.861562
65,0.765514,0.844118
66,0.74906,0.823339
67,0.774371,0.842287
68,0.799748,0.866039
69,0.759751,0.84007
70,0.754434,0.82659
71,0.76512,0.834813
72,0.68917,0.787085
73,0.697613,0.796733
74,0.710852,0.796837
75,0.736557,0.813454
76,0.741407,0.825304
77,0.737284,0.824297
78,0.737314,0.815116
79,0.748878,0.823058
80,0.765234,0.842398
81,0.750572,0.83347
82,0.740712,0.817125
83,0.760423,0.831354
84,0.779483,0.851496
85,0.758262,0.838786
86,0.749685,0.823716
87,0.766355,0.83554
88,0.795994,0.863458
89,0.771012,0.848255
90,0.754112,0.826991
91,0.77412,0.841096
92,0.797804,0.864256
93,0.764309,0.843282
94,0.759916,0.831361
95,0.766727,0.836031
96,0.700566,0.795712
97,0.709088,0.805334
98,0.718235,0.802677
99,0.734816,0.811351
100,0.739941,0.823287
101,0.738319,0.825085
102,0.740845,0.817896
103,0.74934,0.821995
104,0.766128,0.842072
105,0.754855,0.83617
106,0.74546,0.820914
107,0.766059,0.8355
108,0.785908,0.856599
109,0.767149,0.845801
110,0.757389,0.830221
111,0.772263,0.839386
112,0.793675,0.86105
113,0.775043,0.85078
114,0.759239,0.831384
115,0.776603,0.842798
116,0.798268,0.864141
117,0.768274,0.84656
118,0.762789,0.834949
119,0.768803,0.838281
120,0.703078,0.798855
121,0.711666,0.809664
122,0.720325,0.806813
123,0.737388,0.814197
124,0.74355,0.826397
125,0.745649,0.832501
126,0.746311,0.824064
127,0.75634,0.828965
128,0.772934,0.847639
129,0.75959,0.841627
130,0.748865,0.825586
131,0.766404,0.836958
132,0.786543,0.856781
133,0.767656,0.847059
134,0.758608,0.83313
135,0.770687,0.838727
136,0.791484,0.858828
137,0.774701,0.851126
138,0.759487,0.833811
139,0.779271,0.845662
140,0.800258,0.865346
141,0.768553,0.847676
142,0.765281,0.838972
143,0.768583,0.838478
144,0.702164,0.798412
145,0.712545,0.812176
146,0.723806,0.81227
147,0.736631,0.815431
148,0.741969,0.825191
149,0.74728,0.835087
150,0.747734,0.828197
151,0.755792,0.829719
152,0.770216,0.845281
153,0.760317,0.843192
154,0.74965,0.829416
155,0.760798,0.833806
156,0.779774,0.852111
157,0.76789,0.848698
158,0.756917,0.834354
159,0.769648,0.8402
160,0.791911,0.859929
161,0.774644,0.852907
162,0.758525,0.835961
163,0.773409,0.843246
164,0.797567,0.863894
165,0.762432,0.844451
166,0.753671,0.832516
167,0.757649,0.830894
168,0.685808,0.78709
169,0.700143,0.805123
170,0.714216,0.807509
171,0.727811,0.810618
172,0.732168,0.819476
173,0.732828,0.825768
174,0.735969,0.821251
175,0.740561,0.819389
176,0.752886,0.833529
177,0.746865,0.834605
178,0.738947,0.82267
179,0.745175,0.823269
180,0.76289,0.840363
181,0.752216,0.838684
182,0.744325,0.82715
183,0.753185,0.828135
184,0.771343,0.845774
185,0.756714,0.841958
186,0.743645,0.827059
187,0.761333,0.836232
188,0.783778,0.85544
189,0.749159,0.8382
190,0.746601,0.830423
191,0.751992,0.829445
192,0.671449,0.779998
193,0.69046,0.801521
194,0.708725,0.806448
195,0.718845,0.805568
196,0.720895,0.812624
197,0.725684,0.823073
198,0.73202,0.820543
199,0.734243,0.816232
200,0.746326,0.830323
201,0.741065,0.83278
202,0.735632,0.823607
203,0.744847,0.82399
204,0.756612,0.83669
205,0.750624,0.839061
206,0.744101,0.829033
207,0.752043,0.829496
208,0.776361,0.850296
209,0.76279,0.847428
210,0.749576,0.833066
211,0.761819,0.836527
212,0.780593,0.852679
213,0.746916,0.837952
214,0.748257,0.833408
215,0.753087,0.831245
216,0.661294,0.773739
217,0.684712,0.799392
218,0.707621,0.808022
219,0.714269,0.803901
220,0.711483,0.807229
221,0.719973,0.820598
222,0.728737,0.820896
223,0.73003,0.814359
224,0.738685,0.82568
225,0.736519,0.831233
226,0.732985,0.823444
227,0.738294,0.820947
228,0.749117,0.832744
229,0.741966,0.834716
230,0.735082,0.825967
231,0.739693,0.820987
232,0.732003,0.816767
233,0.737325,0.830312
234,0.73516,0.824889
235,0.726326,0.809256
236,0.733922,0.81827
237,0.713117,0.818282
238,0.72337,0.819236
239,0.731765,0.813259
240,0.661282,0.767444
241,0.693083,0.803696
242,0.703319,0.805277
243,0.688013,0.783446
244,0.684391,0.784499
245,0.706379,0.812176
246,0.707871,0.807256
247,0.695213,0.788516
248,0.707047,0.802389
249,0.717031,0.81926
250,0.712403,0.809815
251,0.708345,0.798269
252,0.721692,0.812623
253,0.725841,0.825316
254,0.720365,0.814676
255,0.715273,0.802935
256,0.732598,0.821404
257,0.728315,0.827084
258,0.721294,0.814846
259,0.721222,0.807813
260,0.712603,0.807329
261,0.708551,0.813584
262,0.713602,0.811208
263,0.708257,0.797836
264,0.675525,0.777202
265,0.70478,0.811166
266,0.709908,0.809111
267,0.695764,0.788322
268,0.697859,0.793681
269,0.717434,0.819448
270,0.713266,0.810283
271,0.702963,0.792747
272,0.720606,0.811174
273,0.72608,0.825474
274,0.71771,0.813014
275,0.715352,0.802875
276,0.732359,0.820221
277,0.73442,0.830864
278,0.72532,0.817548
279,0.720476,0.806493
280,0.742366,0.827801
281,0.733724,0.830905
282,0.725405,0.816973
283,0.726177,0.810699
284,0.719814,0.812709
285,0.710433,0.814915
286,0.713999,0.81134
287,0.713203,0.800956
288,0.68006,0.780374
289,0.707317,0.813037
290,0.710923,0.809584
291,0.698067,0.789312
292,0.699514,0.794878
293,0.718452,0.820929
294,0.715285,0.811261
295,0.706572,0.795276
296,0.721926,0.812872
297,0.727725,0.8266
298,0.720709,0.814773
299,0.72039,0.806112
300,0.734985,0.822318
301,0.737904,0.833479
302,0.728299,0.819162
303,0.72716,0.811201
304,0.747107,0.83139
305,0.741433,0.835318
306,0.732125,0.82111
307,0.73113,0.813483
308,0.73817,0.82379
309,0.716085,0.819495
310,0.71548,0.811853
311,0.723671,0.807021
312,0.670377,0.774459
313,0.703264,0.810391
314,0.708505,0.807671
315,0.691091,0.784792
316,0.693025,0.790824
317,0.71518,0.818189
318,0.711985,0.809211
319,0.698647,0.790102
320,0.714813,0.807957
321,0.724684,0.824579
322,0.715894,0.811768
323,0.712588,0.800643
324,0.729279,0.818195
325,0.732795,0.830071
