Frame, eSSIM, SSIM
0,0.866961,0.934324
1,0.88919,0.956093
2,0.920295,0.969054
3,0.871376,0.943107
4,0.850135,0.927474
5,0.914288,0.960832
6,0.925789,0.970598
7,0.90331,0.953912
8,0.904704,0.946308
9,0.909833,0.960562
10,0.922129,0.96927
11,0.919216,0.956927
12,0.916297,0.950876
13,0.938951,0.966559
14,0.936352,0.972286
15,0.929089,0.960406
16,0.934433,0.955603
17,0.938998,0.967936
18,0.940845,0.973504
19,0.933974,0.961904
20,0.937944,0.957002
21,0.944858,0.968888
22,0.938493,0.973188
23,0.929417,0.961735
24,0.941864,0.95883
25,0.949357,0.969438
26,0.936962,0.972973
27,0.936164,0.963506
28,0.934293,0.958678
29,0.955229,0.971323
30,0.949972,0.97551
31,0.944924,0.966281
32,0.948408,0.961484
33,0.955012,0.971457
34,0.947858,0.975243
35,0.947882,0.967221
36,0.952043,0.963848
37,0.947148,0.969999
38,0.957202,0.977398
39,0.943154,0.965193
40,0.955123,0.965943
41,0.958078,0.972742
42,0.95686,0.976893
43,0.945995,0.966362
44,0.942765,0.960146
45,0.95819,0.972894
46,0.958316,0.977138
47,0.951437,0.96787
48,0.941199,0.961542
49,0.955056,0.972196
50,0.956452,0.977148
51,0.951491,0.968697
52,0.952793,0.964028
53,0.952872,0.972262
54,0.96009,0.977745
55,0.949164,0.967362
56,0.955274,0.964711
57,0.961992,0.973924
58,0.961381,0.97848
59,0.953703,0.968899
60,0.955161,0.964971
61,0.958632,0.973679
62,0.960194,0.978378
63,0.94908,0.967689
64,0.952439,0.964779
65,0.959665,0.974554
66,0.958307,0.978807
67,0.946559,0.968026
68,0.9456,0.96289
69,0.95727,0.973511
70,0.95993,0.978658
71,0.950365,0.968571
72,0.955849,0.96539
73,0.961662,0.974364
74,0.964487,0.979674
75,0.952533,0.968947
76,0.945284,0.961595
77,0.963005,0.974801
78,0.960784,0.979137
79,0.954903,0.970508
80,0.945599,0.963204
81,0.95927,0.974428
82,0.961259,0.979237
83,0.957167,0.970717
84,0.957,0.965698
85,0.957924,0.973574
86,0.960383,0.978621
87,0.949953,0.968461
88,0.957192,0.965852
89,0.962494,0.974212
90,0.957845,0.977958
91,0.948994,0.968145
92,0.955039,0.965198
93,0.958561,0.97329
94,0.954119,0.977225
95,0.946329,0.967076
96,0.954465,0.96503
97,0.960344,0.974091
98,0.957594,0.977503
99,0.950922,0.968495
100,0.946836,0.962629
101,0.961603,0.973666
102,0.958828,0.977711
103,0.952988,0.968921
104,0.950297,0.962977
105,0.958015,0.972684
106,0.953936,0.976721
107,0.944818,0.966354
108,0.942498,0.961959
109,0.95807,0.973333
110,0.953458,0.977051
111,0.951849,0.969308
112,0.953421,0.963769
113,0.959565,0.973194
114,0.956274,0.976941
115,0.953753,0.969022
116,0.956893,0.965624
117,0.9582,0.973512
118,0.955989,0.977274
119,0.948643,0.967896
120,0.959773,0.967681
121,0.962092,0.974414
122,0.958945,0.977472
123,0.95265,0.96914
124,0.956076,0.965494
125,0.95379,0.973279
126,0.948118,0.975507
127,0.937484,0.965711
128,0.957004,0.966138
129,0.96024,0.973709
130,0.954849,0.976277
131,0.946403,0.967226
132,0.953709,0.964688
133,0.957815,0.973089
134,0.9582,0.976384
135,0.946731,0.966449
136,0.95488,0.965417
137,0.959004,0.973266
138,0.951775,0.975038
139,0.933089,0.963311
140,0.93981,0.961311
141,0.955516,0.972675
142,0.949592,0.974455
143,0.945888,0.965962
144,0.941877,0.961692
145,0.958605,0.973103
146,0.952091,0.975538
147,0.948288,0.968108
148,0.954953,0.965158
149,0.959402,0.974149
150,0.954091,0.977146
151,0.950409,0.968235
152,0.953737,0.965606
153,0.960195,0.975043
154,0.952415,0.977447
155,0.952797,0.96909
156,0.959967,0.967463
157,0.95965,0.97444
158,0.957519,0.977389
159,0.95112,0.968397
160,0.957461,0.965862
161,0.963099,0.974696
162,0.960098,0.977839
163,0.953402,0.967776
164,0.952476,0.964179
165,0.963689,0.97478
166,0.956906,0.977278
167,0.952132,0.968236
168,0.952112,0.964499
169,0.95976,0.974584
170,0.953449,0.977287
171,0.952983,0.968057
172,0.956055,0.965576
173,0.961515,0.97521
174,0.957383,0.977936
175,0.950061,0.967888
176,0.953725,0.965116
177,0.962417,0.975175
178,0.957024,0.977991
179,0.951487,0.967831
180,0.948806,0.963942
181,0.961509,0.975157
182,0.954636,0.977729
183,0.949861,0.967888
184,0.956676,0.966015
185,0.963566,0.976061
186,0.959269,0.97893
187,0.959021,0.970642
188,0.959802,0.967194
189,0.967726,0.977317
190,0.970348,0.981285
191,0.963354,0.972453
192,0.972481,0.976367
193,0.97481,0.981172
194,0.98007,0.985219
195,0.962363,0.974752
196,0.961428,0.970789
197,0.971903,0.979932
198,0.964247,0.982611
199,0.959595,0.974253
200,0.95278,0.968149
201,0.965456,0.97834
202,0.962685,0.982207
203,0.95597,0.973106
204,0.960117,0.969048
205,0.962584,0.977735
206,0.964088,0.982196
207,0.953395,0.972042
208,0.959201,0.96765
209,0.96583,0.977114
210,0.963916,0.981829
211,0.957261,0.971386
212,0.957902,0.966268
213,0.965863,0.97713
214,0.962234,0.981344
215,0.953299,0.97099
216,0.960966,0.968383
217,0.970241,0.978556
218,0.97046,0.98222
219,0.958407,0.971843
220,0.954059,0.966644
221,0.968113,0.977727
222,0.967125,0.981694
223,0.959513,0.972028
224,0.954078,0.966566
225,0.963316,0.976962
226,0.959525,0.980843
227,0.956012,0.971949
228,0.960568,0.96847
229,0.965324,0.97766
230,0.966989,0.981986
231,0.957186,0.971875
232,0.959178,0.968044
233,0.967385,0.978349
234,0.966916,0.981937
235,0.953901,0.971453
236,0.952589,0.967119
237,0.969066,0.978306
238,0.969741,0.982094
239,0.960039,0.971635
240,0.955943,0.965527
241,0.966421,0.97695
242,0.963567,0.980724
243,0.949694,0.969128
244,0.95192,0.965214
245,0.965064,0.977151
246,0.965542,0.980761
247,0.957419,0.970249
248,0.955165,0.966956
249,0.965266,0.977575
250,0.966237,0.981206
251,0.953942,0.969977
252,0.957976,0.966872
253,0.963472,0.976928
254,0.960364,0.9798
255,0.95314,0.96893
256,0.954885,0.966533
257,0.964304,0.977159
258,0.963904,0.980521
259,0.962002,0.971791
260,0.961507,0.968793
261,0.967583,0.977608
262,0.970261,0.981534
263,0.958449,0.970583
264,0.957314,0.965955
265,0.967105,0.976948
266,0.970626,0.981101
267,0.957149,0.970802
268,0.954668,0.966287
269,0.968208,0.977763
270,0.965464,0.980755
271,0.959993,0.971824
272,0.958528,0.967736
273,0.96693,0.977515
274,0.968621,0.980892
275,0.961168,0.97194
276,0.962048,0.969082
277,0.966265,0.977586
278,0.96345,0.980194
279,0.954336,0.96969
280,0.959737,0.967734
281,0.966857,0.977508
282,0.965384,0.980147
283,0.957231,0.97068
284,0.955369,0.967506
285,0.967634,0.978024
286,0.969315,0.981406
287,0.962173,0.97197
288,0.957193,0.967165
289,0.964763,0.977582
290,0.97025,0.981794
291,0.962396,0.97198
292,0.962105,0.968893
293,0.967539,0.978092
294,0.964135,0.981089
295,0.955639,0.970798
296,0.959082,0.966715
297,0.965478,0.97741
298,0.967105,0.981301
299,0.95601,0.97002
300,0.954753,0.964892
301,0.966903,0.977621
302,0.968419,0.981649
303,0.960397,0.971453
304,0.955952,0.966439
305,0.965572,0.977404
306,0.968277,0.981552
307,0.955057,0.971017
308,0.959245,0.967996
309,0.965546,0.977634
310,0.961716,0.981502
311,0.952984,0.971498
312,0.961611,0.968406
313,0.96822,0.978129
314,0.969901,0.982319
315,0.960143,0.972187
316,0.956895,0.967152
317,0.968614,0.977919
318,0.97256,0.98265
319,0.964965,0.973446
320,0.956586,0.967107
321,0.965632,0.977552
322,0.970931,0.982774
323,0.962702,0.972722
324,0.962505,0.9685
325,0.965196,0.976624
326,0.967764,0.981941
327,0.961156,0.97156
328,0.960319,0.967115
329,0.966942,0.977351
330,0.968237,0.982192
331,0.960465,0.972424
332,0.957699,0.966546
333,0.965699,0.977085
334,0.968667,0.982679
335,0.962044,0.972541
336,0.956179,0.965921
337,0.963502,0.976617
338,0.964464,0.982632
339,0.962791,0.973616
340,0.960739,0.967288
341,0.965292,0.977011
342,0.963712,0.982611
343,0.95991,0.972842
344,0.971645,0.975234
345,0.973846,0.980474
346,0.977016,0.985114
347,0.966493,0.975532
348,0.96643,0.97124
349,0.967239,0.977901
350,0.968769,0.983204
351,0.962021,0.973976
352,0.965451,0.970588
353,0.970917,0.979819
354,0.968484,0.983126
355,0.960081,0.972876
356,0.957018,0.967259
357,0.964431,0.976588
358,0.964612,0.981959
359,0.960533,0.972723
360,0.950835,0.964107
361,0.955041,0.974291
362,0.957825,0.981015
363,0.955566,0.971306
364,0.958663,0.966661
365,0.959564,0.976072
366,0.958859,0.981074
367,0.949656,0.970266
368,0.957881,0.966102
369,0.96196,0.976387
370,0.95413,0.980477
371,0.949086,0.969499
372,0.95039,0.963599
373,0.959646,0.975673
374,0.954571,0.980427
375,0.954132,0.970762
376,0.952655,0.964628
377,0.956292,0.975371
378,0.95721,0.981084
379,0.955361,0.970831
380,0.959546,0.966465
381,0.959415,0.975044
382,0.956453,0.980215
383,0.950376,0.969252
384,0.955031,0.964318
385,0.961531,0.975199
386,0.956679,0.980226
387,0.952296,0.969605
388,0.948918,0.963039
389,0.963371,0.975515
390,0.957343,0.980393
391,0.9538,0.970899
392,0.950615,0.964098
393,0.959116,0.974987
394,0.952722,0.980217
395,0.953466,0.96965
396,0.955746,0.964112
397,0.955512,0.972782
398,0.964332,0.981016
399,0.949541,0.968275
400,0.952162,0.962695
401,0.960189,0.974509
402,0.960744,0.981007
403,0.950757,0.969716
404,0.947022,0.962348
405,0.961874,0.976183
406,0.961672,0.981225
