Frame, eSSIM, SSIM
0,0.935356,0.9547
1,0.940481,0.96641
2,0.938564,0.973619
3,0.929091,0.96066
4,0.918493,0.95015
5,0.863365,0.949069
6,0.916358,0.968991
7,0.872064,0.951118
8,0.779209,0.908754
9,0.828463,0.939686
10,0.896723,0.965166
11,0.848189,0.941711
12,0.800727,0.914378
13,0.826316,0.935298
14,0.899347,0.963511
15,0.849312,0.94148
16,0.757651,0.895593
17,0.81147,0.93239
18,0.884055,0.96159
19,0.832906,0.934662
20,0.775994,0.901282
21,0.829566,0.934954
22,0.892731,0.961912
23,0.835325,0.933657
24,0.725055,0.877009
25,0.795735,0.929236
26,0.87417,0.958986
27,0.825326,0.92664
28,0.788039,0.899582
29,0.83157,0.933033
30,0.894008,0.962325
31,0.837937,0.932631
32,0.74432,0.882661
33,0.796568,0.925238
34,0.871128,0.958715
35,0.825492,0.9288
36,0.783714,0.897267
37,0.828912,0.93274
38,0.890477,0.962651
39,0.834243,0.932108
40,0.75437,0.886852
41,0.805239,0.926769
42,0.87678,0.959398
43,0.825656,0.929927
44,0.77861,0.897577
45,0.829151,0.933308
46,0.881947,0.962452
47,0.834754,0.932354
48,0.734747,0.879082
49,0.803255,0.928584
50,0.881644,0.960885
51,0.816762,0.926188
52,0.7826,0.897401
53,0.831847,0.933704
54,0.893,0.963339
55,0.831422,0.931339
56,0.757974,0.88884
57,0.816774,0.932164
58,0.882113,0.961552
59,0.827208,0.93062
60,0.781857,0.897955
61,0.808186,0.928924
62,0.889332,0.962262
63,0.831148,0.933546
64,0.75131,0.888893
65,0.802102,0.928203
66,0.880172,0.961415
67,0.824906,0.932554
68,0.772753,0.899464
69,0.817909,0.930469
70,0.904302,0.965317
71,0.826986,0.93176
72,0.731161,0.883216
73,0.811858,0.935588
74,0.893661,0.96564
75,0.830889,0.932108
76,0.787939,0.900854
77,0.831375,0.938154
78,0.903757,0.96605
79,0.840031,0.935255
80,0.762915,0.892458
81,0.816902,0.936422
82,0.892811,0.964383
83,0.819688,0.928796
84,0.772738,0.896971
85,0.82512,0.93409
86,0.905162,0.964356
87,0.83279,0.93079
88,0.743729,0.882607
89,0.813874,0.933361
90,0.882195,0.961215
91,0.818711,0.925745
92,0.762573,0.892793
93,0.827737,0.935263
94,0.907859,0.965529
95,0.824583,0.927345
96,0.719066,0.874291
97,0.818238,0.937121
98,0.902645,0.964476
99,0.814229,0.924584
100,0.778461,0.896027
101,0.830497,0.939012
102,0.906423,0.9646
103,0.818865,0.926771
104,0.738148,0.880853
105,0.825785,0.938367
106,0.89928,0.96343
107,0.810008,0.920963
108,0.775482,0.895007
109,0.83896,0.941157
110,0.898531,0.963207
111,0.809856,0.922186
112,0.740677,0.882862
113,0.833341,0.942007
114,0.896042,0.963265
115,0.805191,0.919661
116,0.76349,0.893664
117,0.840886,0.943526
118,0.903266,0.965558
119,0.812063,0.9231
120,0.721934,0.873501
121,0.82457,0.940669
122,0.895044,0.963843
123,0.793709,0.914012
124,0.76301,0.890747
125,0.848099,0.943211
126,0.897439,0.962769
127,0.797513,0.916953
128,0.744474,0.881678
129,0.839566,0.94195
130,0.891988,0.962203
131,0.804703,0.915104
132,0.777829,0.892866
133,0.842436,0.940326
134,0.899699,0.962797
135,0.812807,0.917517
136,0.730999,0.873481
137,0.829161,0.938025
138,0.890807,0.960615
139,0.789712,0.908128
140,0.747942,0.881061
141,0.828278,0.934876
142,0.897305,0.962204
143,0.791213,0.907599
144,0.708008,0.859643
145,0.817591,0.936231
146,0.894712,0.962773
147,0.797071,0.912145
148,0.76365,0.88632
149,0.845531,0.943003
150,0.91216,0.967344
151,0.816568,0.921124
152,0.763587,0.887357
153,0.842049,0.943149
154,0.90666,0.966345
155,0.815033,0.920879
156,0.7875,0.896765
157,0.856296,0.942865
158,0.913544,0.96758
159,0.825016,0.92328
160,0.74699,0.879715
161,0.84143,0.942816
162,0.906551,0.966522
163,0.810673,0.918314
164,0.782934,0.893907
165,0.865606,0.94633
166,0.916462,0.96827
167,0.812693,0.921343
168,0.720309,0.868701
169,0.831586,0.941795
170,0.903983,0.966803
171,0.802838,0.91696
172,0.783276,0.893976
173,0.84509,0.942946
174,0.913096,0.969545
175,0.820102,0.924255
176,0.757631,0.883748
177,0.83737,0.942589
178,0.907902,0.968736
179,0.81501,0.923914
180,0.78606,0.894558
181,0.856796,0.944148
182,0.920763,0.970787
183,0.82147,0.928421
184,0.757476,0.88441
185,0.836678,0.941301
186,0.915364,0.970612
187,0.827747,0.92901
188,0.777182,0.894095
189,0.846665,0.941467
190,0.931325,0.973639
191,0.825697,0.927758
192,0.741182,0.876195
193,0.832182,0.941665
194,0.922848,0.973441
195,0.821517,0.925517
196,0.791869,0.893752
197,0.846686,0.940258
198,0.923681,0.972089
199,0.823518,0.926713
200,0.761158,0.881163
201,0.832848,0.939884
202,0.917569,0.971325
203,0.822704,0.926526
204,0.785763,0.894208
205,0.839932,0.94012
206,0.932836,0.973764
207,0.826965,0.929975
208,0.753562,0.88067
209,0.831507,0.939921
210,0.924764,0.972436
211,0.825125,0.927446
212,0.78393,0.894348
213,0.849837,0.942359
214,0.9299,0.973844
215,0.831178,0.930083
216,0.737636,0.870097
217,0.832246,0.940667
218,0.922453,0.972524
219,0.818663,0.923082
220,0.793207,0.893444
221,0.84912,0.94292
222,0.92875,0.973047
223,0.826795,0.927329
224,0.759651,0.880754
225,0.834074,0.940764
226,0.915876,0.971255
