Frame, eSSIM, SSIM
0,0.971782,0.975999
1,0.971108,0.978914
2,0.975161,0.983472
3,0.967188,0.97572
4,0.966629,0.972278
5,0.940882,0.972834
6,0.959347,0.979286
7,0.895187,0.966155
8,0.959485,0.968726
9,0.960503,0.974233
10,0.962761,0.97925
11,0.949425,0.969346
12,0.943227,0.962329
13,0.939968,0.970053
14,0.956649,0.978319
15,0.897779,0.964711
16,0.957485,0.966852
17,0.961574,0.974186
18,0.965445,0.979609
19,0.953198,0.96929
20,0.946955,0.962182
21,0.941573,0.9714
22,0.958483,0.979435
23,0.898751,0.966251
24,0.970827,0.975323
25,0.968422,0.977741
26,0.971658,0.982548
27,0.956209,0.971765
28,0.947256,0.964389
29,0.946769,0.972284
30,0.94808,0.979687
31,0.905698,0.966144
32,0.959378,0.968308
33,0.962382,0.974773
34,0.965869,0.980196
35,0.949186,0.967675
36,0.941756,0.95913
37,0.928976,0.96696
38,0.942013,0.977831
39,0.902067,0.959953
40,0.957703,0.966519
41,0.960734,0.973498
42,0.963844,0.97903
43,0.950944,0.967268
44,0.943588,0.958849
45,0.946089,0.971427
46,0.929341,0.978893
47,0.902129,0.965504
48,0.972318,0.976149
49,0.970045,0.978469
50,0.975223,0.983401
51,0.953358,0.971041
52,0.948107,0.963299
53,0.944322,0.972098
54,0.954082,0.979652
55,0.892244,0.964133
56,0.960328,0.968126
57,0.964373,0.97551
58,0.96965,0.981266
59,0.951846,0.969407
60,0.945812,0.961365
61,0.952577,0.972213
62,0.960814,0.979627
63,0.895042,0.962976
64,0.959099,0.967756
65,0.963715,0.975412
66,0.968521,0.980944
67,0.954612,0.969422
68,0.947931,0.962008
69,0.951901,0.972975
70,0.964572,0.980954
71,0.902823,0.965859
72,0.972215,0.975737
73,0.970813,0.979054
74,0.977761,0.984474
75,0.956193,0.971683
76,0.947492,0.96305
77,0.940455,0.972065
78,0.961773,0.980116
79,0.91133,0.966299
80,0.956918,0.966604
81,0.962797,0.974883
82,0.966141,0.980796
83,0.950468,0.968494
84,0.94232,0.959856
85,0.931297,0.969138
86,0.945737,0.977726
87,0.894426,0.961465
88,0.953408,0.964446
89,0.960169,0.973468
90,0.963607,0.978972
91,0.947383,0.966582
92,0.942128,0.959109
93,0.946819,0.970332
94,0.956858,0.978726
95,0.900526,0.961608
96,0.96955,0.974075
97,0.969425,0.977838
98,0.972521,0.982347
99,0.953829,0.970447
100,0.947431,0.962807
101,0.940633,0.969748
102,0.948116,0.976892
103,0.887964,0.96075
104,0.955574,0.96574
105,0.962035,0.974014
106,0.964187,0.979137
107,0.949484,0.967333
108,0.945047,0.960129
109,0.931939,0.968415
110,0.94618,0.975732
111,0.875611,0.957364
112,0.954992,0.965022
113,0.96132,0.973915
114,0.962927,0.978657
115,0.950454,0.967145
116,0.947466,0.960836
117,0.950149,0.972105
118,0.955777,0.978754
119,0.87372,0.958948
120,0.970149,0.974172
121,0.970253,0.977666
122,0.973898,0.982377
123,0.954178,0.969817
124,0.95052,0.963674
125,0.938731,0.971568
126,0.944792,0.976539
127,0.88343,0.959192
128,0.959922,0.968787
129,0.966036,0.976088
130,0.964643,0.979784
131,0.946378,0.966857
132,0.947054,0.961558
133,0.939415,0.969284
134,0.948441,0.975786
135,0.877739,0.956093
136,0.954987,0.965615
137,0.963327,0.974393
138,0.960992,0.977887
139,0.943846,0.964803
140,0.944508,0.960135
141,0.944289,0.970733
142,0.949812,0.976894
143,0.87061,0.9561
144,0.971008,0.975114
145,0.971042,0.978207
146,0.97462,0.982277
147,0.950145,0.969915
148,0.949829,0.964374
149,0.942323,0.970617
150,0.946556,0.977453
151,0.8732,0.959158
152,0.957511,0.966793
153,0.964164,0.975687
154,0.96608,0.980053
155,0.946845,0.966271
156,0.944917,0.95985
157,0.938508,0.968759
158,0.954147,0.977338
159,0.902343,0.960768
160,0.957078,0.966276
161,0.965644,0.975724
162,0.967183,0.979833
163,0.952841,0.967242
164,0.949573,0.961742
165,0.948528,0.971341
166,0.95931,0.979554
167,0.903112,0.963908
168,0.971331,0.975284
169,0.970488,0.978727
170,0.97381,0.98324
171,0.952707,0.970978
172,0.950303,0.965203
173,0.940863,0.968173
174,0.952948,0.978555
175,0.894704,0.962506
176,0.956681,0.966468
177,0.962856,0.975628
178,0.965122,0.980691
179,0.949769,0.967771
180,0.945713,0.959745
181,0.941526,0.969362
182,0.954051,0.978384
183,0.879858,0.959283
184,0.9575,0.96643
185,0.964453,0.976083
186,0.966752,0.980978
187,0.953007,0.96778
188,0.947543,0.959488
189,0.949923,0.97199
190,0.968216,0.982157
191,0.916478,0.966448
192,0.973042,0.976424
193,0.972866,0.980215
194,0.981107,0.985593
195,0.957625,0.970923
196,0.950512,0.962966
197,0.950136,0.972276
198,0.961175,0.980378
199,0.902115,0.961795
200,0.955993,0.965917
201,0.963547,0.976088
202,0.965395,0.981417
203,0.950476,0.967768
204,0.944639,0.95994
205,0.946387,0.970591
206,0.962741,0.98043
207,0.884778,0.962116
208,0.957429,0.966422
209,0.964768,0.976425
210,0.970653,0.981766
211,0.955341,0.968487
212,0.947184,0.960312
213,0.946332,0.97196
214,0.965199,0.98202
215,0.904926,0.965351
216,0.973049,0.976615
217,0.97277,0.980219
218,0.980642,0.985436
219,0.962369,0.973632
220,0.95204,0.965477
221,0.947808,0.971805
222,0.966392,0.981554
223,0.905477,0.966159
224,0.958094,0.96741
225,0.965389,0.976945
226,0.965687,0.981932
227,0.953474,0.969568
228,0.947959,0.96158
229,0.948942,0.972707
230,0.965726,0.98144
231,0.923801,0.966614
232,0.959035,0.967426
233,0.966424,0.977137
234,0.973623,0.982795
235,0.957576,0.96982
236,0.949078,0.961464
237,0.958234,0.975857
238,0.968142,0.98344
239,0.900578,0.965893
240,0.974899,0.978251
241,0.974101,0.981057
242,0.980845,0.985839
243,0.96158,0.973427
244,0.951067,0.964902
245,0.954693,0.975535
246,0.970338,0.982943
247,0.912695,0.968238
248,0.96278,0.969978
249,0.968817,0.978225
250,0.975404,0.983727
251,0.955135,0.970435
252,0.947465,0.962221
253,0.952327,0.974
254,0.960941,0.980818
255,0.909731,0.965258
256,0.959816,0.967926
257,0.965667,0.976952
258,0.969784,0.981996
259,0.960465,0.970828
260,0.950482,0.962569
261,0.96586,0.977945
262,0.972426,0.984073
263,0.910431,0.968864
264,0.976298,0.979474
265,0.974968,0.981669
266,0.983259,0.986397
267,0.966218,0.975484
268,0.953883,0.96751
269,0.959171,0.976812
270,0.965573,0.983011
271,0.910211,0.968309
272,0.965392,0.971409
273,0.970649,0.978922
274,0.976122,0.983722
275,0.963433,0.973113
276,0.953793,0.965575
277,0.960982,0.97629
278,0.96659,0.981916
279,0.905393,0.966251
280,0.964597,0.970826
281,0.970161,0.978504
282,0.974246,0.982875
283,0.962799,0.9721
284,0.953618,0.964737
285,0.959279,0.975726
286,0.97349,0.984051
287,0.904375,0.9684
288,0.975055,0.978324
289,0.974637,0.981379
290,0.982388,0.986229
291,0.964029,0.974033
292,0.954247,0.965849
293,0.934413,0.972495
294,0.959766,0.982362
295,0.892969,0.966115
296,0.961045,0.968225
297,0.966447,0.977271
298,0.971799,0.983017
299,0.958004,0.970343
300,0.946004,0.960685
301,0.943415,0.971002
302,0.967155,0.981843
303,0.916279,0.964431
304,0.958967,0.967178
305,0.966649,0.977012
306,0.971235,0.982592
307,0.953917,0.969172
308,0.945745,0.959422
309,0.949974,0.971486
310,0.965534,0.982799
311,0.905104,0.967249
312,0.973607,0.976831
313,0.971769,0.980185
314,0.981812,0.986141
315,0.962177,0.973198
316,0.947896,0.961517
317,0.949024,0.972223
318,0.971812,0.982932
319,0.911473,0.966423
320,0.960322,0.967668
321,0.966878,0.977149
322,0.972915,0.983573
323,0.957582,0.970247
324,0.946107,0.959921
325,0.946784,0.970758
326,0.965098,0.98156
327,0.900242,0.964265
328,0.9581,0.966248
329,0.965037,0.976286
330,0.969728,0.982914
331,0.957479,0.970224
332,0.947731,0.960113
333,0.946085,0.968573
334,0.96972,0.98285
335,0.916501,0.96832
336,0.971743,0.974924
337,0.971071,0.979114
338,0.979428,0.985826
339,0.960705,0.973473
340,0.949992,0.963412
341,0.945553,0.969996
342,0.965078,0.982793
343,0.905291,0.965382
344,0.958184,0.965857
345,0.965016,0.976016
346,0.97338,0.983522
347,0.954878,0.969762
348,0.945603,0.959955
349,0.938028,0.968261
350,0.96139,0.980953
351,0.905504,0.963852
352,0.956677,0.965229
353,0.962799,0.975359
354,0.966669,0.981867
355,0.953799,0.968668
356,0.944567,0.958237
357,0.946902,0.96976
358,0.967341,0.982223
359,0.911862,0.966915
360,0.970978,0.974332
361,0.969047,0.978029
362,0.974709,0.984125
363,0.95595,0.97113
364,0.944825,0.961155
365,0.942782,0.969066
366,0.960201,0.980821
367,0.908702,0.96544
368,0.955999,0.965679
369,0.960194,0.974722
370,0.96356,0.981252
371,0.95132,0.96779
372,0.941978,0.957418
373,0.934808,0.967493
374,0.958183,0.980075
375,0.922003,0.965542
376,0.957149,0.965113
377,0.960863,0.974708
378,0.966276,0.981796
379,0.953093,0.968672
380,0.944279,0.958734
381,0.950382,0.973274
382,0.966355,0.982267
383,0.911767,0.967115
384,0.972923,0.976067
385,0.971515,0.979305
386,0.976131,0.984366
387,0.960553,0.972333
388,0.947837,0.962673
389,0.940109,0.971001
390,0.958073,0.980873
391,0.894271,0.966032
392,0.961658,0.968568
393,0.966362,0.976709
394,0.969629,0.982426
395,0.955902,0.96977
396,0.945389,0.960013
397,0.936036,0.968853
398,0.960542,0.981253
399,0.905945,0.964421
400,0.961064,0.967497
401,0.965183,0.975932
402,0.971693,0.982768
403,0.957172,0.969782
404,0.947964,0.95977
405,0.94335,0.971107
406,0.957567,0.981854
407,0.914392,0.96769
408,0.971087,0.974564
409,0.970157,0.978626
410,0.975187,0.983976
411,0.951069,0.970133
412,0.943759,0.960181
413,0.923463,0.963534
414,0.94369,0.97775
415,0.911408,0.965192
416,0.949676,0.962456
417,0.953813,0.972377
418,0.961551,0.98013
419,0.948939,0.967044
420,0.939148,0.956084
421,0.923446,0.963977
422,0.949664,0.977802
423,0.907802,0.963785
424,0.951747,0.96355
425,0.955282,0.972804
426,0.957412,0.9791
427,0.950482,0.967997
428,0.94607,0.960444
429,0.936427,0.969302
430,0.959645,0.979961
431,0.908853,0.966116
432,0.970914,0.974866
433,0.971426,0.979169
434,0.973609,0.983358
435,0.952822,0.970318
436,0.948026,0.963057
437,0.925511,0.965805
438,0.946029,0.976752
439,0.899832,0.963012
440,0.956347,0.96559
441,0.960028,0.974127
442,0.960997,0.979898
443,0.948419,0.967674
444,0.942749,0.959568
445,0.925274,0.967205
446,0.949649,0.977979
447,0.894477,0.963712
448,0.957888,0.966302
449,0.962656,0.97506
450,0.969268,0.981277
451,0.95035,0.968163
452,0.94657,0.960237
453,0.931568,0.969727
454,0.959449,0.980058
455,0.912342,0.967036
456,0.972412,0.975703
457,0.97244,0.979515
458,0.976032,0.983931
459,0.955975,0.971851
460,0.950512,0.964341
461,0.941426,0.970627
462,0.958339,0.97952
463,0.918428,0.967474
464,0.959384,0.967564
465,0.961928,0.974564
466,0.964137,0.980123
467,0.946685,0.967502
468,0.943016,0.95965
469,0.936912,0.967552
470,0.953506,0.977169
471,0.904946,0.963896
472,0.957778,0.966289
473,0.961708,0.974163
474,0.963735,0.979432
475,0.949467,0.967185
476,0.945998,0.960057
477,0.942834,0.971232
478,0.958802,0.97929
479,0.903013,0.96596
480,0.972346,0.976043
481,0.971421,0.978919
482,0.971903,0.982198
483,0.954394,0.970782
484,0.947979,0.964589
485,0.942309,0.971019
486,0.952371,0.977707
487,0.912673,0.966227
488,0.961024,0.968358
489,0.962976,0.974573
490,0.961413,0.979116
491,0.947915,0.967287
492,0.944049,0.960951
493,0.9357,0.968402
494,0.946991,0.975837
495,0.901843,0.961891
496,0.959043,0.967104
497,0.962143,0.973749
498,0.960388,0.978076
499,0.950807,0.9683
500,0.948515,0.962105
501,0.943823,0.97087
502,0.960497,0.97948
503,0.894415,0.965388
504,0.973478,0.976897
505,0.971724,0.978771
506,0.972278,0.98271
507,0.954966,0.971445
508,0.949791,0.965228
509,0.939149,0.971488
510,0.950337,0.977623
511,0.906846,0.965619
512,0.963069,0.969959
513,0.965124,0.975471
514,0.963589,0.979764
515,0.95154,0.969808
516,0.951132,0.963974
517,0.944691,0.9711
518,0.950872,0.977568
519,0.910576,0.966163
520,0.963474,0.970053
