Frame, eSSIM, SSIM
0,0.836225,0.940147
1,0.88492,0.96328
2,0.941468,0.977627
3,0.852771,0.952231
4,0.833847,0.936707
5,0.876531,0.958534
6,0.939998,0.97654
7,0.84594,0.948312
8,0.831216,0.932416
9,0.879759,0.95844
10,0.939449,0.976201
11,0.837502,0.944318
12,0.811755,0.918261
13,0.876024,0.954882
14,0.943584,0.976715
15,0.853779,0.949647
16,0.805885,0.917216
17,0.8523,0.949562
18,0.94274,0.975578
19,0.850897,0.947115
20,0.828855,0.925925
21,0.874052,0.954982
22,0.942479,0.975937
23,0.841933,0.945116
24,0.831691,0.931212
25,0.886658,0.959136
26,0.944895,0.976696
27,0.855561,0.950607
28,0.836625,0.932363
29,0.890508,0.959835
30,0.940382,0.976331
31,0.855077,0.949795
32,0.839636,0.932436
33,0.8875,0.959232
34,0.938077,0.975925
35,0.855662,0.949024
36,0.842411,0.93381
37,0.89532,0.960633
38,0.932448,0.974303
39,0.855586,0.948282
40,0.847476,0.935026
41,0.899167,0.960698
42,0.928643,0.97385
43,0.862096,0.950223
44,0.853559,0.938032
45,0.905621,0.962313
46,0.931317,0.974646
47,0.870338,0.952443
48,0.856249,0.93827
49,0.903347,0.961947
50,0.932019,0.975191
51,0.869481,0.951615
52,0.848696,0.935361
53,0.898551,0.961259
54,0.932458,0.975382
55,0.874465,0.953117
56,0.849691,0.935784
57,0.885275,0.95919
58,0.934446,0.975783
59,0.875791,0.954377
60,0.862223,0.939957
61,0.894498,0.961366
62,0.936398,0.976867
63,0.870856,0.954562
64,0.867716,0.942928
65,0.912268,0.9651
66,0.936488,0.97731
67,0.877009,0.956592
68,0.862598,0.943124
69,0.916531,0.966909
70,0.941704,0.97783
71,0.879324,0.958276
72,0.870576,0.946015
73,0.91846,0.968414
74,0.944697,0.978287
75,0.880633,0.959513
76,0.871468,0.949118
77,0.920985,0.96859
78,0.946655,0.978822
79,0.880969,0.960337
80,0.878645,0.951612
81,0.924292,0.969988
82,0.948551,0.979531
83,0.894297,0.962705
84,0.886136,0.953544
85,0.927937,0.970836
86,0.94975,0.979884
87,0.891243,0.963072
88,0.888596,0.953934
89,0.928841,0.971124
90,0.950634,0.979789
91,0.894537,0.963556
92,0.885995,0.953909
93,0.930049,0.970582
94,0.950971,0.979734
95,0.895479,0.963157
96,0.888005,0.954124
97,0.929554,0.971072
98,0.950871,0.97989
99,0.896238,0.962549
100,0.889081,0.95424
101,0.930422,0.971557
102,0.952031,0.98018
103,0.894568,0.963327
104,0.891254,0.954191
105,0.932299,0.971685
106,0.952786,0.980123
107,0.899097,0.964449
108,0.891264,0.955822
109,0.933525,0.972056
110,0.953143,0.980403
111,0.901011,0.964915
112,0.895511,0.957357
113,0.934426,0.972713
114,0.953408,0.980516
115,0.90356,0.965324
116,0.896357,0.957861
117,0.936086,0.973133
118,0.953075,0.98078
119,0.90285,0.965594
120,0.900542,0.957733
121,0.93758,0.973372
122,0.953951,0.98094
123,0.909691,0.966185
124,0.899149,0.9577
125,0.936659,0.972974
126,0.954158,0.980889
127,0.905117,0.965698
128,0.900842,0.957832
129,0.936803,0.973203
130,0.9541,0.98091
131,0.907162,0.965326
132,0.8983,0.957655
133,0.93636,0.973231
134,0.954,0.980976
135,0.903639,0.965238
136,0.902371,0.957739
137,0.93644,0.973165
138,0.954412,0.980902
139,0.909064,0.965903
140,0.898837,0.957699
141,0.93881,0.973387
142,0.953743,0.980909
143,0.907039,0.966044
144,0.904267,0.95859
145,0.937675,0.973423
146,0.953901,0.980991
147,0.910434,0.966211
148,0.907738,0.95901
149,0.938846,0.973604
150,0.953298,0.980981
151,0.909424,0.965998
152,0.911404,0.959075
153,0.939626,0.973768
154,0.953895,0.981029
155,0.913707,0.966607
156,0.906305,0.958652
157,0.940712,0.973824
158,0.954184,0.981144
159,0.913741,0.966574
160,0.909963,0.958665
161,0.941188,0.973648
162,0.954784,0.981276
163,0.914863,0.966354
164,0.908664,0.958939
165,0.940544,0.973865
166,0.955189,0.981173
167,0.912356,0.965695
168,0.909516,0.958511
169,0.941518,0.9741
170,0.955729,0.98132
171,0.915864,0.966031
172,0.911895,0.958548
173,0.941266,0.974122
174,0.955549,0.981202
175,0.915181,0.966071
176,0.914413,0.959684
177,0.941557,0.974029
178,0.957761,0.981273
179,0.918408,0.966985
180,0.913237,0.959371
181,0.941809,0.974133
182,0.959727,0.981563
183,0.917367,0.966907
184,0.915358,0.960139
185,0.941173,0.973904
186,0.958958,0.98134
187,0.920276,0.967543
188,0.914619,0.959755
189,0.94062,0.97369
190,0.960488,0.981655
191,0.916395,0.967493
192,0.913161,0.959482
193,0.940009,0.973606
194,0.960208,0.981436
195,0.923424,0.966673
196,0.916191,0.959519
197,0.946977,0.975349
198,0.958838,0.980883
199,0.921161,0.965556
200,0.89576,0.952937
201,0.94738,0.974653
202,0.950346,0.979369
203,0.900702,0.961556
204,0.89499,0.954628
205,0.939984,0.973748
206,0.951144,0.979379
207,0.895153,0.958092
208,0.863469,0.944674
209,0.938513,0.973526
210,0.949798,0.97934
211,0.885423,0.955421
212,0.883428,0.950087
213,0.947714,0.974978
214,0.960276,0.981097
215,0.910271,0.96333
216,0.918096,0.961693
217,0.950333,0.97607
218,0.963346,0.982221
219,0.918964,0.968236
220,0.916201,0.961849
221,0.951334,0.976394
222,0.962534,0.982283
223,0.930033,0.969569
224,0.919433,0.962336
225,0.948891,0.976082
226,0.958099,0.981489
227,0.928342,0.968603
228,0.927059,0.963351
229,0.947063,0.975607
230,0.958421,0.981591
231,0.923514,0.967273
232,0.901281,0.958128
233,0.942848,0.974953
234,0.957253,0.981696
235,0.917831,0.968137
236,0.917213,0.962249
237,0.950982,0.976714
238,0.957753,0.98213
239,0.932383,0.970353
240,0.935338,0.966222
241,0.955932,0.977439
242,0.960661,0.98256
243,0.938268,0.971794
244,0.932638,0.966393
245,0.956227,0.977884
246,0.962404,0.98289
247,0.937732,0.972007
248,0.933169,0.966486
249,0.956924,0.977908
250,0.963028,0.982994
251,0.939221,0.971992
252,0.931732,0.966412
253,0.955064,0.977547
254,0.960854,0.982692
255,0.937524,0.971832
256,0.926758,0.96466
257,0.951257,0.976817
258,0.960138,0.9824
259,0.925173,0.968878
260,0.917231,0.962543
261,0.941033,0.975167
262,0.957431,0.981945
