Frame, eSSIM, SSIM
0,0.899693,0.930981
1,0.89726,0.94809
2,0.916835,0.9608
3,0.906717,0.940344
4,0.893255,0.928645
5,0.902198,0.949169
6,0.917426,0.960876
7,0.905547,0.940152
8,0.886036,0.926913
9,0.895266,0.948006
10,0.914241,0.960211
11,0.877847,0.933514
12,0.873309,0.922785
13,0.891832,0.946628
14,0.900314,0.957094
15,0.902031,0.939571
16,0.88955,0.929797
17,0.905316,0.9512
18,0.917203,0.96092
19,0.913723,0.941782
20,0.90612,0.93358
21,0.915771,0.954373
22,0.920342,0.961837
23,0.915995,0.942777
24,0.919828,0.938666
25,0.924354,0.956934
26,0.926829,0.963909
27,0.921828,0.946117
28,0.927604,0.941471
29,0.934053,0.960872
30,0.932377,0.964607
31,0.9332,0.949205
32,0.931688,0.943674
33,0.937063,0.962106
34,0.936983,0.96615
35,0.927149,0.945904
36,0.930058,0.942559
37,0.938216,0.962567
38,0.940074,0.966997
39,0.935561,0.949697
40,0.936285,0.945707
41,0.940609,0.963114
42,0.938168,0.966284
43,0.934625,0.948718
44,0.938841,0.947353
45,0.941924,0.964074
46,0.941591,0.967642
47,0.937946,0.950831
48,0.936895,0.945652
49,0.941929,0.964512
50,0.940179,0.966704
51,0.938788,0.950205
52,0.938933,0.946805
53,0.945936,0.965941
54,0.944247,0.967821
55,0.937739,0.94946
56,0.938972,0.946963
57,0.946381,0.966372
58,0.943911,0.968484
59,0.937509,0.950199
60,0.939836,0.94805
61,0.94393,0.964763
62,0.943584,0.967686
63,0.936335,0.949233
64,0.941598,0.948981
65,0.947655,0.96643
66,0.946524,0.968688
67,0.940724,0.951674
68,0.940569,0.947882
69,0.947413,0.966823
70,0.945775,0.968397
71,0.939457,0.950496
72,0.93928,0.947277
73,0.947525,0.966632
74,0.945862,0.968519
75,0.936702,0.949034
76,0.938342,0.947124
77,0.947724,0.966958
78,0.946872,0.968903
79,0.9398,0.950495
80,0.941226,0.948624
81,0.949316,0.967535
82,0.946857,0.968605
83,0.941045,0.95086
84,0.94365,0.949979
85,0.949058,0.967331
86,0.94718,0.968554
87,0.942005,0.951219
88,0.940009,0.947891
89,0.947174,0.966705
90,0.944618,0.96783
91,0.944289,0.953671
92,0.943396,0.95023
93,0.950499,0.967802
94,0.949591,0.969854
95,0.941282,0.950772
96,0.94391,0.950372
97,0.950985,0.968566
98,0.948622,0.969628
99,0.942312,0.952208
100,0.945146,0.951553
101,0.947411,0.966928
102,0.943879,0.967581
103,0.938745,0.949743
104,0.9441,0.95068
105,0.948505,0.967164
106,0.946546,0.968793
107,0.942067,0.952568
108,0.944383,0.950878
109,0.949848,0.967911
110,0.94599,0.968331
111,0.941202,0.951511
112,0.942636,0.949739
113,0.949082,0.967749
114,0.945745,0.9685
115,0.938974,0.950163
116,0.941651,0.949333
117,0.95047,0.968552
118,0.948588,0.968976
119,0.941951,0.951426
120,0.944738,0.951186
121,0.94998,0.968093
122,0.946424,0.968519
123,0.940961,0.950914
124,0.944063,0.950938
125,0.949168,0.967946
126,0.945907,0.968445
127,0.940763,0.951445
128,0.94153,0.949448
129,0.947558,0.967472
130,0.944087,0.967778
131,0.943376,0.952673
132,0.944725,0.951246
133,0.953004,0.969863
134,0.950271,0.970144
135,0.940601,0.951219
136,0.943762,0.950739
137,0.951814,0.969377
138,0.948727,0.96918
139,0.942289,0.951788
140,0.94562,0.952037
141,0.952409,0.969457
142,0.948492,0.969084
143,0.94231,0.95166
144,0.945252,0.951977
145,0.94967,0.968882
146,0.94588,0.968549
147,0.941697,0.951763
148,0.943027,0.950581
149,0.948014,0.96816
150,0.943454,0.967707
151,0.94117,0.95166
152,0.943917,0.950866
153,0.95135,0.96924
154,0.946374,0.968689
155,0.941703,0.951907
156,0.944446,0.951247
157,0.950904,0.96877
158,0.944879,0.968488
159,0.939586,0.950891
160,0.943875,0.950902
161,0.948045,0.967824
162,0.943644,0.967776
163,0.939208,0.950827
164,0.945628,0.952226
165,0.950656,0.96874
166,0.94596,0.968811
167,0.942024,0.952592
168,0.944223,0.951175
169,0.950561,0.968601
170,0.946455,0.968764
171,0.939729,0.951367
172,0.943145,0.950643
173,0.95018,0.96868
174,0.944586,0.968264
175,0.936681,0.949774
176,0.940932,0.94924
177,0.948776,0.968014
178,0.945567,0.968081
179,0.939122,0.950618
180,0.944126,0.95108
181,0.948954,0.96748
182,0.944501,0.967599
183,0.940213,0.951111
184,0.943285,0.950574
185,0.947191,0.966961
186,0.942516,0.967211
187,0.938866,0.950755
188,0.939816,0.948836
189,0.943661,0.965895
190,0.939136,0.966446
191,0.940239,0.95142
192,0.942902,0.950251
193,0.948929,0.968166
194,0.943906,0.967874
195,0.940841,0.951721
196,0.943694,0.950994
197,0.949939,0.968782
198,0.943457,0.968138
199,0.938644,0.951129
200,0.943921,0.951404
201,0.946744,0.967647
202,0.941433,0.967035
203,0.938295,0.95039
204,0.94486,0.951861
205,0.948724,0.968274
206,0.944121,0.967972
207,0.941505,0.951982
208,0.944572,0.951577
209,0.948802,0.968278
210,0.944813,0.968116
211,0.939855,0.951072
212,0.942755,0.950272
213,0.948577,0.968193
214,0.944466,0.968006
215,0.93768,0.949989
216,0.940976,0.949645
217,0.946937,0.967731
218,0.944229,0.96793
219,0.939151,0.950621
220,0.943432,0.951122
221,0.94715,0.967156
222,0.943378,0.968157
223,0.940215,0.952882
224,0.944188,0.951557
225,0.94794,0.967461
226,0.943304,0.967343
227,0.940126,0.95171
228,0.944169,0.951694
229,0.945584,0.96684
230,0.940635,0.967336
231,0.938867,0.951143
232,0.942596,0.950158
233,0.948047,0.967513
234,0.941501,0.966668
235,0.93743,0.951135
236,0.941424,0.950074
237,0.946168,0.966953
238,0.93927,0.966211
239,0.93685,0.949548
240,0.943068,0.950682
241,0.945353,0.966867
242,0.939244,0.966691
243,0.937046,0.95065
244,0.941738,0.949787
245,0.943269,0.96552
246,0.937178,0.965289
247,0.936029,0.949683
248,0.937009,0.947019
249,0.93904,0.964097
250,0.933497,0.964197
251,0.934249,0.948809
252,0.939873,0.948276
253,0.943808,0.965924
254,0.937232,0.965632
255,0.928782,0.947012
256,0.936129,0.947368
257,0.939944,0.964239
258,0.933543,0.964512
259,0.930617,0.947385
260,0.938193,0.947708
261,0.937099,0.9636
262,0.927093,0.962129
263,0.923347,0.944516
264,0.937879,0.94738
265,0.939355,0.964384
266,0.9317,0.964122
267,0.930564,0.947384
268,0.930683,0.944187
269,0.932924,0.961996
270,0.924944,0.961658
271,0.926758,0.94641
272,0.93366,0.945527
273,0.932149,0.962451
274,0.925412,0.96239
275,0.925069,0.945198
276,0.933598,0.945441
277,0.936497,0.962515
278,0.930476,0.963112
279,0.92931,0.94678
280,0.936716,0.946744
281,0.935734,0.962394
282,0.926326,0.961661
283,0.927049,0.945864
284,0.937334,0.947297
285,0.936868,0.962975
286,0.928707,0.962552
287,0.929394,0.947053
288,0.937607,0.947869
289,0.936533,0.962517
290,0.929586,0.963174
291,0.928915,0.94713
292,0.936409,0.946578
293,0.93797,0.963657
294,0.929261,0.963019
295,0.928693,0.947288
296,0.935676,0.946635
297,0.935076,0.961889
298,0.925354,0.961141
299,0.925115,0.944878
300,0.933096,0.945116
301,0.93418,0.962563
302,0.929723,0.962683
303,0.928706,0.947109
304,0.937274,0.947106
305,0.937435,0.963415
306,0.930102,0.962654
307,0.92975,0.946588
308,0.934261,0.94614
309,0.936719,0.962519
310,0.930858,0.962898
311,0.929603,0.946704
312,0.935688,0.946141
313,0.938027,0.96365
314,0.930317,0.96263
315,0.926993,0.944975
316,0.93271,0.94535
317,0.937469,0.963331
318,0.930251,0.962187
319,0.930041,0.946536
320,0.937488,0.947384
321,0.936363,0.962858
322,0.929132,0.962054
323,0.929957,0.946534
324,0.937396,0.947678
325,0.935073,0.963039
326,0.92841,0.962037
327,0.930726,0.946634
328,0.933573,0.945787
329,0.932662,0.962189
330,0.925009,0.960617
331,0.930522,0.946751
332,0.940103,0.949202
333,0.943802,0.969391
334,0.95358,0.972384
335,0.937996,0.950563
336,0.940474,0.95006
337,0.94669,0.968284
338,0.943601,0.968635
339,0.939306,0.95099
340,0.942161,0.950893
341,0.945518,0.967899
342,0.938294,0.966659
343,0.936299,0.949912
344,0.939237,0.949336
345,0.941649,0.966378
346,0.936353,0.96551
347,0.934231,0.948658
348,0.938273,0.94886
349,0.940159,0.966031
350,0.93477,0.964904
351,0.932871,0.948326
352,0.938129,0.948783
353,0.94041,0.966044
354,0.933581,0.964531
355,0.926246,0.945504
356,0.932036,0.947062
357,0.935381,0.963628
358,0.929775,0.962785
359,0.92932,0.946832
360,0.93604,0.947627
361,0.934649,0.96279
362,0.927416,0.961165
363,0.928577,0.94589
364,0.932235,0.945771
365,0.929536,0.960749
366,0.923194,0.959653
367,0.925191,0.944882
368,0.927208,0.943802
369,0.926421,0.959335
370,0.918779,0.957881
371,0.922973,0.94427
372,0.93225,0.945262
373,0.931309,0.960714
374,0.922873,0.959512
375,0.923131,0.943683
376,0.931326,0.944303
377,0.928015,0.959773
378,0.921545,0.958431
379,0.924353,0.944097
380,0.930567,0.94487
381,0.924421,0.957881
382,0.917106,0.956773
383,0.920291,0.942757
384,0.930582,0.944509
385,0.926797,0.959119
386,0.919821,0.958107
387,0.923467,0.943881
388,0.929921,0.944048
389,0.928665,0.960048
390,0.920467,0.95805
391,0.922344,0.943029
392,0.930706,0.94412
393,0.929238,0.960187
394,0.921167,0.958258
395,0.917896,0.941019
396,0.925433,0.942319
397,0.927065,0.95965
398,0.919315,0.957297
399,0.919783,0.941765
400,0.931295,0.944431
401,0.929255,0.959882
402,0.919522,0.957445
403,0.921308,0.942269
404,0.932548,0.945432
405,0.929275,0.95995
406,0.919863,0.957555
407,0.922151,0.942914
408,0.927422,0.942782
409,0.923363,0.95832
410,0.914771,0.955531
411,0.922443,0.943131
412,0.931971,0.945163
413,0.930206,0.960638
414,0.920193,0.957481
415,0.922461,0.943003
416,0.93229,0.945703
417,0.932462,0.962457
418,0.925676,0.959632
419,0.923718,0.944606
420,0.935811,0.948464
421,0.933876,0.961755
422,0.921931,0.957325
423,0.922501,0.942715
424,0.935006,0.947865
425,0.931378,0.96071
426,0.922051,0.957363
427,0.925515,0.94456
428,0.924975,0.943247
429,0.924284,0.9585
430,0.913769,0.95417
431,0.923316,0.943586
432,0.932223,0.945925
433,0.932218,0.961069
434,0.92208,0.957275
435,0.919002,0.941133
436,0.930988,0.945583
437,0.931989,0.961526
438,0.921019,0.95724
439,0.921156,0.943034
440,0.933098,0.946855
441,0.927897,0.959193
442,0.914286,0.954179
443,0.918674,0.940604
444,0.934943,0.947283
445,0.93129,0.960874
446,0.919113,0.956063
447,0.922021,0.942527
448,0.931148,0.945018
449,0.929942,0.960715
450,0.919803,0.956084
451,0.917296,0.939856
452,0.926113,0.943413
453,0.928874,0.959395
454,0.918173,0.954359
455,0.920591,0.941829
456,0.932893,0.946645
457,0.931912,0.961762
458,0.919975,0.955784
459,0.920082,0.941436
460,0.933032,0.947123
461,0.928869,0.959522
462,0.915522,0.954463
463,0.917706,0.940695
464,0.93264,0.946496
465,0.931054,0.959636
466,0.920217,0.955054
467,0.921746,0.942008
468,0.930018,0.944986
469,0.929843,0.960047
470,0.918744,0.955044
471,0.918303,0.940685
472,0.92794,0.944232
473,0.927722,0.958991
474,0.917172,0.9539
475,0.917358,0.940259
476,0.931997,0.946421
477,0.927974,0.960653
478,0.916608,0.954885
479,0.919192,0.941675
480,0.931658,0.946886
481,0.927342,0.959992
482,0.916951,0.955681
483,0.919291,0.943143
484,0.937702,0.950896
485,0.93332,0.961576
486,0.920785,0.956739
487,0.924053,0.946231
488,0.932603,0.946808
489,0.932562,0.962159
490,0.918334,0.955498
491,0.923923,0.944771
492,0.935555,0.949066
493,0.932915,0.962401
494,0.920403,0.956426
495,0.916253,0.940498
496,0.933057,0.947525
497,0.927107,0.96103
498,0.916647,0.954871
499,0.919249,0.942363
500,0.933843,0.948735
501,0.9239,0.957875
502,0.906225,0.949033
503,0.90894,0.936719
504,0.933016,0.947902
505,0.927416,0.959016
506,0.913963,0.953832
507,0.91757,0.942547
508,0.92819,0.944472
509,0.927814,0.959652
510,0.913485,0.952735
511,0.915659,0.93952
512,0.92869,0.944247
513,0.927123,0.959474
514,0.913205,0.952482
515,0.910621,0.936892
516,0.923472,0.942675
517,0.925325,0.957764
518,0.912908,0.951775
519,0.912992,0.938079
520,0.928768,0.944938
521,0.92556,0.957789
522,0.911682,0.952277
523,0.915709,0.938998
524,0.932928,0.948355
525,0.927441,0.959547
526,0.914268,0.954649
527,0.918425,0.943057
528,0.930051,0.945682
529,0.924877,0.9582
530,0.912242,0.953625
531,0.914954,0.939785
532,0.927564,0.944484
533,0.925377,0.958491
534,0.911276,0.951891
535,0.913366,0.938628
536,0.930578,0.945651
537,0.925103,0.95902
538,0.909868,0.951947
539,0.911895,0.938037
540,0.928431,0.945
541,0.920628,0.956668
542,0.905172,0.949588
543,0.909219,0.936999
544,0.929881,0.945345
545,0.924407,0.958026
546,0.911148,0.952514
547,0.915438,0.939785
548,0.927023,0.944044
549,0.925414,0.958853
550,0.91281,0.953166
551,0.917785,0.942482
552,0.926678,0.94466
553,0.925706,0.959681
554,0.916259,0.955375
555,0.920945,0.942597
556,0.932337,0.946837
557,0.929994,0.961795
558,0.917767,0.955424
559,0.919461,0.94159
560,0.934104,0.947975
561,0.927292,0.960212
562,0.910804,0.951241
563,0.916338,0.940087
564,0.936306,0.949692
565,0.931489,0.962288
566,0.918197,0.955794
567,0.921767,0.94315
568,0.934445,0.948291
569,0.931221,0.961801
570,0.917601,0.954864
571,0.919708,0.941743
572,0.933136,0.947316
573,0.930766,0.962178
574,0.917339,0.955034
575,0.917313,0.940897
576,0.931023,0.946817
577,0.92806,0.961234
578,0.916647,0.954943
579,0.91903,0.94121
580,0.934735,0.948879
581,0.930329,0.961872
582,0.916946,0.954805
583,0.918177,0.940816
584,0.932531,0.947654
585,0.926898,0.960349
586,0.916231,0.954441
587,0.919888,0.941467
588,0.93216,0.947143
589,0.926948,0.961031
590,0.913858,0.953487
591,0.91623,0.940605
592,0.930386,0.946129
593,0.923398,0.959274
594,0.91024,0.951828
595,0.923623,0.948261
596,0.938519,0.952504
597,0.931921,0.962896
598,0.91882,0.957545
599,0.920408,0.946899
600,0.936539,0.951838
601,0.933507,0.963429
602,0.917567,0.956226
603,0.920141,0.942889
604,0.939795,0.9521
605,0.934328,0.963251
606,0.920749,0.956518
607,0.923367,0.944978
608,0.938746,0.951504
609,0.932789,0.962316
610,0.92034,0.955487
611,0.922345,0.943568
612,0.935815,0.949548
613,0.933325,0.96308
614,0.919466,0.955455
615,0.919475,0.942452
616,0.934441,0.949494
617,0.931823,0.962848
618,0.919214,0.955822
619,0.922009,0.943786
620,0.939807,0.952229
621,0.933655,0.963507
622,0.922861,0.959517
623,0.922506,0.94761
624,0.938615,0.952755
625,0.932293,0.962633
626,0.918205,0.956812
627,0.921652,0.946733
628,0.937362,0.951376
629,0.930516,0.960944
630,0.916219,0.954578
631,0.917513,0.942173
632,0.93534,0.949402
633,0.929813,0.961588
634,0.91321,0.952667
635,0.915173,0.942692
636,0.933926,0.949455
637,0.925067,0.958548
638,0.901924,0.947952
639,0.906933,0.938462
