Frame, eSSIM, SSIM
0,0.712205,0.872732
1,0.776356,0.913067
2,0.808439,0.94108
3,0.79948,0.918218
4,0.768308,0.890202
5,0.787464,0.917019
6,0.808906,0.941161
7,0.810547,0.919903
8,0.780286,0.89575
9,0.79454,0.919339
10,0.809274,0.940341
11,0.79009,0.912891
12,0.775053,0.893287
13,0.797851,0.919324
14,0.801078,0.935448
15,0.804197,0.91993
16,0.77549,0.898201
17,0.810882,0.925573
18,0.82513,0.943242
19,0.810849,0.921151
20,0.77859,0.899351
21,0.798789,0.921348
22,0.815908,0.941473
23,0.810934,0.920791
24,0.708933,0.872604
25,0.770632,0.91288
26,0.808131,0.941135
27,0.799656,0.918948
28,0.76687,0.889493
29,0.782225,0.915325
30,0.805822,0.938571
31,0.810795,0.921228
32,0.785455,0.896813
33,0.797567,0.920736
34,0.816465,0.941729
35,0.813027,0.920802
36,0.788011,0.899108
37,0.806598,0.923919
38,0.825331,0.942755
39,0.814889,0.922824
40,0.792052,0.901875
41,0.804732,0.923579
42,0.817132,0.942287
43,0.811278,0.921009
44,0.782335,0.901541
45,0.795444,0.921091
46,0.820451,0.943742
47,0.822384,0.924604
48,0.702278,0.870528
49,0.764107,0.911499
50,0.803729,0.941472
51,0.803883,0.92002
52,0.768737,0.890409
53,0.778198,0.915081
54,0.807494,0.941929
55,0.810468,0.922575
56,0.785173,0.897107
57,0.79442,0.92024
58,0.798807,0.934126
59,0.786772,0.910742
60,0.762471,0.888757
61,0.789291,0.916763
62,0.809178,0.940163
63,0.801297,0.918115
64,0.77553,0.89442
65,0.790689,0.919354
66,0.798789,0.936626
67,0.799478,0.916426
68,0.776895,0.897487
69,0.79125,0.919291
70,0.805163,0.939626
71,0.789589,0.915294
72,0.699335,0.868262
73,0.763428,0.909892
74,0.793017,0.936249
75,0.794238,0.91655
76,0.763158,0.888831
77,0.795881,0.918565
78,0.801515,0.936649
79,0.791823,0.914943
80,0.776602,0.892355
81,0.791274,0.918097
82,0.809436,0.93956
83,0.809209,0.92065
84,0.776938,0.896514
85,0.792494,0.920346
86,0.808455,0.940139
87,0.811439,0.921263
88,0.780703,0.898042
89,0.793954,0.921209
90,0.805726,0.939675
91,0.804677,0.920515
92,0.772572,0.897605
93,0.791834,0.918837
94,0.807813,0.940317
95,0.794542,0.918015
96,0.697751,0.867723
97,0.778898,0.913323
98,0.811869,0.940061
99,0.79644,0.91723
100,0.764724,0.888055
101,0.786861,0.915208
102,0.805877,0.939232
103,0.800607,0.917761
104,0.776333,0.893431
105,0.790266,0.917822
106,0.810464,0.939834
107,0.812618,0.920538
108,0.782004,0.896526
109,0.791337,0.918854
110,0.806108,0.939192
111,0.805717,0.920163
112,0.770933,0.895076
113,0.794201,0.920041
114,0.808103,0.939604
115,0.804823,0.919954
116,0.773235,0.897143
117,0.75107,0.902858
118,0.79226,0.935429
119,0.78907,0.916417
120,0.683421,0.859822
121,0.760251,0.904462
122,0.798595,0.935965
123,0.792032,0.914064
124,0.747083,0.880194
125,0.763861,0.90707
126,0.798286,0.935649
127,0.794821,0.914492
128,0.766398,0.887543
129,0.777024,0.910987
130,0.800301,0.935554
131,0.798348,0.917037
132,0.774195,0.892892
133,0.783514,0.914356
134,0.797462,0.93538
135,0.797777,0.917751
136,0.776322,0.894885
137,0.79341,0.917411
138,0.8034,0.936191
139,0.798665,0.917798
140,0.764027,0.893373
141,0.774655,0.908712
142,0.796995,0.934708
143,0.794811,0.91572
144,0.669106,0.851062
145,0.742001,0.897588
146,0.777593,0.930323
147,0.770682,0.908404
148,0.742763,0.876562
149,0.760371,0.903344
150,0.784518,0.931306
151,0.784255,0.912036
152,0.756688,0.883717
153,0.769344,0.90721
154,0.78642,0.93128
155,0.789065,0.913128
156,0.76401,0.887758
157,0.777529,0.909387
158,0.794521,0.931442
159,0.789682,0.913559
160,0.769056,0.889361
161,0.779559,0.911073
162,0.791793,0.931437
163,0.793508,0.914748
164,0.755416,0.888444
165,0.766235,0.904589
166,0.787008,0.930277
167,0.794118,0.914821
168,0.661459,0.844884
169,0.729536,0.89124
170,0.771629,0.926655
171,0.772817,0.90721
172,0.738529,0.873439
173,0.750097,0.897676
174,0.776417,0.927349
175,0.783467,0.910593
176,0.753537,0.879855
177,0.769575,0.904024
178,0.785428,0.928255
179,0.782745,0.910929
180,0.765696,0.885239
181,0.767505,0.904049
182,0.78168,0.927351
183,0.78582,0.911995
184,0.751776,0.883393
185,0.76419,0.903465
186,0.780231,0.926708
187,0.788509,0.912536
188,0.755074,0.885393
189,0.758905,0.899099
190,0.782643,0.927183
191,0.773704,0.909192
192,0.656352,0.841115
193,0.724245,0.887232
194,0.768852,0.924446
195,0.773289,0.906989
196,0.739326,0.872255
197,0.758615,0.899249
198,0.782544,0.927125
199,0.780514,0.910065
200,0.757786,0.881415
201,0.762866,0.902014
202,0.77732,0.925256
203,0.78681,0.911991
204,0.758612,0.884278
205,0.763449,0.902986
206,0.775331,0.925522
207,0.790118,0.912439
208,0.76042,0.886753
209,0.770714,0.906202
210,0.776225,0.926009
211,0.786705,0.912538
212,0.759964,0.888227
213,0.763816,0.901532
214,0.779925,0.926515
215,0.76945,0.908682
216,0.652961,0.839969
217,0.736529,0.889605
218,0.773927,0.92433
219,0.766669,0.905105
220,0.730817,0.869222
221,0.752007,0.895913
222,0.777857,0.924808
223,0.777119,0.907843
224,0.743897,0.876301
225,0.751947,0.896976
226,0.772201,0.924141
227,0.779452,0.909837
228,0.754975,0.881652
229,0.760969,0.900021
230,0.773168,0.923761
231,0.778983,0.909377
232,0.752747,0.882127
233,0.760431,0.900654
234,0.771617,0.922837
235,0.778291,0.911
236,0.739334,0.880609
237,0.719133,0.879875
238,0.763428,0.921034
239,0.764001,0.905478
240,0.64934,0.835866
241,0.725655,0.881916
242,0.766221,0.92003
243,0.763114,0.903592
244,0.723674,0.864191
245,0.733898,0.885024
246,0.765741,0.920103
247,0.770184,0.905363
248,0.743905,0.873014
