Frame, eSSIM, SSIM
0,1,1
1,1,1
2,1,1
3,0.98378,0.995851
4,0.975056,0.990535
5,0.927214,0.977633
6,0.978852,0.992507
7,0.947875,0.98473
8,0.855746,0.938752
9,0.866354,0.953267
10,0.965223,0.987554
11,0.933013,0.977698
12,0.894573,0.954549
13,0.903505,0.963855
14,0.945663,0.979397
15,0.941418,0.977878
16,0.905705,0.961064
17,0.908791,0.963283
18,0.944495,0.97761
19,0.944591,0.973631
20,0.904875,0.961563
21,0.878748,0.950753
22,0.928507,0.965438
23,0.937605,0.968974
24,0.873003,0.944725
25,0.873437,0.943966
26,0.919878,0.960411
27,0.912501,0.953679
28,0.856766,0.937384
29,0.848603,0.931051
30,0.900384,0.950786
31,0.910038,0.954269
32,0.831622,0.920159
33,0.836229,0.925102
34,0.899661,0.945672
35,0.8988,0.944819
36,0.843494,0.927054
37,0.826194,0.915789
38,0.899361,0.941866
39,0.900373,0.943309
40,0.828037,0.915385
41,0.832695,0.921294
42,0.900112,0.943287
43,0.888067,0.929157
44,0.824036,0.913127
45,0.824697,0.914399
46,0.898866,0.939915
47,0.892948,0.937948
48,0.8001,0.887406
49,0.811849,0.906677
50,0.887911,0.934458
51,0.87843,0.925487
52,0.808308,0.902555
53,0.791259,0.894369
54,0.885008,0.929186
55,0.873942,0.923192
56,0.795969,0.885901
57,0.807438,0.904331
58,0.890087,0.934352
59,0.858444,0.903954
60,0.793942,0.885343
61,0.794494,0.895152
62,0.88554,0.930057
63,0.871895,0.921666
64,0.769393,0.85662
65,0.792059,0.893123
66,0.882111,0.926983
67,0.853697,0.90654
68,0.783879,0.882302
69,0.774024,0.879749
70,0.872879,0.917174
71,0.849745,0.904688
72,0.772776,0.863893
73,0.792566,0.893239
74,0.884813,0.926783
75,0.834412,0.885346
76,0.779617,0.875098
77,0.788861,0.889602
78,0.871371,0.918141
79,0.855927,0.911543
80,0.759249,0.852023
81,0.784556,0.889911
82,0.869868,0.917643
83,0.84398,0.899738
84,0.791248,0.886745
85,0.789214,0.887136
86,0.862551,0.911469
87,0.844218,0.903587
88,0.784879,0.877567
89,0.802389,0.902665
90,0.876022,0.925481
91,0.827089,0.884034
92,0.778153,0.879864
93,0.787218,0.895351
94,0.870484,0.920685
95,0.845913,0.90964
96,0.76847,0.858734
97,0.793702,0.897599
98,0.871663,0.922516
99,0.844689,0.902774
100,0.794313,0.889667
101,0.781039,0.887674
102,0.861724,0.91335
103,0.844482,0.905208
104,0.780884,0.877313
105,0.797899,0.903129
106,0.87372,0.926729
107,0.833695,0.887745
108,0.784382,0.882388
109,0.796437,0.899029
110,0.874176,0.924622
111,0.858157,0.914782
112,0.779422,0.862964
113,0.805328,0.902114
114,0.874542,0.924601
115,0.851017,0.905988
116,0.80213,0.894972
117,0.797556,0.894064
118,0.869551,0.917539
119,0.851626,0.90894
120,0.793089,0.88283
121,0.81333,0.909031
122,0.885863,0.930563
123,0.834166,0.888736
124,0.794898,0.885841
125,0.808559,0.900271
126,0.880467,0.924915
127,0.860065,0.915922
128,0.782458,0.863574
129,0.812128,0.903433
130,0.880554,0.92627
131,0.853325,0.907897
132,0.804156,0.896818
133,0.804265,0.89488
134,0.879282,0.919667
135,0.855491,0.911254
136,0.792014,0.882208
137,0.81563,0.910099
138,0.88913,0.931624
139,0.837853,0.891995
140,0.79575,0.887692
141,0.809352,0.902096
142,0.882676,0.926938
143,0.850855,0.915547
144,0.772899,0.860571
145,0.805441,0.903023
146,0.887394,0.928466
147,0.847222,0.90739
148,0.798159,0.893884
149,0.801465,0.893657
150,0.884326,0.921259
151,0.847164,0.908872
152,0.785451,0.874282
153,0.81222,0.903926
154,0.890083,0.929347
155,0.831847,0.889237
156,0.785527,0.878111
157,0.807104,0.896131
158,0.886003,0.926956
159,0.844965,0.912463
160,0.76717,0.855107
161,0.802152,0.896393
162,0.88572,0.926314
163,0.837671,0.904923
164,0.785393,0.885093
165,0.784816,0.883607
166,0.872428,0.918017
167,0.831542,0.905091
168,0.776794,0.869244
169,0.809308,0.900493
170,0.885897,0.928475
171,0.811845,0.882826
172,0.765978,0.866692
173,0.813525,0.901586
174,0.895936,0.931254
175,0.846416,0.917732
176,0.724925,0.839911
177,0.782443,0.887798
178,0.840241,0.909262
179,0.820194,0.895775
180,0.781536,0.884378
181,0.774351,0.878971
182,0.845251,0.903699
183,0.81203,0.891846
184,0.74979,0.856188
185,0.781541,0.886395
186,0.847801,0.91074
187,0.795241,0.877112
188,0.756399,0.86339
189,0.785928,0.88394
190,0.85745,0.913485
191,0.809315,0.898374
192,0.748836,0.850295
193,0.784398,0.885164
194,0.852699,0.912853
195,0.804815,0.889616
196,0.76324,0.868799
197,0.770064,0.870222
198,0.841279,0.900557
199,0.80538,0.887865
200,0.75563,0.856679
201,0.779889,0.877105
202,0.837243,0.901834
203,0.782722,0.871481
204,0.736218,0.848495
205,0.749097,0.856473
206,0.813261,0.886599
207,0.790481,0.882417
208,0.728821,0.83293
209,0.749646,0.851711
210,0.807393,0.881544
211,0.774308,0.869416
212,0.741917,0.85036
213,0.745065,0.848874
214,0.807582,0.879917
215,0.788579,0.878399
216,0.739348,0.848586
217,0.774608,0.869243
218,0.827168,0.893568
219,0.768246,0.863956
220,0.736907,0.851079
221,0.755036,0.860953
222,0.819422,0.887052
223,0.795588,0.886524
224,0.731393,0.841765
225,0.76835,0.865869
226,0.827723,0.89249
227,0.802625,0.89619
228,0.7643,0.872574
229,0.741227,0.86381
230,0.770746,0.876852
231,0.76081,0.876275
232,0.711077,0.836182
233,0.743082,0.85421
234,0.802688,0.887574
235,0.760807,0.86471
236,0.73524,0.853584
237,0.737545,0.848194
238,0.782024,0.874613
239,0.756105,0.870488
240,0.678225,0.810804
241,0.72054,0.835837
242,0.782389,0.868966
243,0.724588,0.854551
244,0.715664,0.83974
245,0.727517,0.834227
246,0.760239,0.859941
247,0.757087,0.869738
248,0.714935,0.83016
249,0.739885,0.843696
250,0.782966,0.870938
251,0.738684,0.843445
252,0.729933,0.83979
253,0.71893,0.823247
254,0.740831,0.844656
255,0.752237,0.856157
256,0.66161,0.791465
257,0.668513,0.803247
258,0.712103,0.831823
259,0.702501,0.838782
260,0.711754,0.832784
261,0.717506,0.827953
262,0.874824,0.923526
263,0.789252,0.893995
264,0.720973,0.837404
265,0.737891,0.853054
266,0.764593,0.878838
267,0.707168,0.849782
268,0.72073,0.842969
269,0.684711,0.82327
270,0.708975,0.847965
271,0.744821,0.869552
272,0.681878,0.816327
273,0.697239,0.829876
274,0.750346,0.864398
275,0.699122,0.845246
276,0.657861,0.818244
277,0.671343,0.814825
278,0.724848,0.852421
279,0.760369,0.877018
280,0.703819,0.836802
281,0.729749,0.846596
282,0.761239,0.870565
283,0.703031,0.839215
284,0.740893,0.853359
285,0.713154,0.835169
286,0.70971,0.84345
287,0.724722,0.855755
288,0.68764,0.820238
289,0.714933,0.840719
290,0.739807,0.857236
291,0.711437,0.849054
292,0.720437,0.851828
293,0.713034,0.840428
294,0.71343,0.847285
295,0.744371,0.863983
296,0.684874,0.829001
297,0.691063,0.829879
298,0.701994,0.835677
299,0.691559,0.837208
300,0.721063,0.847404
301,0.651324,0.799218
302,0.662326,0.818245
303,0.728983,0.864165
304,0.669364,0.81906
305,0.665484,0.806923
306,0.695921,0.832375
307,0.83467,0.91902
308,0.743249,0.866975
309,0.741649,0.865238
310,0.750299,0.871094
311,0.780472,0.898426
312,0.685307,0.841994
313,0.704811,0.840633
314,0.744218,0.864538
315,0.700023,0.858831
316,0.732623,0.868871
317,0.675704,0.816539
318,0.673839,0.820752
319,0.736482,0.874814
320,0.637944,0.797394
321,0.626176,0.790847
322,0.657352,0.817578
323,0.643246,0.807412
324,0.674065,0.831127
325,0.614287,0.785644
326,0.592068,0.775551
327,0.645275,0.819968
328,0.654793,0.808938
329,0.669194,0.814274
330,0.677902,0.815072
331,0.68378,0.829429
332,0.725887,0.853
333,0.682708,0.812084
334,0.705311,0.832353
335,0.735613,0.863094
336,0.693818,0.832996
337,0.704021,0.83409
338,0.726651,0.849787
339,0.688075,0.838278
340,0.724522,0.8574
341,0.685878,0.820903
342,0.682143,0.826137
343,0.731361,0.862073
344,0.655828,0.803434
345,0.67681,0.815839
346,0.692549,0.831632
347,0.826065,0.914937
348,0.748269,0.888303
349,0.731433,0.867932
350,0.68593,0.84912
351,0.766534,0.88666
352,0.755427,0.871419
353,0.787691,0.915925
354,0.918709,0.964386
355,0.805372,0.91647
356,0.776002,0.884391
357,0.777237,0.906494
358,0.872134,0.952222
359,0.795342,0.918523
360,0.739553,0.857055
361,0.821047,0.918562
362,0.897522,0.956615
363,0.790223,0.916923
364,0.785478,0.889162
365,0.767551,0.888652
366,0.906831,0.954966
367,0.836087,0.931779
368,0.721269,0.846394
369,0.793218,0.905078
370,0.907818,0.957526
371,0.788129,0.912231
372,0.793915,0.889837
373,0.820735,0.914802
374,0.91041,0.956837
375,0.825493,0.929365
376,0.755026,0.867546
377,0.844281,0.925933
378,0.919076,0.960755
379,0.797312,0.910454
380,0.792883,0.893345
381,0.826133,0.925357
382,0.922072,0.96196
383,0.829214,0.934789
384,0.750984,0.868777
385,0.847955,0.928385
386,0.916435,0.96017
387,0.847437,0.937301
388,0.805891,0.908406
389,0.820889,0.925137
390,0.909635,0.961327
391,0.847457,0.939237
392,0.754313,0.874388
393,0.810441,0.917436
394,0.905448,0.959287
395,0.82363,0.927795
396,0.788778,0.89882
397,0.799339,0.914926
398,0.892606,0.956603
399,0.851188,0.939002
400,0.807192,0.936888
401,0.885116,0.971717
402,0.93935,0.984174
403,0.84365,0.9624
404,0.825472,0.956916
405,0.879323,0.969671
406,0.912708,0.974276
407,0.867086,0.96711
408,0.841941,0.960157
409,0.87501,0.973298
410,0.928893,0.981304
411,0.861966,0.971254
412,0.844266,0.971462
413,0.877452,0.977249
414,0.927933,0.983278
415,0.872031,0.977209
416,0.849098,0.970016
417,0.86926,0.97189
418,0.904394,0.973551
419,0.871651,0.975917
420,0.844252,0.971851
421,0.875166,0.976153
422,0.91633,0.981573
423,0.875509,0.980031
424,0.84874,0.972653
425,0.869166,0.974326
426,0.921502,0.978115
427,0.856007,0.963808
428,0.844765,0.967363
429,0.824568,0.956392
430,0.933821,0.979589
431,0.870436,0.972868
432,0.828515,0.943793
433,0.861846,0.967445
434,0.934261,0.981736
435,0.898004,0.976525
436,0.88575,0.973924
437,0.893672,0.951462
438,0.938596,0.978457
439,0.863615,0.952323
440,0.798418,0.879664
441,0.807965,0.922626
442,0.928311,0.972149
443,0.863858,0.943372
444,0.828628,0.917112
445,0.826355,0.918356
446,0.882475,0.955845
447,0.873823,0.952505
448,0.799744,0.904174
449,0.818467,0.914362
450,0.892569,0.954966
451,0.877193,0.950835
452,0.818147,0.911748
453,0.808144,0.906235
454,0.896292,0.960537
455,0.857767,0.949272
456,0.780387,0.881481
457,0.812553,0.911936
458,0.908324,0.965387
459,0.843524,0.934189
460,0.783788,0.885407
461,0.794144,0.907833
462,0.909475,0.965
463,0.857375,0.939981
464,0.776414,0.876579
465,0.808752,0.919539
466,0.925162,0.972682
467,0.862868,0.93241
468,0.783009,0.879656
469,0.768669,0.902626
470,0.927777,0.969684
471,0.868256,0.938872
472,0.741992,0.860034
473,0.772432,0.902254
474,0.916854,0.96581
475,0.849768,0.930034
476,0.747184,0.86494
477,0.758303,0.890084
478,0.890937,0.955524
479,0.855311,0.938253
480,0.749236,0.875901
481,0.781051,0.901642
482,0.902126,0.95745
483,0.827745,0.935591
484,0.754294,0.889912
485,0.766258,0.903989
486,0.896866,0.952468
487,0.834788,0.939092
488,0.725557,0.866026
489,0.767167,0.900939
490,0.896239,0.954794
491,0.809611,0.917908
492,0.730349,0.863122
493,0.717635,0.875437
494,0.898016,0.951656
495,0.819688,0.917108
496,0.693448,0.829099
497,0.729347,0.880172
498,0.889212,0.950676
499,0.79665,0.900586
500,0.707288,0.837682
501,0.768138,0.909369
502,0.922712,0.964903
503,0.82347,0.941991
504,0.700186,0.87451
505,0.755039,0.915958
506,0.913469,0.963567
507,0.776415,0.923314
508,0.700465,0.876223
509,0.719278,0.897121
510,0.904189,0.957194
511,0.794733,0.930333
512,0.680491,0.862276
513,0.733387,0.905226
514,0.908832,0.960648
515,0.784228,0.925258
516,0.689306,0.872248
517,0.68245,0.887308
518,0.908419,0.957905
519,0.800853,0.933199
520,0.655805,0.855996
521,0.691507,0.891413
522,0.911114,0.960954
523,0.820127,0.933522
524,0.686437,0.872153
525,0.694875,0.89062
526,0.912264,0.958887
527,0.8153,0.93805
528,0.670035,0.861022
529,0.709051,0.896131
530,0.913781,0.962603
531,0.826326,0.935858
532,0.701665,0.880357
533,0.727772,0.90498
534,0.922131,0.962654
535,0.846357,0.945312
536,0.729205,0.888351
537,0.757538,0.916105
538,0.925456,0.966341
539,0.853454,0.943413
540,0.734949,0.896545
541,0.725398,0.904433
542,0.923712,0.962663
543,0.869728,0.94861
544,0.710169,0.881169
545,0.727895,0.9057
546,0.925482,0.965434
547,0.878992,0.947686
548,0.724585,0.891432
549,0.72017,0.902216
550,0.926948,0.964584
551,0.878712,0.951448
552,0.704026,0.881322
553,0.723568,0.905191
554,0.927463,0.966398
555,0.862456,0.944817
556,0.716757,0.887559
557,0.708743,0.897263
558,0.921937,0.961957
559,0.869326,0.949421
560,0.708535,0.881689
561,0.734684,0.907117
562,0.926234,0.965928
563,0.87267,0.946397
564,0.727714,0.892208
565,0.722475,0.901907
566,0.924463,0.963235
567,0.879555,0.951787
568,0.726827,0.885768
569,0.749703,0.910894
570,0.929558,0.96637
571,0.866507,0.945068
572,0.734645,0.892286
573,0.868302,0.949921
574,0.883935,0.946333
575,0.808349,0.911255
576,0.751509,0.878785
577,0.851652,0.940659
578,0.884917,0.949406
579,0.732931,0.876986
580,0.734041,0.877594
581,0.828082,0.931075
582,0.862968,0.940708
583,0.720332,0.878573
584,0.682877,0.8472
585,0.824696,0.930722
586,0.87153,0.944889
587,0.700075,0.860866
588,0.699809,0.858042
589,0.820689,0.928715
590,0.859854,0.93915
591,0.71227,0.869919
592,0.68979,0.846326
593,0.833138,0.931454
594,0.868967,0.943526
595,0.693642,0.854269
596,0.698519,0.854103
597,0.827151,0.928026
598,0.857387,0.937754
599,0.697766,0.861577
600,0.670383,0.835531
601,0.829287,0.929942
602,0.862151,0.942085
603,0.679493,0.84696
604,0.685804,0.847548
605,0.829499,0.927538
606,0.851268,0.936063
607,0.686891,0.855246
608,0.668271,0.833843
609,0.830603,0.929608
610,0.858944,0.939897
611,0.67124,0.841025
612,0.681904,0.8448
613,0.833199,0.928572
614,0.845402,0.933582
615,0.67864,0.848861
616,0.660486,0.827701
617,0.825595,0.927215
618,0.853943,0.938309
619,0.668685,0.839236
620,0.674509,0.839802
621,0.826996,0.925268
622,0.841128,0.932155
623,0.677939,0.848253
624,0.662361,0.826031
625,0.825276,0.925666
626,0.852177,0.936877
627,0.669273,0.83821
628,0.677885,0.839269
629,0.816783,0.922343
630,0.843775,0.931852
631,0.683143,0.849394
632,0.664866,0.827347
633,0.825809,0.925823
634,0.853104,0.937366
635,0.668854,0.837376
636,0.678482,0.839282
637,0.807869,0.918058
638,0.837188,0.930139
639,0.675956,0.846261
