Frame, eSSIM, SSIM
0,0.848116,0.923242
1,0.883807,0.954796
2,0.949122,0.973023
3,0.813421,0.92031
4,0.814779,0.912034
5,0.860952,0.945396
6,0.939656,0.967016
7,0.843447,0.935372
8,0.789471,0.89819
9,0.864126,0.949523
10,0.945625,0.971758
11,0.812139,0.920965
12,0.802951,0.90776
13,0.849674,0.942729
14,0.940965,0.967993
15,0.839767,0.934972
16,0.803122,0.899759
17,0.860547,0.94595
18,0.947468,0.972348
19,0.84385,0.931095
20,0.83715,0.918592
21,0.884034,0.949834
22,0.94536,0.968602
23,0.859777,0.942228
24,0.831341,0.913216
25,0.892126,0.953517
26,0.950361,0.972435
27,0.854457,0.934192
28,0.841549,0.921607
29,0.882161,0.949748
30,0.947979,0.967876
31,0.878573,0.945771
32,0.855435,0.925734
33,0.908182,0.960031
34,0.95427,0.974331
35,0.860658,0.939908
36,0.866863,0.934761
37,0.894133,0.95467
38,0.948368,0.9714
39,0.884972,0.949802
40,0.838019,0.913473
41,0.885008,0.951232
42,0.954403,0.974607
43,0.871376,0.941404
44,0.859472,0.93071
45,0.894188,0.954872
46,0.950143,0.971321
47,0.892975,0.952266
48,0.85568,0.926697
49,0.912446,0.961784
50,0.955112,0.97535
51,0.873858,0.940263
52,0.878327,0.938635
53,0.898836,0.957523
54,0.949668,0.971583
55,0.885755,0.949128
56,0.863645,0.931057
57,0.920265,0.965317
58,0.956735,0.976403
59,0.874794,0.943389
60,0.884289,0.942616
61,0.912777,0.962299
62,0.950222,0.972386
63,0.903305,0.955107
64,0.865863,0.928557
65,0.911381,0.961595
66,0.956206,0.976071
67,0.874193,0.940081
68,0.875546,0.936127
69,0.90361,0.958798
70,0.951436,0.971266
71,0.89907,0.952457
72,0.8696,0.935223
73,0.923508,0.966694
74,0.957872,0.976528
75,0.891761,0.947569
76,0.895231,0.948047
77,0.907754,0.964242
78,0.956276,0.9738
79,0.900815,0.955024
80,0.888441,0.943485
81,0.937294,0.97207
82,0.96041,0.977847
83,0.889734,0.948287
84,0.902517,0.951875
85,0.928722,0.966772
86,0.951553,0.972619
87,0.911201,0.958286
88,0.892655,0.942102
89,0.932814,0.967535
90,0.960664,0.977311
91,0.898811,0.950162
92,0.906193,0.948847
93,0.900217,0.956734
94,0.949895,0.971261
95,0.90764,0.956282
96,0.863672,0.928277
97,0.906941,0.957818
98,0.956666,0.975191
99,0.88808,0.946912
100,0.889015,0.9411
101,0.914622,0.959736
102,0.952676,0.972122
103,0.914658,0.958104
104,0.88608,0.936846
105,0.929905,0.965672
106,0.959736,0.976526
107,0.885798,0.944545
108,0.893079,0.94312
109,0.94642,0.966356
110,0.969568,0.978947
111,0.95529,0.973362
112,0.919599,0.946535
113,0.921549,0.964346
114,0.967946,0.978719
115,0.939485,0.962046
116,0.911822,0.952201
117,0.918835,0.956595
118,0.960252,0.974324
119,0.932811,0.964886
120,0.889924,0.930335
121,0.910114,0.954504
122,0.960266,0.975085
123,0.927479,0.956926
124,0.903301,0.944103
125,0.908319,0.951725
126,0.961313,0.974189
127,0.933321,0.963417
128,0.892864,0.931376
129,0.91134,0.955471
130,0.96228,0.976124
131,0.924198,0.955798
132,0.902904,0.942641
133,0.906797,0.949848
134,0.957692,0.973571
135,0.931239,0.962342
136,0.893455,0.929213
137,0.915554,0.955199
138,0.963772,0.975959
139,0.91764,0.951926
140,0.900136,0.937735
141,0.906867,0.951935
142,0.965226,0.975262
143,0.931444,0.961306
144,0.887509,0.926548
145,0.913034,0.955472
146,0.962372,0.976172
147,0.916687,0.950958
148,0.899567,0.938325
149,0.905965,0.951301
150,0.962416,0.974667
151,0.92395,0.95833
152,0.883896,0.926872
153,0.913172,0.955175
154,0.962136,0.97611
155,0.910527,0.952788
156,0.893356,0.937174
157,0.906569,0.947108
158,0.95927,0.972586
159,0.928759,0.963508
160,0.884103,0.924761
161,0.915149,0.950692
162,0.958098,0.973151
163,0.915725,0.951387
164,0.903692,0.936574
165,0.904354,0.946438
166,0.960505,0.973361
167,0.916216,0.954593
168,0.865598,0.90809
169,0.904572,0.946983
170,0.961158,0.974321
171,0.898655,0.94351
172,0.886333,0.925536
173,0.902241,0.944756
174,0.959937,0.973157
175,0.917085,0.954084
176,0.881634,0.916121
177,0.914575,0.95083
178,0.963544,0.975613
179,0.905848,0.945999
180,0.897469,0.930299
181,0.904414,0.946347
182,0.959687,0.972919
183,0.922246,0.955345
184,0.885793,0.922704
185,0.916268,0.953232
186,0.963867,0.975812
187,0.916213,0.952475
188,0.899822,0.937506
189,0.904451,0.948383
190,0.959436,0.972527
191,0.928604,0.959587
192,0.87433,0.915616
193,0.906251,0.948505
194,0.959134,0.973623
195,0.906371,0.946353
196,0.889498,0.929951
197,0.90527,0.947159
198,0.959551,0.972296
199,0.923142,0.956859
200,0.885617,0.923451
201,0.912203,0.952657
202,0.961388,0.974652
203,0.909147,0.949021
204,0.891389,0.933078
205,0.895524,0.9459
206,0.953575,0.971467
207,0.917018,0.956345
208,0.901162,0.941565
209,0.928166,0.961172
210,0.947799,0.971057
211,0.896399,0.947348
212,0.8885,0.942738
213,0.879622,0.947892
214,0.933031,0.964761
215,0.904926,0.954204
216,0.853872,0.92471
217,0.894057,0.953266
218,0.940742,0.969198
219,0.877694,0.942622
220,0.865435,0.934962
221,0.87923,0.947098
222,0.93823,0.965459
223,0.899099,0.952473
224,0.849657,0.923625
225,0.894857,0.952887
226,0.942081,0.969354
227,0.884385,0.944918
228,0.877576,0.93905
229,0.88749,0.94881
230,0.932906,0.96493
231,0.900905,0.953534
232,0.862555,0.925716
233,0.901142,0.954
234,0.94113,0.968928
235,0.890453,0.945258
236,0.880674,0.938959
237,0.879131,0.94617
238,0.931713,0.963733
239,0.903093,0.953003
240,0.850572,0.92342
241,0.891253,0.952001
242,0.936809,0.967811
243,0.878389,0.942737
244,0.873205,0.936996
245,0.877959,0.946496
246,0.93021,0.96383
247,0.905393,0.953182
248,0.856343,0.924454
249,0.896048,0.952272
250,0.939017,0.967801
251,0.878046,0.942074
252,0.877409,0.936886
253,0.883022,0.946217
254,0.929806,0.962913
255,0.893478,0.949493
256,0.853098,0.922032
257,0.899805,0.95246
258,0.935288,0.967054
259,0.873403,0.93891
260,0.872272,0.935161
261,0.876895,0.945155
262,0.926048,0.96196
263,0.894792,0.948743
264,0.84535,0.91917
265,0.892091,0.950692
266,0.933978,0.966106
267,0.868816,0.937572
268,0.86828,0.933342
269,0.884245,0.945682
270,0.924146,0.961905
271,0.892604,0.94846
272,0.850921,0.920542
273,0.894831,0.950902
274,0.934125,0.966367
275,0.870352,0.939477
276,0.872488,0.934946
277,0.88665,0.946682
278,0.924128,0.962062
279,0.895989,0.949739
280,0.858987,0.922881
281,0.902573,0.952856
282,0.931534,0.966359
283,0.872889,0.939202
284,0.88004,0.936142
285,0.885725,0.945199
286,0.921445,0.960472
287,0.893011,0.947714
288,0.844682,0.916951
