Frame, eSSIM, SSIM
0,0.958194,0.969258
1,0.972146,0.98085
2,0.976724,0.982828
3,0.955984,0.967011
4,0.961504,0.973068
5,0.93027,0.968214
6,0.958833,0.973825
7,0.914341,0.962327
8,0.952101,0.969347
9,0.973421,0.982274
10,0.974456,0.982316
11,0.949906,0.965369
12,0.950883,0.968972
13,0.934964,0.970159
14,0.957647,0.974395
15,0.914088,0.963671
16,0.94674,0.965254
17,0.966398,0.978939
18,0.972102,0.980865
19,0.946494,0.963677
20,0.943203,0.964799
21,0.961093,0.974458
22,0.965291,0.975626
23,0.957704,0.97203
24,0.960756,0.9702
25,0.973681,0.98143
26,0.976995,0.982954
27,0.947262,0.962563
28,0.944046,0.965635
29,0.918564,0.964503
30,0.915224,0.963954
31,0.87574,0.947803
32,0.948393,0.965894
33,0.96887,0.97987
34,0.971012,0.980154
35,0.934985,0.958961
36,0.938791,0.962753
37,0.930345,0.965948
38,0.956974,0.973632
39,0.903605,0.960864
40,0.941546,0.961111
41,0.960898,0.976125
42,0.967661,0.978761
43,0.943763,0.962327
44,0.942236,0.964314
45,0.93372,0.967878
46,0.960049,0.974557
47,0.906805,0.963104
48,0.967365,0.974672
49,0.978547,0.984456
50,0.979483,0.984632
51,0.953792,0.965657
52,0.949827,0.96777
53,0.932001,0.968456
54,0.958625,0.973951
55,0.915781,0.961373
56,0.955791,0.97006
57,0.973828,0.982551
58,0.974903,0.982298
59,0.952851,0.966226
60,0.951164,0.9693
61,0.947098,0.973387
62,0.961072,0.975006
63,0.925789,0.965293
64,0.956332,0.969145
65,0.972261,0.981494
66,0.974637,0.981965
67,0.949915,0.963798
68,0.946175,0.965588
69,0.963671,0.976329
70,0.967965,0.977086
71,0.963592,0.974507
72,0.949704,0.965163
73,0.9691,0.979861
74,0.969317,0.979492
75,0.890677,0.95022
76,0.900113,0.957227
77,0.955754,0.976815
78,0.965326,0.976481
79,0.955503,0.970865
80,0.920506,0.952901
81,0.956771,0.975906
82,0.945535,0.974186
83,0.8803,0.939633
84,0.869299,0.944879
85,0.939924,0.974987
86,0.962307,0.976344
87,0.946007,0.970545
88,0.936148,0.95919
89,0.957803,0.975295
90,0.964774,0.978025
91,0.940177,0.963156
92,0.90022,0.955925
93,0.967244,0.979858
94,0.975383,0.981992
95,0.975312,0.981392
96,0.947517,0.963387
97,0.955944,0.974628
98,0.968373,0.979268
99,0.917844,0.957645
100,0.894707,0.954045
101,0.958991,0.977508
102,0.969818,0.978945
103,0.967572,0.976983
104,0.947701,0.962955
105,0.96019,0.976387
106,0.969227,0.979364
107,0.950526,0.966486
108,0.961827,0.974164
109,0.973859,0.981331
110,0.983418,0.986588
111,0.982222,0.985031
112,0.962758,0.968364
113,0.972243,0.979017
114,0.977538,0.983114
115,0.926428,0.961332
116,0.905042,0.961364
117,0.921362,0.96875
118,0.971875,0.979316
119,0.970373,0.976795
120,0.944747,0.956371
121,0.950953,0.969423
122,0.967657,0.978069
123,0.940878,0.96545
124,0.930485,0.963662
125,0.948632,0.968754
126,0.970265,0.978122
127,0.96842,0.975624
128,0.948158,0.958068
129,0.955021,0.970375
130,0.968716,0.978217
131,0.945579,0.966999
132,0.867516,0.96025
133,0.946063,0.977165
134,0.981127,0.984836
135,0.980351,0.983511
136,0.958958,0.965449
137,0.960803,0.975655
138,0.972373,0.98131
139,0.950056,0.967361
140,0.915593,0.964791
141,0.960888,0.974264
142,0.974533,0.980625
143,0.974367,0.978855
144,0.954594,0.961747
145,0.95807,0.972499
146,0.970409,0.979856
147,0.948615,0.966512
148,0.922053,0.962904
149,0.960365,0.972516
150,0.972973,0.979986
151,0.972297,0.977804
152,0.953573,0.961861
153,0.957766,0.972426
154,0.970779,0.979491
155,0.942684,0.961957
156,0.925326,0.954882
157,0.948519,0.971742
158,0.981055,0.984703
159,0.97997,0.983485
160,0.955944,0.963963
161,0.96549,0.97547
162,0.973929,0.980561
163,0.934856,0.961104
164,0.888736,0.95374
165,0.942207,0.970509
166,0.971944,0.978958
167,0.971025,0.97649
168,0.947428,0.956741
169,0.955998,0.971302
170,0.968767,0.978477
171,0.948533,0.965623
172,0.950167,0.966186
173,0.964465,0.97354
174,0.97372,0.979211
175,0.97253,0.977418
176,0.957588,0.964276
177,0.971238,0.977582
178,0.976833,0.981798
179,0.947952,0.968699
180,0.941169,0.968908
181,0.970662,0.978391
182,0.980075,0.983874
183,0.977594,0.981454
184,0.954446,0.96196
185,0.959551,0.974293
186,0.972232,0.981079
187,0.949073,0.965839
188,0.92544,0.962579
189,0.955507,0.972782
190,0.973434,0.97999
191,0.974834,0.979422
192,0.95182,0.960168
193,0.95855,0.97223
194,0.969961,0.979321
195,0.938475,0.963048
196,0.927374,0.960802
197,0.963627,0.97327
198,0.972266,0.978573
199,0.972582,0.977725
200,0.955828,0.963255
201,0.962333,0.974025
202,0.970857,0.97885
203,0.9401,0.963298
204,0.914157,0.958113
205,0.958826,0.974465
206,0.97779,0.982171
207,0.977262,0.981109
208,0.948177,0.96545
209,0.960681,0.975279
210,0.964822,0.977753
211,0.946965,0.965306
212,0.952298,0.969116
213,0.926148,0.964841
214,0.938886,0.96889
215,0.901605,0.962872
216,0.934564,0.957888
217,0.953013,0.971582
218,0.956278,0.973544
219,0.936621,0.959667
220,0.939617,0.962748
221,0.915568,0.961458
222,0.928779,0.966409
223,0.886293,0.958433
224,0.931219,0.956689
225,0.95062,0.970855
226,0.95296,0.972745
227,0.936268,0.960068
228,0.942129,0.964188
229,0.928547,0.964235
230,0.939092,0.970381
231,0.900014,0.963599
232,0.952336,0.967922
233,0.963774,0.976986
234,0.967628,0.979203
235,0.947624,0.964705
236,0.942419,0.964187
237,0.925222,0.963122
238,0.940076,0.968338
239,0.891936,0.960445
240,0.940068,0.961648
241,0.956804,0.973443
242,0.959744,0.975086
243,0.941941,0.962341
244,0.940849,0.964008
