Frame, eSSIM, SSIM
0,0.743472,0.900731
1,0.732769,0.889197
2,0.749101,0.885928
3,0.793607,0.901744
4,0.783694,0.909754
5,0.741061,0.877386
6,0.736198,0.866675
7,0.771415,0.897491
8,0.735284,0.883905
9,0.71814,0.869164
10,0.725828,0.868605
11,0.763273,0.896614
12,0.737535,0.888553
13,0.702858,0.849634
14,0.712789,0.85289
15,0.758572,0.897322
16,0.718596,0.882893
17,0.701327,0.855602
18,0.728917,0.86855
19,0.777291,0.906399
20,0.725498,0.890445
21,0.702422,0.851407
22,0.729661,0.863391
23,0.77682,0.909283
24,0.699427,0.875392
25,0.694265,0.855283
26,0.722362,0.870504
27,0.773853,0.898116
28,0.763646,0.896888
29,0.711392,0.844491
30,0.697679,0.839222
31,0.759055,0.891743
32,0.717465,0.869209
33,0.678019,0.835091
34,0.703953,0.84919
35,0.762752,0.898692
36,0.723814,0.882494
37,0.689026,0.840988
38,0.724565,0.856583
39,0.773154,0.902911
40,0.751813,0.889967
41,0.719459,0.861715
42,0.738003,0.871029
43,0.780115,0.907341
44,0.752196,0.900598
45,0.729665,0.866864
46,0.745334,0.879696
47,0.792272,0.916957
48,0.748173,0.889636
49,0.751191,0.886833
50,0.767516,0.894464
51,0.812324,0.911526
52,0.786571,0.908401
53,0.77174,0.887898
54,0.756679,0.880979
55,0.776616,0.902949
56,0.756984,0.887585
57,0.773454,0.897782
58,0.783346,0.902352
59,0.736978,0.866486
60,0.709686,0.869747
61,0.715955,0.866451
62,0.739793,0.866556
63,0.764128,0.880896
64,0.760783,0.886219
65,0.772158,0.897162
66,0.784348,0.902054
67,0.808841,0.907784
68,0.782102,0.902115
69,0.779543,0.893878
70,0.761109,0.889634
71,0.772851,0.902996
72,0.766917,0.896524
73,0.75996,0.892765
74,0.774029,0.901922
75,0.800666,0.909684
76,0.770559,0.902353
77,0.746464,0.871386
78,0.743461,0.871427
79,0.785538,0.907255
80,0.743509,0.881123
81,0.705359,0.849864
82,0.723051,0.864324
83,0.783238,0.897525
84,0.775742,0.887009
85,0.720153,0.842583
86,0.737662,0.8625
87,0.800165,0.908199
88,0.788187,0.896975
89,0.764653,0.879231
90,0.77205,0.88879
91,0.804587,0.908795
92,0.799716,0.90473
93,0.773512,0.882379
94,0.779812,0.892753
95,0.803353,0.909115
96,0.77605,0.892447
97,0.791335,0.903751
98,0.810511,0.918775
99,0.787553,0.89849
100,0.779184,0.898354
101,0.785697,0.894392
102,0.762732,0.880311
103,0.774567,0.89003
104,0.764285,0.894424
105,0.812508,0.920926
106,0.814873,0.922154
107,0.759128,0.890466
108,0.754863,0.895427
109,0.807865,0.920294
110,0.785843,0.911533
111,0.779136,0.896822
112,0.777416,0.893585
113,0.819029,0.921115
114,0.834839,0.926415
115,0.795728,0.900521
116,0.780467,0.898009
117,0.801501,0.897776
118,0.781002,0.88914
119,0.781624,0.895416
120,0.763528,0.886435
121,0.792515,0.903358
122,0.834054,0.93027
123,0.806341,0.91233
124,0.774797,0.892541
125,0.765692,0.879197
126,0.757901,0.874744
127,0.7979,0.901777
128,0.726097,0.859465
129,0.714781,0.847436
130,0.73967,0.872452
131,0.783222,0.898934
132,0.763619,0.88357
133,0.746074,0.86721
134,0.779263,0.891363
135,0.80881,0.91373
136,0.773466,0.884168
137,0.765495,0.878837
138,0.784089,0.89476
139,0.810565,0.909228
140,0.787318,0.898277
141,0.783423,0.888764
142,0.808616,0.908421
143,0.807467,0.911735
144,0.750054,0.883662
145,0.80665,0.916213
146,0.865807,0.945708
147,0.797289,0.910222
148,0.764209,0.889916
149,0.818183,0.917999
150,0.833308,0.923126
151,0.813924,0.914586
152,0.789075,0.904783
153,0.835379,0.935865
154,0.875779,0.950476
155,0.831735,0.926703
156,0.804133,0.915768
157,0.831886,0.931258
158,0.86514,0.944177
159,0.838286,0.933609
160,0.78635,0.911835
161,0.828388,0.931821
162,0.870205,0.952871
163,0.841143,0.93968
164,0.792768,0.918442
165,0.823958,0.927219
166,0.875235,0.951264
167,0.84694,0.939536
168,0.759098,0.899667
169,0.818742,0.935309
170,0.912892,0.968283
171,0.838347,0.933933
172,0.802934,0.913756
173,0.817958,0.925837
174,0.853957,0.93801
175,0.83939,0.926691
176,0.791759,0.902029
177,0.807965,0.919706
178,0.853697,0.945327
179,0.842722,0.931594
180,0.806565,0.911117
181,0.828442,0.922112
182,0.862086,0.940584
183,0.85666,0.938878
184,0.791463,0.908773
185,0.822729,0.925004
186,0.869194,0.949449
187,0.854693,0.941708
188,0.810001,0.922078
189,0.829852,0.924063
190,0.867989,0.940417
191,0.849642,0.936514
192,0.760137,0.899019
193,0.800995,0.921007
194,0.865742,0.957453
195,0.839796,0.937753
196,0.797832,0.912078
197,0.811304,0.920937
198,0.891761,0.953913
199,0.852422,0.9439
200,0.791991,0.903419
201,0.829052,0.930142
202,0.888578,0.959901
203,0.8531,0.951322
204,0.799837,0.91942
205,0.84267,0.936856
206,0.906896,0.968742
207,0.882873,0.958085
208,0.816753,0.91992
209,0.83895,0.939619
210,0.901212,0.972007
211,0.875124,0.947563
212,0.818129,0.921738
213,0.843369,0.939465
214,0.898313,0.972802
215,0.885189,0.962028
216,0.773458,0.903373
217,0.807865,0.933683
218,0.884075,0.972577
219,0.884287,0.954429
220,0.831677,0.925121
221,0.835048,0.935035
222,0.894954,0.96544
223,0.880364,0.950463
224,0.814341,0.909394
225,0.838105,0.937364
226,0.896431,0.971727
227,0.854887,0.940287
228,0.813057,0.910328
229,0.832325,0.933062
230,0.907581,0.970377
231,0.871895,0.952854
232,0.784672,0.890655
233,0.818704,0.927017
234,0.890776,0.964928
235,0.845415,0.942605
236,0.792335,0.909542
237,0.812862,0.92576
238,0.888294,0.962799
239,0.853006,0.944717
240,0.749874,0.890139
241,0.789163,0.926333
242,0.877449,0.968578
243,0.825175,0.926849
244,0.785389,0.899174
245,0.809561,0.926949
246,0.883304,0.963678
247,0.847739,0.945603
248,0.763933,0.886224
249,0.801717,0.922465
250,0.869717,0.959301
251,0.821104,0.933059
252,0.783086,0.904907
253,0.79487,0.917894
254,0.865335,0.950178
255,0.827618,0.931937
256,0.752207,0.886659
257,0.790682,0.921399
258,0.864105,0.958004
259,0.804317,0.921484
260,0.755715,0.892267
261,0.772882,0.913796
262,0.852021,0.954352
263,0.82115,0.937106
264,0.685165,0.856219
265,0.743818,0.90409
266,0.842315,0.949167
267,0.797487,0.926581
268,0.748433,0.894734
269,0.766564,0.910623
270,0.844017,0.946968
271,0.812784,0.930128
272,0.735212,0.882808
273,0.771407,0.913835
274,0.849611,0.952247
275,0.793703,0.911697
276,0.751508,0.888074
277,0.766634,0.909998
278,0.841722,0.947107
279,0.813407,0.93128
280,0.716915,0.868734
281,0.762301,0.907167
282,0.834179,0.943185
283,0.782346,0.914302
284,0.735662,0.88644
285,0.744417,0.897796
286,0.819668,0.933073
287,0.794287,0.916447
288,0.638176,0.839404
289,0.718756,0.893704
290,0.806727,0.937722
291,0.766094,0.903494
292,0.718114,0.875133
293,0.746828,0.900571
294,0.815955,0.937083
295,0.792865,0.921605
296,0.707119,0.859556
297,0.744363,0.896975
298,0.804084,0.931034
299,0.770449,0.907496
300,0.736933,0.885264
301,0.74718,0.897689
302,0.795227,0.926065
303,0.784908,0.914246
304,0.70761,0.866347
305,0.744459,0.898387
306,0.796144,0.92987
307,0.755904,0.893326
308,0.725186,0.874281
309,0.735985,0.891289
310,0.800913,0.930561
311,0.777414,0.912029
312,0.610632,0.81746
313,0.705117,0.882498
314,0.783009,0.925745
315,0.748356,0.898479
316,0.706723,0.867715
317,0.737533,0.891658
318,0.79399,0.925806
319,0.772344,0.90952
320,0.702471,0.862745
321,0.739848,0.895485
322,0.797193,0.930313
323,0.75931,0.902163
324,0.734704,0.880433
325,0.746153,0.89661
326,0.795003,0.930115
327,0.78553,0.915966
328,0.704324,0.860022
329,0.741847,0.895331
330,0.79193,0.927624
331,0.764846,0.902017
332,0.733472,0.879671
333,0.736478,0.892759
334,0.802065,0.930364
335,0.779575,0.910916
336,0.615235,0.826756
337,0.719739,0.891871
338,0.796412,0.932976
339,0.752114,0.899182
340,0.707862,0.869067
341,0.736734,0.896486
342,0.805099,0.934325
343,0.782829,0.915782
344,0.698167,0.860634
345,0.740694,0.898714
346,0.80264,0.933954
347,0.762531,0.905079
348,0.733175,0.879908
349,0.746847,0.898901
350,0.803544,0.933006
351,0.785862,0.914728
352,0.697578,0.857707
353,0.74388,0.898764
354,0.804758,0.935069
355,0.766634,0.901187
356,0.716733,0.871104
357,0.740311,0.896957
358,0.806447,0.93786
359,0.7864,0.915835
360,0.624892,0.829983
361,0.725277,0.895892
362,0.803044,0.938228
363,0.760769,0.908529
364,0.715096,0.87436
365,0.746525,0.902157
366,0.813772,0.93972
367,0.789413,0.920454
368,0.70697,0.865401
369,0.752502,0.905713
370,0.81822,0.942429
371,0.775444,0.908723
372,0.741369,0.881344
373,0.757582,0.906154
374,0.814437,0.941004
375,0.795352,0.919981
376,0.712136,0.862659
377,0.757083,0.905895
378,0.820095,0.942071
379,0.779151,0.908856
380,0.720135,0.875672
381,0.746474,0.901582
382,0.822853,0.943466
383,0.794722,0.918308
384,0.637498,0.833034
385,0.733884,0.901485
386,0.823896,0.947174
387,0.765591,0.90531
388,0.719814,0.872053
389,0.753592,0.907631
390,0.830513,0.947399
391,0.791617,0.918508
392,0.710882,0.859435
393,0.761858,0.908825
394,0.837208,0.94858
395,0.785194,0.911322
396,0.7413,0.878571
397,0.764989,0.909778
398,0.843407,0.949684
399,0.807003,0.922511
400,0.716397,0.862438
401,0.765231,0.909022
402,0.847441,0.95249
403,0.796273,0.914045
404,0.738809,0.877712
405,0.774545,0.913555
406,0.862768,0.957119
407,0.819843,0.92837
408,0.67841,0.847269
409,0.757063,0.909959
410,0.857233,0.958688
411,0.792781,0.91969
412,0.749754,0.883459
413,0.784382,0.918902
414,0.86465,0.957691
415,0.822719,0.933151
416,0.741863,0.878439
417,0.785532,0.919404
418,0.870357,0.96154
419,0.81729,0.926116
420,0.774424,0.895567
421,0.799297,0.924726
422,0.881003,0.962365
423,0.842706,0.9402
424,0.760592,0.884592
425,0.799904,0.923731
426,0.887292,0.963344
427,0.838216,0.935216
428,0.782397,0.902556
429,0.812434,0.928071
430,0.897314,0.964704
431,0.861687,0.946243
432,0.743218,0.885226
433,0.796772,0.926781
434,0.902735,0.970589
435,0.84481,0.937777
436,0.798567,0.908526
437,0.831757,0.938187
438,0.904077,0.970544
439,0.868358,0.952532
440,0.794867,0.903127
441,0.825222,0.936924
442,0.900329,0.970294
443,0.866574,0.947081
444,0.827352,0.921566
445,0.851326,0.942551
446,0.915532,0.969036
447,0.884896,0.953919
448,0.812925,0.913159
449,0.846638,0.943233
450,0.921251,0.97403
451,0.873281,0.944545
452,0.833186,0.923827
453,0.872291,0.949706
454,0.950863,0.977191
455,0.901279,0.961264
456,0.794195,0.905726
457,0.840872,0.944471
458,0.946374,0.977948
459,0.886121,0.955387
460,0.8571,0.933041
461,0.899759,0.955428
462,0.956886,0.975482
463,0.897011,0.961444
464,0.841554,0.928066
465,0.878301,0.953868
466,0.951759,0.979609
467,0.889658,0.952664
468,0.854677,0.938217
469,0.896253,0.961047
470,0.953152,0.978352
471,0.882504,0.965534
472,0.840435,0.927566
473,0.879959,0.955865
474,0.947194,0.976637
475,0.890369,0.958892
476,0.850259,0.942451
477,0.887424,0.957476
478,0.956137,0.97476
479,0.892141,0.96293
