Frame, eSSIM, SSIM
0,0.615126,0.799376
1,0.742117,0.87858
2,0.74571,0.879888
3,0.609325,0.79758
4,0.620341,0.802717
5,0.718215,0.861637
6,0.719926,0.867736
7,0.629936,0.812066
8,0.630467,0.809755
9,0.745664,0.884739
10,0.751981,0.885467
11,0.635564,0.81518
12,0.651709,0.826563
13,0.748359,0.88347
14,0.765401,0.890968
15,0.664182,0.835744
16,0.643258,0.817066
17,0.766452,0.892673
18,0.780794,0.898193
19,0.665157,0.83405
20,0.675526,0.839532
21,0.763309,0.88967
22,0.786159,0.899446
23,0.68829,0.84907
24,0.66276,0.827025
25,0.77601,0.897326
26,0.79929,0.906542
27,0.68577,0.844291
28,0.697308,0.850084
29,0.772766,0.895875
30,0.803322,0.906914
31,0.714417,0.861592
32,0.684827,0.839906
33,0.784454,0.903669
34,0.819213,0.91535
35,0.70161,0.854794
36,0.7074,0.857447
37,0.774704,0.900762
38,0.81936,0.915371
39,0.735122,0.872372
40,0.699323,0.847715
41,0.792782,0.909725
42,0.828905,0.921179
43,0.717097,0.862753
44,0.721219,0.864956
45,0.787165,0.907578
46,0.829924,0.921525
47,0.748301,0.881024
48,0.707156,0.854074
49,0.803007,0.915813
50,0.844589,0.927949
51,0.736045,0.870766
52,0.740997,0.873964
53,0.788309,0.908847
54,0.838396,0.922935
55,0.759548,0.884421
56,0.7137,0.853759
57,0.804646,0.916104
58,0.849533,0.929986
59,0.743874,0.873437
60,0.748771,0.876137
61,0.794143,0.912156
62,0.843716,0.92585
63,0.769319,0.889212
64,0.727751,0.861496
65,0.820998,0.921774
66,0.858207,0.933765
67,0.752549,0.878244
68,0.760927,0.882545
69,0.809182,0.917552
70,0.849612,0.929334
71,0.7826,0.895329
72,0.741722,0.869305
73,0.825861,0.925164
74,0.862556,0.936349
75,0.772935,0.887275
76,0.782182,0.89265
77,0.818019,0.920675
78,0.856397,0.931759
79,0.800852,0.903392
80,0.755075,0.874761
81,0.836286,0.927579
82,0.86889,0.938327
83,0.779926,0.890543
84,0.794296,0.897417
85,0.82317,0.922812
86,0.861254,0.933223
87,0.806701,0.905452
88,0.761485,0.87867
89,0.844162,0.930515
