Frame, eSSIM, SSIM
0,0.888146,0.951582
1,0.909851,0.968989
2,0.960964,0.981636
3,0.908954,0.962166
4,0.887018,0.953951
5,0.911593,0.960088
6,0.946609,0.974593
7,0.906987,0.960609
8,0.895782,0.942372
9,0.938081,0.967658
10,0.957729,0.978071
11,0.886452,0.951684
12,0.906183,0.951584
13,0.920622,0.961235
14,0.955227,0.975573
15,0.905578,0.961684
16,0.89223,0.943319
17,0.940421,0.968353
18,0.963406,0.978733
19,0.927249,0.962692
20,0.921121,0.958894
21,0.93707,0.966405
22,0.966223,0.979222
23,0.954235,0.973915
24,0.93393,0.957416
25,0.948526,0.972138
26,0.969646,0.981895
27,0.95354,0.969857
28,0.945852,0.966125
29,0.922059,0.960561
30,0.963461,0.97676
31,0.949981,0.972244
32,0.911617,0.94445
33,0.936214,0.963542
34,0.956082,0.975556
35,0.94795,0.967909
36,0.944582,0.964536
37,0.941967,0.964854
38,0.964052,0.977431
39,0.958525,0.975004
40,0.927653,0.953724
41,0.946617,0.968612
42,0.965071,0.979308
43,0.939965,0.964956
44,0.936574,0.961046
45,0.913313,0.957217
46,0.958248,0.976565
47,0.952755,0.973364
48,0.867175,0.931306
49,0.907259,0.954999
50,0.952272,0.976066
51,0.877703,0.948333
52,0.898527,0.945811
53,0.916534,0.955085
54,0.952014,0.972909
55,0.943507,0.968619
56,0.950451,0.964158
57,0.965063,0.977491
58,0.974369,0.983584
59,0.954245,0.970013
60,0.948544,0.967209
61,0.94911,0.970539
62,0.970947,0.980802
63,0.961556,0.976234
64,0.941886,0.961373
65,0.957005,0.975345
66,0.971212,0.982714
67,0.954135,0.969122
68,0.945654,0.967506
69,0.917628,0.961717
70,0.964207,0.978566
71,0.954739,0.973669
72,0.874372,0.931671
73,0.916587,0.959685
74,0.959892,0.978554
75,0.95525,0.9722
76,0.936033,0.965304
77,0.955111,0.97487
78,0.971351,0.982161
79,0.96622,0.977759
80,0.954737,0.966274
81,0.956826,0.980327
82,0.976918,0.985227
83,0.954367,0.969126
84,0.950004,0.967526
85,0.940883,0.967064
86,0.967796,0.97839
87,0.955639,0.972899
88,0.926444,0.95187
89,0.950663,0.970718
90,0.967323,0.979259
91,0.937108,0.962526
92,0.939007,0.962201
93,0.938468,0.964698
94,0.963073,0.975253
95,0.949773,0.970709
96,0.9289,0.953088
97,0.949629,0.969805
98,0.964189,0.977649
99,0.943112,0.964893
100,0.9437,0.964288
101,0.946462,0.967493
102,0.965466,0.977407
103,0.956255,0.973545
104,0.936287,0.956228
105,0.951705,0.970994
106,0.967233,0.979572
107,0.920807,0.956085
108,0.923266,0.952327
109,0.946333,0.965609
110,0.966289,0.977948
111,0.956329,0.973814
112,0.936386,0.958659
113,0.954563,0.973112
114,0.966604,0.979413
115,0.945185,0.966407
116,0.946555,0.966016
117,0.953703,0.971373
118,0.966534,0.978507
119,0.965915,0.976552
120,0.8916,0.936028
121,0.927443,0.960429
122,0.947268,0.972327
123,0.915136,0.955902
124,0.917586,0.953174
125,0.937471,0.96375
126,0.942412,0.96997
127,0.941635,0.968777
128,0.937372,0.958164
129,0.949915,0.968984
130,0.957328,0.974547
131,0.944504,0.966675
132,0.941934,0.964015
133,0.930015,0.960878
134,0.955067,0.972949
135,0.930304,0.964522
136,0.90281,0.945414
137,0.939392,0.96485
138,0.95809,0.975552
139,0.942025,0.968512
140,0.937511,0.96354
141,0.943914,0.967531
142,0.964887,0.978128
143,0.955366,0.974937
144,0.937675,0.962218
145,0.951087,0.973993
146,0.967822,0.981769
147,0.938807,0.971217
148,0.94317,0.968243
149,0.933688,0.966161
150,0.965284,0.979714
151,0.950634,0.974519
152,0.886447,0.94113
153,0.934393,0.964227
154,0.959927,0.978477
155,0.945169,0.970372
156,0.944929,0.966912
157,0.94894,0.971131
158,0.954003,0.976083
159,0.956777,0.975731
160,0.949779,0.967383
161,0.955909,0.97504
162,0.956733,0.977378
163,0.958829,0.973449
164,0.960434,0.974811
165,0.955385,0.973785
166,0.963169,0.978389
167,0.962525,0.977529
168,0.94755,0.966731
169,0.953915,0.973589
170,0.959258,0.977068
171,0.951041,0.969007
172,0.954083,0.970644
173,0.943111,0.965205
174,0.942099,0.966746
175,0.951295,0.970337
176,0.925645,0.955335
177,0.924786,0.957124
178,0.927769,0.961512
179,0.93524,0.959918
180,0.935357,0.959271
181,0.922199,0.955242
182,0.937173,0.96622
183,0.947597,0.9677
184,0.945327,0.964437
185,0.952158,0.971272
186,0.953739,0.973539
187,0.945063,0.967612
188,0.951174,0.970878
189,0.936296,0.965483
190,0.912684,0.958203
191,0.927928,0.965126
192,0.930265,0.958971
193,0.929475,0.965183
194,0.921856,0.963956
195,0.925769,0.963414
196,0.949454,0.972773
197,0.937024,0.97048
198,0.941644,0.973578
199,0.942528,0.973673
200,0.933085,0.963107
201,0.936016,0.971616
202,0.936103,0.974366
203,0.93251,0.967595
204,0.939359,0.971103
205,0.930391,0.966996
206,0.913278,0.964227
207,0.928616,0.965209
208,0.928367,0.958199
209,0.919677,0.964713
210,0.912808,0.962273
211,0.906693,0.953822
212,0.937137,0.966343
213,0.914757,0.957309
214,0.896573,0.950594
215,0.916926,0.96038
216,0.928343,0.957518
217,0.921302,0.957609
218,0.921528,0.959246
219,0.930954,0.96166
220,0.927442,0.962861
221,0.914762,0.95476
222,0.922964,0.957497
223,0.935977,0.963507
224,0.907594,0.948902
225,0.911628,0.951416
226,0.922475,0.958162
227,0.934123,0.964044
228,0.941701,0.966011
229,0.903576,0.948425
230,0.911265,0.954977
231,0.918755,0.961409
232,0.907654,0.94442
233,0.908036,0.948189
234,0.920908,0.957568
235,0.924252,0.957313
236,0.92876,0.959129
237,0.903642,0.948813
238,0.900684,0.950351
239,0.918667,0.958542
