Frame, eSSIM, SSIM
0,0.853074,0.936934
1,0.872643,0.957641
2,0.94204,0.97779
3,0.88547,0.953723
4,0.847288,0.937514
5,0.861518,0.946429
6,0.928754,0.969836
7,0.871269,0.949544
8,0.84563,0.919005
9,0.89649,0.953731
10,0.940823,0.973601
11,0.846865,0.938603
12,0.856346,0.93049
13,0.884574,0.948067
14,0.935415,0.971398
15,0.86445,0.948883
16,0.842548,0.923012
17,0.899826,0.955894
18,0.950046,0.974827
19,0.891975,0.953917
20,0.873242,0.941527
21,0.89748,0.95437
22,0.95149,0.975711
23,0.93072,0.967041
24,0.896086,0.942716
25,0.912241,0.960466
26,0.961675,0.978776
27,0.928783,0.962932
28,0.900218,0.949177
29,0.874349,0.94336
30,0.954761,0.973801
31,0.918025,0.964444
32,0.8672,0.923321
33,0.895892,0.947556
34,0.947886,0.971961
35,0.928442,0.961621
36,0.906162,0.948022
37,0.907112,0.95111
38,0.956776,0.97458
39,0.939932,0.969473
40,0.890547,0.937342
41,0.911134,0.954914
42,0.955644,0.975164
43,0.91676,0.957117
44,0.888182,0.940203
45,0.861846,0.938784
46,0.949301,0.972893
47,0.93649,0.967282
48,0.808932,0.902843
49,0.849828,0.932097
50,0.939915,0.971764
51,0.841183,0.935557
52,0.845127,0.9204
53,0.881987,0.940868
54,0.944552,0.969266
55,0.919615,0.959815
56,0.923855,0.952538
57,0.940046,0.968412
58,0.964212,0.979802
59,0.940818,0.965035
60,0.928693,0.958797
61,0.928799,0.963646
62,0.963758,0.977792
63,0.941772,0.970879
64,0.916941,0.950585
65,0.935004,0.967317
66,0.960983,0.979457
67,0.938085,0.963786
68,0.917533,0.955424
69,0.885322,0.949691
70,0.950481,0.974687
71,0.927768,0.966122
72,0.814216,0.905501
73,0.858677,0.941101
74,0.949655,0.975309
75,0.941264,0.967387
76,0.900227,0.952541
77,0.938116,0.96954
78,0.959395,0.978436
79,0.947267,0.971808
80,0.931097,0.956846
81,0.948264,0.974133
82,0.966389,0.981906
83,0.932642,0.961882
84,0.914218,0.954036
85,0.905394,0.955471
86,0.958036,0.97501
87,0.928163,0.965011
88,0.879497,0.932673
89,0.908311,0.95757
90,0.957369,0.975861
91,0.902034,0.952459
92,0.888273,0.941339
93,0.898268,0.94885
94,0.953252,0.971154
95,0.915589,0.960823
96,0.883674,0.932391
97,0.910974,0.95455
98,0.954738,0.973608
99,0.914237,0.956461
100,0.901175,0.946536
101,0.91721,0.955407
102,0.957606,0.974035
103,0.930998,0.966413
104,0.89504,0.939075
105,0.915345,0.95765
106,0.957192,0.975507
107,0.875935,0.941331
108,0.856826,0.921303
109,0.910602,0.952839
110,0.95702,0.974393
111,0.927509,0.965276
112,0.898937,0.942563
113,0.923945,0.962292
114,0.957916,0.975938
115,0.916421,0.956921
116,0.906912,0.949543
117,0.928535,0.960593
118,0.947634,0.971328
119,0.942391,0.966701
120,0.840344,0.908358
121,0.880388,0.939909
122,0.928142,0.964641
123,0.882262,0.942228
124,0.872001,0.930079
125,0.903267,0.947908
126,0.921706,0.961892
127,0.915017,0.956632
128,0.897752,0.940052
129,0.914407,0.955617
130,0.939203,0.967448
131,0.91553,0.956447
132,0.901919,0.94548
133,0.88743,0.94424
134,0.94288,0.967794
135,0.890195,0.951115
136,0.856951,0.919975
137,0.89165,0.946421
138,0.943032,0.970518
139,0.919678,0.960329
140,0.896849,0.945496
141,0.914498,0.956124
142,0.957389,0.974968
143,0.934229,0.968375
144,0.903694,0.948501
145,0.922246,0.963861
146,0.960354,0.978511
147,0.920064,0.964832
148,0.912032,0.955233
149,0.886384,0.949665
150,0.945431,0.973101
151,0.909255,0.962694
152,0.850001,0.924257
153,0.898385,0.951627
154,0.94782,0.973691
155,0.929075,0.964539
156,0.913125,0.954204
157,0.922983,0.962391
158,0.9498,0.972872
159,0.94181,0.970854
160,0.927202,0.959091
161,0.937872,0.968739
162,0.949941,0.974377
163,0.941734,0.968225
164,0.937523,0.966839
165,0.929952,0.966075
166,0.947442,0.973022
167,0.938524,0.970883
168,0.910392,0.954265
169,0.923296,0.962418
170,0.940567,0.969412
171,0.919394,0.957598
172,0.914423,0.956033
173,0.901048,0.948945
174,0.913667,0.953425
175,0.917546,0.957643
176,0.865279,0.93342
177,0.872306,0.934968
178,0.885175,0.944204
179,0.895136,0.944606
180,0.890771,0.940541
181,0.8909,0.938437
182,0.916345,0.957647
183,0.919982,0.957646
184,0.907857,0.950219
185,0.916118,0.957619
186,0.926892,0.964122
187,0.914592,0.95656
188,0.909013,0.955276
189,0.886823,0.950247
190,0.895689,0.950356
191,0.903847,0.953782
192,0.875131,0.941025
193,0.887162,0.952773
194,0.908521,0.957415
195,0.900487,0.953047
196,0.885889,0.957611
197,0.892341,0.959569
198,0.925498,0.967077
199,0.899806,0.962572
200,0.859014,0.942865
201,0.876642,0.956149
202,0.893189,0.96209
203,0.884579,0.953635
204,0.871208,0.952151
205,0.875837,0.952077
206,0.901827,0.957634
207,0.883586,0.950294
208,0.873637,0.938087
209,0.88617,0.952941
210,0.896282,0.954485
211,0.869188,0.937002
212,0.877683,0.945069
213,0.876812,0.941124
214,0.881366,0.941879
215,0.878517,0.945414
216,0.872661,0.936009
217,0.877554,0.938625
218,0.895449,0.946787
219,0.879461,0.942772
220,0.85399,0.93691
221,0.841643,0.926069
222,0.872258,0.935062
223,0.869467,0.94045
224,0.816178,0.912861
225,0.824955,0.914636
226,0.85959,0.929841
227,0.879527,0.945156
228,0.866884,0.940121
229,0.822812,0.919097
230,0.871014,0.935488
231,0.861305,0.941634
232,0.853561,0.922922
233,0.866842,0.927775
234,0.891816,0.942785
235,0.869478,0.939967
236,0.858737,0.935049
237,0.848409,0.924566
