Frame, eSSIM, SSIM
0,0.74256,0.854403
1,0.840583,0.931706
2,0.891614,0.963757
3,0.779966,0.896382
4,0.756435,0.867554
5,0.834922,0.926447
6,0.892548,0.956926
7,0.791263,0.909123
8,0.744952,0.863349
9,0.830618,0.928534
10,0.913574,0.966449
11,0.810094,0.918862
12,0.778239,0.884437
13,0.841602,0.927998
14,0.931337,0.969252
15,0.834637,0.939052
16,0.793207,0.895241
17,0.847557,0.936821
18,0.930236,0.973412
19,0.860329,0.944231
20,0.815565,0.914311
21,0.852554,0.938664
22,0.889215,0.961853
23,0.813165,0.92822
24,0.739877,0.864434
25,0.838487,0.93469
26,0.888416,0.967562
27,0.768834,0.89194
28,0.760499,0.866664
29,0.845935,0.925519
30,0.910103,0.962639
31,0.829849,0.922723
32,0.790006,0.879248
33,0.848014,0.93369
34,0.901,0.966591
35,0.823863,0.913552
36,0.791295,0.882551
37,0.850756,0.929465
38,0.902961,0.962369
39,0.828982,0.923705
40,0.783512,0.87029
41,0.854336,0.932957
42,0.911791,0.965823
43,0.763442,0.88132
44,0.752355,0.855347
45,0.813718,0.905665
46,0.909341,0.956104
47,0.793691,0.897142
48,0.725397,0.830259
49,0.835554,0.91867
50,0.884382,0.958391
51,0.780073,0.889681
52,0.779289,0.868981
53,0.8587,0.930064
54,0.903087,0.962125
55,0.819343,0.916772
56,0.780892,0.879128
57,0.854908,0.938261
58,0.898986,0.96662
59,0.816747,0.916544
60,0.812556,0.902429
61,0.859117,0.940659
62,0.895833,0.963802
63,0.836176,0.929083
64,0.793977,0.892331
65,0.85532,0.942896
66,0.894629,0.96775
67,0.811338,0.920427
68,0.793374,0.89743
69,0.84218,0.934342
70,0.88912,0.962482
71,0.818817,0.928765
72,0.76384,0.883187
73,0.840271,0.940755
74,0.896274,0.971061
75,0.808182,0.915742
76,0.773219,0.884939
77,0.73111,0.921616
78,0.797369,0.946012
79,0.809554,0.935609
80,0.762661,0.902814
81,0.769578,0.926339
82,0.816416,0.951679
83,0.814774,0.931653
84,0.788793,0.920608
85,0.778277,0.926261
86,0.819349,0.946155
87,0.823666,0.938218
88,0.78496,0.909828
89,0.790466,0.931871
90,0.825914,0.951134
91,0.81767,0.930715
92,0.802354,0.923443
93,0.780508,0.923111
94,0.818661,0.944882
95,0.823886,0.937971
96,0.780823,0.903444
97,0.778518,0.924015
98,0.821833,0.948831
99,0.80563,0.927327
100,0.791206,0.91562
101,0.700362,0.893957
102,0.774514,0.933628
103,0.798802,0.929893
104,0.745356,0.889108
105,0.748154,0.909167
106,0.794247,0.940392
107,0.806025,0.926666
108,0.771949,0.909204
109,0.749486,0.907076
110,0.808253,0.938195
111,0.819825,0.935316
112,0.76646,0.89734
113,0.772975,0.91796
114,0.817358,0.945477
115,0.810249,0.926619
116,0.780546,0.912801
117,0.761865,0.915466
118,0.812942,0.94102
119,0.819057,0.934374
120,0.771458,0.899822
121,0.769209,0.920217
122,0.808757,0.944178
123,0.796628,0.923008
124,0.7782,0.913428
125,0.704526,0.904271
126,0.772875,0.935109
127,0.790786,0.92557
128,0.751392,0.897637
129,0.765119,0.924003
130,0.80287,0.944864
131,0.806342,0.926644
132,0.784539,0.920189
133,0.778577,0.928726
134,0.823217,0.946515
135,0.823556,0.938846
136,0.787216,0.91432
137,0.799379,0.937096
138,0.828177,0.951728
139,0.821693,0.932463
140,0.807971,0.930311
141,0.790822,0.932456
142,0.830782,0.948124
143,0.835227,0.943356
144,0.79535,0.917224
145,0.804458,0.937625
146,0.829827,0.952818
147,0.82053,0.935234
148,0.808226,0.931122
149,0.739521,0.921238
150,0.810571,0.951187
151,0.825429,0.946289
152,0.786518,0.916731
153,0.79641,0.937227
154,0.838584,0.958682
155,0.845612,0.943319
156,0.817265,0.935522
157,0.803926,0.938849
158,0.855106,0.958452
159,0.859798,0.953618
160,0.816621,0.929665
161,0.823727,0.947794
162,0.867239,0.964605
163,0.871684,0.951748
164,0.837874,0.946167
165,0.822515,0.947754
166,0.870918,0.963077
167,0.877814,0.959669
168,0.842662,0.940707
169,0.834564,0.95545
170,0.874881,0.968907
171,0.888207,0.957237
172,0.84716,0.95305
173,0.77568,0.946028
174,0.852941,0.966537
175,0.877205,0.961747
176,0.827563,0.939745
177,0.815574,0.953379
178,0.858215,0.969082
179,0.89065,0.956851
180,0.836808,0.948498
181,0.812243,0.946991
182,0.864573,0.963251
183,0.887307,0.959624
184,0.832042,0.937264
185,0.819485,0.950264
186,0.867353,0.966762
187,0.898291,0.955931
188,0.830911,0.946654
189,0.806405,0.944367
190,0.870796,0.962073
191,0.887573,0.958952
192,0.837358,0.937393
193,0.821552,0.95055
194,0.870431,0.96577
195,0.877401,0.953581
196,0.839169,0.947895
197,0.762579,0.941261
198,0.837541,0.961981
199,0.849393,0.953516
200,0.813682,0.932777
201,0.815177,0.951796
202,0.84603,0.96466
203,0.841477,0.94463
204,0.799331,0.937925
205,0.773885,0.926012
206,0.883966,0.964275
207,0.757512,0.905439
208,0.734192,0.868998
209,0.821818,0.938483
210,0.908974,0.968577
211,0.79627,0.917594
212,0.782925,0.901937
213,0.818437,0.941668
214,0.91102,0.968514
215,0.795404,0.924774
216,0.785494,0.902136
217,0.840395,0.948096
218,0.911625,0.971796
219,0.820083,0.930094
220,0.802088,0.913685
221,0.795936,0.930616
222,0.899386,0.965662
223,0.796401,0.926444
224,0.74722,0.878002
225,0.79375,0.927383
226,0.896616,0.966551
227,0.759302,0.905679
228,0.738084,0.875976
229,0.764742,0.916341
230,0.876867,0.961756
231,0.771,0.916872
232,0.752823,0.885358
233,0.817618,0.937864
234,0.903075,0.968502
235,0.803805,0.924792
236,0.794546,0.909648
237,0.817358,0.939726
238,0.904667,0.965343
239,0.790635,0.921385
240,0.75996,0.890057
241,0.83802,0.945374
242,0.909681,0.968766
243,0.792347,0.919475
244,0.789577,0.909857
245,0.835144,0.946929
246,0.910748,0.966872
247,0.792546,0.922594
248,0.763889,0.896742
249,0.855061,0.954433
250,0.915718,0.970754
251,0.78526,0.91568
252,0.785752,0.911102
253,0.80011,0.945879
254,0.880566,0.965066
255,0.77102,0.914038
256,0.741387,0.887259
257,0.844779,0.954008
258,0.906138,0.96968
259,0.780498,0.916569
260,0.787657,0.915039
261,0.836465,0.953568
262,0.90701,0.968192
263,0.790287,0.924441
264,0.769742,0.902957
265,0.833225,0.952018
266,0.907874,0.970909
267,0.820352,0.931201
268,0.804345,0.920191
269,0.805907,0.938901
270,0.899651,0.965292
271,0.801464,0.9298
272,0.770569,0.895459
273,0.81753,0.937895
274,0.905757,0.967149
275,0.784446,0.917319
276,0.759761,0.890936
277,0.757772,0.913746
278,0.866636,0.959407
279,0.785363,0.922609
280,0.755416,0.884657
281,0.814404,0.932785
282,0.895253,0.966655
283,0.808599,0.927815
284,0.793396,0.909182
285,0.822847,0.940316
286,0.904337,0.966083
287,0.810012,0.931531
288,0.760866,0.894414
289,0.826906,0.943461
290,0.911173,0.968878
291,0.79632,0.921876
292,0.776656,0.904706
293,0.805163,0.937696
294,0.905178,0.965206
295,0.805913,0.930461
296,0.760292,0.894836
297,0.812031,0.94023
298,0.912624,0.968652
299,0.788073,0.920575
300,0.774569,0.902775
301,0.742974,0.913466
302,0.861157,0.957277
303,0.770983,0.915865
304,0.73951,0.874116
305,0.807337,0.929075
306,0.886962,0.963767
307,0.803414,0.923015
308,0.791144,0.905593
309,0.818584,0.938301
310,0.900317,0.96397
311,0.794028,0.923438
312,0.736893,0.880722
313,0.822914,0.940508
314,0.909056,0.966621
315,0.786594,0.919176
316,0.781842,0.908594
317,0.825034,0.944591
318,0.902401,0.966538
319,0.794768,0.928164
320,0.763819,0.899317
321,0.823558,0.944059
322,0.904336,0.96979
323,0.781122,0.922299
324,0.763207,0.901589
325,0.779518,0.924781
326,0.866446,0.962041
327,0.781407,0.926665
328,0.72596,0.87326
329,0.795567,0.923301
330,0.889902,0.964172
331,0.801906,0.930037
332,0.781059,0.901513
333,0.802133,0.924086
334,0.894628,0.96345
335,0.796396,0.930742
336,0.767846,0.89047
337,0.827437,0.932228
338,0.897566,0.965957
339,0.784392,0.919348
340,0.767893,0.893718
341,0.78836,0.923217
342,0.895272,0.961684
