Frame, eSSIM, SSIM
0,0.899515,0.948566
1,0.910843,0.962974
2,0.920432,0.963416
3,0.871157,0.938334
4,0.887651,0.95049
5,0.879601,0.954806
6,0.888201,0.953677
7,0.876624,0.94501
8,0.839374,0.930569
9,0.885511,0.957557
10,0.9063,0.960135
11,0.849979,0.932533
12,0.857603,0.940665
13,0.888744,0.957116
14,0.895564,0.953846
15,0.863508,0.940674
16,0.864705,0.938646
17,0.897318,0.96142
18,0.908655,0.960842
19,0.870831,0.938687
20,0.895902,0.952687
21,0.91337,0.963889
22,0.900168,0.957171
23,0.895807,0.950945
24,0.878624,0.947032
25,0.925388,0.967989
26,0.91831,0.964545
27,0.882166,0.945604
28,0.9095,0.959315
29,0.928396,0.968122
30,0.912069,0.961609
31,0.908525,0.956734
32,0.902069,0.954081
33,0.927756,0.969672
34,0.921003,0.965957
35,0.887018,0.947575
36,0.922443,0.963446
37,0.928218,0.969254
38,0.897957,0.960121
39,0.909622,0.95825
40,0.89638,0.952898
41,0.922753,0.969564
42,0.91714,0.96589
43,0.882481,0.946169
44,0.92503,0.962953
45,0.929108,0.968372
46,0.895798,0.959497
47,0.907556,0.956139
48,0.89212,0.950081
49,0.918737,0.969227
50,0.915525,0.965918
51,0.87485,0.942519
52,0.918831,0.960417
53,0.921799,0.96758
54,0.896293,0.960492
55,0.90539,0.954804
56,0.878638,0.944828
57,0.920241,0.969844
58,0.914922,0.966886
59,0.873911,0.941333
60,0.918672,0.959907
61,0.92734,0.968461
62,0.906034,0.962549
63,0.911037,0.956421
64,0.897495,0.949886
65,0.92774,0.971162
66,0.923674,0.968906
67,0.897599,0.949672
68,0.930507,0.96416
69,0.933125,0.970717
70,0.917128,0.965645
71,0.922145,0.961158
72,0.914965,0.957357
73,0.939776,0.973619
74,0.933278,0.971115
75,0.906241,0.953931
76,0.930968,0.96615
77,0.938087,0.972086
78,0.902569,0.964214
79,0.918493,0.961988
80,0.909676,0.958274
81,0.910777,0.972391
82,0.909108,0.969012
83,0.887699,0.951989
84,0.933581,0.967283
85,0.930208,0.97216
86,0.891259,0.963673
87,0.91358,0.961983
88,0.917125,0.959727
89,0.928991,0.973786
90,0.921671,0.970977
91,0.898185,0.955321
92,0.941424,0.968908
93,0.939716,0.973116
94,0.901447,0.965282
95,0.921586,0.964145
96,0.924938,0.961104
97,0.929002,0.973984
98,0.923357,0.971366
99,0.90058,0.955191
100,0.946429,0.969619
101,0.936833,0.972966
102,0.895829,0.96447
103,0.923232,0.964719
104,0.931695,0.961282
105,0.923535,0.97384
106,0.921081,0.970861
