Frame, eSSIM, SSIM
0,0.878809,0.93548
1,0.890334,0.953302
2,0.884752,0.946078
3,0.870842,0.930732
4,0.886214,0.944864
5,0.858662,0.943937
6,0.833489,0.934452
7,0.855857,0.936832
8,0.863824,0.934022
9,0.87657,0.950379
10,0.868876,0.942372
11,0.842349,0.922126
12,0.827244,0.931802
13,0.80263,0.930968
14,0.78986,0.917934
15,0.821827,0.923384
16,0.760852,0.903452
17,0.77126,0.92274
18,0.776549,0.914497
19,0.784823,0.900466
20,0.790677,0.91741
21,0.779803,0.918983
22,0.774699,0.908659
23,0.796529,0.911918
24,0.719941,0.882367
25,0.766577,0.922696
26,0.752944,0.908199
27,0.782622,0.895779
28,0.794409,0.913312
29,0.796503,0.928721
30,0.781622,0.913244
31,0.789156,0.907034
32,0.7577,0.899938
33,0.78856,0.928525
34,0.761429,0.908856
35,0.774629,0.893676
36,0.801297,0.918053
37,0.801327,0.930962
38,0.768764,0.90987
39,0.780879,0.904519
40,0.768293,0.902265
41,0.786445,0.926917
42,0.766791,0.908392
43,0.77279,0.891188
44,0.804457,0.917542
45,0.81564,0.934711
46,0.828801,0.930631
47,0.835312,0.924895
48,0.834848,0.922356
49,0.857947,0.945922
50,0.849617,0.93554
51,0.836309,0.917211
52,0.867559,0.938525
53,0.879129,0.95044
54,0.855991,0.938297
55,0.850394,0.927603
56,0.824018,0.92119
57,0.873818,0.951668
58,0.860568,0.940413
59,0.822751,0.913105
60,0.858807,0.937888
61,0.887054,0.953154
62,0.864389,0.94086
63,0.850136,0.928335
64,0.845109,0.930144
65,0.887008,0.956627
66,0.871523,0.945266
67,0.84598,0.923853
68,0.878831,0.946127
69,0.895108,0.957213
70,0.868941,0.947353
71,0.854933,0.937229
72,0.826669,0.92188
73,0.875848,0.953075
74,0.858537,0.941405
75,0.847287,0.922888
76,0.871047,0.942228
77,0.885367,0.954512
78,0.842248,0.93744
79,0.844971,0.932583
80,0.848121,0.934567
81,0.858759,0.951918
82,0.841569,0.937507
83,0.837935,0.923252
84,0.871471,0.945705
85,0.870803,0.952523
86,0.82772,0.93426
87,0.846288,0.933499
88,0.850637,0.936404
89,0.858547,0.951694
90,0.837602,0.936792
91,0.835047,0.923246
92,0.867509,0.94445
93,0.858982,0.949308
94,0.811459,0.930496
95,0.830381,0.929834
96,0.775548,0.910246
97,0.81965,0.944372
98,0.795439,0.925986
99,0.807719,0.9088
100,0.834433,0.931303
101,0.824245,0.940365
102,0.785666,0.920776
103,0.813684,0.920622
104,0.822337,0.924302
105,0.826287,0.94341
106,0.799133,0.924348
107,0.809601,0.910535
108,0.840923,0.934206
109,0.817737,0.937943
110,0.788549,0.919858
111,0.810184,0.919746
112,0.816177,0.922047
113,0.828466,0.942145
114,0.798856,0.922262
115,0.800765,0.907235
116,0.817425,0.929805
117,0.814386,0.935445
118,0.788327,0.918679
119,0.800519,0.915277
120,0.737275,0.89118
121,0.786728,0.934937
122,0.764576,0.914804
123,0.780501,0.893819
124,0.789062,0.913152
125,0.799991,0.931362
126,0.766148,0.910592
127,0.778951,0.90291
128,0.745082,0.893939
129,0.779763,0.928288
130,0.75835,0.90778
131,0.761182,0.886645
132,0.791634,0.91286
133,0.795943,0.928225
134,0.769416,0.909613
135,0.775626,0.9001
136,0.759249,0.896639
137,0.79624,0.930376
138,0.769571,0.910813
139,0.770727,0.888935
140,0.788005,0.911599
141,0.805525,0.919366
142,0.857658,0.958417
143,0.801015,0.935461
144,0.84671,0.920651
145,0.874597,0.946228
146,0.866593,0.960578
147,0.823271,0.93278
148,0.829202,0.926472
149,0.859311,0.942497
150,0.865844,0.957606
151,0.825745,0.938827
152,0.852765,0.923461
153,0.864926,0.944785
154,0.874622,0.961657
155,0.83914,0.93956
156,0.841359,0.932495
157,0.864855,0.943056
158,0.871769,0.957848
159,0.833551,0.942605
160,0.860745,0.926485
161,0.873695,0.946028
162,0.873602,0.961314
163,0.831831,0.936889
164,0.835553,0.929909
165,0.876666,0.947114
166,0.852969,0.960189
167,0.803887,0.935271
168,0.845374,0.920714
169,0.86564,0.947766
170,0.86575,0.962688
171,0.820675,0.928924
172,0.821943,0.922826
173,0.882373,0.951944
174,0.872937,0.962264
175,0.83265,0.941934
176,0.877466,0.939344
177,0.911839,0.964612
178,0.879568,0.968362
179,0.839065,0.939779
180,0.853046,0.942114
181,0.892159,0.956853
182,0.868376,0.960995
183,0.825107,0.942529
184,0.861065,0.934865
185,0.893568,0.957027
186,0.876302,0.96348
187,0.85229,0.945405
188,0.858858,0.942957
189,0.89697,0.958806
190,0.878636,0.96745
191,0.835625,0.949397
192,0.883575,0.941787
193,0.906182,0.963556
194,0.882355,0.968488
195,0.84523,0.944473
196,0.85674,0.945167
197,0.898393,0.960911
198,0.879635,0.965958
199,0.851926,0.952731
200,0.892831,0.94633
201,0.913971,0.965911
202,0.891298,0.97009
203,0.848416,0.94679
204,0.854502,0.946748
205,0.902812,0.96063
206,0.892071,0.967113
207,0.85279,0.954076
208,0.882368,0.941089
209,0.895541,0.960408
210,0.889989,0.969046
211,0.842887,0.943055
212,0.849433,0.940241
213,0.895996,0.958773
214,0.86676,0.965555
215,0.821539,0.944344
216,0.875757,0.936683
217,0.897238,0.961743
218,0.868088,0.967263
219,0.846486,0.941261
220,0.862917,0.944707
221,0.891778,0.961268
222,0.876564,0.965511
223,0.854416,0.949838
224,0.880184,0.939504
225,0.89059,0.961876
226,0.877366,0.968328
227,0.848517,0.944245
228,0.851997,0.941838
229,0.891385,0.958529
230,0.879985,0.966093
231,0.850336,0.952579
232,0.872323,0.938478
233,0.88167,0.957768
234,0.885532,0.96866
235,0.843843,0.944538
236,0.852353,0.941905
237,0.896983,0.959289
238,0.87649,0.965588
239,0.834459,0.947551
240,0.877206,0.93768
241,0.890444,0.959711
242,0.886804,0.969052
243,0.861694,0.946719
244,0.864497,0.945016
245,0.895289,0.959776
246,0.886458,0.965531
247,0.863928,0.951446
248,0.885541,0.93952
249,0.896976,0.961641
250,0.884123,0.96799
251,0.843088,0.938689
252,0.851749,0.93928
253,0.893474,0.958441
254,0.894398,0.965573
255,0.860213,0.94962
256,0.885838,0.939692
257,0.892445,0.960313
258,0.891239,0.968912
259,0.875368,0.946491
260,0.873773,0.945607
261,0.906761,0.960077
262,0.905965,0.965239
263,0.877666,0.948771
264,0.879255,0.935058
265,0.882774,0.957688
266,0.898276,0.968154
267,0.865989,0.944891
268,0.867735,0.943298
269,0.908128,0.960823
270,0.907312,0.966456
271,0.873755,0.951671
272,0.88672,0.938536
273,0.905589,0.962526
274,0.900581,0.968696
275,0.87071,0.944834
276,0.877333,0.945921
277,0.90844,0.961686
278,0.912627,0.967381
279,0.876849,0.95388
280,0.886682,0.940972
281,0.880997,0.959614
282,0.901082,0.969708
283,0.882778,0.949926
284,0.881201,0.949252
285,0.91658,0.96336
286,0.911843,0.966279
287,0.884434,0.949896
288,0.889941,0.938576
289,0.903562,0.961113
290,0.912126,0.969089
291,0.877981,0.947947
292,0.87545,0.947096
293,0.914505,0.963106
294,0.916491,0.967634
295,0.885561,0.953617
296,0.9008,0.945794
297,0.919342,0.967431
298,0.903312,0.971591
299,0.873134,0.949062
300,0.884594,0.952288
301,0.916983,0.966068
302,0.918679,0.969685
303,0.894993,0.958532
304,0.90648,0.948628
305,0.916845,0.967869
306,0.891079,0.970482
307,0.873541,0.948569
308,0.886998,0.953112
309,0.914292,0.965429
310,0.907678,0.967853
311,0.890922,0.953476
312,0.894088,0.943007
313,0.916621,0.967334
314,0.900678,0.970147
315,0.87275,0.946407
316,0.884609,0.950563
317,0.910391,0.965454
318,0.908442,0.968381
319,0.881033,0.953345
320,0.888282,0.942143
321,0.902609,0.965293
322,0.896986,0.97001
323,0.898177,0.951854
324,0.879541,0.951148
325,0.865238,0.946395
326,0.905087,0.967622
327,0.812556,0.930496
328,0.798765,0.893834
329,0.853068,0.937823
330,0.911527,0.967702
331,0.7911,0.913043
332,0.786175,0.890875
333,0.806768,0.914431
334,0.906243,0.9587
335,0.781682,0.911303
336,0.735006,0.849575
337,0.802902,0.910976
338,0.911455,0.962516
339,0.794903,0.910838
340,0.7875,0.885208
341,0.813456,0.921019
