Frame, eSSIM, SSIM
0,0.744444,0.846045
1,0.788311,0.891823
2,0.915956,0.954123
3,0.80912,0.910774
4,0.7519,0.857091
5,0.800132,0.909856
6,0.889557,0.94473
7,0.805812,0.90968
8,0.720163,0.847816
9,0.794062,0.911569
10,0.891822,0.948297
11,0.746958,0.882356
12,0.738348,0.862745
13,0.758486,0.898412
14,0.869882,0.94075
15,0.781762,0.896551
16,0.712469,0.840752
17,0.780723,0.90586
18,0.881667,0.946757
19,0.77178,0.888006
20,0.741915,0.860367
21,0.777395,0.903311
22,0.877317,0.943382
23,0.801361,0.905012
24,0.742548,0.85777
25,0.800198,0.912772
26,0.890404,0.949551
27,0.793443,0.898565
28,0.769533,0.876167
29,0.792189,0.909969
30,0.88105,0.944769
31,0.814991,0.90984
32,0.748303,0.860666
33,0.805948,0.915479
34,0.893375,0.950325
35,0.803427,0.901403
36,0.775984,0.879851
37,0.802764,0.913458
38,0.887386,0.94666
39,0.836118,0.917851
40,0.770104,0.876788
41,0.817654,0.921207
42,0.898051,0.95276
43,0.823799,0.915439
44,0.801195,0.897223
45,0.814788,0.920609
46,0.887399,0.949116
47,0.849684,0.928429
48,0.777094,0.886319
49,0.823111,0.925773
50,0.897183,0.954179
51,0.820535,0.916685
52,0.801611,0.901978
53,0.811464,0.921041
54,0.885042,0.948396
55,0.848101,0.927566
56,0.773592,0.885741
57,0.824147,0.926564
58,0.896559,0.953881
59,0.819055,0.913523
60,0.80503,0.900636
61,0.812868,0.921774
62,0.885438,0.948558
63,0.841741,0.923171
64,0.774608,0.879694
65,0.830661,0.926927
66,0.899952,0.954902
67,0.813943,0.90963
68,0.801276,0.894282
69,0.811781,0.920831
70,0.891576,0.951058
71,0.841157,0.922999
72,0.777251,0.88387
73,0.83396,0.929658
74,0.904289,0.956677
75,0.816053,0.913997
76,0.806782,0.900704
77,0.820982,0.92633
78,0.88662,0.951173
79,0.838494,0.923034
80,0.772951,0.881123
81,0.830757,0.92968
82,0.897259,0.954919
83,0.804936,0.904722
84,0.797838,0.893298
85,0.816222,0.923831
86,0.886795,0.950222
87,0.830755,0.916102
88,0.772752,0.876624
89,0.833841,0.930666
90,0.898748,0.955544
91,0.814897,0.905156
92,0.806318,0.893711
93,0.824402,0.927766
94,0.89498,0.952937
95,0.840141,0.919266
96,0.785434,0.884362
97,0.844798,0.935997
98,0.90696,0.959186
99,0.826946,0.914067
100,0.816942,0.902818
101,0.824387,0.930201
102,0.897857,0.954973
103,0.852011,0.926936
104,0.790968,0.889956
105,0.843739,0.935906
106,0.906741,0.959578
107,0.824598,0.913961
108,0.812074,0.902487
109,0.830224,0.930286
110,0.899266,0.95416
111,0.847066,0.925877
112,0.787181,0.888163
113,0.847333,0.935535
114,0.90799,0.958597
115,0.822695,0.914134
116,0.817942,0.905679
117,0.83396,0.931618
118,0.895364,0.952314
119,0.84432,0.924749
120,0.791873,0.891959
121,0.854622,0.937951
122,0.909678,0.958772
123,0.826319,0.916063
124,0.821559,0.908258
125,0.835405,0.933078
126,0.894328,0.952408
127,0.847154,0.926378
128,0.791043,0.892443
129,0.850857,0.937178
130,0.904514,0.957299
131,0.822965,0.914492
132,0.821179,0.908377
133,0.838854,0.932447
134,0.892687,0.950715
135,0.847588,0.926287
136,0.791696,0.891145
137,0.853944,0.93729
138,0.904669,0.955769
139,0.818129,0.909766
140,0.816364,0.904703
141,0.836665,0.932015
142,0.894849,0.950333
143,0.844901,0.922269
144,0.795085,0.891109
145,0.853449,0.937471
146,0.90528,0.955789
147,0.827898,0.914681
148,0.826255,0.909709
149,0.83983,0.933617
150,0.894237,0.950909
151,0.85706,0.928439
152,0.797568,0.896443
153,0.853254,0.938236
154,0.905296,0.956317
155,0.833363,0.918036
156,0.833117,0.914081
157,0.839841,0.933769
158,0.894956,0.950563
159,0.855116,0.926929
160,0.803327,0.896177
161,0.865335,0.94032
162,0.907713,0.956104
163,0.833691,0.916017
164,0.839826,0.915365
165,0.843768,0.934371
166,0.892431,0.948705
167,0.860554,0.928315
168,0.800542,0.89609
169,0.859849,0.938861
170,0.903751,0.954591
171,0.831506,0.916039
172,0.835058,0.914628
173,0.845249,0.934388
174,0.892424,0.949265
175,0.860076,0.929691
176,0.802529,0.897564
177,0.85967,0.938708
178,0.904006,0.954714
179,0.827402,0.91363
180,0.831008,0.912454
181,0.843232,0.933551
182,0.889529,0.947773
183,0.852176,0.924685
184,0.792745,0.889143
185,0.856954,0.937248
186,0.90041,0.953166
187,0.821307,0.909922
188,0.828645,0.910124
189,0.84092,0.933039
190,0.891453,0.948257
191,0.853209,0.924991
192,0.794351,0.892611
193,0.853176,0.937684
194,0.903941,0.954122
195,0.825005,0.912955
196,0.829297,0.912487
197,0.843252,0.934236
198,0.89544,0.949873
199,0.857038,0.92786
200,0.801567,0.896788
201,0.858983,0.93966
202,0.905373,0.955387
203,0.831029,0.914979
204,0.828059,0.913429
205,0.842236,0.935026
206,0.893057,0.94991
207,0.857869,0.929124
208,0.802471,0.896986
209,0.858961,0.939542
210,0.903483,0.955298
211,0.831333,0.914621
212,0.83332,0.914226
213,0.839597,0.93376
214,0.891648,0.949057
215,0.858513,0.928167
216,0.799494,0.896661
217,0.854816,0.938907
218,0.905302,0.955576
219,0.826052,0.915396
220,0.826077,0.912979
221,0.842256,0.935
222,0.891808,0.950437
223,0.857884,0.930547
224,0.808185,0.902905
225,0.860998,0.940624
226,0.907032,0.956405
227,0.83994,0.922601
228,0.83894,0.919427
229,0.846682,0.936289
230,0.896655,0.951587
231,0.866646,0.935139
232,0.810422,0.903974
233,0.862439,0.941089
234,0.906951,0.95665
235,0.832916,0.919938
236,0.835887,0.918097
237,0.851261,0.936875
238,0.898402,0.952646
239,0.866541,0.93488
240,0.813311,0.905776
241,0.865679,0.941453
242,0.911008,0.958161
243,0.846795,0.925449
244,0.842765,0.920891
245,0.85031,0.937356
246,0.900874,0.953896
247,0.872058,0.936217
248,0.818097,0.907008
249,0.865784,0.94255
250,0.913486,0.959521
251,0.849027,0.926599
252,0.846033,0.922188
253,0.851111,0.937676
254,0.901734,0.954625
255,0.86577,0.935745
256,0.814733,0.903746
257,0.868083,0.941487
258,0.913158,0.958424
259,0.837672,0.920946
260,0.840002,0.916943
261,0.855272,0.9374
262,0.903243,0.953929
263,0.868141,0.933997
264,0.814402,0.901529
265,0.869142,0.941184
266,0.916677,0.959169
267,0.843488,0.923108
268,0.837843,0.915452
269,0.849355,0.934797
270,0.903296,0.954511
271,0.865066,0.934184
272,0.809533,0.9002
273,0.859156,0.93743
274,0.913073,0.959011
275,0.83803,0.92215
276,0.826631,0.911452
277,0.84461,0.935107
278,0.907407,0.955862
279,0.859267,0.933801
280,0.804095,0.899712
281,0.857598,0.938692
282,0.914415,0.959387
283,0.835747,0.922496
284,0.830277,0.913579
285,0.838308,0.934775
286,0.906016,0.956453
287,0.85846,0.933061
288,0.797766,0.897758
289,0.850721,0.938388
290,0.913806,0.959882
291,0.834249,0.922169
292,0.820994,0.911299
293,0.833558,0.934855
294,0.906849,0.956908
295,0.853829,0.931658
296,0.797127,0.898255
297,0.84717,0.938544
298,0.915891,0.960807
299,0.831639,0.921948
300,0.817455,0.908972
301,0.832838,0.932216
302,0.907144,0.957028
303,0.85336,0.932106
304,0.7833,0.890404
305,0.835378,0.932268
306,0.911874,0.95976
307,0.82082,0.919234
308,0.806759,0.904121
309,0.831761,0.931595
310,0.903685,0.955758
311,0.843179,0.928617
312,0.785193,0.891021
313,0.841029,0.933353
314,0.906693,0.958726
315,0.811467,0.916022
316,0.79928,0.900764
317,0.827548,0.92862
318,0.899621,0.954911
319,0.83317,0.925509
320,0.783903,0.886789
321,0.840004,0.930686
322,0.911247,0.95839
323,0.818471,0.914463
324,0.798935,0.89395
325,0.821243,0.922249
326,0.898988,0.953515
327,0.829748,0.920608
328,0.772614,0.877961
329,0.831356,0.926856
330,0.913054,0.958384
331,0.843881,0.928649
332,0.842359,0.920327
333,0.817529,0.922216
334,0.906856,0.954466
335,0.839276,0.924482
336,0.768742,0.875165
337,0.823846,0.923019
338,0.913831,0.95792
