Frame, eSSIM, SSIM
0,0.74046,0.80372
1,0.790267,0.881095
2,0.873699,0.942586
3,0.784822,0.867113
4,0.74059,0.803907
5,0.781734,0.87802
6,0.871265,0.942143
7,0.807781,0.879611
8,0.764897,0.823679
9,0.807926,0.892071
10,0.87908,0.945064
11,0.822002,0.88975
12,0.810422,0.860638
13,0.851674,0.915568
14,0.887802,0.948562
15,0.839414,0.89954
16,0.80014,0.850386
17,0.84487,0.909807
18,0.891095,0.949181
19,0.838068,0.897469
20,0.80599,0.853705
21,0.846913,0.910922
22,0.895081,0.950301
23,0.841334,0.899271
24,0.811181,0.857975
25,0.84397,0.909426
26,0.894345,0.950594
27,0.845399,0.902071
28,0.834004,0.875476
29,0.857023,0.917598
30,0.899117,0.951917
31,0.866743,0.914244
32,0.837252,0.878913
33,0.858806,0.917701
34,0.899426,0.951714
35,0.875066,0.919143
36,0.849378,0.888246
37,0.874962,0.927509
38,0.900901,0.952116
39,0.877746,0.921304
40,0.842675,0.883398
41,0.86228,0.920613
42,0.899767,0.95201
43,0.870809,0.916521
44,0.849144,0.888016
45,0.866229,0.922943
46,0.902917,0.952645
47,0.87163,0.916915
48,0.848019,0.887806
49,0.869675,0.924375
50,0.90314,0.952661
51,0.876618,0.919964
52,0.852419,0.891267
53,0.871297,0.925704
54,0.903611,0.952637
55,0.873535,0.918151
56,0.854741,0.89374
57,0.873455,0.926754
58,0.905405,0.953563
59,0.88132,0.923273
60,0.864044,0.900556
61,0.871007,0.925826
62,0.905794,0.954289
63,0.875305,0.919331
64,0.860177,0.897882
65,0.877473,0.929617
66,0.906134,0.954185
67,0.87793,0.921086
68,0.856288,0.894755
69,0.878996,0.931062
70,0.906582,0.954373
71,0.883086,0.924456
72,0.854266,0.893275
73,0.870341,0.926457
74,0.903455,0.954471
75,0.88474,0.926206
76,0.861218,0.899212
77,0.871186,0.92621
78,0.907475,0.954873
79,0.879425,0.923029
80,0.863054,0.901098
81,0.880298,0.93089
82,0.908898,0.955604
83,0.885123,0.926714
84,0.863175,0.900427
85,0.878439,0.929944
86,0.908693,0.955502
87,0.884935,0.926665
88,0.878547,0.914552
89,0.891063,0.937143
90,0.911742,0.956684
91,0.887133,0.928346
92,0.865489,0.902642
93,0.879188,0.930731
94,0.911206,0.9565
95,0.885224,0.927159
96,0.865542,0.903229
97,0.88721,0.934401
98,0.912974,0.95693
99,0.887069,0.927088
100,0.866107,0.90154
101,0.893312,0.938065
102,0.914955,0.957532
103,0.891172,0.929186
104,0.871089,0.9051
105,0.886285,0.933972
106,0.91452,0.95753
107,0.891626,0.929299
108,0.874594,0.906575
109,0.891803,0.93669
110,0.916391,0.958058
111,0.893116,0.930452
112,0.880538,0.911925
113,0.894991,0.937899
114,0.916857,0.957843
115,0.891113,0.929004
116,0.870757,0.904413
117,0.891742,0.936071
118,0.916961,0.957891
119,0.899357,0.933286
120,0.875375,0.908413
121,0.894087,0.93695
122,0.921363,0.959198
123,0.899005,0.933581
124,0.882225,0.911601
125,0.897052,0.938816
126,0.921018,0.959496
127,0.89632,0.932434
128,0.886659,0.915663
129,0.900679,0.940294
130,0.920351,0.959221
131,0.894176,0.931099
132,0.87634,0.907975
133,0.901953,0.941039
134,0.923211,0.960061
135,0.899229,0.933486
136,0.878145,0.909489
137,0.894109,0.936799
138,0.922876,0.959893
139,0.898595,0.933564
140,0.883424,0.912339
141,0.897577,0.938112
142,0.922976,0.960074
143,0.896448,0.931822
144,0.882071,0.911748
145,0.899431,0.938927
146,0.922945,0.959917
147,0.900521,0.934186
148,0.884013,0.912864
149,0.900715,0.939959
