Frame, eSSIM, SSIM
0,0.811633,0.853519
1,0.845359,0.909104
2,0.885523,0.946712
3,0.84818,0.9003
4,0.826201,0.865697
5,0.84556,0.911162
6,0.888739,0.948095
7,0.854881,0.904571
8,0.827229,0.86726
9,0.849341,0.912054
10,0.889614,0.948534
11,0.870063,0.91496
12,0.848224,0.885628
13,0.861798,0.921534
14,0.892272,0.950768
15,0.873945,0.917746
16,0.834591,0.87385
17,0.852545,0.913937
18,0.892489,0.950029
19,0.861742,0.909226
20,0.831935,0.871336
21,0.847716,0.913345
22,0.898219,0.953171
23,0.86697,0.91333
24,0.819702,0.859713
25,0.850097,0.911537
26,0.891467,0.949612
27,0.854456,0.904665
28,0.829701,0.868554
29,0.854617,0.915908
30,0.893784,0.950746
31,0.85997,0.90962
32,0.834631,0.873083
33,0.856235,0.915572
34,0.894215,0.950299
35,0.872256,0.915998
36,0.848877,0.885637
37,0.859088,0.920442
38,0.895933,0.951421
39,0.869371,0.916506
40,0.839855,0.878321
41,0.856996,0.916574
42,0.893038,0.949664
43,0.866175,0.911497
44,0.840591,0.879133
45,0.84843,0.914
46,0.896971,0.951827
47,0.865312,0.913698
48,0.82169,0.862116
49,0.850737,0.912249
50,0.890155,0.948255
51,0.85666,0.905444
52,0.833346,0.871767
53,0.848157,0.911855
54,0.890869,0.949086
55,0.850186,0.9042
56,0.837527,0.876088
57,0.85752,0.916703
58,0.894449,0.950069
59,0.867625,0.913224
60,0.846102,0.883111
61,0.846392,0.913258
62,0.895552,0.951272
63,0.859349,0.909829
64,0.842259,0.880654
65,0.857822,0.91731
66,0.895099,0.950645
67,0.865685,0.912145
68,0.837956,0.878326
69,0.848457,0.91535
70,0.897497,0.95262
71,0.860965,0.912994
72,0.821188,0.861264
73,0.85119,0.912204
74,0.891297,0.949375
75,0.855452,0.905356
76,0.832147,0.870826
77,0.848245,0.912051
78,0.890712,0.949791
79,0.848711,0.904104
80,0.839771,0.877773
81,0.860093,0.917871
82,0.892437,0.95023
83,0.863531,0.911157
84,0.841146,0.879105
85,0.852187,0.913995
86,0.894236,0.951188
87,0.858502,0.909652
88,0.860897,0.896222
89,0.871671,0.925327
90,0.897791,0.951961
91,0.865854,0.913188
92,0.840119,0.878888
93,0.854618,0.91645
94,0.899685,0.952947
95,0.859427,0.912185
96,0.825092,0.864087
97,0.854405,0.913827
98,0.893549,0.950441
99,0.852882,0.904218
100,0.828187,0.867349
101,0.852802,0.915031
102,0.896192,0.951621
103,0.855377,0.907766
104,0.834785,0.873354
105,0.857598,0.916106
106,0.894704,0.951125
107,0.860637,0.90916
108,0.836924,0.875185
109,0.856124,0.916654
110,0.896741,0.952204
111,0.850923,0.9098
112,0.842888,0.879746
113,0.863511,0.919296
114,0.8978,0.952031
115,0.860263,0.909219
116,0.83538,0.874091
117,0.855976,0.916595
118,0.898606,0.953289
119,0.859688,0.912532
120,0.823238,0.862429
121,0.852659,0.912685
122,0.894579,0.951232
123,0.853971,0.904704
124,0.829644,0.868323
125,0.853016,0.914256
126,0.894346,0.951755
127,0.852587,0.907004
128,0.839107,0.876454
129,0.860465,0.917966
130,0.89603,0.952084
131,0.858425,0.9084
132,0.833517,0.872399
133,0.856432,0.916071
134,0.896972,0.952373
135,0.857058,0.910054
136,0.835127,0.873344
137,0.854672,0.914472
138,0.896321,0.952
139,0.862949,0.910794
140,0.837075,0.874952
141,0.859145,0.916956
142,0.902839,0.954789
143,0.85761,0.911833
144,0.830547,0.867863
145,0.858768,0.915624
146,0.899427,0.953063
147,0.860012,0.909309
148,0.835754,0.873086
149,0.86338,0.91837
150,0.89908,0.953223
151,0.85516,0.909782
152,0.842391,0.878432
153,0.862686,0.918768
154,0.898703,0.952974
155,0.866174,0.912698
156,0.842437,0.878864
157,0.864499,0.919413
158,0.900128,0.953548
159,0.864559,0.912417
160,0.852443,0.88686
161,0.871215,0.923427
162,0.901203,0.953835
163,0.871666,0.91659
164,0.850853,0.885508
165,0.86187,0.918699
166,0.902275,0.954844
167,0.868496,0.91572
168,0.833779,0.870116
169,0.861155,0.91714
170,0.899559,0.953093
171,0.860194,0.909193
172,0.839494,0.875567
173,0.863664,0.918457
174,0.900514,0.95358
175,0.859088,0.909209
176,0.843522,0.879113
177,0.867871,0.921059
178,0.902906,0.954099
179,0.865544,0.912673
180,0.84325,0.879506
181,0.869393,0.922864
182,0.908703,0.956385
183,0.858953,0.912818
184,0.84093,0.879047
185,0.867788,0.922175
186,0.908482,0.95608
187,0.862191,0.911259
188,0.839254,0.877856
189,0.85258,0.915661
190,0.905067,0.956689
191,0.837427,0.906668
192,0.807787,0.849736
193,0.841793,0.907226
194,0.895844,0.951348
195,0.836932,0.895155
196,0.809088,0.851981
197,0.826762,0.904035
198,0.891989,0.952116
199,0.818328,0.891195
200,0.80043,0.848303
201,0.837318,0.906931
202,0.888614,0.950252
203,0.819314,0.889906
204,0.792525,0.845952
205,0.823752,0.904844
206,0.881218,0.950878
207,0.801025,0.887306
208,0.800765,0.857138
209,0.838816,0.91281
210,0.875154,0.94806
211,0.80031,0.883879
212,0.779362,0.843523
213,0.818029,0.903416
214,0.885925,0.953571
215,0.800929,0.889233
216,0.800705,0.8449
217,0.836274,0.905582
218,0.889428,0.950291
219,0.812549,0.888082
220,0.784385,0.844208
221,0.818681,0.90512
222,0.883067,0.950067
223,0.792861,0.883515
224,0.763624,0.851143
225,0.83586,0.916314
226,0.870583,0.946111
227,0.792014,0.886232
228,0.772962,0.853369
229,0.812435,0.906518
230,0.867199,0.94878
231,0.781345,0.880013
232,0.734992,0.838582
233,0.822818,0.913285
234,0.859178,0.946262
235,0.771169,0.879039
236,0.748718,0.845255
237,0.824652,0.911852
238,0.882389,0.953129
239,0.791513,0.887457
240,0.790459,0.843056
241,0.828847,0.907397
242,0.876283,0.950656
243,0.779485,0.872303
244,0.751805,0.819847
245,0.799409,0.889871
246,0.879331,0.951156
247,0.762947,0.86181
248,0.695116,0.781204
249,0.791658,0.886243
250,0.866212,0.947592
251,0.756133,0.85769
252,0.727061,0.802498
253,0.799646,0.893456
254,0.875463,0.950747
255,0.752054,0.858008
256,0.699173,0.79921
257,0.804001,0.899336
258,0.865318,0.948754
259,0.753536,0.864361
260,0.729842,0.824155
261,0.828566,0.915834
262,0.878804,0.952091
263,0.780459,0.879793
264,0.740089,0.823657
265,0.813778,0.905345
266,0.865738,0.948796
267,0.782155,0.878606
268,0.76218,0.839906
269,0.823517,0.918432
270,0.879765,0.952869
271,0.779944,0.886217
272,0.729876,0.845727
273,0.825414,0.921357
274,0.869777,0.951553
275,0.785063,0.887952
276,0.768446,0.859516
277,0.82116,0.921231
278,0.877901,0.953037
279,0.782703,0.88858
280,0.729496,0.845823
281,0.826957,0.922134
282,0.876411,0.951389
283,0.771891,0.885229
284,0.750057,0.856178
285,0.813367,0.916536
286,0.881673,0.952916
287,0.773087,0.884672
288,0.672622,0.803958
289,0.774381,0.901212
290,0.864847,0.949066
291,0.761743,0.879716
292,0.737785,0.842963
293,0.81899,0.92128
294,0.884492,0.954625
295,0.778237,0.890748
296,0.709392,0.845112
297,0.807879,0.923155
298,0.874668,0.954019
299,0.770853,0.891905
300,0.753277,0.865725
301,0.829837,0.931259
302,0.885407,0.957681
303,0.78002,0.898184
304,0.714158,0.85572
305,0.809889,0.929629
306,0.88034,0.958079
307,0.779197,0.902963
308,0.744895,0.870766
309,0.829858,0.933676
310,0.897819,0.963713
311,0.788823,0.908107
312,0.699049,0.841277
313,0.788717,0.919483
314,0.892472,0.961736
315,0.78884,0.906609
316,0.763279,0.873484
317,0.831261,0.933803
318,0.908364,0.966027
319,0.800628,0.913719
320,0.72219,0.863366
321,0.804782,0.929288
322,0.897322,0.96386
323,0.799317,0.91405
324,0.769091,0.882062
325,0.815688,0.932179
326,0.903679,0.966649
327,0.80946,0.919256
328,0.719617,0.865234
329,0.810272,0.93147
330,0.892405,0.963013
331,0.793317,0.912947
332,0.747738,0.877764
333,0.807811,0.926944
334,0.898482,0.96757
335,0.805994,0.918843
336,0.672333,0.834278
337,0.784664,0.922114
338,0.898067,0.96758
339,0.797197,0.913769
340,0.747542,0.869126
341,0.812423,0.92878
342,0.905399,0.968411
343,0.817599,0.922862
344,0.715616,0.85786
345,0.80903,0.928217
346,0.905602,0.966686
347,0.80269,0.916837
348,0.760901,0.877925
349,0.825702,0.932511
