Frame, eSSIM, SSIM
0,0.877632,0.905238
1,0.894023,0.936076
2,0.921796,0.96005
3,0.898773,0.93144
4,0.881965,0.909075
5,0.893054,0.936311
6,0.924399,0.960703
7,0.900363,0.932793
8,0.884414,0.911686
9,0.896453,0.937831
10,0.925885,0.96137
11,0.915418,0.942741
12,0.90363,0.927352
13,0.910239,0.946073
14,0.928289,0.962832
15,0.916307,0.94338
16,0.892896,0.918878
17,0.901763,0.940776
18,0.929,0.962648
19,0.909064,0.938463
20,0.891155,0.917776
21,0.899182,0.939986
22,0.931114,0.964679
23,0.911219,0.940448
24,0.885962,0.911451
25,0.899782,0.939296
26,0.92722,0.96269
27,0.904071,0.93513
28,0.888219,0.914281
29,0.902617,0.941461
30,0.928364,0.963006
31,0.906114,0.936872
32,0.892347,0.91785
33,0.90594,0.942981
34,0.930454,0.96344
35,0.918307,0.944134
36,0.90689,0.929492
37,0.909485,0.94618
38,0.931463,0.963722
39,0.916825,0.943473
40,0.897751,0.923042
41,0.907423,0.94406
42,0.930021,0.962827
43,0.913811,0.941172
44,0.901004,0.925881
45,0.89856,0.940156
46,0.931481,0.963867
47,0.909499,0.940008
48,0.88753,0.91346
49,0.900233,0.93983
50,0.926549,0.961983
51,0.905911,0.936053
52,0.892003,0.917515
53,0.897149,0.938729
54,0.926733,0.961967
55,0.901379,0.934035
56,0.895726,0.920838
57,0.907546,0.943906
58,0.931,0.963307
59,0.914427,0.941878
60,0.904707,0.927866
61,0.899214,0.940945
62,0.930977,0.963817
63,0.909957,0.939159
64,0.900596,0.925615
65,0.908007,0.944798
66,0.932181,0.963825
67,0.913514,0.941562
68,0.900077,0.925488
69,0.902355,0.942365
70,0.932389,0.964666
71,0.910764,0.940506
72,0.888246,0.913522
73,0.901619,0.940438
74,0.92805,0.962681
75,0.905674,0.936224
76,0.893169,0.918338
77,0.898229,0.938881
78,0.928307,0.962625
79,0.902892,0.934742
80,0.89951,0.923843
81,0.910654,0.945578
82,0.930402,0.963443
83,0.913532,0.941379
84,0.902876,0.926241
85,0.903085,0.94146
86,0.930812,0.96351
87,0.910604,0.939191
88,0.916504,0.93743
89,0.92052,0.951302
90,0.934676,0.964671
91,0.915228,0.942787
92,0.900184,0.925037
93,0.902516,0.941858
94,0.930412,0.964295
95,0.907613,0.939535
96,0.889631,0.914488
97,0.902064,0.940487
98,0.928107,0.96292
99,0.902105,0.934405
100,0.886857,0.913682
101,0.901346,0.940869
102,0.929527,0.963073
103,0.903284,0.936058
104,0.893638,0.919197
105,0.905324,0.942795
106,0.929449,0.963298
107,0.910829,0.93959
108,0.897503,0.921932
109,0.905666,0.942913
110,0.931887,0.964218
111,0.908069,0.938923
112,0.90147,0.925085
113,0.910763,0.94575
114,0.933408,0.964495
115,0.911105,0.940238
116,0.896676,0.921914
117,0.905266,0.943026
118,0.931075,0.964749
119,0.910171,0.940541
120,0.887587,0.912952
121,0.899832,0.939232
122,0.929097,0.963305
123,0.902572,0.934542
124,0.887743,0.91384
125,0.899032,0.939176
126,0.927946,0.96317
127,0.902465,0.935089
128,0.896638,0.921002
129,0.908786,0.944433
130,0.931883,0.964242
131,0.907947,0.938301
132,0.894416,0.919774
133,0.904888,0.942186
134,0.931454,0.964071
135,0.909058,0.939339
136,0.895887,0.920523
137,0.904789,0.942189
138,0.931892,0.964226
139,0.912435,0.941095
140,0.897928,0.922339
141,0.902906,0.941494
142,0.934463,0.965903
143,0.908801,0.93961
144,0.890436,0.914752
145,0.901818,0.940212
146,0.931028,0.964241
147,0.906314,0.937018
148,0.88919,0.914872
149,0.904683,0.94147
150,0.930446,0.963982
151,0.905122,0.93683
152,0.895819,0.920215
153,0.906742,0.943159
154,0.931845,0.964167
155,0.911518,0.940354
156,0.897178,0.921465
157,0.90648,0.942796
158,0.932279,0.964598
159,0.908127,0.938655
160,0.904124,0.92678
161,0.913125,0.946727
162,0.934536,0.965175
163,0.915564,0.943035
164,0.90304,0.925995
165,0.903555,0.941654
166,0.932474,0.965009
167,0.912765,0.941497
168,0.891359,0.915514
169,0.902514,0.940482
170,0.929525,0.96364
171,0.904381,0.936085
172,0.891182,0.916095
173,0.902569,0.940258
174,0.928868,0.963601
175,0.901055,0.934356
176,0.893422,0.918107
177,0.907885,0.943399
178,0.933062,0.96442
179,0.908581,0.938814
180,0.895367,0.920172
181,0.908041,0.943992
182,0.934855,0.965644
183,0.902077,0.937598
184,0.893508,0.919233
185,0.90721,0.943992
186,0.935253,0.965481
187,0.909117,0.939188
188,0.89502,0.920432
189,0.898693,0.940536
190,0.933736,0.966397
191,0.883858,0.933497
192,0.879876,0.907019
193,0.894041,0.936754
194,0.934267,0.964831
195,0.900048,0.933168
196,0.877964,0.906222
197,0.885842,0.934251
198,0.924044,0.96335
199,0.866131,0.923332
200,0.878548,0.907423
201,0.896752,0.938116
202,0.933203,0.964428
203,0.904727,0.93568
204,0.882192,0.909638
205,0.885651,0.935849
206,0.921283,0.963105
207,0.849841,0.92125
208,0.895083,0.921276
209,0.907865,0.945478
210,0.929783,0.963903
211,0.903565,0.93486
212,0.887752,0.914294
213,0.887059,0.937498
214,0.926711,0.9658
215,0.840132,0.923148
216,0.893078,0.917415
217,0.903013,0.942086
218,0.937484,0.967021
219,0.910375,0.939224
220,0.891433,0.916367
221,0.893913,0.94102
222,0.927024,0.964125
223,0.863003,0.925352
224,0.9049,0.9315
225,0.918737,0.952378
226,0.931309,0.963714
227,0.916576,0.943508
228,0.908772,0.932408
229,0.895198,0.943761
230,0.925071,0.964355
231,0.850027,0.92523
232,0.907073,0.933299
233,0.919125,0.95346
234,0.932711,0.965861
235,0.918128,0.944832
236,0.909708,0.93371
237,0.897715,0.947978
238,0.925481,0.967086
239,0.834088,0.929537
240,0.920129,0.937423
241,0.924408,0.953771
242,0.946124,0.970822
243,0.908703,0.938841
244,0.889435,0.914913
245,0.880154,0.932893
246,0.930757,0.966101
247,0.828157,0.912469
248,0.869612,0.900141
249,0.890912,0.935847
250,0.936818,0.967003
251,0.899707,0.933631
252,0.881108,0.908327
253,0.885173,0.936277
254,0.92452,0.96543
255,0.835951,0.914928
256,0.892992,0.919072
257,0.911397,0.947442
258,0.939814,0.968051
259,0.915884,0.942101
260,0.906571,0.928965
261,0.910415,0.954796
262,0.933523,0.968233
263,0.840493,0.932808
264,0.931612,0.945544
265,0.935074,0.95903
266,0.949456,0.971206
267,0.931072,0.951533
268,0.92121,0.940041
269,0.906905,0.957511
270,0.931545,0.968905
271,0.841452,0.937288
272,0.928343,0.94946
273,0.939972,0.964285
274,0.946419,0.970844
275,0.934784,0.955317
276,0.929011,0.948282
277,0.919186,0.959602
278,0.93252,0.968084
279,0.848104,0.937458
280,0.928712,0.94919
281,0.938598,0.963774
282,0.94523,0.970112
283,0.938245,0.956267
284,0.932853,0.950147
285,0.918453,0.9617
286,0.932682,0.969912
287,0.840645,0.940341
288,0.949473,0.959681
289,0.951021,0.967757
290,0.957358,0.973899
291,0.942161,0.959636
292,0.936379,0.953058
293,0.916948,0.96326
294,0.935376,0.970767
295,0.843964,0.940617
296,0.936523,0.954471
297,0.948568,0.96877
298,0.953604,0.973705
299,0.940038,0.95931
300,0.937074,0.953707
301,0.916798,0.964056
302,0.93906,0.972728
303,0.846385,0.943182
304,0.937482,0.955453
305,0.950955,0.969932
306,0.954963,0.975461
307,0.942515,0.961541
308,0.93717,0.953336
309,0.927847,0.968629
310,0.936945,0.976316
311,0.842732,0.94892
312,0.966204,0.972735
313,0.966461,0.977179
314,0.97238,0.981762
315,0.952668,0.968506
316,0.946472,0.96224
317,0.927825,0.969235
318,0.937968,0.977702
319,0.856541,0.953556
320,0.95092,0.964742
321,0.958516,0.974669
322,0.962596,0.979573
323,0.950303,0.967283
324,0.945463,0.96043
325,0.921293,0.965983
326,0.94739,0.977889
327,0.867796,0.955312
328,0.951866,0.964719
329,0.958051,0.974583
330,0.962412,0.979535
331,0.952731,0.967741
332,0.946108,0.960884
333,0.921123,0.965415
334,0.947526,0.97902
335,0.870045,0.958309
336,0.968458,0.973672
337,0.968252,0.978656
338,0.97513,0.984245
339,0.953547,0.970314
340,0.944249,0.961944
341,0.917046,0.965943
342,0.947849,0.978839
343,0.880602,0.95893
344,0.942058,0.958274
345,0.95178,0.971556
346,0.961398,0.979962
347,0.943469,0.965291
348,0.935512,0.954929
349,0.914638,0.962916
350,0.941122,0.97693
351,0.863694,0.953694
352,0.9443,0.958798
353,0.951948,0.970998
354,0.963268,0.980037
355,0.949118,0.966306
356,0.93786,0.955304
357,0.951532,0.972603
358,0.958173,0.981766
359,0.869721,0.96285
360,0.973727,0.977825
361,0.972981,0.98069
362,0.980836,0.986055
363,0.965468,0.975345
364,0.95521,0.967351
365,0.958603,0.97722
366,0.958969,0.982508
367,0.883064,0.96528
368,0.962008,0.969579
369,0.968653,0.978019
370,0.974725,0.983459
371,0.957937,0.971438
372,0.95005,0.964099
373,0.956662,0.975548
374,0.955751,0.980752
375,0.886054,0.962419
376,0.959096,0.967775
377,0.965291,0.976157
378,0.96982,0.981676
379,0.955934,0.969626
380,0.948807,0.96208
381,0.960513,0.976019
382,0.960254,0.982186
383,0.894021,0.965121
384,0.976694,0.9803
385,0.974629,0.981384
386,0.983283,0.986785
387,0.962334,0.973942
388,0.952107,0.964891
389,0.964226,0.97741
390,0.967934,0.983487
391,0.903673,0.966977
392,0.962632,0.969717
393,0.969493,0.978156
394,0.977334,0.984114
395,0.957159,0.970374
396,0.948113,0.960556
397,0.961311,0.974726
398,0.965214,0.981748
399,0.911582,0.965071
400,0.963449,0.97039
401,0.969127,0.977839
402,0.974558,0.983152
403,0.961848,0.97301
404,0.956357,0.96653
405,0.962126,0.977257
406,0.963749,0.983203
407,0.888068,0.965771
408,0.973406,0.977717
409,0.971721,0.979641
410,0.98144,0.985808
411,0.959656,0.971956
412,0.949387,0.96185
413,0.958912,0.973756
414,0.968219,0.982085
415,0.910348,0.962912
416,0.962351,0.969353
417,0.968374,0.9772
418,0.977058,0.983531
419,0.95998,0.971773
420,0.954841,0.964153
421,0.953853,0.972125
422,0.965248,0.980983
423,0.898121,0.9605
424,0.930349,0.946481
425,0.94838,0.967509
426,0.969072,0.980585
427,0.931508,0.955559
428,0.913086,0.934162
429,0.952631,0.970387
430,0.972012,0.982961
431,0.9431,0.964673
432,0.963539,0.970449
433,0.962581,0.975595
434,0.97974,0.984894
435,0.958992,0.971239
436,0.956918,0.965391
437,0.960997,0.97486
438,0.974859,0.983213
439,0.938893,0.966957
440,0.956988,0.965541
441,0.964698,0.975799
442,0.97679,0.983529
443,0.955295,0.96895
444,0.954102,0.963427
445,0.956384,0.972755
446,0.975354,0.982926
447,0.936859,0.966067
448,0.957952,0.966115
449,0.96561,0.975869
450,0.97741,0.983274
451,0.961145,0.972114
452,0.959859,0.967114
453,0.960863,0.975622
454,0.978018,0.984077
455,0.946429,0.969622
456,0.961789,0.968928
457,0.964254,0.975757
458,0.979731,0.98439
459,0.957412,0.96974
460,0.955737,0.96396
461,0.961386,0.974892
462,0.975462,0.983208
463,0.947353,0.968768
464,0.957305,0.965348
465,0.965066,0.975568
466,0.977013,0.982994
467,0.960908,0.971828
468,0.960029,0.96735
469,0.961496,0.97502
470,0.976062,0.982955
471,0.943373,0.96866
472,0.953323,0.962758
473,0.962685,0.974328
474,0.975996,0.982608
475,0.957271,0.969533
476,0.955699,0.964175
477,0.957954,0.974529
478,0.976532,0.983185
479,0.940501,0.968433
480,0.966661,0.972403
481,0.968297,0.977141
482,0.979075,0.98403
483,0.960123,0.971169
484,0.954803,0.963425
485,0.959222,0.974355
486,0.975629,0.982898
487,0.945317,0.967516
488,0.953782,0.963128
489,0.96397,0.97523
490,0.976816,0.983354
491,0.956689,0.969689
492,0.955276,0.964453
493,0.958036,0.974463
494,0.972918,0.982293
495,0.935558,0.96679
496,0.958396,0.966565
497,0.965923,0.976091
498,0.97615,0.983116
499,0.958581,0.97038
500,0.956944,0.965184
501,0.952984,0.973453
502,0.973662,0.982812
503,0.931982,0.966174
504,0.966701,0.972359
505,0.969092,0.978445
506,0.981696,0.986079
507,0.960606,0.972039
508,0.953774,0.963038
509,0.961261,0.975578
510,0.976514,0.984631
511,0.919954,0.968715
512,0.958407,0.965879
513,0.965894,0.976115
514,0.979232,0.984678
515,0.958991,0.971371
516,0.946054,0.958979
517,0.96018,0.974015
518,0.975618,0.984234
519,0.930574,0.968933
520,0.958222,0.965767
521,0.96739,0.976573
522,0.979308,0.984667
523,0.960789,0.972172
524,0.955069,0.963504
525,0.955939,0.975353
526,0.978688,0.985944
527,0.931382,0.971618
528,0.970393,0.974615
529,0.971239,0.979477
530,0.983426,0.987016
531,0.963777,0.974431
532,0.949855,0.963834
533,0.952837,0.974677
534,0.970984,0.984338
535,0.930634,0.969924
536,0.956642,0.965131
537,0.964872,0.97583
538,0.975759,0.984018
539,0.954924,0.969243
540,0.942082,0.957368
541,0.953651,0.972745
542,0.967615,0.982019
543,0.924543,0.964679
544,0.950846,0.961936
545,0.962788,0.974629
546,0.972617,0.982066
547,0.954791,0.968751
548,0.947404,0.960084
549,0.957749,0.974322
550,0.972658,0.983379
551,0.9347,0.968438
552,0.967196,0.972947
553,0.969946,0.978831
554,0.978548,0.985041
555,0.959993,0.971723
556,0.954014,0.964343
557,0.959899,0.975469
558,0.970924,0.982779
559,0.939662,0.968121
560,0.959333,0.967578
561,0.967835,0.97749
562,0.976092,0.98351
563,0.955448,0.968736
564,0.949089,0.961508
565,0.952033,0.971839
566,0.964572,0.979607
567,0.930608,0.961574
568,0.94649,0.959237
569,0.957267,0.971837
570,0.964285,0.978629
571,0.944308,0.961526
572,0.941308,0.955492
573,0.947596,0.969868
574,0.964488,0.979443
575,0.921117,0.963522
576,0.963474,0.970767
577,0.967232,0.977226
578,0.974275,0.982561
579,0.951564,0.96715
580,0.934113,0.955097
581,0.946223,0.970274
582,0.964942,0.980032
583,0.930613,0.96335
584,0.944552,0.958771
585,0.9538,0.970982
586,0.962504,0.978351
587,0.951317,0.966453
588,0.947134,0.960131
589,0.947885,0.969775
590,0.957246,0.976387
591,0.92081,0.961623
592,0.94459,0.958407
593,0.951434,0.96905
594,0.955935,0.974793
595,0.940472,0.960367
596,0.931282,0.951221
597,0.945472,0.967529
598,0.953816,0.97551
599,0.923895,0.95987
600,0.960854,0.968984
601,0.960019,0.97354
602,0.962021,0.977857
603,0.953916,0.967802
604,0.949028,0.962212
605,0.950124,0.970646
606,0.960848,0.977487
607,0.929461,0.963768
608,0.953398,0.964158
609,0.958678,0.972273
610,0.958786,0.976221
611,0.944409,0.963318
612,0.937472,0.957119
613,0.943183,0.967426
614,0.950426,0.973942
615,0.920061,0.959703
616,0.952028,0.963606
617,0.958047,0.971986
618,0.959756,0.976278
619,0.944799,0.963508
620,0.939124,0.957803
621,0.942719,0.968273
622,0.950302,0.974434
623,0.915566,0.961674
624,0.960688,0.969052
625,0.961124,0.973916
626,0.961099,0.977416
627,0.951619,0.967172
628,0.939195,0.959853
629,0.949837,0.97025
630,0.953439,0.975509
631,0.928513,0.964584
632,0.955901,0.966532
633,0.958145,0.972346
634,0.956625,0.975443
635,0.949803,0.966513
636,0.94399,0.961246
637,0.954097,0.970171
638,0.960648,0.976163
639,0.956329,0.969229
