Frame, eSSIM, SSIM
0,0.716552,0.869207
1,0.720544,0.889935
2,0.792399,0.925485
3,0.784319,0.905474
4,0.716174,0.868979
5,0.719796,0.889297
6,0.791412,0.924955
7,0.827,0.915817
8,0.74135,0.879383
9,0.799871,0.915456
10,0.853935,0.938845
11,0.862734,0.923628
12,0.806681,0.901279
13,0.808331,0.919587
14,0.859052,0.940223
15,0.864283,0.924477
16,0.810541,0.902861
17,0.835722,0.930098
18,0.870519,0.944538
19,0.882979,0.931111
20,0.84395,0.917229
21,0.837221,0.931574
22,0.87093,0.944821
23,0.893785,0.933899
24,0.887204,0.927796
25,0.88212,0.943372
26,0.889868,0.948768
27,0.894766,0.933833
28,0.889121,0.928716
29,0.896291,0.949102
30,0.897632,0.951609
31,0.903506,0.93655
32,0.902974,0.933932
33,0.90073,0.951048
34,0.904244,0.952815
35,0.906739,0.937543
36,0.909271,0.93654
37,0.908776,0.952933
38,0.906816,0.953333
39,0.907907,0.937941
40,0.913471,0.937988
41,0.911712,0.95364
42,0.907822,0.95369
43,0.918247,0.940854
44,0.92332,0.942141
45,0.92324,0.958549
46,0.917134,0.956642
47,0.918054,0.941459
48,0.924698,0.942878
49,0.925588,0.959615
50,0.920631,0.957264
51,0.920384,0.941721
52,0.926979,0.943672
53,0.929647,0.960758
54,0.925011,0.958546
55,0.924745,0.942987
56,0.93105,0.94515
57,0.932516,0.961591
58,0.925353,0.958813
59,0.925355,0.943322
60,0.93184,0.945767
61,0.933241,0.961878
62,0.925755,0.958737
63,0.927089,0.944194
64,0.933573,0.946467
65,0.933991,0.962219
66,0.927646,0.959387
67,0.929004,0.944363
68,0.935699,0.947464
69,0.936226,0.962925
70,0.92927,0.959814
71,0.929863,0.945125
72,0.936449,0.947879
73,0.937699,0.963582
74,0.930875,0.960161
75,0.929692,0.944928
76,0.934604,0.947282
77,0.940641,0.965903
78,0.938829,0.964693
79,0.939269,0.953357
80,0.942072,0.955242
81,0.943225,0.967949
82,0.951172,0.970131
83,0.945441,0.959755
84,0.930088,0.954779
85,0.922924,0.961988
86,0.943165,0.968621
87,0.92336,0.957087
88,0.900983,0.945364
89,0.899699,0.953422
90,0.920442,0.962615
91,0.910519,0.950574
92,0.886704,0.936063
93,0.893775,0.949161
94,0.913722,0.960064
95,0.898008,0.942148
96,0.880883,0.927734
97,0.890529,0.945697
98,0.900338,0.954677
99,0.889854,0.937403
100,0.88381,0.928549
101,0.894126,0.947333
102,0.902697,0.955709
103,0.897103,0.93909
104,0.889383,0.930736
105,0.897316,0.948555
106,0.904597,0.955917
107,0.897522,0.939572
108,0.892808,0.932541
109,0.89952,0.949612
110,0.907095,0.957356
111,0.900392,0.940987
112,0.892892,0.932704
113,0.908337,0.953055
114,0.910055,0.958714
115,0.901461,0.941531
116,0.900617,0.936214
117,0.908083,0.953148
118,0.910212,0.958447
119,0.902411,0.942003
120,0.899785,0.935885
121,0.911085,0.954478
122,0.91127,0.959541
123,0.906491,0.943395
124,0.907185,0.937999
125,0.910182,0.953963
126,0.9089,0.958958
127,0.904604,0.943285
128,0.908837,0.938973
