Frame, eSSIM, SSIM
0,0.955427,0.960421
1,0.955173,0.97111
2,0.950166,0.967567
3,0.941375,0.949608
4,0.952198,0.957606
5,0.952449,0.970138
6,0.942148,0.965768
7,0.940092,0.949673
8,0.945862,0.952897
9,0.950876,0.969801
10,0.94313,0.965815
11,0.940301,0.950058
12,0.952751,0.958163
13,0.951098,0.969727
14,0.943656,0.965806
15,0.947125,0.955607
16,0.946018,0.953177
17,0.950355,0.969441
18,0.943852,0.965571
19,0.939482,0.94946
20,0.953377,0.958488
21,0.953162,0.970389
22,0.947722,0.967005
23,0.943395,0.95148
24,0.941173,0.951451
25,0.95148,0.969846
26,0.949074,0.967857
27,0.940808,0.949253
28,0.951977,0.958155
29,0.951925,0.969346
30,0.945052,0.965188
31,0.94136,0.949399
32,0.951579,0.957493
33,0.950083,0.968735
34,0.943398,0.964793
35,0.947071,0.95511
36,0.944691,0.952352
37,0.948198,0.968344
38,0.941758,0.964475
39,0.940214,0.949264
40,0.952887,0.958377
41,0.951415,0.969113
42,0.944476,0.96514
43,0.938855,0.949
44,0.945336,0.952757
45,0.955215,0.972544
46,0.956574,0.971212
47,0.945926,0.952094
48,0.95724,0.961918
49,0.95569,0.971334
50,0.950494,0.967329
51,0.943554,0.950249
52,0.953049,0.958265
53,0.954994,0.970716
54,0.950176,0.967423
55,0.949638,0.955967
56,0.945704,0.952678
57,0.950783,0.969205
58,0.944009,0.965732
59,0.940517,0.949268
60,0.952823,0.958299
61,0.952068,0.969456
62,0.945954,0.96581
63,0.936412,0.948263
64,0.944704,0.952179
65,0.951067,0.970293
66,0.948729,0.967776
67,0.9405,0.949417
68,0.952864,0.958301
69,0.953651,0.97044
70,0.949388,0.967556
71,0.943508,0.950856
72,0.954992,0.960202
73,0.953287,0.970383
74,0.948377,0.966851
75,0.951035,0.956985
76,0.944727,0.952284
77,0.951086,0.969808
78,0.951017,0.968981
79,0.940016,0.954351
80,0.954848,0.962588
81,0.949042,0.969623
82,0.953308,0.971192
83,0.940695,0.958975
84,0.928982,0.953201
85,0.925482,0.961126
86,0.933332,0.966474
87,0.919186,0.95457
88,0.889127,0.937506
89,0.90092,0.952096
90,0.925905,0.963373
91,0.916006,0.950565
92,0.876172,0.93202
93,0.914214,0.95488
94,0.935205,0.965349
95,0.916232,0.951469
96,0.941765,0.952814
97,0.949945,0.966562
98,0.948066,0.969066
99,0.943566,0.956287
100,0.93918,0.951489
101,0.951957,0.967126
102,0.947301,0.96903
103,0.944341,0.956539
104,0.954436,0.959659
105,0.957242,0.969582
106,0.952694,0.970809
107,0.941722,0.955418
108,0.946198,0.954361
109,0.95532,0.969185
110,0.955437,0.971161
111,0.941288,0.955256
112,0.943966,0.953504
113,0.953379,0.968696
114,0.948005,0.970184
115,0.936317,0.955409
116,0.95442,0.9594
117,0.957932,0.969928
118,0.956848,0.971939
119,0.951883,0.960233
120,0.943021,0.953077
121,0.954428,0.968566
122,0.953424,0.971125
123,0.945871,0.9573
124,0.956138,0.96093
125,0.958067,0.970387
126,0.956484,0.972365
127,0.943744,0.956053
128,0.947714,0.955205
129,0.956915,0.971641
130,0.958506,0.973335
131,0.945682,0.957442
132,0.954375,0.95992
133,0.955496,0.970105
134,0.949363,0.970695
135,0.915005,0.955225
136,0.954139,0.959312
137,0.95794,0.970172
138,0.952646,0.9712
139,0.951332,0.960313
140,0.946334,0.954636
141,0.955636,0.969455
142,0.951954,0.971248
143,0.950979,0.959504
144,0.960936,0.964577
145,0.960917,0.971877
146,0.95893,0.973561
147,0.946556,0.957342
148,0.947147,0.955369
149,0.956673,0.970218
150,0.957955,0.972192
151,0.944679,0.956738
152,0.944864,0.95458
153,0.949481,0.968739
154,0.944599,0.970288
155,0.912899,0.955194
156,0.95498,0.959685
157,0.958388,0.97052
158,0.951357,0.971427
159,0.951846,0.960501
