Frame, eSSIM, SSIM
0,0.59103,0.691276
1,0.689144,0.807384
2,0.862469,0.913403
3,0.64519,0.798486
4,0.584414,0.692812
5,0.682928,0.809536
6,0.868021,0.919013
7,0.627278,0.791189
8,0.548264,0.664077
9,0.657957,0.793124
10,0.8586,0.911202
11,0.610377,0.783667
12,0.534315,0.660753
13,0.663381,0.801111
14,0.866017,0.918014
15,0.60437,0.780962
16,0.564624,0.674416
17,0.670704,0.798146
18,0.858266,0.910615
19,0.642593,0.80071
20,0.59578,0.703734
21,0.693885,0.819532
22,0.873466,0.924062
23,0.653972,0.805909
24,0.631853,0.727226
25,0.72179,0.828431
26,0.868425,0.918648
27,0.702507,0.827972
28,0.648455,0.741312
29,0.740427,0.84009
30,0.876341,0.923849
31,0.70701,0.830471
32,0.654619,0.740567
33,0.734856,0.832187
34,0.867341,0.916187
35,0.718129,0.834152
36,0.66703,0.753502
37,0.750543,0.843651
38,0.874026,0.922246
39,0.719556,0.835567
40,0.665008,0.747573
41,0.74068,0.833709
42,0.864371,0.91425
43,0.720432,0.835662
44,0.669997,0.756888
45,0.753712,0.84487
46,0.871032,0.920989
47,0.724923,0.837702
48,0.67335,0.754121
49,0.746208,0.836283
50,0.86189,0.913001
51,0.728265,0.838802
52,0.680063,0.763964
53,0.75965,0.848373
54,0.869915,0.920269
55,0.731664,0.840305
56,0.680946,0.760381
57,0.75262,0.839364
58,0.860792,0.912574
59,0.739785,0.847425
60,0.696004,0.775961
61,0.763837,0.852628
62,0.876976,0.926668
63,0.738789,0.846953
64,0.693628,0.772163
65,0.760067,0.84859
66,0.871705,0.92098
67,0.744382,0.848642
68,0.697065,0.776769
69,0.76697,0.853716
70,0.875917,0.924905
71,0.743296,0.848284
72,0.689073,0.767567
73,0.754894,0.84349
74,0.866219,0.916717
75,0.742575,0.847378
76,0.694331,0.775751
77,0.764665,0.852565
78,0.875838,0.923653
79,0.746967,0.84931
80,0.692554,0.769055
81,0.755389,0.843156
82,0.86663,0.915527
83,0.750709,0.850339
84,0.701133,0.780312
85,0.768451,0.853594
86,0.87443,0.92278
87,0.749033,0.850393
88,0.696076,0.772349
89,0.758382,0.84346
90,0.865611,0.914703
91,0.755291,0.852621
92,0.705627,0.782979
93,0.769214,0.853802
94,0.873568,0.922111
95,0.750856,0.851443
96,0.699065,0.775149
97,0.761993,0.845279
98,0.863463,0.913732
99,0.756142,0.856892
100,0.713747,0.7907
101,0.771689,0.85787
102,0.878906,0.927973
103,0.758363,0.858101
104,0.709916,0.786256
105,0.770117,0.854661
106,0.873357,0.921962
107,0.760348,0.858243
108,0.713129,0.791179
109,0.775052,0.85881
110,0.877419,0.925915
111,0.760715,0.858773
112,0.705594,0.780487
113,0.762978,0.848054
114,0.868178,0.917958
115,0.763864,0.858954
116,0.71637,0.791543
117,0.774033,0.85723
118,0.87595,0.924329
119,0.764016,0.859225
120,0.709395,0.782606
121,0.765547,0.848384
122,0.867094,0.916423
123,0.761675,0.858003
124,0.714745,0.791465
125,0.775298,0.857121
126,0.875356,0.923665
127,0.761557,0.858314
128,0.70881,0.782522
129,0.766512,0.848011
130,0.865542,0.915231
131,0.764391,0.858842
132,0.716073,0.792075
133,0.775169,0.857491
134,0.874766,0.922816
135,0.76484,0.858482
136,0.707084,0.781206
137,0.764049,0.846768
138,0.864756,0.914246
139,0.768015,0.862489
140,0.721969,0.796256
141,0.778916,0.861491
142,0.880812,0.928549
143,0.768505,0.863193
144,0.717398,0.792381
145,0.773129,0.856335
146,0.872936,0.921485
147,0.766627,0.861566
148,0.720356,0.795752
149,0.775509,0.859248
150,0.878875,0.926463
151,0.762228,0.860193
152,0.711339,0.784455
153,0.768484,0.850857
154,0.86817,0.917772
155,0.766684,0.860215
156,0.717489,0.793629
157,0.773926,0.857595
158,0.875961,0.924368
159,0.766301,0.860255
160,0.706955,0.781786
161,0.764199,0.84787
162,0.866954,0.916363
163,0.765276,0.859756
164,0.717097,0.792504
165,0.77517,0.857089
166,0.875822,0.924155
167,0.765694,0.859488
168,0.714012,0.785167
169,0.766714,0.848056
170,0.866565,0.915608
171,0.770619,0.8618
172,0.718198,0.792489
173,0.775327,0.857176
174,0.876565,0.924208
175,0.762089,0.858134
176,0.711939,0.784456
177,0.763035,0.846173
178,0.866711,0.91548
179,0.772446,0.865679
180,0.719294,0.794609
181,0.780428,0.862777
182,0.882298,0.930051
183,0.76461,0.863316
184,0.717188,0.79187
185,0.771921,0.856313
186,0.874734,0.923275
187,0.770195,0.864368
188,0.721718,0.796408
189,0.775634,0.860592
190,0.880558,0.928814
191,0.770248,0.864163
192,0.70964,0.783727
193,0.76421,0.849654
194,0.869995,0.920058
195,0.767186,0.862822
196,0.718079,0.79416
197,0.774948,0.859104
198,0.878572,0.927417
199,0.769834,0.863238
200,0.708619,0.782761
201,0.766607,0.84991
202,0.869681,0.918776
203,0.765856,0.862142
204,0.719386,0.795167
205,0.780097,0.860341
206,0.877971,0.926949
207,0.766643,0.861979
208,0.716029,0.787307
209,0.767269,0.849342
210,0.869588,0.918233
211,0.770121,0.863934
212,0.719522,0.794158
213,0.781748,0.860834
214,0.878092,0.92702
215,0.766954,0.862511
216,0.717678,0.788757
217,0.771087,0.851541
218,0.869499,0.918459
219,0.770765,0.866972
220,0.72961,0.802351
221,0.777691,0.862828
222,0.883683,0.932825
223,0.76672,0.86545
224,0.721927,0.79585
225,0.772022,0.857239
226,0.877495,0.926116
227,0.770421,0.865333
228,0.721823,0.796771
229,0.777913,0.862502
230,0.882941,0.931145
231,0.768475,0.865013
232,0.708266,0.783118
233,0.766769,0.851769
234,0.874031,0.922705
235,0.764127,0.862481
236,0.717326,0.793316
237,0.773204,0.859414
238,0.881011,0.929821
239,0.76515,0.862863
240,0.704374,0.779376
241,0.763572,0.84943
242,0.872363,0.92138
243,0.762051,0.86103
244,0.715112,0.791984
245,0.776496,0.860337
246,0.879362,0.928921
247,0.765696,0.862746
248,0.713918,0.785636
249,0.765213,0.849628
250,0.871936,0.920583
251,0.769003,0.863879
252,0.714934,0.79199
253,0.777262,0.860381
254,0.879067,0.92849
255,0.771141,0.864116
256,0.71533,0.786653
257,0.76881,0.850897
258,0.871271,0.920268
259,0.770076,0.8664
260,0.727012,0.800171
261,0.776974,0.862685
262,0.884613,0.933714
263,0.765868,0.865086
264,0.720161,0.793413
265,0.769847,0.856752
266,0.87916,0.928177
267,0.76076,0.862475
268,0.70812,0.787784
269,0.767887,0.858026
270,0.882576,0.932165
271,0.759024,0.86176
272,0.696976,0.774729
273,0.759382,0.848589
274,0.874219,0.924105
275,0.759162,0.859975
276,0.711129,0.788408
277,0.769167,0.857635
278,0.879512,0.930163
279,0.760614,0.861058
280,0.701679,0.776146
281,0.762534,0.848248
282,0.872153,0.922271
283,0.758368,0.859407
284,0.712259,0.787738
285,0.770309,0.857075
286,0.878952,0.929217
287,0.762867,0.86032
288,0.698045,0.773875
289,0.761914,0.847806
290,0.871023,0.921189
291,0.759413,0.858984
292,0.712164,0.787974
293,0.771259,0.857869
294,0.878463,0.928856
295,0.759275,0.859538
296,0.703691,0.779863
297,0.767153,0.850426
298,0.870185,0.920841
299,0.764481,0.863539
300,0.722045,0.795531
301,0.773216,0.861688
302,0.883408,0.933875
303,0.762637,0.862548
304,0.712234,0.786733
305,0.767135,0.855445
306,0.879898,0.928556
307,0.760463,0.861412
308,0.704759,0.784805
309,0.767966,0.858182
310,0.884676,0.933217
311,0.754522,0.85894
312,0.692196,0.770393
313,0.758747,0.848782
314,0.87541,0.924823
315,0.758758,0.858943
316,0.710231,0.78654
317,0.76772,0.857485
318,0.881069,0.931219
319,0.761412,0.859756
320,0.693506,0.771568
321,0.758091,0.847702
322,0.87259,0.923401
