Frame, eSSIM, SSIM
0,0.66535,0.752339
1,0.741582,0.834653
2,0.851517,0.909591
3,0.707961,0.829206
4,0.684821,0.768242
5,0.750634,0.843351
6,0.857667,0.915764
7,0.737037,0.842517
8,0.771803,0.83395
9,0.81982,0.879684
10,0.85142,0.908944
11,0.796247,0.872021
12,0.768948,0.835267
13,0.820194,0.882692
14,0.858355,0.915811
15,0.802368,0.874971
16,0.780886,0.838171
17,0.807798,0.872345
18,0.851353,0.908202
19,0.82556,0.887674
20,0.791002,0.849348
21,0.826654,0.888016
22,0.866458,0.921665
23,0.824437,0.888318
24,0.794333,0.851074
25,0.822301,0.883998
26,0.860749,0.915569
27,0.831288,0.89072
28,0.80416,0.858851
29,0.826207,0.886769
30,0.864515,0.91941
31,0.827579,0.888812
32,0.796489,0.850542
33,0.817958,0.879179
34,0.856574,0.911694
35,0.829864,0.889049
36,0.799815,0.855403
37,0.827402,0.886621
38,0.863359,0.917611
39,0.828853,0.888954
40,0.7941,0.847956
41,0.817834,0.877996
42,0.854043,0.909447
43,0.829944,0.888359
44,0.803782,0.857876
45,0.826968,0.886083
46,0.860179,0.9162
47,0.822112,0.884506
48,0.79502,0.848568
49,0.812465,0.874708
50,0.851782,0.908257
51,0.827963,0.887576
52,0.797887,0.853545
53,0.829257,0.887018
54,0.860107,0.915604
55,0.818254,0.88353
56,0.791286,0.845902
57,0.816424,0.876449
58,0.8517,0.907819
59,0.833807,0.89261
60,0.805479,0.860051
61,0.832986,0.890719
62,0.867892,0.92221
63,0.830559,0.89204
64,0.80389,0.856749
65,0.826889,0.88522
66,0.862784,0.916474
67,0.829204,0.89002
68,0.804066,0.85848
69,0.829257,0.888621
70,0.866855,0.920423
71,0.829747,0.890818
72,0.797975,0.851429
73,0.82373,0.881692
74,0.857768,0.912122
75,0.831539,0.890196
76,0.804413,0.858551
77,0.830902,0.888635
78,0.864226,0.918251
79,0.826926,0.887934
80,0.799353,0.851731
81,0.816821,0.877567
82,0.855319,0.910021
83,0.832482,0.890186
84,0.80417,0.858905
85,0.82764,0.886892
86,0.862827,0.917096
87,0.835509,0.89224
88,0.795296,0.849071
89,0.813884,0.875466
90,0.85354,0.908873
91,0.829083,0.888227
92,0.798984,0.855354
93,0.826182,0.886002
94,0.861906,0.916164
95,0.824824,0.88634
96,0.790372,0.84723
97,0.817391,0.877588
98,0.852648,0.907864
99,0.829701,0.890942
100,0.803183,0.859352
101,0.832999,0.891928
102,0.868322,0.922207
103,0.83401,0.893901
104,0.801658,0.856666
105,0.823146,0.884423
106,0.862714,0.916096
107,0.828341,0.889708
108,0.80087,0.857948
109,0.832373,0.891348
110,0.867814,0.920378
111,0.831444,0.891525
112,0.793632,0.84954
113,0.817171,0.878769
114,0.858672,0.912312
115,0.824141,0.887591
116,0.798284,0.856221
117,0.829913,0.889013
118,0.866586,0.918793
119,0.824098,0.887776
120,0.792737,0.848964
121,0.819552,0.878846
122,0.857758,0.910762
123,0.827639,0.88911
124,0.797195,0.854955
125,0.829421,0.888149
126,0.865525,0.918133
127,0.821197,0.885982
128,0.792352,0.847925
129,0.822846,0.879825
130,0.85616,0.909691
131,0.828493,0.888999
132,0.800844,0.857278
133,0.828799,0.887502
134,0.864946,0.917172
135,0.822338,0.885939
136,0.789528,0.846054
137,0.815686,0.876452
138,0.854744,0.908341
139,0.828205,0.890479
140,0.803004,0.859532
141,0.831009,0.890885
142,0.870686,0.922457
143,0.828661,0.890827
144,0.800966,0.855908
145,0.825728,0.884638
146,0.862146,0.915259
147,0.826231,0.889365
148,0.800953,0.857782
149,0.829858,0.889165
150,0.868042,0.920276
151,0.82539,0.889129
152,0.790167,0.846766
153,0.814215,0.876892
154,0.85771,0.911682
155,0.825851,0.888422
156,0.798966,0.856297
157,0.827337,0.887327
158,0.865508,0.918151
159,0.826755,0.888632
160,0.789617,0.84658
161,0.818035,0.878339
162,0.856575,0.910178
163,0.826736,0.888319
164,0.80024,0.856817
165,0.827093,0.886191
166,0.865362,0.91791
167,0.824623,0.886927
168,0.789054,0.845695
169,0.818411,0.877696
170,0.856687,0.909604
171,0.822622,0.886652
172,0.795485,0.854436
173,0.829102,0.887208
174,0.866064,0.917891
175,0.821349,0.886526
176,0.78779,0.845043
177,0.816229,0.876341
178,0.856319,0.908936
179,0.828396,0.891487
180,0.799946,0.857663
181,0.829791,0.890558
182,0.87163,0.923488
183,0.827778,0.891466
184,0.804753,0.858871
185,0.829241,0.887268
186,0.864133,0.916595
187,0.832663,0.892965
188,0.800446,0.85748
189,0.829345,0.889262
190,0.869356,0.921751
191,0.824516,0.889897
192,0.792057,0.848072
193,0.818671,0.879433
194,0.859081,0.913049
195,0.825855,0.889388
196,0.800057,0.857305
197,0.831177,0.889974
198,0.867301,0.920179
199,0.8275,0.889908
200,0.793666,0.849035
201,0.819093,0.878872
202,0.85846,0.911514
203,0.828073,0.890249
204,0.800151,0.857224
205,0.82975,0.88887
206,0.866325,0.919688
207,0.824571,0.888821
208,0.790625,0.847131
209,0.81859,0.878869
210,0.857647,0.911076
211,0.825174,0.888685
212,0.802251,0.858418
213,0.829306,0.889078
214,0.865018,0.919503
215,0.829362,0.890664
216,0.794629,0.849025
217,0.819318,0.878827
218,0.856869,0.91122
219,0.829493,0.89266
220,0.801448,0.859473
221,0.835796,0.894132
222,0.870586,0.925294
223,0.828331,0.892558
224,0.804555,0.858903
225,0.827255,0.887227
226,0.865758,0.919098
227,0.831241,0.892566
228,0.802662,0.85866
229,0.834572,0.892991
230,0.870327,0.923819
231,0.825954,0.890447
232,0.793162,0.849067
233,0.821832,0.882473
234,0.861518,0.915315
235,0.825823,0.889995
236,0.79934,0.856438
237,0.829521,0.889928
238,0.868423,0.922433
239,0.824752,0.889668
240,0.792645,0.848363
241,0.823197,0.882379
242,0.860019,0.914188
243,0.832247,0.892537
244,0.804384,0.859023
245,0.829855,0.889223
246,0.867282,0.921846
247,0.829219,0.890722
248,0.793424,0.847858
249,0.817997,0.87953
250,0.860201,0.913607
251,0.828858,0.891059
252,0.800224,0.856921
