Frame, eSSIM, SSIM
0,0.571341,0.726133
1,0.697066,0.8793
2,0.924997,0.961449
3,0.575761,0.779965
4,0.503406,0.67159
5,0.724387,0.88998
6,0.929249,0.962137
7,0.669721,0.829765
8,0.678649,0.798817
9,0.770666,0.906523
10,0.930281,0.962602
11,0.73963,0.863232
12,0.696096,0.80959
13,0.762187,0.903589
14,0.93311,0.964323
15,0.715793,0.854432
16,0.697422,0.812629
17,0.784833,0.912804
18,0.93586,0.965011
19,0.706787,0.850599
20,0.660885,0.787606
21,0.771902,0.908742
22,0.935891,0.964961
23,0.734919,0.86326
24,0.64973,0.780783
25,0.748329,0.898593
26,0.93315,0.963613
27,0.716859,0.854161
28,0.674146,0.797477
29,0.783244,0.911347
30,0.932383,0.962636
31,0.716523,0.853896
32,0.69664,0.811688
33,0.785147,0.912255
34,0.933962,0.96279
35,0.724095,0.856886
36,0.689521,0.806862
37,0.782162,0.910091
38,0.932373,0.962943
39,0.717875,0.853513
40,0.661363,0.788841
41,0.759185,0.903753
42,0.934457,0.964065
43,0.717108,0.856275
44,0.687624,0.808939
45,0.803338,0.920403
46,0.937888,0.965595
47,0.719887,0.858533
48,0.691608,0.815437
49,0.804759,0.922476
50,0.938411,0.965704
51,0.727334,0.863143
52,0.703475,0.821852
53,0.792802,0.920494
54,0.93935,0.965744
55,0.736245,0.865254
56,0.70531,0.823751
57,0.794464,0.920167
58,0.936637,0.965343
59,0.723285,0.860638
60,0.690501,0.814893
61,0.822666,0.929933
62,0.938606,0.965732
63,0.7401,0.868305
64,0.72342,0.836166
65,0.81869,0.928438
66,0.938568,0.965732
67,0.751761,0.872654
68,0.721978,0.833685
69,0.790902,0.920915
70,0.933206,0.963769
71,0.729469,0.862231
72,0.68947,0.812183
73,0.787445,0.916716
74,0.934852,0.964005
75,0.729597,0.862167
76,0.690343,0.8134
77,0.790216,0.917223
78,0.934611,0.964332
79,0.735801,0.864793
80,0.686685,0.808442
81,0.779447,0.913027
82,0.935386,0.964904
83,0.747304,0.871261
84,0.719516,0.830959
85,0.817178,0.925491
86,0.939663,0.966962
87,0.758961,0.877754
88,0.711473,0.825173
89,0.798722,0.918656
90,0.940207,0.967104
91,0.762247,0.879212
92,0.725779,0.834203
93,0.785458,0.916551
94,0.939157,0.966617
95,0.738124,0.868913
96,0.70895,0.824057
97,0.79232,0.918568
98,0.942172,0.967905
99,0.755374,0.877007
100,0.729819,0.836129
101,0.802592,0.921512
102,0.945308,0.969245
103,0.736,0.868707
104,0.732177,0.84043
105,0.818503,0.928308
106,0.945905,0.969871
107,0.763688,0.882208
108,0.723122,0.833951
109,0.773064,0.915543
110,0.943246,0.969338
111,0.737919,0.869687
112,0.703826,0.822173
113,0.781544,0.918249
114,0.941949,0.96932
115,0.722925,0.862776
116,0.674805,0.804808
117,0.781779,0.91561
118,0.945108,0.96988
119,0.723558,0.863162
120,0.72292,0.831819
121,0.820459,0.927092
122,0.947418,0.970397
123,0.737544,0.868257
124,0.708853,0.821509
125,0.781726,0.91352
126,0.945205,0.97018
127,0.716264,0.859184
128,0.678217,0.800785
129,0.787001,0.914926
130,0.946653,0.970465
131,0.708648,0.856342
132,0.678064,0.802761
133,0.79623,0.916815
134,0.947617,0.971066
135,0.715288,0.858704
