Frame, eSSIM, SSIM
0,0.475844,0.640551
1,0.628704,0.844573
2,0.91893,0.959114
3,0.51496,0.737119
4,0.424389,0.59882
5,0.64707,0.853918
6,0.920955,0.959665
7,0.56225,0.766213
8,0.517925,0.680332
9,0.664655,0.862168
10,0.920382,0.95902
11,0.641378,0.81308
12,0.586127,0.73427
13,0.693827,0.874426
14,0.924135,0.960733
15,0.621352,0.805032
16,0.588905,0.739431
17,0.712193,0.884158
18,0.926061,0.961493
19,0.622268,0.806992
20,0.562866,0.719333
21,0.696883,0.878403
22,0.92821,0.961797
23,0.638343,0.81538
24,0.553392,0.710846
25,0.681754,0.870149
26,0.925849,0.960824
27,0.619473,0.803798
28,0.563399,0.718969
29,0.707747,0.882559
30,0.926519,0.960417
31,0.625178,0.806126
32,0.574996,0.728118
33,0.714145,0.884455
34,0.925906,0.959975
35,0.640223,0.814377
36,0.59122,0.739559
37,0.720183,0.886283
38,0.927561,0.960905
39,0.641655,0.813977
40,0.56596,0.720897
41,0.696228,0.87732
42,0.929635,0.961721
43,0.631914,0.813362
44,0.591697,0.743354
45,0.739352,0.89529
46,0.934002,0.963757
47,0.633732,0.816527
48,0.592507,0.747228
49,0.7379,0.896161
50,0.932818,0.963795
51,0.643941,0.822948
52,0.606591,0.757839
53,0.725542,0.894796
54,0.932428,0.963431
55,0.653713,0.82804
56,0.615779,0.764457
57,0.728481,0.895722
58,0.931029,0.963582
59,0.639213,0.821584
60,0.600137,0.757486
61,0.741276,0.901787
62,0.931365,0.963609
63,0.653658,0.827883
64,0.612185,0.767271
65,0.745162,0.904192
66,0.932818,0.963971
67,0.652461,0.825493
68,0.616593,0.767102
69,0.712921,0.893845
70,0.928459,0.962389
71,0.634691,0.816257
72,0.5789,0.741754
73,0.718867,0.893341
74,0.930183,0.962686
75,0.635898,0.816852
76,0.584925,0.743839
77,0.726582,0.893475
78,0.929466,0.962547
79,0.635273,0.817114
80,0.591375,0.74701
81,0.724342,0.891772
82,0.929842,0.962743
83,0.680701,0.84111
84,0.63565,0.776978
85,0.753127,0.90237
86,0.935231,0.965073
87,0.681636,0.842244
88,0.631473,0.77163
89,0.750386,0.899635
90,0.934271,0.96471
91,0.681936,0.840205
92,0.638183,0.775779
93,0.726615,0.893102
94,0.933834,0.964656
95,0.659707,0.829626
96,0.619499,0.764597
97,0.735741,0.896047
98,0.936332,0.965815
99,0.675798,0.839601
100,0.64032,0.779295
101,0.742709,0.89882
102,0.939845,0.966959
103,0.658844,0.831131
104,0.649968,0.784482
105,0.762893,0.906568
106,0.938803,0.967333
107,0.691204,0.847067
108,0.638752,0.777585
