Frame, eSSIM, SSIM
0,0.888941,0.953326
1,0.908061,0.953547
2,0.919809,0.951887
3,0.895285,0.951181
4,0.886819,0.95205
5,0.90622,0.952512
6,0.919432,0.951941
7,0.895231,0.951449
8,0.884023,0.951539
9,0.902417,0.95217
10,0.917721,0.951195
11,0.893609,0.951509
12,0.883482,0.951329
13,0.901349,0.951602
14,0.916806,0.951434
15,0.89339,0.951044
16,0.887926,0.953148
17,0.906718,0.953701
18,0.91914,0.95276
19,0.898834,0.953371
20,0.894129,0.954783
21,0.908934,0.954439
22,0.921509,0.954499
23,0.903522,0.954974
24,0.894874,0.954806
25,0.912145,0.955253
26,0.923907,0.955802
27,0.907677,0.956284
28,0.901011,0.956976
29,0.913021,0.955891
30,0.924204,0.955687
31,0.914511,0.958191
32,0.907592,0.958765
33,0.919154,0.95879
34,0.930056,0.958749
35,0.920447,0.96036
36,0.911521,0.959283
37,0.92131,0.959279
38,0.930991,0.959499
39,0.92156,0.960516
40,0.917039,0.961787
41,0.927221,0.961349
42,0.934919,0.96129
43,0.924617,0.961954
44,0.921314,0.962456
45,0.927929,0.962563
46,0.936866,0.962473
47,0.929235,0.963406
48,0.921873,0.962933
49,0.931199,0.963441
50,0.938848,0.96354
51,0.930792,0.964266
52,0.927745,0.965437
53,0.933626,0.963942
54,0.938194,0.963797
55,0.933971,0.965152
56,0.92982,0.966062
57,0.93761,0.965992
58,0.942052,0.965545
59,0.934317,0.965584
60,0.932359,0.96653
61,0.939041,0.967009
62,0.943584,0.966207
63,0.93743,0.96671
64,0.935307,0.967153
65,0.941194,0.967335
66,0.944625,0.966928
67,0.939341,0.967418
68,0.937433,0.968135
69,0.943408,0.968298
70,0.945544,0.967493
71,0.941193,0.96794
72,0.939185,0.968693
73,0.944296,0.968927
74,0.947069,0.968162
75,0.942097,0.968389
76,0.940946,0.969001
77,0.945503,0.969296
78,0.948052,0.968532
79,0.942995,0.968964
80,0.94061,0.969366
81,0.947278,0.969691
82,0.948889,0.969082
83,0.943609,0.969258
84,0.942176,0.970308
85,0.946961,0.969795
86,0.949351,0.969478
87,0.9474,0.970281
88,0.94608,0.970765
89,0.948482,0.970535
90,0.949277,0.969707
91,0.946396,0.969903
92,0.94595,0.970866
93,0.950516,0.971095
94,0.949361,0.969536
95,0.946547,0.970381
96,0.946717,0.970733
97,0.949806,0.970617
98,0.951635,0.970635
99,0.947867,0.970526
100,0.947981,0.972471
101,0.953173,0.972267
102,0.955305,0.972728
103,0.953265,0.97344
104,0.954359,0.974621
105,0.955738,0.974254
106,0.957828,0.974524
107,0.959641,0.976824
108,0.960406,0.97753
109,0.961612,0.977142
110,0.962473,0.977166
111,0.965322,0.97998
112,0.965559,0.980823
113,0.96629,0.980088
114,0.968331,0.980623
115,0.968663,0.98266
116,0.971849,0.983628
117,0.971909,0.982647
118,0.973829,0.983356
119,0.975958,0.985514
120,0.977066,0.986
121,0.976903,0.985379
122,0.979182,0.986505
123,0.981828,0.988271
124,0.98272,0.989176
125,0.981625,0.988131
126,0.983276,0.989039
127,0.986977,0.991241
128,0.987196,0.99159
129,0.985923,0.991016
130,0.987776,0.991994
131,0.990796,0.993613
132,0.991495,0.994378
133,0.991041,0.994216
134,0.99226,0.994628
135,0.994265,0.996513
136,0.994833,0.997235
137,0.995589,0.99772
138,0.996155,0.997924
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,0.994235,0.998499
162,0.997004,0.998984
163,0.979941,0.994171
164,0.963806,0.985761
165,0.972613,0.992461
166,0.990622,0.995325
167,0.943998,0.980436
168,0.929278,0.968925
169,0.939414,0.980325
170,0.976701,0.988784
171,0.912092,0.966338
172,0.893181,0.94992
173,0.91831,0.969617
174,0.964017,0.981406
175,0.901418,0.954188
176,0.873776,0.93389
177,0.905168,0.960207
178,0.949061,0.973751
179,0.88255,0.940723
180,0.861169,0.922265
181,0.905265,0.955023
182,0.937215,0.966044
183,0.870416,0.930304
184,0.857404,0.91515
185,0.892927,0.94684
186,0.926345,0.958881
187,0.848316,0.915531
188,0.830203,0.899111
189,0.880604,0.938495
190,0.913792,0.950331
191,0.834053,0.903091
192,0.814637,0.887165
193,0.875512,0.930726
194,0.898304,0.940593
195,0.818765,0.891287
196,0.806641,0.874971
197,0.863337,0.922113
198,0.887979,0.932233
199,0.817376,0.884915
200,0.797662,0.868807
201,0.86076,0.915404
202,0.877905,0.923498
203,0.811774,0.879516
204,0.798883,0.868005
205,0.855884,0.911021
206,0.875246,0.92055
207,0.82257,0.884229
208,0.812518,0.874381
209,0.844096,0.910164
210,0.879278,0.922889
211,0.818611,0.883303
212,0.795839,0.868066
213,0.838643,0.908335
214,0.874339,0.921108
215,0.817385,0.882268
216,0.801805,0.87003
217,0.853929,0.91036
218,0.874502,0.920139
219,0.81673,0.880824
220,0.799347,0.866993
221,0.846304,0.907142
222,0.874698,0.918762
223,0.82695,0.882615
224,0.81041,0.870368
225,0.848863,0.907287
226,0.872847,0.917935
227,0.826641,0.883919
228,0.814248,0.875147
229,0.855259,0.909294
230,0.873931,0.916997
231,0.823716,0.884301
232,0.81327,0.874608
233,0.850509,0.906787
234,0.873846,0.917093
235,0.827854,0.884945
236,0.818892,0.876095
237,0.847027,0.906703
238,0.875003,0.917385
239,0.832124,0.887008
240,0.814678,0.87647
241,0.852662,0.908203
242,0.871007,0.916029
243,0.82667,0.886052
244,0.812476,0.877178
245,0.850203,0.907437
246,0.868863,0.915103
247,0.827537,0.887464
248,0.823319,0.882052
249,0.844336,0.906107
250,0.868735,0.915115
251,0.82618,0.886121
252,0.822501,0.88117
