Frame, eSSIM, SSIM
0,0.913238,0.962059
1,0.918877,0.957068
2,0.916413,0.951874
3,0.908902,0.956081
4,0.912182,0.961377
5,0.918056,0.956861
6,0.916398,0.951848
7,0.926714,0.962151
8,0.931685,0.968009
9,0.934869,0.963976
10,0.928495,0.957842
11,0.925012,0.961715
12,0.946192,0.972827
13,0.950694,0.970457
14,0.942325,0.964587
15,0.940048,0.9674
16,0.947329,0.97375
17,0.953613,0.971907
18,0.951856,0.970099
19,0.949396,0.971603
20,0.955816,0.976059
21,0.959351,0.975051
22,0.952087,0.970444
23,0.960631,0.975602
24,0.964358,0.97872
25,0.964581,0.977421
26,0.960641,0.974149
27,0.96255,0.976436
28,0.96805,0.979834
29,0.969308,0.97911
30,0.965159,0.97598
31,0.964257,0.976798
32,0.970006,0.980858
33,0.970268,0.979684
34,0.96752,0.977774
35,0.966205,0.978067
36,0.969754,0.980643
37,0.97151,0.980615
38,0.968628,0.978384
39,0.968414,0.979371
40,0.971967,0.981669
41,0.972691,0.981286
42,0.969438,0.979019
43,0.971349,0.980667
44,0.971869,0.981846
45,0.972937,0.981842
46,0.970535,0.97992
47,0.969918,0.979995
48,0.97399,0.983141
49,0.974211,0.982253
50,0.972282,0.980601
51,0.971088,0.980547
52,0.972816,0.982141
53,0.975516,0.982962
54,0.973895,0.981199
55,0.971994,0.980895
56,0.972803,0.982292
57,0.975146,0.982626
58,0.973092,0.980743
59,0.973728,0.981773
60,0.973664,0.982678
61,0.974957,0.982735
62,0.973736,0.981244
63,0.971905,0.980899
64,0.97598,0.983922
65,0.975854,0.983176
66,0.974578,0.981638
67,0.973157,0.981567
68,0.976455,0.984205
69,0.975854,0.983182
70,0.97435,0.981714
71,0.973618,0.981761
72,0.974421,0.983154
73,0.977261,0.98394
74,0.975081,0.981951
75,0.973027,0.981649
76,0.974078,0.98296
77,0.975989,0.983359
78,0.97497,0.982087
79,0.975507,0.982942
80,0.974099,0.982957
81,0.975816,0.983344
82,0.974931,0.982041
83,0.973531,0.981898
84,0.976576,0.984339
85,0.976296,0.983529
86,0.974768,0.982001
87,0.973519,0.981931
88,0.974582,0.9832
89,0.977323,0.984067
90,0.975703,0.982469
91,0.97359,0.981918
92,0.974034,0.983035
93,0.976334,0.983464
94,0.975086,0.982128
95,0.974586,0.982545
96,0.973781,0.982791
97,0.975692,0.983129
98,0.974605,0.981838
99,0.97407,0.982186
100,0.976301,0.984259
101,0.977115,0.984075
102,0.976651,0.983134
103,0.977118,0.984181
104,0.97651,0.984509
105,0.978579,0.985129
106,0.979123,0.984679
107,0.980028,0.985934
108,0.979128,0.985989
109,0.981406,0.986742
110,0.981324,0.98632
111,0.981564,0.986941
112,0.983756,0.988373
113,0.983846,0.988163
114,0.984222,0.988213
115,0.984792,0.988878
116,0.984499,0.988927
117,0.985863,0.989483
118,0.98619,0.989561
119,0.986912,0.990281
120,0.986489,0.990322
121,0.987748,0.990616
122,0.988493,0.991072
123,0.987894,0.991024
124,0.98788,0.990959
125,0.988564,0.99106
126,0.990164,0.992166
127,0.990327,0.992928
128,0.990439,0.992894
129,0.990871,0.992884
130,0.991862,0.99369
131,0.992292,0.994403
132,0.992087,0.994193
133,0.992611,0.994709
134,0.9945,0.996007
135,0.994591,0.996618
136,0.995324,0.997394
137,0.996359,0.998089
138,0.996514,0.998288
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,0.996833,0.999022
162,0.997194,0.999026
163,0.994462,0.996538
