Frame, eSSIM, SSIM
0,0.93334,0.968987
1,0.942005,0.968395
2,0.944993,0.965971
3,0.932905,0.965233
4,0.930987,0.967377
5,0.940619,0.967783
6,0.943273,0.965521
7,0.932205,0.965427
8,0.926649,0.966891
9,0.936091,0.96685
10,0.94234,0.964926
11,0.930952,0.965249
12,0.926302,0.966644
13,0.935063,0.966378
14,0.939426,0.964404
15,0.928231,0.965006
16,0.933852,0.968215
17,0.940343,0.967735
18,0.942861,0.965863
19,0.939413,0.967558
20,0.941339,0.97001
21,0.94459,0.969049
22,0.944501,0.967114
23,0.942025,0.96824
24,0.944036,0.970816
25,0.947484,0.970171
26,0.948341,0.969043
27,0.94579,0.969797
28,0.945388,0.970907
29,0.948611,0.970945
30,0.950503,0.970114
31,0.951054,0.971351
32,0.949353,0.972721
33,0.953732,0.973103
34,0.954182,0.971818
35,0.95302,0.972335
36,0.953725,0.973829
37,0.955454,0.973438
38,0.955263,0.972584
39,0.955305,0.973297
40,0.956452,0.974676
41,0.95832,0.975008
42,0.957801,0.973712
43,0.955784,0.973624
44,0.958921,0.975701
45,0.959876,0.97577
46,0.958274,0.974276
47,0.958806,0.974777
48,0.9584,0.975357
49,0.961518,0.976628
50,0.96229,0.975917
51,0.959023,0.974961
52,0.961157,0.976472
53,0.962493,0.976566
54,0.961986,0.975661
55,0.962162,0.976182
56,0.962011,0.976909
57,0.964854,0.977281
58,0.96304,0.976427
59,0.961516,0.975991
60,0.965142,0.97793
61,0.967303,0.978693
62,0.964566,0.976908
63,0.962459,0.976453
64,0.964331,0.977497
65,0.968739,0.979036
66,0.966664,0.978281
67,0.963687,0.976996
68,0.965459,0.978126
69,0.968145,0.979074
70,0.96667,0.978368
71,0.965794,0.977861
72,0.965982,0.978252
73,0.969105,0.979396
74,0.966674,0.978276
75,0.964472,0.977406
76,0.968418,0.979144
77,0.970061,0.979857
78,0.967194,0.97837
79,0.965414,0.977686
80,0.966561,0.978547
81,0.970683,0.980104
82,0.968847,0.979411
83,0.96524,0.977698
84,0.967739,0.979044
85,0.969652,0.979625
86,0.966896,0.97851
87,0.967938,0.979011
88,0.968261,0.979191
89,0.969669,0.979835
90,0.966932,0.978675
91,0.965812,0.978123
92,0.970082,0.98011
93,0.971201,0.98063
94,0.967961,0.978909
95,0.966164,0.978359
96,0.968701,0.979236
97,0.971537,0.980535
98,0.97009,0.980153
99,0.966514,0.978372
