Frame, eSSIM, SSIM
0,0.796513,0.906185
1,0.859051,0.961812
2,0.94058,0.976355
3,0.803913,0.919335
4,0.775439,0.901167
5,0.869157,0.958709
6,0.942822,0.975406
7,0.781009,0.909353
8,0.761345,0.894884
9,0.86246,0.960793
10,0.938649,0.975453
11,0.767031,0.906338
12,0.749394,0.890238
13,0.840422,0.955443
14,0.942854,0.975099
15,0.756447,0.899666
16,0.742421,0.883744
17,0.872745,0.961541
18,0.939123,0.975253
19,0.8083,0.916535
20,0.79112,0.901242
21,0.867845,0.961677
22,0.944651,0.976031
23,0.811939,0.915234
24,0.811203,0.909066
25,0.90799,0.967999
26,0.941428,0.976619
27,0.838543,0.92697
28,0.837669,0.919948
29,0.911696,0.967361
30,0.947504,0.977105
31,0.852697,0.931163
32,0.846298,0.924019
33,0.918395,0.970171
34,0.941529,0.976812
35,0.861227,0.935284
36,0.855929,0.927043
37,0.911594,0.967254
38,0.946981,0.976951
39,0.861441,0.934263
40,0.858776,0.928614
41,0.923206,0.970789
42,0.941214,0.97635
43,0.863876,0.936437
44,0.86135,0.930601
45,0.91813,0.967734
46,0.94734,0.977087
47,0.868054,0.936988
48,0.868908,0.933328
49,0.926146,0.971294
50,0.942779,0.97694
51,0.882683,0.943197
52,0.874548,0.935714
53,0.925468,0.969037
54,0.949131,0.977602
55,0.876832,0.939907
56,0.880173,0.937724
57,0.93073,0.971686
58,0.943265,0.977421
59,0.885421,0.945108
60,0.880129,0.936956
61,0.927359,0.969007
62,0.949273,0.977235
63,0.883422,0.941874
64,0.884488,0.939438
65,0.930242,0.971536
66,0.943536,0.977483
67,0.894364,0.948137
68,0.886941,0.939861
69,0.931247,0.969629
70,0.950989,0.978261
71,0.889323,0.945343
72,0.889416,0.940871
73,0.934653,0.972352
74,0.943462,0.977408
75,0.894924,0.947927
76,0.886812,0.939274
77,0.933994,0.969781
78,0.95153,0.977973
79,0.889568,0.943719
80,0.888269,0.939771
81,0.939639,0.972919
82,0.943578,0.97723
83,0.894246,0.947494
84,0.887896,0.940269
85,0.927867,0.96806
86,0.949243,0.976937
87,0.891845,0.944088
88,0.883113,0.936459
89,0.935224,0.971473
90,0.943462,0.977429
91,0.893495,0.946257
92,0.890929,0.939824
93,0.928736,0.967773
94,0.946999,0.976954
95,0.889971,0.943647
96,0.886726,0.936128
97,0.935114,0.970853
98,0.9426,0.976369
99,0.897275,0.946527
100,0.889831,0.938766
101,0.924443,0.967088
102,0.949531,0.976805
103,0.896507,0.945728
104,0.896351,0.940703
105,0.927371,0.970565
106,0.943196,0.977085
107,0.902894,0.948744
108,0.894852,0.940382
109,0.934458,0.968199
110,0.950741,0.977278
111,0.896772,0.945941
112,0.896225,0.940283
113,0.93584,0.970469
114,0.942701,0.976616
115,0.899697,0.947344
116,0.891618,0.937752
117,0.935281,0.967698
118,0.949965,0.97656
119,0.894936,0.944251
120,0.894417,0.938339
121,0.935421,0.969989
122,0.943681,0.976543
123,0.902152,0.947457
124,0.890844,0.938267
125,0.929762,0.966534
126,0.950465,0.97677
127,0.893297,0.942405
128,0.893506,0.937603
129,0.922344,0.968909
130,0.941718,0.976177
131,0.899876,0.946052
132,0.89078,0.937801
133,0.918167,0.965488
134,0.949018,0.97666
135,0.894641,0.942872
136,0.890474,0.936883
137,0.920951,0.96868
138,0.940961,0.975835
139,0.898467,0.945481
140,0.889395,0.936725
141,0.923859,0.966416
142,0.948331,0.976177
143,0.895424,0.943275
144,0.890455,0.937912
145,0.924646,0.969278
146,0.940296,0.975819
147,0.901035,0.946936
148,0.892,0.938441
149,0.935436,0.967434
150,0.94882,0.976441
151,0.897759,0.945336
152,0.899886,0.941044
153,0.933949,0.970748
154,0.947981,0.978778
155,0.894278,0.941401
156,0.883284,0.929004
157,0.92178,0.968025
158,0.959274,0.979458
159,0.865393,0.925413
160,0.840906,0.904675
161,0.904201,0.964234
162,0.950295,0.975149
163,0.83698,0.910204
164,0.801735,0.88176
165,0.86847,0.953887
166,0.9415,0.969488
167,0.81773,0.89669
168,0.786801,0.874939
169,0.860771,0.950625
170,0.92676,0.962415
171,0.82006,0.89717
172,0.801504,0.881689
173,0.885028,0.950456
174,0.916399,0.955915
175,0.833748,0.903565
176,0.824646,0.897249
177,0.890597,0.952575
178,0.924704,0.95895
179,0.835413,0.904387
180,0.843222,0.903192
181,0.899692,0.954176
182,0.926544,0.959684
183,0.851165,0.911747
184,0.846733,0.907824
185,0.900023,0.954179
186,0.929707,0.960809
187,0.859292,0.916798
188,0.848093,0.905835
189,0.90486,0.95531
190,0.930679,0.961304
191,0.859783,0.916482
192,0.853073,0.911242
193,0.901598,0.954848
194,0.930216,0.960922
195,0.861934,0.917197
196,0.852357,0.908601
197,0.905898,0.956159
198,0.93428,0.963327
199,0.867477,0.921097
200,0.862202,0.916422
201,0.915661,0.958469
202,0.934821,0.963408
