Frame, eSSIM, SSIM
0,0.894494,0.945774
1,0.903565,0.972902
2,0.945617,0.979733
3,0.880008,0.948301
4,0.861933,0.937429
5,0.926119,0.970827
6,0.950724,0.979281
7,0.862006,0.940589
8,0.849857,0.932569
9,0.90783,0.971511
10,0.943985,0.978979
11,0.854041,0.939697
12,0.843322,0.929662
13,0.913401,0.96852
14,0.949904,0.978708
15,0.832677,0.93193
16,0.826078,0.925097
17,0.905557,0.970509
18,0.944359,0.978684
19,0.893119,0.949187
20,0.883012,0.940778
21,0.918953,0.970506
22,0.951746,0.979547
23,0.896523,0.948791
24,0.904264,0.949399
25,0.944271,0.977253
26,0.947007,0.980324
27,0.915216,0.957728
28,0.923709,0.95741
29,0.947178,0.9759
30,0.9552,0.980969
31,0.924098,0.960871
32,0.929574,0.959643
33,0.955179,0.978672
34,0.947148,0.980723
35,0.928215,0.963154
36,0.930786,0.960691
37,0.95101,0.976252
38,0.955086,0.980955
39,0.924633,0.961708
40,0.930188,0.96049
41,0.95814,0.979533
42,0.947401,0.980573
43,0.928697,0.964162
44,0.929759,0.961441
45,0.953222,0.97617
46,0.955685,0.981403
47,0.933086,0.964973
48,0.933904,0.962437
49,0.959271,0.979678
50,0.948596,0.981307
51,0.942783,0.968997
52,0.937425,0.963638
53,0.95653,0.97729
54,0.956793,0.981904
55,0.931639,0.964477
56,0.94565,0.966289
57,0.961666,0.979777
58,0.948599,0.981687
59,0.938038,0.967729
60,0.939595,0.963993
61,0.958709,0.977341
62,0.956779,0.981847
63,0.93329,0.965151
64,0.942883,0.965337
65,0.962592,0.97983
66,0.948722,0.981892
67,0.947412,0.971444
68,0.943785,0.965817
69,0.957834,0.977426
70,0.957903,0.982684
71,0.936693,0.967844
72,0.950177,0.968303
73,0.963784,0.980259
74,0.949139,0.982033
75,0.941242,0.969594
76,0.942928,0.965242
77,0.961163,0.977779
78,0.95809,0.982543
79,0.942375,0.967551
80,0.943654,0.964986
81,0.965955,0.980645
82,0.960413,0.982792
83,0.943072,0.96955
84,0.942195,0.965716
85,0.958027,0.976731
86,0.962988,0.982047
87,0.948515,0.969382
88,0.939593,0.963255
89,0.963289,0.979583
90,0.960038,0.98276
91,0.945226,0.969255
92,0.951181,0.968297
93,0.958395,0.976607
94,0.961798,0.982094
95,0.941615,0.967179
96,0.941583,0.963238
97,0.964674,0.979885
98,0.958735,0.982171
99,0.944114,0.968215
100,0.941922,0.9642
101,0.95702,0.975734
102,0.962801,0.981971
103,0.94817,0.968968
104,0.944126,0.964828
105,0.961251,0.978972
106,0.958952,0.982364
107,0.950936,0.970878
108,0.944198,0.965052
109,0.958819,0.976199
110,0.963435,0.982021
111,0.944,0.967667
112,0.948132,0.965834
113,0.962007,0.978437
114,0.958141,0.9818
115,0.944808,0.968665
116,0.943296,0.963454
117,0.9588,0.975762
118,0.962718,0.981445
119,0.944536,0.967279
120,0.943155,0.963957
121,0.96034,0.977661
122,0.958879,0.981463
123,0.951941,0.970487
124,0.945667,0.964231
125,0.956522,0.974941
126,0.963238,0.98151
127,0.941607,0.965731
128,0.947199,0.964502
129,0.960422,0.977614
130,0.956251,0.981396
131,0.946944,0.968446
132,0.947828,0.964595
133,0.955234,0.97463
134,0.960128,0.981308
135,0.942016,0.965596
136,0.947647,0.964383
137,0.96105,0.977658
138,0.955846,0.980947
139,0.945443,0.96823
140,0.944503,0.963062
141,0.957205,0.975133
142,0.959816,0.980915
143,0.944031,0.966384
144,0.94692,0.964447
145,0.9625,0.978109
146,0.954946,0.981146
147,0.946624,0.96898
148,0.946059,0.9641
149,0.95861,0.975292
150,0.959876,0.981155
151,0.94416,0.96747
152,0.948172,0.966058
153,0.961765,0.978917
154,0.960348,0.98311
155,0.94528,0.967055
156,0.936689,0.959451
157,0.95419,0.976448
158,0.964478,0.983022
159,0.930031,0.957439
160,0.921333,0.948611
161,0.945757,0.975088
162,0.956855,0.979158
163,0.920931,0.951822
164,0.898813,0.93644
165,0.929789,0.968783
166,0.95284,0.974568
167,0.906572,0.942418
168,0.894172,0.9343
169,0.92435,0.966007
170,0.944306,0.969613
171,0.907132,0.941525
172,0.896298,0.934888
173,0.935948,0.965607
174,0.933938,0.963903
175,0.915632,0.946397
176,0.911682,0.946453
177,0.932789,0.965092
178,0.939949,0.966679
179,0.919881,0.948834
180,0.918543,0.945431
181,0.942959,0.967425
182,0.943829,0.968463
183,0.922173,0.950255
184,0.92716,0.952688
185,0.938683,0.966914
186,0.943909,0.968252
187,0.929238,0.954385
188,0.923884,0.947665
189,0.9463,0.968323
190,0.945055,0.969003
191,0.9277,0.953418
192,0.930943,0.954432
193,0.940866,0.967805
194,0.94563,0.969142
195,0.931892,0.955558
196,0.925232,0.949724
197,0.948568,0.969266
198,0.950365,0.971637
199,0.932127,0.956653
200,0.938751,0.958462
201,0.950499,0.970802
202,0.952019,0.972379
203,0.943481,0.962683
204,0.937159,0.955275
205,0.955638,0.972169
206,0.954506,0.973585
207,0.943313,0.962772
208,0.946983,0.963233
209,0.952388,0.972077
210,0.955299,0.973878
211,0.947891,0.965254
212,0.941237,0.958335
213,0.956335,0.972753
214,0.956516,0.974443
215,0.943575,0.962945
216,0.950386,0.965116
217,0.956497,0.973061
218,0.954997,0.973766
219,0.947774,0.965357
220,0.942805,0.958838
221,0.95778,0.97302
222,0.956189,0.974246
223,0.945674,0.964236
224,0.950356,0.965186
225,0.957137,0.972977
226,0.954583,0.973473
227,0.949782,0.966434
228,0.944073,0.959927
229,0.956279,0.972773
230,0.956499,0.974149
231,0.945591,0.964229
232,0.952347,0.966515
233,0.958298,0.97328
234,0.954609,0.973465
235,0.948725,0.96621
236,0.945026,0.95995
237,0.958453,0.973309
238,0.959054,0.975524
239,0.949757,0.967075
240,0.955688,0.968627
241,0.960269,0.974446
242,0.957627,0.975335
243,0.954139,0.969084
244,0.948977,0.961806
245,0.961569,0.974914
246,0.960578,0.976507
247,0.951274,0.967831
248,0.953192,0.968032
249,0.959381,0.974671
250,0.958461,0.975694
251,0.955162,0.969824
252,0.947218,0.96244
253,0.961087,0.974666
254,0.959649,0.975974
255,0.950848,0.967364
256,0.956441,0.969199
257,0.957793,0.974205
258,0.958061,0.975438
259,0.953605,0.969265
260,0.949545,0.962914
261,0.961203,0.974665
262,0.959772,0.975955
263,0.951037,0.967737
264,0.95574,0.968744
265,0.959299,0.974196
266,0.957781,0.975065
267,0.955521,0.970042
268,0.949601,0.963028
269,0.959747,0.974478
270,0.95968,0.975848
271,0.951761,0.967933
272,0.958657,0.970006
273,0.960098,0.974431
274,0.957609,0.97505
275,0.954713,0.969574
276,0.950583,0.963544
277,0.962232,0.97503
278,0.96216,0.97731
279,0.954855,0.970198
280,0.959191,0.970934
281,0.962815,0.975712
282,0.960072,0.976483
283,0.959283,0.972335
284,0.953577,0.964907
285,0.96273,0.975659
286,0.96259,0.97739
287,0.954463,0.969792
288,0.960732,0.971414
289,0.961509,0.975673
290,0.960117,0.97651
291,0.957005,0.971066
292,0.952468,0.964709
293,0.963123,0.975757
294,0.96152,0.976893
295,0.954015,0.969422
296,0.958626,0.970295
297,0.961307,0.975219
298,0.958415,0.976049
299,0.957556,0.971316
300,0.952711,0.9646
301,0.9622,0.975231
302,0.960572,0.976421
303,0.953329,0.969016
304,0.960236,0.970887
305,0.961898,0.975265
306,0.958798,0.975797
307,0.956004,0.970358
