Frame, eSSIM, SSIM
0,0.658939,0.765558
1,0.696075,0.814769
2,0.816193,0.875843
3,0.737116,0.825691
4,0.649463,0.75995
5,0.684463,0.810106
6,0.815332,0.875302
7,0.735901,0.824903
8,0.647146,0.75882
9,0.681029,0.808743
10,0.814639,0.874387
11,0.735512,0.824811
12,0.642781,0.756431
13,0.678653,0.807309
14,0.813984,0.874078
15,0.735156,0.824089
16,0.64295,0.756366
17,0.677631,0.806339
18,0.81373,0.874153
19,0.735432,0.824667
20,0.642955,0.756452
21,0.673257,0.806381
22,0.815719,0.875301
23,0.737274,0.825578
24,0.646291,0.757479
25,0.68232,0.808484
26,0.815569,0.875101
27,0.741633,0.828359
28,0.650318,0.76037
29,0.686854,0.809309
30,0.815771,0.875164
31,0.746333,0.831558
32,0.655456,0.765657
33,0.691893,0.81299
34,0.817062,0.876432
35,0.749781,0.833903
36,0.661995,0.771651
37,0.696556,0.816437
38,0.818694,0.877297
39,0.750617,0.834205
40,0.674207,0.779006
41,0.704794,0.823004
42,0.823602,0.880721
43,0.755179,0.838051
44,0.677845,0.781337
45,0.716946,0.828438
46,0.825884,0.882213
47,0.762287,0.842783
48,0.701173,0.797929
49,0.734187,0.837752
50,0.826374,0.882492
51,0.767079,0.845563
52,0.708653,0.802592
53,0.743172,0.841091
54,0.826789,0.883186
55,0.774148,0.849902
56,0.714963,0.807383
57,0.748873,0.84475
58,0.826381,0.883243
59,0.780342,0.85464
60,0.721827,0.815133
61,0.74857,0.845319
62,0.829342,0.885295
63,0.782124,0.855705
64,0.726693,0.8191
65,0.749179,0.849091
66,0.832096,0.887827
67,0.788235,0.859354
68,0.733944,0.823012
69,0.759383,0.851718
70,0.832575,0.888075
71,0.793915,0.863113
72,0.738724,0.825736
73,0.763021,0.854255
74,0.832854,0.888083
75,0.797975,0.865561
76,0.742726,0.831755
77,0.762282,0.85437
78,0.833044,0.88859
79,0.7991,0.866287
80,0.748068,0.83434
81,0.768155,0.857673
82,0.833536,0.889116
83,0.802404,0.868641
84,0.757004,0.839372
85,0.77491,0.858855
86,0.834207,0.889812
87,0.80715,0.871831
88,0.7595,0.839957
89,0.778335,0.861466
90,0.834941,0.890096
91,0.808345,0.87212
92,0.76208,0.84334
93,0.777101,0.860995
94,0.836705,0.891328
95,0.810745,0.873729
96,0.761337,0.843108
97,0.778126,0.863197
98,0.837272,0.891995
99,0.810052,0.873194
100,0.768686,0.8472
101,0.781821,0.863825
102,0.837814,0.891924
103,0.814369,0.875699
104,0.76617,0.846007
105,0.787158,0.866218
106,0.837691,0.891738
107,0.813768,0.875331
108,0.770922,0.85045
109,0.785833,0.865768
110,0.837023,0.891647
111,0.815725,0.876616
112,0.771385,0.849319
113,0.788051,0.867398
114,0.838438,0.892511
115,0.815042,0.876158
116,0.777728,0.853176
117,0.788627,0.866971
118,0.837711,0.892107
119,0.818191,0.878433
120,0.774947,0.850822
121,0.793315,0.869121
122,0.837218,0.891966
123,0.817342,0.877972
124,0.778161,0.854257
125,0.792601,0.868727
126,0.840413,0.893865
127,0.82024,0.879583
128,0.777189,0.852298
129,0.791364,0.869601
130,0.840977,0.894538
131,0.818499,0.878584
132,0.782348,0.856119
133,0.790929,0.868669
134,0.839822,0.893848
135,0.821564,0.8807
136,0.780164,0.854241
137,0.797559,0.871773
138,0.840211,0.8943
139,0.819717,0.879569
140,0.785296,0.857938
141,0.795232,0.870415
142,0.83984,0.894085
143,0.821124,0.880539
144,0.782485,0.855377
145,0.79619,0.871889
146,0.839681,0.894071
147,0.819068,0.879185
148,0.787202,0.858772
149,0.795499,0.870467
150,0.838419,0.893159
151,0.820455,0.880225
152,0.781299,0.854744
153,0.799192,0.872371
154,0.83881,0.893441
155,0.817205,0.878255
156,0.781623,0.856699
157,0.794166,0.869429
158,0.836824,0.892533
159,0.818041,0.878833
160,0.77771,0.852466
161,0.793959,0.86963
162,0.836219,0.892057
163,0.853384,0.902102
164,0.799381,0.870048
165,0.815219,0.894016
166,0.874254,0.919977
167,0.835843,0.8933
168,0.795036,0.868201
169,0.811714,0.891954
170,0.872681,0.919343
171,0.83682,0.895001
172,0.795832,0.864615
173,0.814764,0.892481
174,0.874143,0.919957
175,0.833771,0.892457
176,0.794042,0.865929
177,0.815782,0.891397
178,0.872966,0.919359
179,0.836987,0.893954
180,0.793318,0.863591
181,0.814185,0.892198
182,0.873853,0.919821
183,0.838592,0.892708
184,0.793553,0.866585
185,0.813834,0.891926
186,0.872297,0.91944
187,0.837344,0.8944
188,0.801659,0.865905
189,0.815936,0.893073
190,0.874185,0.91995
191,0.836073,0.89317
192,0.797061,0.867306
193,0.826329,0.89423
194,0.872857,0.919665
195,0.838699,0.895315
196,0.794495,0.866152
197,0.819827,0.893995
198,0.87517,0.920881
199,0.841295,0.895008
200,0.80019,0.869024
201,0.817014,0.893795
202,0.873588,0.920557
203,0.839984,0.896172
204,0.807004,0.869277
205,0.821682,0.894741
206,0.87497,0.921041
207,0.840979,0.89543
208,0.799177,0.869124
209,0.830181,0.89537
210,0.873347,0.920176
211,0.840471,0.896313
212,0.799899,0.86932
213,0.824169,0.895708
214,0.875007,0.92133
215,0.843119,0.896097
216,0.802414,0.871149
217,0.819584,0.895382
218,0.873586,0.920652
219,0.841073,0.896973
220,0.812638,0.872398
221,0.824435,0.89618
222,0.875038,0.921008
223,0.843529,0.896994
224,0.803909,0.872187
225,0.83435,0.897703
226,0.873514,0.920644
227,0.843048,0.898124
228,0.805934,0.872911
229,0.821616,0.89639
230,0.874284,0.920905
231,0.846191,0.898382
232,0.805632,0.874236
233,0.825584,0.897489
234,0.873662,0.921178
235,0.846636,0.899085
236,0.819385,0.877197
237,0.827858,0.897887
238,0.875522,0.921799
239,0.846378,0.899728
240,0.808117,0.87554
241,0.836242,0.900259
242,0.875464,0.922206
243,0.846403,0.900351
244,0.810839,0.876777
245,0.829774,0.899177
246,0.876021,0.922116
247,0.849097,0.901177
248,0.808348,0.876889
249,0.829663,0.899561
250,0.875818,0.922421
251,0.848037,0.901426
252,0.826157,0.880856
253,0.831566,0.899895
254,0.8757,0.922285
255,0.848808,0.901996
256,0.813794,0.879108
257,0.841284,0.902008
258,0.874782,0.92204
259,0.850262,0.9025
260,0.814733,0.880293
261,0.830472,0.900452
262,0.875443,0.922469
263,0.853214,0.903477
264,0.817757,0.880764
265,0.833627,0.90142
266,0.875635,0.922692
267,0.849549,0.902818
268,0.826767,0.883973
269,0.834919,0.901803
270,0.877194,0.923102
271,0.850582,0.904034
272,0.816816,0.881973
273,0.84388,0.90365
274,0.876185,0.922646
275,0.851112,0.903908
276,0.819035,0.883423
277,0.836369,0.902542
278,0.877231,0.923169
279,0.857808,0.905349
280,0.816574,0.882139
281,0.833859,0.902538
282,0.876524,0.923025
