Frame, eSSIM, SSIM
0,0.435977,0.558154
1,0.517776,0.693435
2,0.770337,0.845088
3,0.570443,0.710617
4,0.432981,0.555686
5,0.511439,0.68793
6,0.769207,0.84395
7,0.573043,0.71241
8,0.433049,0.555342
9,0.511065,0.688012
10,0.7674,0.842668
11,0.572081,0.711922
12,0.431735,0.55456
13,0.510652,0.686927
14,0.767463,0.842506
15,0.572355,0.711602
16,0.430393,0.553418
17,0.510031,0.686492
18,0.766781,0.842363
19,0.571902,0.711388
20,0.432526,0.555251
21,0.51019,0.685943
22,0.766247,0.842031
23,0.572115,0.711639
24,0.430793,0.553323
25,0.51256,0.687231
26,0.764054,0.84064
27,0.574858,0.713805
28,0.433526,0.556611
29,0.510247,0.684453
30,0.764213,0.840788
31,0.579034,0.717411
32,0.437542,0.560929
33,0.514827,0.690298
34,0.766336,0.842792
35,0.58511,0.7225
36,0.444132,0.568896
37,0.521133,0.694738
38,0.772611,0.846408
39,0.586427,0.723269
40,0.458404,0.583256
41,0.532757,0.704955
42,0.773773,0.84724
43,0.593176,0.728862
44,0.459719,0.585413
45,0.549128,0.714995
46,0.780401,0.851286
47,0.605019,0.736499
48,0.487776,0.612193
49,0.557726,0.723313
50,0.781291,0.851369
51,0.614152,0.743432
52,0.490055,0.614943
53,0.566031,0.72839
54,0.782899,0.853126
55,0.625588,0.751342
56,0.501919,0.626384
57,0.571221,0.732841
58,0.782118,0.852906
59,0.635793,0.757997
60,0.513885,0.639389
61,0.577616,0.736892
62,0.78333,0.85381
63,0.63716,0.758434
64,0.524838,0.648556
65,0.584734,0.743154
66,0.786232,0.855763
67,0.646144,0.764237
68,0.528758,0.652037
69,0.595028,0.748444
70,0.788458,0.857081
71,0.65599,0.770973
72,0.538122,0.660771
73,0.596644,0.750507
74,0.78743,0.85605
75,0.663644,0.776052
76,0.548988,0.671807
77,0.604141,0.753678
78,0.788102,0.857019
79,0.66464,0.776464
80,0.55553,0.677267
81,0.60614,0.757316
82,0.791881,0.859589
83,0.671672,0.782121
84,0.559562,0.680039
85,0.611839,0.759366
86,0.793076,0.86075
87,0.677811,0.785715
88,0.563614,0.683154
89,0.615198,0.761898
90,0.7925,0.860329
91,0.679908,0.787091
92,0.568511,0.688442
93,0.617315,0.762198
94,0.793077,0.860596
95,0.681151,0.787894
96,0.573773,0.691136
97,0.622527,0.766494
98,0.79335,0.86096
99,0.681743,0.787849
100,0.5777,0.694358
101,0.626648,0.767975
102,0.794697,0.861646
103,0.685114,0.790039
104,0.579711,0.696075
105,0.631527,0.77105
106,0.794183,0.861234
107,0.687033,0.791495
108,0.585239,0.701493
109,0.632829,0.771724
110,0.794095,0.861615
111,0.688063,0.792105
112,0.589284,0.703638
