Frame, eSSIM, SSIM
0,0.440651,0.578992
1,0.551158,0.770559
2,0.815971,0.88414
3,0.469861,0.641817
4,0.368545,0.516151
5,0.570595,0.778948
6,0.816408,0.8854
7,0.497819,0.685831
8,0.413991,0.584325
9,0.644931,0.8373
10,0.837704,0.903447
11,0.510602,0.699662
12,0.418405,0.593983
13,0.634856,0.839873
14,0.828193,0.898042
15,0.484199,0.683258
16,0.471539,0.644622
17,0.559273,0.786316
18,0.831236,0.896652
19,0.480356,0.668783
20,0.396614,0.564079
21,0.661753,0.827452
22,0.822922,0.892841
23,0.510291,0.69441
24,0.480664,0.641854
25,0.688333,0.847109
26,0.841671,0.90402
27,0.557657,0.725993
28,0.511781,0.666056
29,0.723527,0.859337
30,0.849101,0.903797
31,0.565139,0.724917
32,0.538389,0.689431
33,0.742762,0.872082
34,0.845914,0.902785
35,0.583349,0.740655
36,0.560346,0.711794
37,0.758849,0.879331
38,0.84696,0.903664
39,0.57901,0.739629
40,0.5803,0.724556
41,0.775755,0.882827
42,0.849009,0.9041
43,0.588075,0.743212
44,0.57,0.716913
45,0.780339,0.883781
46,0.852318,0.905801
47,0.607778,0.756013
48,0.588781,0.732493
49,0.774947,0.883566
50,0.851039,0.906585
51,0.626691,0.76603
52,0.6064,0.742878
53,0.788867,0.888775
54,0.854663,0.908717
55,0.62157,0.763278
56,0.615475,0.746931
57,0.791927,0.889849
58,0.852296,0.907727
59,0.635397,0.771057
60,0.62312,0.752617
61,0.795803,0.891732
62,0.852299,0.907339
63,0.635643,0.768017
64,0.621605,0.745999
65,0.797414,0.891404
66,0.850414,0.906979
67,0.652043,0.780893
68,0.657849,0.789574
69,0.818438,0.908821
70,0.855149,0.916678
71,0.678765,0.818756
72,0.664689,0.80048
73,0.810953,0.906552
74,0.859014,0.91648
75,0.673321,0.807253
76,0.654248,0.784801
77,0.838757,0.901701
78,0.879889,0.922226
79,0.84487,0.898932
80,0.807428,0.87036
81,0.825244,0.890384
82,0.877852,0.920846
83,0.839809,0.898342
84,0.799316,0.864548
85,0.827003,0.892172
86,0.878071,0.921201
87,0.8347,0.896107
88,0.803508,0.868768
89,0.824673,0.889836
90,0.87704,0.920751
91,0.835169,0.897882
92,0.798636,0.864433
93,0.826784,0.891515
94,0.877187,0.921164
95,0.836457,0.897066
96,0.802839,0.868455
97,0.825318,0.890712
98,0.877581,0.921423
99,0.835758,0.898131
100,0.800622,0.86602
101,0.830361,0.89341
102,0.877895,0.92198
103,0.837571,0.897272
104,0.805541,0.869297
105,0.82867,0.892355
106,0.876844,0.921425
107,0.838506,0.898865
108,0.8055,0.867922
109,0.831468,0.894104
110,0.878444,0.922145
111,0.841677,0.89906
112,0.809374,0.871134
113,0.829871,0.893283
114,0.87765,0.922028
115,0.841781,0.899686
116,0.807682,0.869993
117,0.83208,0.8947
118,0.877585,0.922373
119,0.842628,0.89955
120,0.809004,0.871802
121,0.832938,0.89516
122,0.878437,0.92274
123,0.840166,0.900048
124,0.808795,0.871492
125,0.83611,0.896838
126,0.881406,0.923847
127,0.844312,0.90078
128,0.811208,0.873344
129,0.836804,0.897682
130,0.881983,0.924304
131,0.838708,0.900755
132,0.814401,0.874492
133,0.839381,0.898401
134,0.881991,0.924372
135,0.84071,0.901266
136,0.814064,0.875071
137,0.839866,0.898802
138,0.880002,0.92397
139,0.841081,0.901608
140,0.81721,0.876442
141,0.841922,0.899595
142,0.8806,0.924171
143,0.844227,0.901809
144,0.816096,0.877101
145,0.842148,0.900302
146,0.879704,0.923761
147,0.843283,0.901879
148,0.820185,0.878188
149,0.842332,0.900312
150,0.880059,0.92417
151,0.843582,0.902382
152,0.820393,0.878962
153,0.843559,0.901432
154,0.880252,0.924177
155,0.8459,0.90335
156,0.820687,0.879411
157,0.844854,0.901775
158,0.883648,0.925616
159,0.848916,0.904042
160,0.820222,0.87934
161,0.845902,0.902802
162,0.88355,0.925534
163,0.845752,0.903657
164,0.82379,0.881125
165,0.846065,0.902597
166,0.8836,0.925573
167,0.84711,0.904152
168,0.821946,0.880533
169,0.847336,0.903682
170,0.882005,0.925089
171,0.849356,0.904481
172,0.826201,0.882589
173,0.845935,0.902681
174,0.883082,0.925438
175,0.853204,0.905411
176,0.82438,0.881375
177,0.8481,0.903895
178,0.882168,0.925041
179,0.848152,0.904617
180,0.828173,0.883753
181,0.847113,0.903221
182,0.881289,0.925037
183,0.848763,0.905004
184,0.822655,0.881739
185,0.849025,0.904677
186,0.880508,0.924905
187,0.848997,0.904815
188,0.827769,0.884228
189,0.846631,0.903438
190,0.883789,0.926113
191,0.853549,0.906163
192,0.824579,0.88239
193,0.850282,0.905434
194,0.884489,0.926307
195,0.849412,0.905485
196,0.829797,0.885002
197,0.848944,0.904437
198,0.884198,0.926291
199,0.85121,0.905952
200,0.824961,0.882803
201,0.851673,0.905894
202,0.883386,0.925835
203,0.851694,0.906055
204,0.832445,0.886455
205,0.849391,0.904852
206,0.884058,0.926121
207,0.851979,0.906494
208,0.826432,0.88403
209,0.851293,0.906266
210,0.883877,0.926315
211,0.847826,0.90553
212,0.830365,0.886555
213,0.849321,0.904989
214,0.88277,0.926052
215,0.855255,0.907413
216,0.825835,0.884324
