Frame, eSSIM, SSIM
0,0.435585,0.569292
1,0.637029,0.809255
2,0.820623,0.888752
3,0.529818,0.680935
4,0.456236,0.589694
5,0.654158,0.819517
6,0.819563,0.889009
7,0.550121,0.71611
8,0.488387,0.640715
9,0.704846,0.861459
10,0.839451,0.906635
11,0.563385,0.729666
12,0.500095,0.656605
13,0.698867,0.869662
14,0.832132,0.903465
15,0.55804,0.728906
16,0.509683,0.672736
17,0.64379,0.824817
18,0.839949,0.904148
19,0.547998,0.710762
20,0.4801,0.629294
21,0.674928,0.836284
22,0.817375,0.892946
23,0.553421,0.717563
24,0.488383,0.641703
25,0.729912,0.864421
26,0.837465,0.906084
27,0.569558,0.728189
28,0.524917,0.669195
29,0.744003,0.867445
30,0.83954,0.902667
31,0.557731,0.714291
32,0.533905,0.680736
33,0.760768,0.877721
34,0.834818,0.899289
35,0.562529,0.721339
36,0.538986,0.692279
37,0.763691,0.882196
38,0.835847,0.900556
39,0.562506,0.721758
40,0.541852,0.693186
41,0.77085,0.881784
42,0.835723,0.899789
43,0.559819,0.717931
44,0.538383,0.690016
45,0.768319,0.878581
46,0.836513,0.902048
47,0.556891,0.716376
48,0.482038,0.64042
49,0.751554,0.874911
50,0.835297,0.902427
51,0.545229,0.71084
52,0.530872,0.684435
53,0.769273,0.8826
54,0.837687,0.903596
55,0.550803,0.713904
56,0.531516,0.684803
57,0.768182,0.880546
58,0.833415,0.90168
59,0.561176,0.721859
60,0.546091,0.698353
61,0.777582,0.886606
62,0.834302,0.901518
63,0.550891,0.710825
64,0.53779,0.69139
65,0.774608,0.88316
66,0.829826,0.899311
67,0.561576,0.724835
68,0.553297,0.719369
69,0.777573,0.894521
70,0.83956,0.912034
71,0.580956,0.760123
72,0.498846,0.679128
73,0.759944,0.885231
74,0.842344,0.910689
75,0.56447,0.740955
76,0.539714,0.700035
77,0.462735,0.692488
78,0.707078,0.84286
79,0.644682,0.787192
80,0.50712,0.653834
81,0.550292,0.719362
82,0.716163,0.845362
83,0.665051,0.798864
84,0.530932,0.674252
85,0.569264,0.732137
