Frame, eSSIM, SSIM
0,0.435961,0.568262
1,0.543641,0.763534
2,0.81302,0.881281
3,0.474316,0.640086
4,0.358853,0.501456
5,0.556054,0.766443
6,0.811218,0.881845
7,0.496116,0.681543
8,0.392001,0.560556
9,0.617514,0.818783
10,0.833324,0.899478
11,0.507625,0.694125
12,0.387966,0.547779
13,0.574531,0.786812
14,0.812959,0.888215
15,0.473534,0.670838
16,0.443022,0.618041
17,0.544312,0.77392
18,0.827517,0.894322
19,0.469335,0.656523
20,0.383888,0.54586
21,0.640736,0.81475
22,0.811418,0.88644
23,0.481615,0.668884
24,0.440524,0.598205
25,0.656649,0.830476
26,0.829189,0.898036
27,0.510443,0.688116
28,0.457313,0.610085
29,0.68794,0.838248
30,0.840474,0.898118
31,0.495799,0.670969
32,0.464105,0.616406
33,0.704185,0.850145
34,0.835399,0.895557
35,0.499532,0.679268
36,0.47215,0.632135
37,0.70746,0.854431
38,0.837956,0.897684
39,0.496549,0.676735
40,0.477399,0.637807
41,0.719918,0.855549
42,0.839559,0.897502
43,0.50202,0.677849
44,0.476024,0.63258
45,0.729522,0.85948
46,0.84216,0.899338
47,0.512029,0.686363
48,0.488746,0.646436
49,0.715786,0.855619
50,0.842126,0.900051
51,0.512606,0.69106
52,0.492512,0.650117
53,0.733636,0.863389
54,0.846745,0.90357
55,0.512603,0.689242
56,0.490041,0.647876
57,0.731391,0.86155
58,0.845252,0.902766
59,0.523329,0.698012
60,0.499054,0.653969
61,0.733027,0.863889
62,0.843582,0.902074
63,0.514694,0.688173
64,0.489771,0.639894
65,0.735651,0.863212
66,0.842124,0.901725
67,0.525326,0.699423
68,0.520448,0.68934
69,0.749692,0.880663
70,0.847457,0.911211
71,0.557544,0.750043
72,0.528716,0.702657
73,0.744179,0.877828
74,0.85035,0.910255
75,0.546102,0.732369
76,0.51828,0.685187
77,0.717922,0.8382
78,0.846177,0.901934
79,0.755725,0.850492
80,0.669573,0.770781
81,0.708796,0.822562
82,0.845895,0.901518
83,0.749503,0.84907
84,0.664704,0.767236
85,0.708258,0.822308
86,0.844746,0.901401
87,0.745104,0.847507
88,0.663569,0.767535
89,0.707136,0.821463
90,0.844484,0.901229
91,0.743323,0.848116
92,0.663551,0.767394
93,0.706902,0.821596
94,0.844485,0.901406
95,0.745633,0.848298
96,0.663768,0.767785
97,0.707925,0.821931
98,0.844371,0.901447
99,0.745175,0.848808
100,0.665661,0.768128
101,0.709938,0.823405
102,0.844651,0.901942
103,0.747074,0.848296
104,0.668049,0.770264
105,0.710431,0.823603
106,0.845659,0.902075
107,0.747907,0.849884
108,0.668503,0.769696
109,0.712268,0.824824
110,0.847291,0.902774
111,0.753916,0.85114
112,0.67115,0.772101
113,0.712058,0.824622
114,0.846549,0.902724
115,0.754197,0.852318
116,0.671828,0.77263
117,0.713527,0.826272
118,0.849694,0.904408
119,0.753952,0.852215
120,0.672945,0.773926
121,0.715542,0.827381
122,0.849529,0.904414
123,0.75503,0.852919
124,0.674751,0.774096
125,0.718385,0.828726
126,0.852868,0.905727
127,0.757781,0.853862
128,0.67771,0.776927
129,0.720066,0.830026
130,0.853352,0.906001
131,0.75697,0.854329
132,0.679591,0.777546
133,0.720824,0.830503
134,0.852925,0.905869
135,0.759537,0.854713
136,0.679581,0.7782
137,0.720865,0.830626
138,0.851339,0.905497
