Frame, eSSIM, SSIM
0,0.777019,0.898017
1,0.796437,0.902461
2,0.813563,0.89278
3,0.76922,0.878291
4,0.750198,0.887272
5,0.78754,0.896746
6,0.810519,0.889896
7,0.795335,0.890135
8,0.772424,0.89471
9,0.788212,0.897202
10,0.811898,0.891087
11,0.795319,0.888029
12,0.782962,0.897926
13,0.798201,0.901412
14,0.817203,0.890653
15,0.808339,0.89218
16,0.794794,0.900958
17,0.801995,0.900805
18,0.818548,0.891259
19,0.799993,0.885162
20,0.785974,0.895944
21,0.802993,0.900538
22,0.821355,0.891482
23,0.804067,0.886556
24,0.785661,0.897268
25,0.804208,0.903988
26,0.823441,0.894143
27,0.800162,0.887428
28,0.788801,0.899181
29,0.808661,0.907323
30,0.823818,0.894639
31,0.799937,0.887043
32,0.796456,0.903456
33,0.809764,0.907949
34,0.825308,0.896425
35,0.810266,0.891579
36,0.799987,0.903723
37,0.814753,0.909646
38,0.825757,0.896043
39,0.811073,0.891267
40,0.796189,0.90215
41,0.811122,0.909088
42,0.829452,0.896917
43,0.811445,0.891306
44,0.801289,0.904415
45,0.816815,0.910496
46,0.829034,0.897175
47,0.81344,0.893239
48,0.804808,0.906653
49,0.819992,0.91078
50,0.82979,0.896464
51,0.817444,0.895325
52,0.806564,0.907438
53,0.822809,0.911732
54,0.830894,0.896896
55,0.812529,0.891527
56,0.809226,0.908236
57,0.822269,0.912704
58,0.834736,0.898754
59,0.822387,0.898821
60,0.810904,0.909996
61,0.823104,0.912883
62,0.84057,0.904283
63,0.827275,0.900545
64,0.805464,0.906623
65,0.824647,0.914715
66,0.841834,0.904168
67,0.824145,0.898622
68,0.810981,0.909549
69,0.821061,0.914067
70,0.840011,0.904295
71,0.821445,0.898184
72,0.803012,0.908415
73,0.820293,0.915194
74,0.839501,0.905196
75,0.813329,0.897674
76,0.798594,0.906182
77,0.824339,0.91556
78,0.840437,0.903993
79,0.806001,0.894223
80,0.792807,0.904262
81,0.820169,0.912488
82,0.838498,0.90302
83,0.811542,0.895291
84,0.796717,0.905744
85,0.822188,0.913714
86,0.839458,0.902117
87,0.803762,0.891752
88,0.794221,0.905044
89,0.825122,0.915516
90,0.843429,0.904854
91,0.80863,0.895076
92,0.797872,0.90604
93,0.822709,0.91443
94,0.847005,0.906681
95,0.812618,0.898476
96,0.800962,0.907434
97,0.825697,0.916075
98,0.844019,0.904618
99,0.809213,0.891937
100,0.79381,0.902573
101,0.819434,0.912682
102,0.841522,0.90392
103,0.812706,0.895123
104,0.795264,0.906693
105,0.824105,0.917158
106,0.844275,0.906565
107,0.806024,0.894599
108,0.793821,0.905096
109,0.823608,0.914546
110,0.841935,0.903279
111,0.805712,0.892344
112,0.794253,0.904776
113,0.829508,0.91563
114,0.843157,0.904241
115,0.805866,0.895985
116,0.794906,0.906581
117,0.822408,0.9149
118,0.840185,0.904068
119,0.807602,0.895811
120,0.79364,0.905115
121,0.828135,0.916795
122,0.845636,0.905606
123,0.802733,0.895284
124,0.790295,0.904749
125,0.82732,0.915673
126,0.846357,0.907249
127,0.805691,0.896775
128,0.791871,0.905683
129,0.828412,0.917082
130,0.845433,0.906528
131,0.800521,0.894392
132,0.790482,0.904912
133,0.82809,0.917614
134,0.848526,0.90756
135,0.8024,0.893711
136,0.788589,0.904508
137,0.824967,0.918179
138,0.847084,0.908144
139,0.804334,0.895369
140,0.793446,0.906614
141,0.828944,0.918062
142,0.845126,0.905701
143,0.803604,0.894951
144,0.794013,0.905469
145,0.829146,0.918391
146,0.846408,0.906744
147,0.8007,0.894237
148,0.789809,0.906268
149,0.827941,0.917796
150,0.843035,0.905182
151,0.800301,0.894687
152,0.785983,0.904016
153,0.829447,0.917233
154,0.840258,0.903139
155,0.794753,0.891769
156,0.786952,0.905058
157,0.827168,0.91748
158,0.842712,0.904726
159,0.796454,0.893264
160,0.784166,0.904821
161,0.825483,0.916074
162,0.841142,0.904125
163,0.804689,0.897135
164,0.795328,0.907909
165,0.829343,0.917373
166,0.843441,0.90715
167,0.802476,0.897684
168,0.785306,0.903863
169,0.827968,0.916867
170,0.844394,0.906778
171,0.802894,0.899867
172,0.795636,0.910701
173,0.831649,0.918695
174,0.845939,0.910229
175,0.809208,0.903249
176,0.790523,0.909826
177,0.829793,0.919277
178,0.849486,0.910954
179,0.801453,0.902159
180,0.790787,0.910919
181,0.83262,0.919622
182,0.848722,0.909555
183,0.802951,0.901631
184,0.791212,0.910917
185,0.830744,0.919001
186,0.84424,0.90715
187,0.802465,0.898933
188,0.795406,0.910783
189,0.832817,0.917858
190,0.848043,0.906917
191,0.801396,0.896751
192,0.795899,0.908132
193,0.835964,0.919083
194,0.846952,0.906887
195,0.796968,0.897593
196,0.78888,0.907815
197,0.830935,0.918357
198,0.844538,0.905954
199,0.794342,0.894858
200,0.782377,0.903451
201,0.834507,0.917828
202,0.84406,0.905816
203,0.795568,0.894219
204,0.786923,0.905117
205,0.828048,0.915815
206,0.845425,0.905764
207,0.7975,0.893024
208,0.783596,0.902862
209,0.828662,0.917623
210,0.846828,0.906427
211,0.802718,0.89452
212,0.7924,0.905134
213,0.830505,0.916809
214,0.850318,0.907106
215,0.806613,0.897154
216,0.789774,0.905451
217,0.8349,0.917615
218,0.851376,0.908115
219,0.798252,0.896273
220,0.788698,0.906635
221,0.834104,0.917945
222,0.849162,0.907146
223,0.797686,0.895076
224,0.786701,0.90666
225,0.836746,0.919668
226,0.852728,0.90881
227,0.794682,0.893676
228,0.784553,0.904463
229,0.834495,0.918736
230,0.851217,0.909635
231,0.794782,0.896685
232,0.78444,0.907824
233,0.832341,0.918788
234,0.853129,0.910686
235,0.802723,0.901495
236,0.794647,0.911144
237,0.838316,0.920533
238,0.849687,0.90914
239,0.802406,0.900566
240,0.786746,0.907993
241,0.833545,0.918948
242,0.848098,0.908792
243,0.799323,0.899223
244,0.789858,0.908326
245,0.835776,0.918988
246,0.848806,0.909139
247,0.802789,0.898657
248,0.796367,0.908397
249,0.832372,0.918929
250,0.848465,0.9097
251,0.802908,0.898198
252,0.793614,0.907021
253,0.834678,0.919173
254,0.851463,0.910086
255,0.80284,0.899165
256,0.794681,0.90921
257,0.836631,0.919972
258,0.851662,0.910258
259,0.801628,0.898204
260,0.795011,0.909043
261,0.832279,0.920212
262,0.855954,0.91281
263,0.800805,0.898963
264,0.784633,0.907232
265,0.835968,0.921821
266,0.854479,0.912688
267,0.797449,0.900953
268,0.787418,0.908811
269,0.838242,0.921893
270,0.855584,0.913066
271,0.795573,0.899363
272,0.783877,0.904003
273,0.836789,0.921202
274,0.854845,0.911723
275,0.799115,0.896964
276,0.789354,0.905964
277,0.837239,0.921489
278,0.854228,0.912365
279,0.800924,0.900068
280,0.802822,0.913091
281,0.847992,0.925695
282,0.85637,0.914625
283,0.813915,0.900868
284,0.808461,0.912794
285,0.842634,0.92325
286,0.852534,0.910782
287,0.810501,0.898572
288,0.800299,0.907907
289,0.840879,0.922576
290,0.857139,0.911968
291,0.818427,0.900858
292,0.80943,0.912158
293,0.846602,0.924482
294,0.857379,0.913168
295,0.818012,0.903377
296,0.800969,0.910938
