Frame, eSSIM, SSIM
0,0.618981,0.795358
1,0.629123,0.796101
2,0.68722,0.802319
3,0.633287,0.783333
4,0.546379,0.761611
5,0.5666,0.767918
6,0.661671,0.787092
7,0.649836,0.793083
8,0.577658,0.778812
9,0.589141,0.775285
10,0.668353,0.793222
11,0.651976,0.792754
12,0.58321,0.781732
13,0.595821,0.777582
14,0.66298,0.787184
15,0.665102,0.800926
16,0.588314,0.780898
17,0.595645,0.77521
18,0.666079,0.7891
19,0.655643,0.789569
20,0.576646,0.772154
21,0.604154,0.780385
22,0.657494,0.784896
23,0.657754,0.792605
24,0.593974,0.783666
25,0.594891,0.778049
26,0.658116,0.786632
27,0.652629,0.793017
28,0.599797,0.78579
29,0.611187,0.785357
30,0.650308,0.782039
31,0.644492,0.786451
32,0.600439,0.787229
33,0.600311,0.780994
34,0.650607,0.783115
35,0.646386,0.787845
36,0.600869,0.785833
37,0.601855,0.78188
38,0.661157,0.78858
39,0.655458,0.791236
40,0.598675,0.783253
41,0.607046,0.783916
42,0.659506,0.786893
43,0.650597,0.788808
44,0.598758,0.783454
45,0.617404,0.789494
46,0.652826,0.784655
47,0.646854,0.788394
48,0.606006,0.788077
49,0.611274,0.786696
50,0.652535,0.784486
51,0.649764,0.788712
52,0.60072,0.785125
53,0.608706,0.784934
54,0.659593,0.785286
55,0.649671,0.784696
56,0.607714,0.787786
57,0.611111,0.786093
58,0.658473,0.784226
59,0.652827,0.790828
60,0.603492,0.78759
61,0.617797,0.789971
62,0.664583,0.790183
63,0.655128,0.792291
64,0.60535,0.789543
65,0.611745,0.788962
66,0.657794,0.785727
67,0.667724,0.797942
68,0.617533,0.79786
69,0.607784,0.789023
70,0.66808,0.793832
71,0.669879,0.798335
72,0.612846,0.792208
73,0.615761,0.79196
74,0.669946,0.793656
75,0.656358,0.794897
76,0.61015,0.791963
77,0.61364,0.788182
78,0.66585,0.793667
79,0.650961,0.792541
80,0.602391,0.788475
81,0.615042,0.789966
82,0.66555,0.794002
83,0.649196,0.788271
84,0.60031,0.785724
85,0.612166,0.78704
86,0.664396,0.790934
87,0.651642,0.790387
88,0.602535,0.791065
89,0.6104,0.791307
90,0.667789,0.795784
91,0.652758,0.796441
92,0.60633,0.792089
93,0.608648,0.790589
