Frame, eSSIM, SSIM
0,0.675262,0.833961
1,0.689388,0.837079
2,0.720449,0.832447
3,0.685615,0.82063
4,0.649732,0.824276
5,0.68219,0.833482
6,0.72303,0.833976
7,0.709116,0.835799
8,0.671858,0.83886
9,0.682288,0.836638
10,0.724494,0.83688
11,0.714273,0.838552
12,0.683693,0.842592
13,0.694648,0.841351
14,0.72741,0.83387
15,0.720515,0.842402
16,0.68956,0.845733
17,0.696829,0.841159
18,0.732256,0.838276
19,0.716791,0.836942
20,0.678557,0.839783
21,0.698651,0.841377
22,0.727404,0.834957
23,0.716793,0.836948
24,0.693414,0.846076
25,0.707073,0.848472
26,0.737964,0.841535
27,0.715752,0.835962
28,0.694318,0.845519
29,0.707209,0.849708
30,0.734583,0.839054
31,0.71451,0.833064
32,0.699436,0.847632
33,0.708858,0.850435
34,0.738833,0.841645
35,0.726662,0.838295
36,0.701673,0.847374
37,0.713197,0.852965
38,0.744891,0.844847
39,0.72835,0.838332
40,0.701715,0.847636
41,0.714778,0.853812
42,0.747425,0.845173
43,0.726282,0.839782
44,0.698022,0.846783
45,0.722665,0.857192
46,0.746255,0.847448
47,0.724989,0.840687
48,0.706588,0.850725
49,0.722989,0.858774
50,0.750706,0.848994
51,0.730016,0.842174
52,0.706391,0.851006
53,0.725878,0.859589
54,0.749067,0.847468
55,0.726664,0.84014
56,0.706943,0.852852
57,0.718981,0.857197
58,0.74947,0.848544
59,0.736034,0.849133
60,0.710614,0.854406
61,0.732594,0.863041
62,0.759541,0.857061
63,0.745737,0.853884
64,0.715773,0.856888
65,0.732687,0.865674
66,0.764372,0.858895
67,0.741696,0.850826
68,0.708936,0.856221
69,0.729109,0.863831
70,0.761484,0.85757
71,0.740311,0.849629
72,0.712401,0.856517
73,0.731349,0.864998
74,0.765228,0.85977
75,0.738579,0.852379
76,0.705928,0.853193
77,0.733217,0.864583
78,0.767813,0.859797
79,0.735102,0.84854
80,0.705265,0.851561
81,0.730576,0.862002
82,0.763513,0.856649
83,0.734116,0.845443
84,0.704046,0.848595
85,0.732428,0.863744
86,0.764564,0.856254
87,0.731495,0.845148
88,0.70685,0.854433
89,0.730599,0.86558
90,0.767338,0.859589
91,0.730049,0.847918
92,0.699529,0.850756
93,0.728958,0.864043
94,0.774296,0.86356
95,0.737383,0.852516
96,0.70285,0.852645
97,0.731119,0.864672
98,0.771194,0.859534
99,0.732429,0.84531
100,0.697519,0.848446
101,0.72621,0.863025
102,0.766373,0.858072
103,0.733188,0.846546
104,0.705478,0.855629
105,0.736842,0.868933
106,0.775133,0.863216
107,0.734637,0.850239
108,0.699233,0.852691
109,0.731976,0.865852
110,0.777071,0.863713
111,0.73328,0.848735
112,0.698985,0.850636
113,0.735869,0.866672
114,0.77448,0.861899
115,0.738257,0.854532
116,0.706493,0.857066
117,0.735412,0.867664
118,0.778323,0.866535
119,0.738126,0.85383
120,0.705792,0.854155
121,0.743615,0.870655
122,0.777357,0.86497
123,0.735668,0.854556
124,0.700082,0.85468
125,0.745639,0.872441
126,0.784344,0.869748
127,0.740077,0.8554
128,0.70755,0.856403
129,0.740487,0.870656
130,0.779107,0.867166
131,0.732466,0.851251
132,0.703035,0.853896
133,0.741524,0.870496
134,0.777128,0.865764
135,0.734892,0.850297
136,0.702733,0.854338
137,0.737997,0.869717
138,0.773039,0.864533
139,0.731741,0.851982
140,0.699588,0.854057
141,0.743358,0.872255
142,0.777579,0.865209
143,0.726749,0.84728
144,0.700091,0.853114
145,0.740944,0.87231
146,0.78025,0.868423
147,0.727897,0.851224
148,0.705641,0.857695
149,0.743849,0.872484
150,0.7836,0.869202
151,0.725874,0.849806
152,0.694874,0.852383
153,0.741282,0.872876
154,0.781726,0.86687
155,0.722553,0.850095
156,0.69176,0.852499
157,0.740544,0.872512
158,0.783553,0.869429
159,0.725845,0.851247
160,0.70347,0.856625
161,0.745514,0.872507
162,0.779333,0.866945
163,0.730054,0.852087
164,0.70156,0.854316
165,0.743113,0.871607
166,0.781733,0.869866
