Frame, eSSIM, SSIM
0,0.597158,0.765324
1,0.69733,0.864916
2,0.873094,0.952912
3,0.728719,0.884162
4,0.654702,0.802922
5,0.72038,0.876078
6,0.874067,0.953354
7,0.74761,0.892979
8,0.674108,0.81759
9,0.72994,0.881596
10,0.87375,0.953561
11,0.75707,0.897303
12,0.68097,0.824939
13,0.733731,0.883973
14,0.87402,0.953712
15,0.76275,0.90039
16,0.688768,0.830207
17,0.738087,0.886226
18,0.873041,0.953578
19,0.763468,0.900999
20,0.685408,0.830647
21,0.722978,0.875638
22,0.87256,0.953628
23,0.752608,0.894929
24,0.533102,0.72564
25,0.680294,0.854214
26,0.868972,0.952139
27,0.721012,0.880891
28,0.635237,0.789424
29,0.704404,0.86661
30,0.869242,0.951884
31,0.73795,0.889085
32,0.659394,0.807131
33,0.715331,0.872401
34,0.869517,0.952003
35,0.747164,0.893463
36,0.669071,0.815051
37,0.72445,0.876941
38,0.86883,0.951767
39,0.751696,0.895838
40,0.670684,0.817939
41,0.7283,0.878854
42,0.869151,0.951735
43,0.752806,0.89642
44,0.676074,0.821636
45,0.709657,0.867685
46,0.870563,0.95182
47,0.740721,0.889675
48,0.533728,0.725678
49,0.678803,0.853633
50,0.870945,0.952285
51,0.721454,0.880677
52,0.634207,0.788617
53,0.701883,0.865514
54,0.870415,0.95213
55,0.738787,0.889471
56,0.658276,0.806118
57,0.714315,0.872081
58,0.87066,0.951971
59,0.750258,0.893762
60,0.669234,0.814303
61,0.719899,0.875347
62,0.87052,0.951746
63,0.756131,0.896235
64,0.674888,0.819413
65,0.721725,0.876816
66,0.871579,0.951949
67,0.755763,0.897264
68,0.645445,0.81018
69,0.69986,0.865366
70,0.872453,0.952619
71,0.741069,0.890023
72,0.535056,0.72695
73,0.676621,0.852927
74,0.871195,0.952752
75,0.722423,0.88266
76,0.632618,0.7878
77,0.701852,0.865635
78,0.873511,0.954264
79,0.745304,0.893359
80,0.662558,0.809371
81,0.718029,0.874821
82,0.876021,0.954914
83,0.758541,0.898977
84,0.676346,0.820234
85,0.725647,0.879173
86,0.878172,0.955638
87,0.764368,0.902422
88,0.683266,0.82539
89,0.728011,0.880701
90,0.878977,0.956017
91,0.769277,0.904608
92,0.680825,0.827099
93,0.705786,0.86689
94,0.880915,0.956971
95,0.751485,0.89741
96,0.524649,0.720842
97,0.671082,0.849588
98,0.873368,0.954031
99,0.727191,0.886774
100,0.628529,0.786498
101,0.695781,0.86278
102,0.873767,0.954325
103,0.748167,0.896092
104,0.656567,0.806781
105,0.710395,0.87058
106,0.874261,0.954563
107,0.75762,0.900476
108,0.667483,0.816286
109,0.713811,0.873494
110,0.876,0.955125
111,0.762882,0.903128
112,0.647056,0.812163
113,0.713325,0.875005
114,0.87651,0.955417
115,0.761263,0.903962
116,0.645282,0.813961
117,0.700059,0.866153
118,0.875334,0.954988
119,0.75214,0.898944
120,0.528146,0.72391
121,0.669524,0.848671
122,0.873544,0.95408
123,0.729978,0.887688
124,0.630199,0.78841
125,0.694949,0.86209
126,0.872733,0.953561
127,0.745952,0.894976
128,0.655586,0.806333
129,0.705428,0.867947
130,0.87307,0.953962
131,0.755852,0.899726
132,0.668041,0.816185
133,0.716166,0.873643
134,0.874205,0.954396
135,0.761879,0.90264
136,0.674787,0.821948
137,0.719267,0.876223
138,0.875463,0.955213
139,0.768352,0.905188
140,0.664861,0.821862
141,0.702632,0.866885
142,0.876536,0.955684
143,0.7571,0.899666
144,0.527077,0.72311
145,0.672529,0.850842
146,0.875521,0.954875
147,0.727202,0.886684
148,0.627321,0.786105
149,0.694188,0.862849
150,0.87849,0.955193
151,0.745013,0.894851
152,0.652171,0.804871
153,0.708295,0.870503
154,0.880271,0.955797
155,0.75402,0.899672
156,0.665807,0.815316
157,0.712423,0.873425
158,0.881432,0.955843
159,0.759347,0.902346
160,0.651113,0.813657
161,0.712105,0.875636
162,0.881143,0.956099
163,0.761107,0.903925
164,0.669467,0.822372
165,0.703081,0.868775
166,0.880665,0.956761
167,0.75134,0.898632
168,0.531612,0.727881
169,0.679793,0.8549
170,0.879265,0.956183
171,0.727094,0.888767
172,0.628792,0.788621
173,0.698454,0.864811
174,0.880719,0.956754
175,0.746012,0.897981
176,0.655005,0.807657
177,0.710336,0.871796
178,0.882707,0.957425
179,0.757897,0.90315
180,0.666334,0.817152
181,0.715481,0.875054
182,0.88293,0.957901
183,0.763781,0.906451
184,0.662488,0.818716
185,0.712422,0.875167
186,0.8817,0.95813
187,0.768054,0.908282
188,0.629284,0.807914
189,0.694571,0.86687
190,0.883069,0.958782
191,0.754036,0.903736
192,0.536956,0.736296
193,0.667684,0.851894
194,0.877115,0.957631
195,0.742116,0.897501
196,0.636868,0.795788
197,0.697185,0.863814
198,0.879171,0.958292
199,0.765225,0.906753
200,0.663213,0.812035
201,0.709092,0.870262
202,0.882917,0.959543
203,0.773173,0.910217
204,0.673964,0.822248
205,0.717352,0.876271
206,0.884276,0.95945
207,0.779401,0.913205
208,0.682379,0.828919
209,0.722396,0.879924
210,0.88614,0.959754
211,0.781649,0.913714
212,0.678978,0.831673
213,0.70575,0.871473
214,0.88966,0.95977
215,0.764863,0.907624
216,0.546846,0.748117
217,0.684908,0.860467
218,0.88571,0.958028
219,0.752138,0.902366
220,0.643176,0.802394
221,0.704439,0.868175
222,0.887952,0.958336
223,0.770011,0.908757
224,0.669012,0.818896
225,0.720267,0.876328
226,0.891883,0.959639
227,0.777318,0.912867
228,0.685202,0.829599
229,0.734022,0.882123
230,0.892613,0.96015
231,0.790281,0.917209
232,0.703139,0.841115
233,0.745522,0.889087
234,0.891113,0.960827
235,0.798885,0.921274
236,0.715927,0.852516
237,0.725284,0.879445
238,0.900679,0.96206
239,0.784202,0.916667
240,0.570006,0.765271
241,0.707896,0.868131
242,0.893414,0.960126
243,0.776247,0.912418
244,0.67123,0.822095
245,0.733413,0.882643
246,0.898703,0.962252
247,0.801758,0.921975
248,0.70957,0.844996
249,0.754669,0.893403
250,0.90208,0.963848
251,0.8272,0.930818
252,0.734931,0.860712
253,0.772105,0.900555
254,0.902813,0.964809
255,0.842654,0.936707
256,0.753071,0.872782
257,0.786435,0.907271
258,0.905419,0.965845
259,0.856436,0.941197
260,0.768788,0.885337
261,0.796589,0.909806
262,0.913716,0.965794
263,0.845934,0.939822
264,0.641973,0.81924
265,0.757212,0.892454
266,0.926175,0.967477
267,0.833923,0.936908
268,0.740608,0.866191
269,0.787513,0.907186
270,0.931338,0.96858
271,0.852513,0.943219
272,0.770284,0.883433
273,0.80859,0.917073
274,0.929036,0.968892
275,0.871059,0.947822
276,0.790711,0.897218
277,0.82366,0.925724
278,0.932283,0.969225
279,0.87979,0.950352
280,0.803343,0.907212
281,0.840221,0.932791
282,0.927881,0.969599
283,0.883273,0.951955
284,0.809425,0.913086
285,0.83852,0.933647
286,0.92545,0.969961
287,0.879523,0.950288
288,0.715242,0.873479
289,0.80955,0.924309
290,0.932365,0.970509
291,0.873058,0.948783
292,0.795557,0.905325
293,0.841755,0.938252
294,0.939693,0.971121
295,0.882054,0.949814
296,0.808029,0.914781
297,0.846492,0.944721
298,0.929487,0.970463
299,0.882588,0.949696
300,0.796328,0.915193
301,0.84615,0.945572
302,0.92733,0.970176
303,0.882244,0.950059
304,0.79908,0.918931
305,0.848731,0.947225
306,0.926006,0.970267
307,0.887189,0.951076
308,0.808441,0.924173
309,0.856505,0.950443
310,0.93648,0.971457
311,0.879736,0.95065
312,0.759431,0.908466
313,0.847011,0.948038
314,0.937922,0.971654
315,0.879489,0.949168
316,0.812941,0.921863
317,0.857684,0.950154
318,0.939647,0.97136
319,0.887984,0.950403
320,0.814724,0.923574
321,0.857646,0.949519
322,0.937622,0.970165
323,0.889937,0.950382
324,0.817134,0.92249
325,0.857211,0.948446
326,0.933802,0.968627
327,0.876824,0.944745
328,0.784616,0.912837
329,0.859409,0.947372
330,0.929983,0.966395
