Frame, eSSIM, SSIM
0,0.646719,0.79221
1,0.689422,0.858162
2,0.889179,0.953196
3,0.750239,0.888133
4,0.646653,0.792041
5,0.687288,0.85694
6,0.889505,0.95349
7,0.762576,0.894763
8,0.703643,0.834112
9,0.767667,0.899643
10,0.895641,0.955794
11,0.756108,0.891243
12,0.806081,0.88434
13,0.835305,0.920371
14,0.909571,0.958853
15,0.846479,0.92332
16,0.807766,0.885792
17,0.838883,0.920724
18,0.908832,0.958654
19,0.84695,0.923808
20,0.809496,0.886157
21,0.838404,0.920506
22,0.909471,0.958824
23,0.852574,0.92739
24,0.839545,0.909137
25,0.884736,0.943688
26,0.914014,0.961062
27,0.853568,0.927764
28,0.843823,0.910855
29,0.887665,0.944659
30,0.916025,0.96138
31,0.858678,0.929221
32,0.844313,0.911204
33,0.910105,0.951604
34,0.920632,0.963165
35,0.88125,0.937474
36,0.876003,0.925561
37,0.912126,0.953368
38,0.920676,0.963299
39,0.901282,0.943199
40,0.89447,0.932199
41,0.911636,0.952576
42,0.923033,0.963664
43,0.902174,0.943702
44,0.906288,0.937752
45,0.916835,0.954718
46,0.93152,0.965122
47,0.916759,0.948445
48,0.908632,0.939562
49,0.920592,0.956302
50,0.934344,0.965727
51,0.921137,0.950391
52,0.911589,0.940563
53,0.922289,0.956964
54,0.935301,0.965876
55,0.925862,0.952164
56,0.917522,0.944279
57,0.927894,0.959057
58,0.938871,0.966474
59,0.925472,0.952072
60,0.92116,0.946057
61,0.930987,0.960615
62,0.940345,0.966682
63,0.92791,0.952799
64,0.924027,0.948096
65,0.934993,0.962692
66,0.941356,0.967581
67,0.928425,0.953649
68,0.925438,0.949616
69,0.936276,0.963428
70,0.942761,0.968016
71,0.93174,0.954996
72,0.927917,0.950349
73,0.937163,0.963976
74,0.9427,0.967938
75,0.933914,0.955924
76,0.929997,0.951527
77,0.938684,0.964595
78,0.944074,0.968881
79,0.935529,0.956941
80,0.935092,0.954439
81,0.943459,0.966489
82,0.945525,0.969372
83,0.937048,0.957362
84,0.936681,0.955948
85,0.943489,0.966525
86,0.945912,0.969553
87,0.937185,0.957283
88,0.933945,0.95356
89,0.942403,0.965985
90,0.947441,0.969574
91,0.939676,0.958486
92,0.936777,0.955008
93,0.943548,0.966564
94,0.946468,0.969776
95,0.941483,0.959316
96,0.938954,0.95601
97,0.944592,0.967156
98,0.949758,0.970251
99,0.941687,0.959355
100,0.940635,0.957681
101,0.945389,0.966848
102,0.948677,0.970246
103,0.943124,0.959963
104,0.939611,0.95616
105,0.945214,0.967298
106,0.949377,0.97023
107,0.942512,0.959761
108,0.939751,0.956738
109,0.946376,0.967815
110,0.950234,0.970812
111,0.942902,0.959969
112,0.940801,0.957427
113,0.946315,0.968022
114,0.950059,0.97086
