Frame, eSSIM, SSIM
0,0.51272,0.599412
1,0.606719,0.760483
2,0.868915,0.921198
3,0.603317,0.755461
4,0.504741,0.592562
5,0.608884,0.760638
6,0.86667,0.921413
7,0.600222,0.753753
8,0.502627,0.591847
9,0.607437,0.760062
10,0.865478,0.920628
11,0.602677,0.754683
12,0.502111,0.590421
13,0.610258,0.761369
14,0.866623,0.920934
15,0.597823,0.752582
16,0.497063,0.587827
17,0.606612,0.759481
18,0.867035,0.920814
19,0.599522,0.752942
20,0.511165,0.601154
21,0.612399,0.763188
22,0.866063,0.920303
23,0.610799,0.762232
24,0.52221,0.609863
25,0.629415,0.775198
26,0.875858,0.926355
27,0.62553,0.774433
28,0.537553,0.626158
29,0.63508,0.781056
30,0.884733,0.931652
31,0.639403,0.785377
32,0.553009,0.641208
33,0.648674,0.791872
34,0.893105,0.936857
35,0.64976,0.793158
36,0.57039,0.657201
37,0.663177,0.802683
38,0.900502,0.941245
39,0.661138,0.80159
40,0.581856,0.666339
41,0.677293,0.812689
42,0.907451,0.945071
43,0.675204,0.811225
44,0.596733,0.680241
45,0.690341,0.821204
46,0.914692,0.948894
47,0.683762,0.818602
48,0.610696,0.692158
49,0.698676,0.826422
50,0.919498,0.951988
51,0.700405,0.827971
52,0.631194,0.707056
53,0.715361,0.835972
54,0.92491,0.955225
55,0.714742,0.835632
56,0.649402,0.721542
57,0.726777,0.841453
58,0.927943,0.957849
59,0.727101,0.843609
60,0.66191,0.730632
61,0.731627,0.845247
62,0.928076,0.959482
63,0.738376,0.849418
64,0.67586,0.73975
65,0.745624,0.850597
66,0.927618,0.960749
67,0.752001,0.856597
68,0.68801,0.746471
69,0.752451,0.85358
70,0.927813,0.962705
71,0.76443,0.861569
72,0.700824,0.75449
73,0.759649,0.855749
74,0.925852,0.962937
75,0.772552,0.866089
76,0.707343,0.756478
77,0.762487,0.857034
78,0.927178,0.964066
79,0.776804,0.870215
80,0.706523,0.75553
81,0.759897,0.856404
82,0.924048,0.964465
83,0.78719,0.876581
84,0.704337,0.756335
85,0.765175,0.862015
86,0.92352,0.965315
87,0.803322,0.88821
88,0.736271,0.799777
89,0.758221,0.862208
90,0.918073,0.963753
91,0.8196,0.899741
92,0.771807,0.837173
93,0.810481,0.905634
94,0.91582,0.965292
95,0.828952,0.911351
96,0.792637,0.874134
97,0.823605,0.921866
98,0.915583,0.965057
99,0.85131,0.931243
100,0.794203,0.890879
101,0.83,0.92835
102,0.91186,0.963783
103,0.865906,0.937821
104,0.814447,0.903168
105,0.845481,0.934202
106,0.919181,0.966187
107,0.877306,0.942252
108,0.832697,0.911141
109,0.85582,0.938196
110,0.922393,0.96722
111,0.886713,0.945505
112,0.843175,0.915791
113,0.863832,0.940033
114,0.924139,0.967544
115,0.890006,0.946584
116,0.851052,0.919652
117,0.86672,0.941661
118,0.924581,0.968253
119,0.890551,0.946677
120,0.856333,0.921844
121,0.872739,0.943409
122,0.925846,0.968912
123,0.891328,0.9484
124,0.860844,0.923324
125,0.876863,0.944726
126,0.927699,0.969522
127,0.897779,0.949599
128,0.864143,0.924687
129,0.879621,0.945455
130,0.928477,0.969465
131,0.903993,0.951106
132,0.870493,0.927464
133,0.881854,0.94646
134,0.931107,0.970074
135,0.905565,0.951568
136,0.873524,0.928449
137,0.885911,0.947751
138,0.932485,0.970413
139,0.907824,0.952343
140,0.876309,0.92981
141,0.876054,0.946377
142,0.934356,0.970757
143,0.90914,0.953902
144,0.858788,0.928512
145,0.882543,0.948147
146,0.935744,0.970854
147,0.911943,0.954425
148,0.864415,0.929762
149,0.885422,0.948916
150,0.936861,0.971053
151,0.912621,0.954783
152,0.872837,0.930594
153,0.887964,0.948888
154,0.935827,0.971124
155,0.91111,0.954626
156,0.875597,0.931514
157,0.888825,0.949379
158,0.935275,0.971325
159,0.914548,0.955325
160,0.882631,0.934279
161,0.891247,0.950684
162,0.935788,0.971667
163,0.9155,0.955448
164,0.884348,0.934599
165,0.891622,0.950357
166,0.937989,0.972085
167,0.915462,0.956412
168,0.885067,0.935039
169,0.897259,0.952002
170,0.938295,0.97207
171,0.91617,0.956895
172,0.885778,0.936191
173,0.895051,0.951659
174,0.937638,0.972067
175,0.917382,0.957095
176,0.884137,0.935811
177,0.894604,0.952324
178,0.937767,0.972394
179,0.915248,0.95716
180,0.888994,0.937919
181,0.899432,0.953622
182,0.938365,0.972594
183,0.919229,0.958188
184,0.892711,0.939465
185,0.899807,0.953974
186,0.938814,0.972706
187,0.921261,0.958567
188,0.890738,0.939366
189,0.897821,0.953566
190,0.939216,0.972884
191,0.919524,0.95835
192,0.887881,0.937982
193,0.897105,0.953286
194,0.938286,0.97295
195,0.91605,0.957405
196,0.88274,0.936516
197,0.892183,0.95215
198,0.938133,0.972878
199,0.910329,0.956454
200,0.896537,0.938453
201,0.907102,0.960429
202,0.942669,0.97259
203,0.901175,0.944645
204,0.877377,0.928246
205,0.900888,0.959444
206,0.942368,0.97253
207,0.89528,0.942022
208,0.871291,0.929281
209,0.897799,0.95787
210,0.942749,0.972267
211,0.897205,0.942805
212,0.872695,0.926106
213,0.899013,0.957603
214,0.941592,0.972216
215,0.89469,0.941229
216,0.870592,0.926624
217,0.895728,0.956908
218,0.944275,0.972465
219,0.895924,0.942035
220,0.872054,0.924929
221,0.898809,0.957573
222,0.944878,0.972634
223,0.894487,0.941477
224,0.871353,0.925909
225,0.895965,0.956873
226,0.944267,0.972708
227,0.895122,0.941875
228,0.871626,0.925577
229,0.895302,0.957336
230,0.943764,0.972588
231,0.8947,0.94159
232,0.872236,0.926381
233,0.891898,0.957361
234,0.943819,0.972829
235,0.896928,0.942362
236,0.875022,0.926526
237,0.898888,0.958086
238,0.94477,0.973011
239,0.896587,0.941946
240,0.874554,0.927167
241,0.901089,0.958334
242,0.94427,0.972895
243,0.896374,0.942582
244,0.874097,0.927107
245,0.899116,0.958124
246,0.94376,0.972979
247,0.896976,0.942289
248,0.875631,0.927511
249,0.903739,0.958929
250,0.945852,0.973288
251,0.895574,0.942535
252,0.879204,0.928265
253,0.906076,0.959105
254,0.946524,0.973537
255,0.891437,0.942397
256,0.876337,0.927564
257,0.90756,0.959551
258,0.945881,0.973345
259,0.895121,0.942502
260,0.875635,0.92844
261,0.906294,0.959115
262,0.946426,0.973394
263,0.898306,0.943104
264,0.878436,0.928142
265,0.906816,0.959433
266,0.946503,0.973455
267,0.894816,0.942262
268,0.88093,0.929121
269,0.904737,0.958947
270,0.945866,0.973271
271,0.894215,0.942868
272,0.873325,0.927447
273,0.905804,0.959477
274,0.946273,0.973351
275,0.896163,0.942411
276,0.875745,0.928916
277,0.902791,0.958573
278,0.94486,0.97304
279,0.898105,0.943203
280,0.874934,0.927297
281,0.905938,0.95971
282,0.945332,0.973255
283,0.893855,0.941618
284,0.880932,0.92951
285,0.905148,0.959249
286,0.945008,0.973107
287,0.896802,0.94318
288,0.877311,0.927446
289,0.90845,0.959896
290,0.944821,0.972965
291,0.89554,0.941985
292,0.879144,0.929812
293,0.906805,0.9596
294,0.945395,0.973048
295,0.900211,0.94348
296,0.879865,0.928495
297,0.908381,0.960276
298,0.945488,0.97322
299,0.896461,0.942197
300,0.883948,0.930319
301,0.909248,0.960054
302,0.945293,0.972999
303,0.899691,0.943348
304,0.880979,0.928772
305,0.910517,0.960465
306,0.946507,0.973269
307,0.897,0.942265
308,0.882949,0.93001
309,0.910297,0.960054
310,0.946771,0.973206
311,0.900691,0.94364
312,0.879814,0.928938
313,0.909316,0.960373
314,0.946212,0.973092
315,0.897346,0.942529
316,0.883891,0.930468
317,0.910546,0.960164
318,0.946056,0.973059
319,0.899179,0.942988
320,0.88194,0.929348
321,0.911977,0.960679
322,0.946134,0.97319
323,0.897874,0.942659
324,0.881667,0.930613
325,0.910356,0.96024
326,0.945711,0.973
327,0.901101,0.94356
328,0.880355,0.92951
329,0.910837,0.960852
330,0.945561,0.972899
331,0.895538,0.94247
332,0.883452,0.93069
333,0.907863,0.959983
334,0.944432,0.972535
335,0.900355,0.943583
336,0.882266,0.92995
337,0.909992,0.960497
338,0.945666,0.972912
339,0.898712,0.942906
340,0.881825,0.930125
341,0.909273,0.959628
342,0.943592,0.972278
343,0.899163,0.943155
344,0.881051,0.929642
345,0.908041,0.959676
346,0.943442,0.972322
347,0.89861,0.942957
348,0.883763,0.930801
349,0.906099,0.958994
350,0.943153,0.972148
351,0.899629,0.94327
352,0.880964,0.929279
353,0.910072,0.959884
354,0.944235,0.972369
355,0.897966,0.942832
356,0.881594,0.930578
357,0.906206,0.959134
358,0.94454,0.972456
359,0.900843,0.943919
360,0.882507,0.930306
361,0.910133,0.960281
362,0.943247,0.972102
363,0.8982,0.943029
364,0.882521,0.930844
365,0.911174,0.960112
366,0.942541,0.971888
367,0.89942,0.943397
368,0.881762,0.930604
369,0.910675,0.960602
370,0.94317,0.972038
371,0.896449,0.942466
372,0.88585,0.93231
373,0.912072,0.960393
374,0.942848,0.971964
375,0.896534,0.943144
376,0.883704,0.931412
377,0.915254,0.961621
378,0.9424,0.972045
379,0.89882,0.943104
380,0.88539,0.93237
381,0.909357,0.960639
382,0.941323,0.971805
383,0.902063,0.944244
384,0.883656,0.931246
385,0.912548,0.961384
386,0.942546,0.972345
387,0.89678,0.942481
388,0.887609,0.933161
389,0.912614,0.960892
390,0.943323,0.97237
391,0.896719,0.943401
392,0.881377,0.930745
393,0.915104,0.961914
394,0.943228,0.972588
395,0.897405,0.943149
396,0.888559,0.933765
397,0.913999,0.961259
398,0.943413,0.97248
399,0.900874,0.944131
400,0.88423,0.931192
401,0.915025,0.96206
402,0.9424,0.97245
403,0.89802,0.943137
404,0.884457,0.932653
405,0.912402,0.961069
406,0.944283,0.972954
407,0.900672,0.944475
408,0.884709,0.931495
409,0.912397,0.961748
410,0.943802,0.972854
411,0.898656,0.943246
412,0.890154,0.933944
413,0.914268,0.961165
414,0.943521,0.972695
415,0.900333,0.944069
416,0.885496,0.931318
417,0.915092,0.962117
418,0.944328,0.972908
419,0.898291,0.94319
420,0.886123,0.932217
421,0.913289,0.961259
422,0.94426,0.972942
423,0.900991,0.944123
424,0.884842,0.930999
425,0.915238,0.961825
426,0.943902,0.973008
427,0.89961,0.943094
428,0.888794,0.932586
429,0.914238,0.961348
430,0.944368,0.973015
431,0.900369,0.9439
432,0.88587,0.931376
433,0.916533,0.962087
434,0.944591,0.97309
435,0.899035,0.942939
436,0.886306,0.931901
437,0.913971,0.961539
438,0.944256,0.973147
439,0.901899,0.943846
440,0.884003,0.930798
441,0.915666,0.962129
442,0.944247,0.973096
443,0.899661,0.942854
444,0.888278,0.932284
445,0.914455,0.961737
446,0.943779,0.973134
447,0.898241,0.943219
448,0.884958,0.931249
449,0.916637,0.962954
450,0.9444,0.973548
451,0.898346,0.94232
452,0.884681,0.931115
453,0.914604,0.961985
454,0.943063,0.972909
455,0.90112,0.943298
456,0.8845,0.930636
457,0.913858,0.961937
458,0.941968,0.972824
459,0.898673,0.942441
460,0.886798,0.931242
461,0.912629,0.961413
462,0.942876,0.972772
463,0.89831,0.942517
464,0.883506,0.930282
465,0.913595,0.961883
466,0.944061,0.973198
467,0.893618,0.941681
468,0.881677,0.930307
469,0.912947,0.961418
470,0.942455,0.972768
471,0.897476,0.94192
472,0.880576,0.929201
473,0.913652,0.962033
474,0.944178,0.973314
475,0.894023,0.941321
476,0.885538,0.931226
477,0.911698,0.961547
478,0.944125,0.973206
479,0.895828,0.942005
480,0.883472,0.929961
481,0.916377,0.962242
482,0.944036,0.973394
483,0.894626,0.9417
484,0.883042,0.930868
485,0.913032,0.961632
486,0.942603,0.972912
487,0.899867,0.942797
488,0.880392,0.929665
489,0.912823,0.961713
490,0.943496,0.973206
491,0.897249,0.94216
492,0.883605,0.930666
493,0.911207,0.961287
494,0.944102,0.97325
495,0.895721,0.942452
496,0.882631,0.930107
497,0.914768,0.962295
498,0.94328,0.973355
499,0.896025,0.941839
500,0.882375,0.93088
501,0.912713,0.961668
502,0.943629,0.973238
503,0.898033,0.942819
504,0.88474,0.930593
505,0.915783,0.962125
506,0.942731,0.973174
507,0.897259,0.942292
508,0.885828,0.931411
509,0.914296,0.961608
510,0.943361,0.973226
511,0.89837,0.942757
512,0.883739,0.930143
513,0.914891,0.962221
514,0.943356,0.973131
515,0.896941,0.94217
516,0.884255,0.931165
517,0.913342,0.961625
518,0.944474,0.973464
519,0.900606,0.943104
520,0.885341,0.93033
521,0.915538,0.962074
522,0.944944,0.973517
523,0.898736,0.942199
524,0.88595,0.930772
525,0.91333,0.961716
526,0.943906,0.973381
527,0.898194,0.942523
528,0.884737,0.930236
529,0.914777,0.962045
530,0.944024,0.973529
531,0.899186,0.942452
532,0.886869,0.93102
533,0.923182,0.964931
534,0.95122,0.975577
535,0.901961,0.944416
536,0.890464,0.93356
537,0.913842,0.961723
538,0.948817,0.974728
539,0.90181,0.945141
540,0.880347,0.928999
541,0.908886,0.961689
542,0.949549,0.974941
543,0.898599,0.943155
544,0.884076,0.931547
545,0.910268,0.960905
546,0.948907,0.974748
547,0.900855,0.944879
548,0.881751,0.928983
549,0.910463,0.961383
550,0.949203,0.974866
551,0.900608,0.94357
552,0.884527,0.930862
553,0.909147,0.961022
554,0.949182,0.974934
555,0.902167,0.944826
556,0.884629,0.930108
557,0.911243,0.961609
558,0.949136,0.974872
559,0.900925,0.94376
560,0.886404,0.931361
561,0.913743,0.961793
562,0.949119,0.97491
563,0.903108,0.944976
564,0.886761,0.931157
565,0.913817,0.96211
566,0.949093,0.974811
567,0.902944,0.944674
568,0.887911,0.931765
569,0.913271,0.962444
570,0.949872,0.975221
571,0.904144,0.945112
572,0.889123,0.932273
573,0.913595,0.962439
574,0.949268,0.975054
575,0.904127,0.945651
576,0.888754,0.932177
577,0.917012,0.963384
578,0.949523,0.974984
579,0.904769,0.945172
580,0.89127,0.93419
581,0.914294,0.962726
582,0.948286,0.974879
583,0.908229,0.946574
584,0.891289,0.933824
585,0.917611,0.964215
586,0.949653,0.975136
587,0.906707,0.945889
588,0.897617,0.936787
589,0.919439,0.963875
590,0.949676,0.975225
591,0.909546,0.947324
592,0.892762,0.93456
593,0.921139,0.96475
