Frame, eSSIM, SSIM
0,0.642825,0.73081
1,0.737632,0.843227
2,0.859035,0.919173
3,0.677509,0.801158
4,0.636183,0.724174
5,0.739753,0.84339
6,0.858176,0.919591
7,0.713882,0.826329
8,0.673808,0.768089
9,0.768053,0.865758
10,0.859462,0.919717
11,0.717223,0.827467
12,0.681056,0.772392
13,0.779622,0.871126
14,0.860943,0.920468
15,0.74356,0.847007
16,0.718069,0.812142
17,0.800817,0.886657
18,0.863234,0.920829
19,0.749774,0.851542
20,0.717712,0.812363
21,0.801675,0.888561
22,0.861955,0.920213
23,0.749526,0.851009
24,0.726061,0.817394
25,0.829446,0.900553
26,0.873424,0.92655
27,0.766338,0.864463
28,0.749395,0.837086
29,0.836671,0.906299
30,0.880782,0.931834
31,0.783221,0.873537
32,0.777776,0.855064
33,0.852119,0.912723
34,0.888914,0.936694
35,0.797764,0.882121
36,0.794591,0.861541
37,0.859787,0.917965
38,0.898327,0.94203
39,0.815056,0.890033
40,0.803531,0.868495
41,0.864527,0.921183
42,0.905656,0.945985
43,0.83368,0.899732
44,0.819339,0.874707
45,0.875932,0.926091
46,0.912639,0.949777
47,0.844075,0.906065
48,0.832903,0.883476
49,0.881957,0.928261
50,0.917914,0.953066
51,0.8608,0.914996
52,0.848095,0.891712
53,0.885299,0.931968
54,0.925437,0.957089
55,0.87369,0.920859
56,0.862826,0.9005
57,0.89212,0.93493
58,0.930127,0.960177
59,0.88486,0.927499
60,0.865808,0.903406
61,0.892981,0.937427
62,0.936985,0.963448
63,0.893092,0.932236
64,0.869573,0.906885
65,0.896228,0.939506
66,0.940034,0.966009
67,0.897026,0.935167
68,0.87712,0.910293
69,0.902191,0.941937
70,0.943339,0.968539
71,0.904397,0.938572
72,0.885164,0.914096
73,0.907169,0.942895
74,0.940665,0.969212
75,0.90721,0.941894
76,0.886551,0.913038
77,0.905533,0.944032
78,0.945753,0.971228
79,0.910089,0.944009
80,0.88765,0.913887
81,0.907377,0.945356
82,0.944439,0.971772
83,0.914777,0.946181
84,0.886451,0.913551
85,0.905694,0.945606
86,0.944918,0.973047
87,0.919129,0.949711
88,0.879861,0.911827
89,0.902291,0.945289
90,0.942726,0.973803
91,0.924082,0.953415
92,0.883442,0.914012
93,0.909045,0.947322
94,0.943843,0.975621
95,0.926802,0.95686
96,0.908628,0.937739
97,0.921406,0.957527
98,0.941084,0.974769
99,0.941118,0.964524
100,0.925964,0.954081
101,0.927561,0.964017
102,0.944257,0.974815
103,0.944249,0.96701
104,0.938528,0.95888
105,0.941811,0.967742
106,0.952245,0.975872
107,0.947021,0.967383
108,0.941519,0.960376
109,0.944444,0.968604
110,0.95354,0.976291
111,0.94971,0.968498
112,0.942203,0.960861
113,0.945707,0.969343
114,0.955185,0.976564
115,0.955751,0.970275
116,0.944765,0.962341
117,0.947172,0.969877
118,0.958345,0.977217
119,0.956626,0.970823
120,0.948858,0.963929
121,0.95048,0.970907
122,0.960459,0.977955
123,0.958026,0.971171
124,0.9499,0.965492
125,0.951673,0.971649
126,0.963287,0.9789
127,0.960213,0.972042
128,0.950154,0.965039
129,0.953364,0.972919
130,0.963979,0.979133
131,0.960966,0.972187
132,0.956233,0.966725
133,0.959,0.973692
134,0.965859,0.979373
135,0.961269,0.972419
136,0.955555,0.966579
137,0.958083,0.973494
138,0.966607,0.979542
139,0.962017,0.972602
140,0.956572,0.96788
141,0.954812,0.973163
142,0.967048,0.979744
143,0.962286,0.973085
144,0.949779,0.965955
145,0.958654,0.974164
146,0.967496,0.979791
147,0.961816,0.973007
148,0.947109,0.965366
149,0.9496,0.972328
150,0.966514,0.97967
151,0.96163,0.972754
152,0.946942,0.964623
153,0.94842,0.971592
154,0.965706,0.979587
155,0.959507,0.972113
156,0.950705,0.964947
157,0.954871,0.972798
158,0.96589,0.97972
159,0.959251,0.972272
160,0.949324,0.964889
161,0.953718,0.972985
162,0.965076,0.979376
163,0.959738,0.972426
164,0.948347,0.964835
165,0.952451,0.972324
166,0.965783,0.979427
167,0.959955,0.972401
168,0.951557,0.965616
169,0.954796,0.972842
170,0.965474,0.979317
171,0.959705,0.972325
172,0.953207,0.966746
173,0.955664,0.973078
174,0.965442,0.97924
175,0.959861,0.972573
176,0.952096,0.966268
177,0.956132,0.973502
178,0.96559,0.979357
179,0.960236,0.972709
180,0.952181,0.966552
181,0.956338,0.973679
182,0.965363,0.979494
183,0.96119,0.972939
184,0.952647,0.966882
185,0.955169,0.973526
186,0.96514,0.979512
187,0.961083,0.972851
188,0.952339,0.966903
189,0.955053,0.973544
190,0.965303,0.979734
191,0.959537,0.97256
192,0.950464,0.966029
193,0.957093,0.974355
194,0.964944,0.979518
195,0.95853,0.972131
196,0.951417,0.966372
197,0.956359,0.973883
198,0.965091,0.97966
199,0.955708,0.971811
200,0.961723,0.975431
201,0.949551,0.975905
202,0.966182,0.980737
203,0.947975,0.967597
204,0.932808,0.957508
205,0.952143,0.976372
206,0.963428,0.979992
207,0.942338,0.963719
208,0.93039,0.961185
209,0.939513,0.97225
210,0.960741,0.979505
211,0.946185,0.966163
212,0.923292,0.955514
213,0.936132,0.973312
214,0.960852,0.979361
215,0.939112,0.96289
216,0.933652,0.959993
217,0.936189,0.971658
218,0.961505,0.979297
219,0.942625,0.965271
220,0.924341,0.954143
221,0.939629,0.97288
222,0.96062,0.979253
223,0.939902,0.96296
224,0.926495,0.958347
225,0.937721,0.972066
226,0.962134,0.979387
227,0.943809,0.965224
228,0.925707,0.955693
229,0.939428,0.973181
230,0.961552,0.979392
231,0.9407,0.963331
232,0.930369,0.95838
233,0.941422,0.972593
234,0.961693,0.9794
235,0.942587,0.965257
236,0.926727,0.955494
237,0.946172,0.975104
238,0.963827,0.979669
239,0.939979,0.963089
240,0.93204,0.958976
241,0.941326,0.972502
242,0.962597,0.979492
243,0.942638,0.964942
244,0.927594,0.956159
245,0.939332,0.973657
246,0.962977,0.979464
247,0.939776,0.963015
248,0.932301,0.959286
249,0.940813,0.972748
250,0.96294,0.97958
251,0.94213,0.964642
252,0.927783,0.955909
253,0.943679,0.973613
254,0.963992,0.979759
255,0.937905,0.963676
256,0.927621,0.957506
257,0.945287,0.974371
258,0.963681,0.979586
259,0.933568,0.963278
260,0.930566,0.957775
261,0.941629,0.972813
262,0.963937,0.979671
263,0.942211,0.963941
264,0.932052,0.957839
265,0.946258,0.974312
266,0.963497,0.97963
267,0.936703,0.962952
268,0.934675,0.960489
269,0.944073,0.973452
270,0.961985,0.979383
271,0.941088,0.964483
272,0.927826,0.956201
273,0.945498,0.973941
