Frame, eSSIM, SSIM
0,0.203722,0.274493
1,0.335526,0.571376
2,0.805027,0.902059
3,0.392596,0.601527
4,0.199838,0.269196
5,0.333323,0.570003
6,0.805737,0.902904
7,0.433949,0.631756
8,0.273253,0.349948
9,0.414088,0.628957
10,0.808659,0.903945
11,0.437791,0.636176
12,0.35245,0.441676
13,0.489729,0.69017
14,0.814922,0.90543
15,0.498701,0.681217
16,0.373612,0.472458
17,0.501609,0.699486
18,0.817838,0.906057
19,0.501323,0.683105
20,0.407001,0.507693
21,0.540983,0.725616
22,0.823655,0.906693
23,0.513902,0.692533
24,0.415769,0.517833
25,0.573196,0.744039
26,0.836613,0.914284
27,0.537125,0.709955
28,0.449731,0.545625
29,0.586482,0.754723
30,0.845716,0.919838
31,0.558094,0.727203
32,0.478936,0.575465
33,0.614027,0.774383
34,0.855882,0.926226
35,0.569153,0.7364
36,0.509281,0.604436
37,0.629004,0.787199
38,0.869044,0.932662
39,0.61,0.763283
40,0.530123,0.623213
41,0.64747,0.798673
42,0.878026,0.937684
43,0.629313,0.777449
44,0.554805,0.644919
45,0.661925,0.807902
46,0.886193,0.941257
47,0.64624,0.789772
48,0.571245,0.659112
49,0.672627,0.815297
50,0.893907,0.945353
51,0.665948,0.803295
52,0.59408,0.680162
53,0.685824,0.823579
54,0.903086,0.949921
55,0.680328,0.813949
56,0.612031,0.694646
57,0.702394,0.83354
58,0.907712,0.953101
59,0.700877,0.826098
60,0.639564,0.717256
61,0.723141,0.845026
62,0.911866,0.955429
63,0.7189,0.837275
64,0.658946,0.733458
65,0.738858,0.85363
66,0.915268,0.958266
67,0.735724,0.846677
68,0.680351,0.750297
69,0.748909,0.860371
70,0.91793,0.960375
71,0.759121,0.859637
72,0.702987,0.767956
73,0.766256,0.868295
74,0.916546,0.961513
75,0.78011,0.872704
76,0.725707,0.783585
77,0.783058,0.877121
78,0.921199,0.963629
79,0.795051,0.88153
80,0.742679,0.797968
81,0.795863,0.88494
82,0.918098,0.964419
83,0.816216,0.893074
84,0.760134,0.81367
85,0.808906,0.893768
86,0.918096,0.965798
87,0.834225,0.903782
88,0.773165,0.82948
89,0.81757,0.902746
90,0.917951,0.966793
91,0.857869,0.919159
92,0.797579,0.858662
93,0.834099,0.9185
94,0.917205,0.967813
95,0.873319,0.933819
96,0.814842,0.894112
97,0.828463,0.928062
98,0.912349,0.966286
99,0.874802,0.941767
100,0.827527,0.914112
101,0.842608,0.938149
102,0.905225,0.964393
103,0.868541,0.940325
104,0.840524,0.919677
105,0.858077,0.942431
106,0.910586,0.965431
107,0.87591,0.943386
108,0.840444,0.919627
109,0.860416,0.94305
110,0.912459,0.966087
111,0.88952,0.947586
112,0.849866,0.924423
113,0.859664,0.94303
114,0.912301,0.965955
115,0.899072,0.950813
116,0.860807,0.929674
117,0.867552,0.945663
118,0.914893,0.966261
119,0.899279,0.950684
120,0.874107,0.933283
121,0.883347,0.948786
122,0.915822,0.966419
123,0.901239,0.951532
124,0.874865,0.933297
125,0.884771,0.949596
126,0.916144,0.96687
127,0.90506,0.953299
128,0.878661,0.935719
129,0.88363,0.949565
130,0.916017,0.966695
131,0.908925,0.954527
132,0.890202,0.939919
133,0.900198,0.953863
134,0.923288,0.967815
135,0.90871,0.954195
136,0.889358,0.93967
137,0.898334,0.953401
138,0.923466,0.967624
139,0.910193,0.954718
140,0.886767,0.939114
141,0.893895,0.952982
142,0.924783,0.968133
143,0.91135,0.955611
144,0.88295,0.939839
145,0.899962,0.954373
146,0.923926,0.967868
147,0.910665,0.955599
148,0.876404,0.938629
149,0.888298,0.952615
150,0.92519,0.968266
151,0.910434,0.955337
152,0.88158,0.938639
153,0.887033,0.951306
154,0.924187,0.968238
155,0.907662,0.95459
156,0.883697,0.937884
157,0.893143,0.952539
158,0.923155,0.968272
159,0.907937,0.955217
160,0.883401,0.938514
161,0.890675,0.951441
162,0.922976,0.967899
163,0.909273,0.955577
164,0.882731,0.938608
165,0.892153,0.951812
