Frame, eSSIM, SSIM
0,0.744278,0.811517
1,0.793021,0.873397
2,0.884362,0.92825
3,0.762258,0.855408
4,0.716931,0.79439
5,0.792754,0.873156
6,0.88269,0.928283
7,0.749645,0.851359
8,0.716172,0.796921
9,0.787143,0.871437
10,0.882037,0.927772
11,0.761272,0.854071
12,0.713519,0.792416
13,0.793636,0.873337
14,0.882038,0.927939
15,0.742793,0.848557
16,0.705218,0.792175
17,0.789952,0.87059
18,0.882615,0.927704
19,0.75219,0.850985
20,0.71894,0.797256
21,0.797149,0.874482
22,0.882259,0.927567
23,0.760928,0.856001
24,0.743059,0.808597
25,0.807322,0.87876
26,0.891662,0.933125
27,0.776446,0.865431
28,0.74297,0.810772
29,0.815191,0.884577
30,0.899213,0.938127
31,0.781933,0.870648
32,0.750229,0.818976
33,0.814789,0.88741
34,0.905564,0.942408
35,0.79373,0.877442
36,0.760995,0.82372
37,0.825153,0.893832
38,0.91347,0.947078
39,0.800382,0.881995
40,0.774364,0.832632
41,0.835359,0.901063
42,0.92028,0.951233
43,0.819024,0.892201
44,0.794507,0.847485
45,0.843065,0.906466
46,0.926604,0.954639
47,0.824564,0.896634
48,0.795096,0.849476
49,0.852486,0.910803
50,0.930387,0.957254
51,0.832812,0.901562
52,0.809889,0.856926
53,0.858795,0.914455
54,0.934905,0.960227
55,0.844734,0.907039
56,0.815115,0.86182
57,0.862972,0.916858
58,0.936617,0.962683
59,0.84827,0.910113
60,0.82088,0.865089
61,0.861407,0.918243
62,0.938102,0.964627
63,0.852781,0.912622
64,0.824533,0.866296
65,0.869786,0.919052
66,0.938236,0.966231
67,0.855853,0.914496
68,0.827006,0.864044
69,0.867035,0.918187
70,0.938645,0.968186
71,0.856523,0.914404
72,0.827714,0.864349
73,0.866113,0.916288
74,0.937336,0.968828
75,0.860396,0.91658
76,0.825708,0.858273
77,0.859346,0.913891
78,0.938967,0.969787
79,0.856349,0.91487
80,0.818304,0.850819
81,0.854901,0.912038
82,0.934884,0.96971
83,0.855247,0.914452
84,0.810257,0.843522
85,0.856981,0.914566
86,0.934064,0.970817
87,0.867908,0.925279
88,0.828724,0.869579
89,0.837839,0.903625
90,0.930183,0.970267
91,0.872656,0.926132
92,0.849819,0.887673
93,0.876371,0.931605
94,0.932078,0.971688
95,0.886818,0.93712
96,0.870027,0.911859
97,0.888273,0.944577
98,0.935027,0.97214
99,0.907346,0.950863
100,0.876082,0.928007
101,0.901541,0.952034
102,0.935283,0.971921
103,0.91874,0.955519
104,0.898868,0.937656
105,0.915364,0.956448
106,0.939047,0.973159
107,0.925992,0.957946
108,0.91173,0.942656
109,0.922077,0.959164
110,0.941751,0.973962
111,0.93072,0.960109
112,0.917143,0.945543
113,0.92584,0.960627
114,0.943053,0.974471
115,0.933662,0.961287
116,0.921018,0.947554
117,0.928626,0.961412
118,0.946628,0.975196
119,0.93584,0.961908
120,0.926661,0.949856
121,0.933212,0.962984
122,0.947482,0.975537
123,0.939521,0.963197
124,0.92981,0.951287
125,0.935806,0.96393
126,0.949103,0.975928
127,0.940654,0.963981
128,0.930289,0.951652
129,0.937951,0.964774
130,0.949709,0.97621
131,0.942504,0.964434
132,0.932154,0.952795
133,0.938556,0.96501
134,0.951778,0.976734
135,0.943745,0.965229
136,0.932013,0.953082
137,0.938413,0.965165
138,0.952261,0.976818
139,0.943659,0.965274
140,0.934363,0.954498
141,0.928347,0.964383
142,0.952731,0.976883
143,0.945537,0.966298
144,0.921123,0.952711
145,0.935807,0.965531
146,0.954127,0.977121
147,0.947793,0.966839
148,0.92331,0.953368
149,0.937369,0.965727
150,0.955455,0.97747
151,0.947228,0.966689
152,0.927769,0.953558
153,0.939545,0.965957
154,0.955264,0.977426
155,0.947087,0.966627
156,0.930777,0.954221
157,0.937851,0.965788
158,0.954485,0.977445
159,0.948622,0.96727
160,0.935043,0.955501
161,0.937281,0.965796
162,0.953619,0.977467
163,0.948159,0.967016
164,0.937247,0.95608
165,0.93819,0.966152
166,0.954161,0.977511
167,0.948296,0.967337
168,0.933827,0.955731
169,0.942229,0.967116
170,0.954843,0.97776
171,0.948854,0.967527
172,0.933963,0.956689
173,0.940112,0.967017
174,0.953777,0.977526
175,0.949973,0.968156
176,0.936943,0.956941
177,0.940979,0.967403
178,0.955136,0.977739
179,0.945718,0.967852
180,0.939822,0.957935
181,0.941632,0.967706
182,0.955338,0.977903
183,0.949345,0.968203
184,0.93885,0.958047
185,0.943501,0.968023
186,0.955728,0.978213
187,0.950004,0.968527
188,0.937902,0.957853
189,0.942122,0.967736
190,0.955424,0.978262
191,0.948976,0.96826
192,0.936933,0.957272
193,0.941213,0.967791
194,0.953849,0.978113
195,0.946358,0.967635
196,0.933331,0.956261
197,0.937388,0.966814
198,0.952828,0.977845
199,0.945795,0.967461
200,0.94481,0.965605
201,0.938697,0.972267
202,0.960634,0.979469
203,0.93734,0.961855
204,0.920816,0.951137
205,0.933197,0.97106
206,0.958813,0.978899
207,0.93065,0.958738
208,0.91948,0.951989
209,0.933835,0.970136
210,0.95915,0.978606
211,0.933791,0.959944
212,0.913435,0.949286
213,0.931977,0.969452
214,0.957946,0.978368
215,0.932091,0.95875
216,0.919106,0.950402
217,0.93126,0.96945
218,0.959978,0.978394
219,0.9333,0.959333
220,0.919666,0.950041
221,0.933179,0.969469
222,0.960402,0.978424
223,0.932446,0.958868
224,0.918497,0.949713
225,0.934621,0.970116
226,0.960282,0.978685
227,0.933581,0.959236
228,0.920214,0.950499
229,0.932961,0.969647
230,0.960743,0.978606
231,0.935463,0.959922
232,0.9192,0.950184
233,0.933229,0.970106
234,0.960916,0.978701
235,0.934555,0.959686
236,0.921934,0.951494
237,0.932836,0.970021
238,0.961189,0.978742
239,0.935045,0.959686
240,0.920245,0.950725
241,0.936038,0.970899
242,0.96067,0.978742
243,0.934171,0.959544
244,0.920947,0.951646
245,0.934507,0.970012
246,0.960424,0.978647
247,0.936332,0.960155
248,0.920232,0.950538
249,0.936019,0.970935
250,0.961105,0.978791
251,0.934731,0.959628
252,0.924303,0.952935
253,0.93593,0.970344
254,0.961152,0.97889
255,0.929599,0.959984
256,0.919552,0.950321
257,0.938426,0.971438
258,0.960083,0.978742
259,0.931006,0.959065
260,0.922293,0.952261
261,0.935883,0.970368
262,0.961004,0.978733
263,0.93757,0.960667
264,0.920784,0.950911
265,0.938107,0.971476
266,0.960756,0.978701
267,0.930437,0.958826
268,0.92596,0.953878
269,0.936376,0.970488
270,0.960081,0.978509
271,0.93122,0.960408
272,0.920156,0.950824
273,0.939231,0.972126
274,0.960871,0.978769
275,0.9324,0.959142
276,0.91968,0.953211
277,0.934989,0.97039
278,0.959932,0.978495
279,0.937342,0.960787
280,0.920101,0.950469
281,0.9375,0.97156
282,0.960096,0.978684
283,0.932518,0.958716
284,0.925714,0.953757
285,0.936096,0.970556
286,0.959887,0.978384
287,0.935583,0.960404
288,0.921159,0.950746
289,0.940384,0.972041
290,0.95997,0.978387
291,0.933502,0.958835
292,0.923895,0.953238
293,0.935943,0.97064
294,0.959976,0.978319
295,0.937269,0.960495
296,0.920905,0.950808
297,0.938926,0.971664
298,0.959529,0.97839
299,0.93349,0.958881
300,0.92736,0.954379
301,0.936798,0.970688
302,0.959295,0.978124
303,0.934992,0.960008
304,0.922019,0.951009
305,0.940315,0.972182
306,0.960318,0.978482
307,0.93267,0.958578
308,0.923582,0.952727
309,0.937016,0.970588
310,0.960129,0.978148
311,0.936147,0.960058
312,0.921278,0.95081
313,0.938268,0.971345
314,0.960014,0.978212
315,0.93421,0.958902
316,0.925131,0.953438
317,0.936804,0.970476
318,0.959115,0.977858
319,0.934583,0.959354
320,0.920712,0.950848
321,0.939915,0.971902
322,0.959755,0.978285
323,0.93243,0.958516
324,0.923992,0.953172
325,0.936936,0.970628
326,0.959198,0.978008
327,0.936703,0.960319
328,0.920941,0.951138
329,0.939896,0.971756
330,0.958996,0.977906
331,0.933296,0.958808
332,0.926762,0.954104
333,0.93609,0.970282
334,0.957425,0.977397
