Frame, eSSIM, SSIM
0,0.252708,0.326385
1,0.428994,0.651944
2,0.80562,0.908638
3,0.504682,0.679461
4,0.327873,0.42035
5,0.443642,0.663069
6,0.803817,0.908194
7,0.517324,0.689377
8,0.347294,0.443409
9,0.45332,0.669579
10,0.804515,0.907916
11,0.530965,0.698871
12,0.35823,0.455556
13,0.460276,0.674665
14,0.80388,0.907894
15,0.534584,0.701138
16,0.365022,0.462452
17,0.467459,0.679775
18,0.805402,0.907929
19,0.537307,0.703035
20,0.369026,0.466423
21,0.438738,0.655386
22,0.803455,0.907604
23,0.524696,0.691761
24,0.236027,0.301482
25,0.418115,0.642086
26,0.812833,0.914573
27,0.503549,0.680588
28,0.321479,0.407196
29,0.440898,0.662048
30,0.820271,0.919555
31,0.519653,0.693823
32,0.34976,0.438717
33,0.460223,0.677274
34,0.829677,0.924394
35,0.539863,0.708591
36,0.370671,0.459358
37,0.47298,0.686566
38,0.836939,0.929053
39,0.553965,0.719536
40,0.385922,0.473719
41,0.48789,0.697147
42,0.847317,0.933351
43,0.565211,0.727913
44,0.399845,0.487137
45,0.480167,0.68903
46,0.85844,0.93988
47,0.561062,0.726487
48,0.314267,0.386379
49,0.467731,0.682473
50,0.870022,0.946313
51,0.522074,0.705188
52,0.374287,0.449679
53,0.492876,0.69969
54,0.879135,0.949344
55,0.551992,0.725204
56,0.409011,0.484706
57,0.517594,0.715587
58,0.884982,0.951889
59,0.579043,0.743419
60,0.439025,0.513387
61,0.536548,0.726469
62,0.889368,0.953903
63,0.60242,0.758686
64,0.463455,0.536068
65,0.562132,0.741514
66,0.894158,0.956277
67,0.626128,0.774557
68,0.493622,0.564411
69,0.582191,0.752323
70,0.90102,0.960593
71,0.645776,0.791564
72,0.472391,0.549103
73,0.597172,0.762614
74,0.905218,0.964192
75,0.655348,0.801776
76,0.554636,0.624475
77,0.64562,0.791941
78,0.907446,0.96488
79,0.700328,0.829286
80,0.611452,0.678405
81,0.692026,0.820515
82,0.902992,0.965008
83,0.737956,0.852456
84,0.657026,0.726142
85,0.729332,0.8454
86,0.899035,0.964764
87,0.766868,0.872467
88,0.691202,0.769161
89,0.759624,0.870623
90,0.89287,0.963519
91,0.787276,0.890858
92,0.709357,0.808402
93,0.779184,0.897821
94,0.8886,0.964233
95,0.794247,0.911743
96,0.65308,0.833493
97,0.77019,0.914831
98,0.881232,0.963117
99,0.787738,0.922689
100,0.730736,0.882148
101,0.784189,0.924592
102,0.873262,0.960519
103,0.80183,0.927949
104,0.750693,0.891653
105,0.791754,0.92711
106,0.876079,0.961167
107,0.809898,0.931003
108,0.762599,0.897316
109,0.799366,0.929743
110,0.879142,0.962261
111,0.817551,0.93372
112,0.769056,0.900915
113,0.8043,0.931559
114,0.88142,0.962807
115,0.821105,0.935247
116,0.772724,0.903326
117,0.788711,0.927132
118,0.880086,0.962699
119,0.816584,0.932608
120,0.643704,0.848018
121,0.767613,0.918564
122,0.87284,0.960324
123,0.785924,0.923286
124,0.734433,0.883287
125,0.790396,0.92528
126,0.875132,0.960966
127,0.80578,0.929685
128,0.758862,0.894801
129,0.797212,0.928298
130,0.876633,0.961597
131,0.820413,0.934227
132,0.769637,0.900697
133,0.801041,0.930473
134,0.879206,0.962275
135,0.823115,0.935941
136,0.77455,0.903719
137,0.804851,0.931763
138,0.879975,0.962322
139,0.829322,0.937894
140,0.778423,0.906858
141,0.79657,0.928523
142,0.881606,0.962809
143,0.810673,0.933137
144,0.64744,0.849999
145,0.771483,0.918783
146,0.873135,0.960916
147,0.791749,0.924967
148,0.730755,0.881609
149,0.789455,0.924983
150,0.880564,0.961906
151,0.805329,0.929944
152,0.75072,0.891434
153,0.79879,0.927388
154,0.88136,0.96192
155,0.814553,0.933262
156,0.7621,0.897259
157,0.803646,0.930173
158,0.881456,0.962347
159,0.823935,0.9365
160,0.773658,0.903018
161,0.804885,0.930881
162,0.878675,0.962536
163,0.830171,0.938703
164,0.772262,0.90438
165,0.797368,0.927485
166,0.879529,0.962992
167,0.812921,0.934215
168,0.6373,0.84511
169,0.769821,0.915976
170,0.866563,0.959539
171,0.785719,0.924446
172,0.729649,0.881105
173,0.789254,0.923077
174,0.873773,0.960471
175,0.798988,0.929554
176,0.753675,0.893345
177,0.799216,0.927543
178,0.876049,0.961685
179,0.813855,0.933847
180,0.767724,0.900701
181,0.808147,0.931063
182,0.875378,0.961539
183,0.822824,0.937304
184,0.778256,0.906128
185,0.812188,0.932613
186,0.877338,0.96193
187,0.829346,0.938875
188,0.775786,0.907013
189,0.78929,0.925029
190,0.878711,0.962071
191,0.804633,0.93195
192,0.63785,0.844242
193,0.770042,0.916297
194,0.875403,0.960696
195,0.791256,0.925373
196,0.729601,0.880712
197,0.786551,0.922713
198,0.878891,0.961575
199,0.805752,0.930742
200,0.512085,0.727759
201,0.682364,0.880297
202,0.872649,0.955843
203,0.700805,0.864759
204,0.620975,0.791732
205,0.702687,0.887674
206,0.873735,0.956147
207,0.713971,0.870744
208,0.640885,0.804429
209,0.712886,0.891324
210,0.872745,0.955591
211,0.722882,0.874713
212,0.64825,0.809085
213,0.714724,0.891748
214,0.872328,0.955631
215,0.72676,0.876389
216,0.650286,0.810559
217,0.715699,0.892202
218,0.872503,0.955634
219,0.72957,0.876998
220,0.647273,0.810227
221,0.694044,0.88446
222,0.872961,0.956333
223,0.726613,0.874728
224,0.515186,0.730835
225,0.684905,0.881241
226,0.871762,0.955844
227,0.70185,0.864837
228,0.624863,0.793898
229,0.704037,0.8884
230,0.871668,0.955879
231,0.714498,0.870797
232,0.644455,0.806079
233,0.71446,0.892967
234,0.871937,0.956046
235,0.723783,0.874509
236,0.653039,0.811736
237,0.717346,0.893919
238,0.872948,0.956517
239,0.72859,0.876904
240,0.654876,0.813744
241,0.717915,0.894359
242,0.872791,0.956421
243,0.730053,0.877896
244,0.648578,0.812011
245,0.690737,0.884806
246,0.87121,0.956647
247,0.725376,0.874557
248,0.514908,0.730799
249,0.684344,0.882291
250,0.872998,0.957129
251,0.700666,0.865271
252,0.622968,0.79369
253,0.703806,0.889372
254,0.873144,0.957355
255,0.713194,0.870819
256,0.642337,0.805493
257,0.712812,0.892777
258,0.874245,0.957426
259,0.722492,0.875855
260,0.649704,0.810645
261,0.715609,0.893807
262,0.873536,0.957361
263,0.727178,0.877178
264,0.652653,0.812825
265,0.716626,0.894426
266,0.873904,0.957272
267,0.728718,0.878045
268,0.650599,0.812813
269,0.690304,0.884992
270,0.8736,0.957417
271,0.72456,0.874632
272,0.515116,0.731114
273,0.684917,0.882601
274,0.872342,0.957205
275,0.701718,0.865861
276,0.624739,0.794464
277,0.704058,0.889236
278,0.872175,0.956614
279,0.71466,0.870991
280,0.642682,0.805906
281,0.713487,0.892652
282,0.872359,0.956686
283,0.722396,0.87479
284,0.648143,0.809782
285,0.717968,0.893895
286,0.871449,0.956639
287,0.726334,0.876713
288,0.650661,0.811896
289,0.71759,0.894016
290,0.870844,0.956322
291,0.726475,0.877312
292,0.649068,0.811665
293,0.691306,0.884679
294,0.872173,0.956826
295,0.722583,0.873932
296,0.514325,0.730454
297,0.685267,0.881982
298,0.870991,0.956624
299,0.703159,0.866103
300,0.624649,0.794253
301,0.702884,0.888189
302,0.870929,0.956486
303,0.714748,0.871561
304,0.642789,0.805745
305,0.710423,0.89114
306,0.871674,0.956534
307,0.722366,0.875274
308,0.647938,0.809548
309,0.713739,0.892088
310,0.871117,0.956533
311,0.726733,0.877281
312,0.652899,0.812664
313,0.715116,0.89274
314,0.871109,0.956365
315,0.729319,0.878087
316,0.645772,0.810199
317,0.6881,0.882816
318,0.870508,0.956109
319,0.722645,0.873729
320,0.514583,0.729568
321,0.682562,0.880117
322,0.872212,0.956634
323,0.700997,0.865159
324,0.621332,0.791814
325,0.702455,0.887398
326,0.871858,0.956321
327,0.713125,0.86993
328,0.640409,0.804042
329,0.710738,0.890844
330,0.871841,0.955986
331,0.722221,0.874362
332,0.645899,0.808115
333,0.711885,0.891459
334,0.871303,0.955907
335,0.726975,0.876668
336,0.651866,0.811786
337,0.714583,0.892602
338,0.872109,0.956387
339,0.730222,0.877863
340,0.64501,0.809353
341,0.686223,0.881778
342,0.87203,0.95598
343,0.724098,0.87398
344,0.512094,0.727086
