Frame, eSSIM, SSIM
0,0.607544,0.691779
1,0.700322,0.814423
2,0.842653,0.916027
3,0.717226,0.822349
4,0.644542,0.720357
5,0.71485,0.821314
6,0.84194,0.915902
7,0.728863,0.828584
8,0.662519,0.736795
9,0.727953,0.828683
10,0.842896,0.915752
11,0.740984,0.836866
12,0.677936,0.749841
13,0.739068,0.834924
14,0.843607,0.916406
15,0.746179,0.83983
16,0.690616,0.760479
17,0.750935,0.841494
18,0.84896,0.917512
19,0.753486,0.845192
20,0.7009,0.76969
21,0.742292,0.83805
22,0.850229,0.918323
23,0.763596,0.851677
24,0.657873,0.732661
25,0.735783,0.835484
26,0.858075,0.923672
27,0.754112,0.846571
28,0.688183,0.755285
29,0.75407,0.846119
30,0.864564,0.928186
31,0.76664,0.853724
32,0.707276,0.77029
33,0.766791,0.854044
34,0.872491,0.932685
35,0.777906,0.861133
36,0.720039,0.779026
37,0.775464,0.859824
38,0.88025,0.937176
39,0.785802,0.866108
40,0.730193,0.786242
41,0.784012,0.86502
42,0.887451,0.940442
43,0.794133,0.871236
44,0.738162,0.791377
45,0.782628,0.866031
46,0.901788,0.947706
47,0.810428,0.88281
48,0.707354,0.7689
49,0.768425,0.861289
50,0.908698,0.95266
51,0.805295,0.881711
52,0.733986,0.787416
53,0.784727,0.86959
54,0.91388,0.955032
55,0.814751,0.886419
56,0.751613,0.800198
57,0.798016,0.876128
58,0.917469,0.95755
59,0.825294,0.892562
60,0.763807,0.807364
61,0.804958,0.879693
62,0.918503,0.958664
63,0.83084,0.895076
64,0.773306,0.81396
65,0.815219,0.884922
66,0.920769,0.960572
67,0.839307,0.899616
68,0.782487,0.819408
69,0.825809,0.89194
70,0.939402,0.967919
71,0.869708,0.918986
72,0.779192,0.826201
73,0.815791,0.891073
74,0.946064,0.971949
75,0.87356,0.922557
76,0.805465,0.842813
77,0.837269,0.902022
78,0.942452,0.971918
79,0.880532,0.92594
80,0.824847,0.856486
81,0.855315,0.911257
82,0.94015,0.971948
83,0.887063,0.929026
84,0.837138,0.864932
85,0.865006,0.916776
86,0.93836,0.971637
87,0.89112,0.930898
88,0.847457,0.873525
89,0.875761,0.923083
90,0.936774,0.971724
91,0.899701,0.93655
92,0.856882,0.883472
93,0.907708,0.945724
94,0.960277,0.97861
95,0.935198,0.958627
96,0.929698,0.946631
97,0.934575,0.963696
98,0.966562,0.980637
99,0.952174,0.968528
100,0.925636,0.954262
101,0.928218,0.965859
