Frame, eSSIM, SSIM
0,0.219439,0.287007
1,0.346332,0.5834
2,0.847654,0.914969
3,0.413155,0.617239
4,0.21582,0.283555
5,0.346045,0.583624
6,0.846171,0.915264
7,0.41231,0.617232
8,0.215353,0.282937
9,0.345215,0.58259
10,0.845481,0.914678
11,0.415035,0.619184
12,0.216644,0.28494
13,0.345191,0.583348
14,0.845415,0.914869
15,0.414673,0.618726
16,0.215704,0.284032
17,0.344922,0.583365
18,0.846694,0.914695
19,0.417697,0.620699
20,0.235673,0.308313
21,0.355364,0.591817
22,0.845654,0.914028
23,0.437816,0.635671
24,0.243387,0.316981
25,0.375111,0.607938
26,0.856704,0.92065
27,0.459711,0.654584
28,0.26749,0.344701
29,0.382366,0.61629
30,0.864891,0.926265
31,0.473013,0.666787
32,0.289832,0.369688
33,0.404698,0.634468
34,0.872515,0.931317
35,0.484158,0.676175
36,0.312302,0.393622
37,0.422487,0.649033
38,0.878822,0.935765
39,0.500179,0.689761
40,0.326337,0.408841
41,0.44228,0.664034
42,0.888651,0.940331
43,0.523061,0.706708
44,0.353706,0.437333
45,0.457804,0.675501
46,0.896503,0.944201
47,0.537759,0.718549
48,0.370762,0.454819
49,0.475218,0.687896
50,0.902449,0.947693
51,0.554363,0.731796
52,0.396667,0.479737
53,0.497384,0.702138
54,0.909439,0.951459
55,0.571184,0.743774
56,0.422523,0.504651
57,0.516298,0.714094
58,0.913778,0.954043
59,0.590779,0.757134
60,0.448886,0.52955
61,0.536824,0.726959
62,0.916625,0.956281
63,0.612588,0.771758
64,0.474848,0.553599
65,0.560784,0.741531
66,0.919123,0.958171
67,0.636754,0.787735
68,0.506293,0.582852
69,0.587546,0.757522
70,0.920365,0.960426
71,0.659127,0.800559
72,0.540362,0.613767
73,0.616854,0.775225
74,0.919781,0.961459
75,0.683833,0.81645
76,0.572554,0.64224
77,0.648404,0.794034
78,0.920665,0.962321
79,0.703675,0.82893
80,0.601519,0.668584
81,0.677028,0.810892
82,0.917115,0.962275
83,0.728831,0.843873
84,0.635764,0.703267
85,0.706243,0.831118
86,0.912922,0.962337
87,0.749125,0.860188
88,0.670544,0.746015
89,0.724604,0.848289
90,0.906561,0.961083
91,0.775839,0.879097
92,0.706516,0.793074
93,0.751,0.876285
94,0.904614,0.961378
95,0.786456,0.89277
96,0.72947,0.837386
97,0.76557,0.897155
98,0.903122,0.960715
99,0.806537,0.912726
100,0.725858,0.852307
101,0.768075,0.905596
102,0.896306,0.958306
103,0.81157,0.917422
104,0.735881,0.864111
105,0.775482,0.91046
106,0.900402,0.959762
107,0.820283,0.92206
108,0.748579,0.872645
109,0.786467,0.915463
110,0.903245,0.961001
111,0.829991,0.926354
112,0.761986,0.880638
113,0.787844,0.915552
114,0.904593,0.961099
115,0.83269,0.927763
116,0.764599,0.883446
117,0.792945,0.918894
118,0.9077,0.962098
119,0.831864,0.927185
120,0.77196,0.88769
121,0.799131,0.921952
122,0.909936,0.963123
123,0.838543,0.930807
124,0.773936,0.88718
125,0.803093,0.922755
126,0.911182,0.963206
127,0.841573,0.931497
128,0.777135,0.88982
129,0.802407,0.92258
130,0.910421,0.963279
131,0.84659,0.932867
132,0.78087,0.892163
133,0.80481,0.923977
134,0.913541,0.963928
135,0.84709,0.932916
136,0.78037,0.893276
137,0.803273,0.925118
138,0.915848,0.964668
139,0.850068,0.934739
140,0.782231,0.893647
141,0.801692,0.924904
142,0.917807,0.964897
143,0.85385,0.93714
