Frame, eSSIM, SSIM
0,0.387801,0.476849
1,0.498953,0.688118
2,0.822518,0.906912
3,0.516157,0.691402
4,0.384892,0.47377
5,0.500834,0.690606
6,0.821424,0.907254
7,0.560942,0.722384
8,0.451717,0.555822
9,0.565655,0.746454
10,0.826255,0.908871
11,0.563917,0.724542
12,0.497808,0.594904
13,0.632083,0.784824
14,0.835981,0.911212
15,0.588756,0.740764
16,0.522923,0.625602
17,0.641174,0.791613
18,0.837587,0.911541
19,0.593727,0.743741
20,0.560128,0.66275
21,0.689472,0.819324
22,0.841537,0.911888
23,0.615977,0.759549
24,0.56929,0.671512
25,0.721158,0.83453
26,0.852849,0.918807
27,0.646793,0.780896
28,0.605222,0.698222
29,0.728165,0.840407
30,0.860586,0.924168
31,0.673645,0.802701
32,0.632793,0.72523
33,0.740527,0.850231
34,0.872879,0.930531
35,0.686794,0.813311
36,0.656111,0.74254
37,0.757989,0.859082
38,0.884267,0.936287
39,0.706415,0.825212
40,0.668562,0.752473
41,0.7744,0.869414
42,0.892916,0.941156
43,0.723712,0.836786
44,0.686464,0.766567
45,0.785536,0.876098
46,0.899298,0.944513
47,0.740491,0.847879
48,0.706483,0.781367
49,0.792442,0.881205
50,0.907717,0.949371
51,0.761437,0.860816
52,0.728587,0.797792
53,0.804877,0.88877
54,0.915682,0.953354
55,0.774525,0.868704
56,0.743043,0.809365
57,0.820197,0.897053
58,0.921427,0.956674
59,0.796789,0.880975
60,0.761482,0.822123
61,0.821434,0.899352
62,0.92368,0.958818
63,0.803134,0.885401
64,0.774382,0.832275
65,0.826148,0.903181
66,0.926046,0.961245
67,0.823409,0.896438
68,0.789272,0.842734
69,0.842766,0.909957
70,0.926959,0.963629
71,0.833825,0.901809
72,0.803728,0.852499
73,0.848962,0.912807
74,0.92752,0.964972
75,0.848778,0.910839
76,0.815054,0.857982
77,0.849546,0.915395
78,0.930782,0.966828
79,0.858279,0.916075
80,0.821501,0.86428
81,0.858637,0.920671
82,0.927022,0.967009
83,0.868065,0.920684
84,0.83039,0.871479
85,0.864811,0.924567
86,0.932479,0.969035
87,0.881755,0.929423
88,0.83852,0.880183
89,0.874562,0.930541
90,0.932167,0.970191
91,0.894424,0.937695
92,0.852963,0.892652
93,0.885221,0.938914
94,0.929708,0.971068
95,0.901275,0.945603
96,0.871686,0.919963
97,0.886437,0.945802
98,0.925504,0.969802
99,0.91765,0.955984
100,0.885601,0.939107
101,0.886417,0.951945
102,0.92441,0.969514
103,0.919911,0.957834
104,0.903395,0.945579
105,0.907725,0.957519
106,0.928445,0.970331
107,0.92246,0.958832
108,0.905431,0.946059
109,0.911544,0.958898
110,0.935942,0.971181
111,0.927241,0.960346
112,0.910479,0.948573
113,0.914772,0.959388
114,0.935916,0.97108
115,0.929928,0.961538
116,0.915159,0.950682
117,0.920146,0.960964
118,0.937241,0.971375
119,0.929653,0.961356
120,0.923763,0.95399
121,0.929325,0.963636
122,0.940269,0.972819
123,0.934294,0.963518
124,0.924459,0.954603
125,0.930008,0.964283
126,0.944187,0.973533
127,0.938052,0.964578
128,0.92631,0.955139
129,0.92925,0.964264
130,0.944965,0.973594
131,0.943378,0.965892
132,0.929651,0.956924
133,0.932791,0.965666
134,0.949396,0.974628
135,0.944567,0.966449
136,0.929792,0.957157
137,0.932889,0.965561
138,0.95042,0.974735
139,0.945694,0.966747
140,0.930978,0.958134
141,0.930614,0.965227
142,0.950507,0.974832
143,0.947249,0.967453
144,0.922238,0.956797
145,0.932295,0.966045
146,0.950761,0.974901
147,0.947161,0.96753
148,0.920009,0.95602
149,0.926469,0.964593
150,0.950371,0.974801
151,0.944435,0.966843
152,0.918972,0.955261
153,0.921731,0.963162
154,0.949964,0.974875
155,0.942101,0.96615
156,0.922677,0.954913
157,0.928061,0.964567
158,0.948898,0.974884
159,0.942935,0.966486
160,0.923281,0.955513
161,0.925744,0.964042
162,0.948252,0.974545
163,0.94359,0.96666
164,0.922719,0.955518
165,0.926448,0.963989
166,0.949191,0.974558
167,0.9432,0.966528
168,0.925974,0.956605
169,0.93038,0.96498
170,0.949134,0.974535
171,0.94388,0.966733
172,0.928176,0.957277
173,0.931204,0.965397
174,0.949158,0.974363
175,0.943713,0.966923
176,0.928841,0.95762
177,0.931715,0.965416
178,0.949161,0.97441
179,0.943682,0.967074
180,0.926392,0.957766
181,0.933451,0.966149
182,0.949305,0.974567
183,0.943955,0.967052
184,0.932151,0.959762
185,0.936586,0.967324
186,0.949405,0.974886
187,0.944213,0.967122
188,0.932824,0.959504
189,0.934966,0.966524
190,0.949368,0.974843
191,0.942203,0.966916
192,0.928879,0.957699
193,0.934404,0.966099
194,0.948526,0.974498
195,0.940805,0.966508
196,0.928231,0.957813
197,0.933324,0.966084
198,0.94939,0.974851
199,0.934718,0.965961
200,0.936111,0.961689
201,0.935807,0.970047
202,0.950816,0.975397
203,0.928171,0.958118
204,0.912824,0.948074
205,0.935167,0.970165
206,0.948648,0.974964
207,0.924272,0.95495
208,0.908606,0.950168
209,0.914125,0.965908
210,0.947451,0.974567
211,0.926141,0.956835
212,0.894816,0.944062
213,0.911127,0.965736
214,0.945835,0.974279
215,0.918215,0.953517
216,0.906853,0.947487
217,0.914304,0.964156
218,0.944122,0.973967
219,0.921554,0.95521
220,0.894911,0.942125
221,0.918373,0.96514
222,0.945669,0.974222
223,0.916634,0.952816
224,0.898457,0.944567
225,0.908912,0.963532
226,0.946177,0.974385
227,0.922352,0.955339
228,0.899511,0.942968
229,0.900727,0.963854
230,0.94576,0.974341
231,0.919938,0.953747
232,0.899902,0.94468
233,0.911745,0.963584
234,0.945249,0.974457
235,0.9215,0.955504
236,0.894982,0.941909
237,0.917444,0.964934
238,0.947836,0.974616
239,0.919761,0.953764
240,0.90233,0.945121
241,0.915722,0.964228
242,0.947313,0.974495
243,0.92161,0.954896
244,0.902228,0.943818
245,0.919357,0.96522
246,0.947459,0.974627
247,0.919203,0.953755
248,0.905455,0.945665
249,0.915804,0.964571
250,0.947352,0.97467
251,0.921167,0.95495
252,0.901978,0.943575
253,0.918634,0.965208
254,0.948844,0.974988
255,0.919008,0.954091
256,0.90229,0.944939
257,0.925984,0.966672
258,0.948641,0.974899
259,0.917939,0.954104
260,0.902371,0.944845
261,0.921249,0.965199
262,0.949063,0.974978
263,0.921239,0.954366
264,0.905874,0.945067
265,0.923125,0.966145
266,0.94932,0.974966
267,0.914297,0.953597
268,0.908866,0.946756
269,0.922181,0.965655
270,0.949006,0.974902
271,0.917943,0.954751
272,0.902625,0.943808
273,0.923546,0.96606
274,0.948727,0.974846
275,0.918251,0.95364
276,0.897521,0.946166
277,0.918632,0.965821
278,0.949681,0.97475
279,0.918167,0.954545
280,0.899269,0.943437
281,0.921601,0.966761
282,0.949479,0.974801
283,0.91674,0.952786
284,0.907515,0.946185
285,0.921221,0.965683
