Frame, eSSIM, SSIM
0,0.766412,0.812767
1,0.83275,0.892949
2,0.899066,0.938992
3,0.807503,0.868646
4,0.779149,0.822376
5,0.842587,0.897791
6,0.898617,0.938662
7,0.816561,0.872973
8,0.795392,0.834509
9,0.851017,0.902224
10,0.899418,0.938765
11,0.826206,0.877968
12,0.806586,0.843215
13,0.856431,0.904982
14,0.901749,0.939913
15,0.831745,0.880924
16,0.814141,0.848752
17,0.862367,0.90859
18,0.905041,0.941162
19,0.838684,0.885056
20,0.821663,0.85434
21,0.863533,0.91019
22,0.910804,0.94409
23,0.841313,0.888208
24,0.791445,0.833027
25,0.851881,0.904462
26,0.907872,0.942826
27,0.824679,0.878115
28,0.800516,0.838958
29,0.859072,0.907402
30,0.908392,0.942305
31,0.830393,0.881156
32,0.813001,0.848827
33,0.866184,0.9113
34,0.908245,0.942387
35,0.839603,0.886233
36,0.822565,0.855825
37,0.869904,0.913138
38,0.910381,0.943107
39,0.843819,0.888277
40,0.829629,0.861061
41,0.875099,0.916014
42,0.911888,0.943943
43,0.850948,0.892506
44,0.835789,0.865953
45,0.871271,0.914865
46,0.912852,0.944997
47,0.847942,0.891979
48,0.79385,0.834771
49,0.854419,0.905608
50,0.908785,0.943003
51,0.824883,0.878337
52,0.802076,0.840328
53,0.861075,0.908562
54,0.907453,0.942101
55,0.831099,0.881492
56,0.814578,0.850217
57,0.86764,0.912121
58,0.908908,0.94262
59,0.840515,0.886981
60,0.824184,0.857313
61,0.871411,0.91403
62,0.910795,0.943569
63,0.844197,0.888736
64,0.830637,0.86201
65,0.876348,0.916797
66,0.912408,0.944123
67,0.850582,0.892164
68,0.836828,0.866703
69,0.873106,0.915638
70,0.912946,0.945335
71,0.848816,0.89217
72,0.794604,0.835086
73,0.855404,0.90622
74,0.908841,0.94312
75,0.824973,0.878103
76,0.80248,0.840592
77,0.861336,0.908948
78,0.909159,0.942778
79,0.832158,0.882105
80,0.815328,0.850591
81,0.868319,0.912434
82,0.909387,0.94299
83,0.839602,0.886116
84,0.824418,0.857572
85,0.871983,0.914513
86,0.911065,0.943498
87,0.844856,0.889015
88,0.830993,0.862409
89,0.876608,0.916873
90,0.912874,0.944358
91,0.85053,0.892417
92,0.836473,0.866639
93,0.872832,0.915866
94,0.91367,0.945132
95,0.848315,0.891879
96,0.795363,0.835433
97,0.855754,0.90641
98,0.910009,0.943474
99,0.82611,0.878838
100,0.803059,0.840713
101,0.862289,0.909198
102,0.909129,0.94266
103,0.832567,0.882184
104,0.816234,0.851117
105,0.868892,0.912769
